sourceName,targName,ComaInstResult,ComaInstAdjusted,ComaOpt,ComaOptAdjusted,CupidResult,CupidAdjusted,DistributionBasedResult,DistributionBasedAdjusted,JaccardLevenMatcherResult,JaccardLevenMatcherAdjusted,SimilarityFloodingResult,SimilarityFloodingAdjusted,groundtruth
Fiscal year,fsclr,0.39835882,0.0,0.24794853,0.0,0.6471380471380472,1.0,1.0,0.0,1.0,0.0,0.0375452814858097,0.0,1
Fiscal year,cntrrgnnm,0.0,0.0,0.0,0.0,0.3176068376068376,1.0,0.0,0.0,0.0068965517241379,0.0,0.0267207940031702,0.0,0
Fiscal year,ctstlfrdvlpmnt(mrkr),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.3333333333333333,0.0,0.0264326548971819,0.0,0
Fiscal year,rgnstntp,0.0,0.0,0.0,0.0,0.326984126984127,1.0,0.0,0.0,0.25,0.0,0.0233025347981262,0.0,0
Fiscal year,mxmmcdcntrbtn(prjct-lvl),0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.0019455252918287,0.0,0.0235282462427955,0.0,0
Fiscal year,knwldgfrdvlpmnt(mrkr),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.023959317703568,0.0,0
Fiscal year,rgnstnsb-clss,0.0,0.0,0.0,0.0,0.3997936016511868,1.0,0.0,0.0,0.0416666666666666,0.0,0.0285248752502768,0.0,0
Fiscal year,brnchnm,0.0,0.0,0.0,0.0,0.337995337995338,1.0,0.0,0.0,0.2,0.0,0.0235135384527585,0.0,0
Fiscal year,dvsnd,0.0,0.0,0.0,0.0,0.2969696969696969,1.0,0.0,0.0,0.0769230769230769,0.0,0.0240146721325104,0.0,0
Fiscal year,ndgnssss(mrkr),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0252221745765426,0.0,0
Fiscal year,fstcprcnt,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.0204081632653061,0.0,0.0302291194463342,0.0,0
Fiscal year,prtcptrdvlpmntndgdgvrnnc,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0256345360044527,0.0,0
Fiscal year,rbnsss(mrkr),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0257241797931288,0.0,0
Fiscal year,rgnlprgrm(mrkr),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.5,0.0,0.0250001338076679,0.0,0
Fiscal year,rtcprcnt,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.3333333333333333,0.0,0.0270007635304593,0.0,0
Fiscal year,sctnnm,0.0,0.0,0.0,0.0,0.3777777777777778,1.0,0.0,0.0,0.04,0.0,0.0279942631187749,0.0,0
Fiscal year,clmtchngdpttn(mrkr),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.3333333333333333,0.0,0.0266654395742279,0.0,0
Fiscal year,fndcntrnm,0.0,0.0,0.0,0.0,0.3832478632478633,1.0,0.0,0.0,0.0192307692307692,0.0,0.0267207940031702,0.0,0
Fiscal year,stts,0.0,0.0,0.0,0.0,0.3066666666666666,1.0,0.0,0.0,0.3333333333333333,0.0,0.0243153523403615,0.0,0
Fiscal year,fndcntrd,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0192307692307692,0.0,0.0270452461525661,0.0,0
Fiscal year,dsbltsss(mrkr),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0281087045719131,0.0,0
Fiscal year,rgnstnnm,0.0,0.0,0.0,0.0,0.326984126984127,1.0,0.0,0.0,0.0029498525073746,0.0,0.0233025347981262,0.0,0
Fiscal year,cfl(mrkr),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.5,0.0,0.030273602068441,0.0,0
Fiscal year,sctnd,0.0,0.0,0.0,0.0,0.393939393939394,1.0,0.0,0.0,0.04,0.0,0.0285248752502768,0.0,0
Fiscal year,sctrd,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.008130081300813,0.0,0.0329797239391009,0.0,0
