sourceName,targName,ComaInstResult,ComaInstAdjusted,ComaOpt,ComaOptAdjusted,CupidResult,CupidAdjusted,DistributionBasedResult,DistributionBasedAdjusted,JaccardLevenMatcherResult,JaccardLevenMatcherAdjusted,SimilarityFloodingResult,SimilarityFloodingAdjusted,groundtruth
Fiscal year,Fiscal year,0.95607364,1.0,0.9450921,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0524754907505956,0.0,1
Fiscal year,Gender equality (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0280911407089238,0.0,0
Fiscal year,Sector ID,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.008130081300813,0.0,0.0251714032499025,0.0,0
Fiscal year,Regional program (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.5,0.0,0.0297132170750467,0.0,0
Fiscal year,Project Browser country ID,0.0,0.0,0.0,0.0,0.5551820728291317,1.0,0.0,0.0,0.0065359477124183,0.0,0.0257769905622482,0.0,0
Fiscal year,Project number,0.0,0.0,0.0,0.0,0.6857142857142857,1.0,0.0,0.0,0.0015552099533437,0.0,0.0293122402423604,0.0,0
Fiscal year,Sector name,0.0,0.0,0.0,0.0,0.6975757575757577,1.0,0.0,0.0,0.008130081300813,0.0,0.0277019607952639,0.0,0
Fiscal year,Biodiversity (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0290035586648679,0.0,0
Fiscal year,Organisation class,0.0,0.0,0.0,0.0,0.8025974025974028,1.0,0.0,0.0,0.1666666666666666,0.0,0.0301579572994563,0.0,0
Fiscal year,Untied amount(Project-level budget),0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.0023041474654377,0.0,0.0257208283044552,0.0,0
Fiscal year,Section name,0.0,0.0,0.0,0.0,0.7143589743589744,1.0,0.0,0.0,0.04,0.0,0.0272980445459922,0.0,0
Fiscal year,Maximum CIDA contribution (project-level),0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.0019455252918287,0.0,0.023556251481435,0.0,0
Fiscal year,Children issues (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0300376323482713,0.0,0
Fiscal year,Enviromental sustainability (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.3333333333333333,0.0,0.0285052878662317,0.0,0
Fiscal year,ICT as a tool for development (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.3333333333333333,0.0,0.0280911407089238,0.0,0
Fiscal year,Amount spent,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.0001992031872509,0.0,0.0242398020571256,0.0,0
Fiscal year,Section ID,0.0,0.0,0.0,0.0,0.6315018315018316,1.0,0.0,0.0,0.04,0.0,0.0249001925265061,0.0,0
Fiscal year,Sector percent,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.0054054054054054,0.0,0.0292160502481531,0.0,0
Fiscal year,Branch ID,0.0,0.0,0.0,0.0,0.5371428571428571,1.0,0.0,0.0,0.2,0.0,0.0252246077997307,0.0,0
Fiscal year,Fund centre ID,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0192307692307692,0.0,0.0292590356925323,0.0,0
Fiscal year,Fund centre name,0.0,0.0,0.0,0.0,0.6000000000000001,1.0,0.0,0.0,0.0192307692307692,0.0,0.0285048066734459,0.0,0
Fiscal year,Status,0.0,0.0,0.0,0.0,0.4606060606060606,1.0,0.0,0.0,0.3333333333333333,0.0,0.0224193698489064,0.0,0
Fiscal year,IRTC percent,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.3333333333333333,0.0,0.0272018545517848,0.0,0
Fiscal year,Division ID,0.0,0.0,0.0,0.0,0.5357142857142857,1.0,0.0,0.0,0.0769230769230769,0.0,0.0277019607952639,0.0,0
Fiscal year,Youth issues (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0290035586648679,0.0,0
Fiscal year,FSTC percent,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.0204081632653061,0.0,0.030163907046444,0.0,0
Fiscal year,Knowledge for development (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0259283722207599,0.0,0
Fiscal year,Trade development (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0275650618874785,0.0,0
Fiscal year,CFLI (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.5,0.0,0.0297132170750467,0.0,0
Fiscal year,Indigenous issues (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0294063377625369,0.0,0
Fiscal year,CountryRegion ID,0.0,0.0,0.0,0.0,0.5558441558441558,1.0,0.0,0.0,0.0070422535211267,0.0,0.0234583468677302,0.0,0
Fiscal year,Programming process (new),0.0,0.0,0.0,0.0,0.5296969696969698,1.0,0.0,0.0,1.0,0.0,0.0259815767705881,0.0,0
Fiscal year,Participatory development and good governance,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0268745834343316,0.0,0
Fiscal year,Urban issues (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0290035586648679,0.0,0
Fiscal year,Continent name,0.0,0.0,0.0,0.0,0.6133333333333333,1.0,0.0,0.0,0.2,0.0,0.026587151947274,0.0,0
Fiscal year,Disability issues (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0330888895126538,0.0,0
Fiscal year,Organisation ID,0.0,0.0,0.0,0.0,0.5980519480519482,1.0,0.0,0.0,0.0029498525073746,0.0,0.0288929958892702,0.0,0
Fiscal year,Organisation name,0.0,0.0,0.0,0.0,0.6975757575757577,1.0,0.0,0.0,0.0029498525073746,0.0,0.0305774598079363,0.0,0
Fiscal year,Organisation type,0.0,0.0,0.0,0.0,0.6480519480519482,1.0,0.0,0.0,0.25,0.0,0.0330105743571207,0.0,0
Fiscal year,Organisation sub-class,0.0,0.0,0.0,0.0,0.650909090909091,1.0,0.0,0.0,0.0416666666666666,0.0,0.0287341912100694,0.0,0
Fiscal year,Continent ID,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.2,0.0,0.0242827875015047,0.0,0
Fiscal year,CountryRegion name,0.0,0.0,0.0,0.0,0.6354632034632035,1.0,0.0,0.0,0.0068965517241379,0.0,0.0254595292044795,0.0,0
Fiscal year,CountryRegion percent,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.0024875621890547,0.0,0.0268315979899524,0.0,0
Gender equality (marker),Fiscal year,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0281031722236652,0.0,0
Gender equality (marker),Gender equality (marker),0.9662035,1.0,0.9577544,1.0,1.0,1.0,0.9496273608984176,1.0,1.0,0.0,0.0524893222455445,0.0,1
Gender equality (marker),Sector ID,0.0,0.0,0.0,0.0,0.6245228455754772,1.0,0.0,0.0,0.032520325203252,0.0,0.0246191010457963,0.0,0
Gender equality (marker),Regional program (marker),0.0,0.0,0.0,0.0,0.6484330484330485,1.0,1.0,0.0,0.5,0.0,0.0365002837794758,0.0,0
Gender equality (marker),Project Browser country ID,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0261437908496732,0.0,0.0292710672072737,0.0,0
Gender equality (marker),Project number,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0062208398133748,0.0,0.0309204627542997,0.0,0
Gender equality (marker),Sector name,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.032520325203252,0.0,0.0300496638630127,0.0,0
Gender equality (marker),Biodiversity (marker),0.0,0.0,0.0,0.0,0.7364705882352942,1.0,0.8843842701757055,1.0,1.0,0.0,0.0411347876826841,0.0,0
Gender equality (marker),Organisation class,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.6666666666666666,0.0,0.0281031722236652,0.0,0
Gender equality (marker),Untied amount(Project-level budget),0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.0,0.0092165898617511,0.0,0.0287111378308354,0.0,0
Gender equality (marker),Section name,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.16,0.0,0.0297252485897881,0.0,0
Gender equality (marker),Maximum CIDA contribution (project-level),0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.0,0.0077821011673151,0.0,0.0277518499042731,0.0,0
Gender equality (marker),Children issues (marker),0.0,0.0,0.0,0.0,0.6124542124542125,1.0,0.8998877752408962,1.0,1.0,0.0,0.0368768372216115,0.0,0
Gender equality (marker),Enviromental sustainability (marker),0.0,0.0,0.0,0.0,0.7616161616161616,1.0,0.9141516906746672,1.0,0.75,0.0,0.0388638807701121,0.0,0
Gender equality (marker),ICT as a tool for development (marker),0.0,0.0,0.0,0.0,0.753886449684769,1.0,0.8608766474159633,1.0,0.75,0.0,0.0338092815130968,0.0,0
Gender equality (marker),Amount spent,0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.0,0.0007968127490039,0.0,0.0258885416683165,0.0,0
Gender equality (marker),Section ID,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.16,0.0,0.0243819382072656,0.0,0
Gender equality (marker),Sector percent,0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.0,0.0216216216216216,0.0,0.0290757794403475,0.0,0
Gender equality (marker),Branch ID,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.8,0.0,0.0245640965157607,0.0,0
Gender equality (marker),Fund centre ID,0.0,0.0,0.0,0.0,0.5920634920634922,1.0,0.0,0.0,0.0769230769230769,0.0,0.0309754672843354,0.0,0
Gender equality (marker),Fund centre name,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0769230769230769,0.0,0.0319961555023602,0.0,0
Gender equality (marker),Status,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.75,0.0,0.0229125278520719,0.0,0
Gender equality (marker),IRTC percent,0.0,0.0,0.0,0.0,0.05,1.0,1.0,1.0,0.75,0.0,0.0258885416683165,0.0,0
Gender equality (marker),Division ID,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.3076923076923077,0.0,0.0222636973056227,0.0,0
Gender equality (marker),Youth issues (marker),0.0,0.0,0.0,0.0,0.7428571428571429,1.0,0.9098123056811216,0.0,1.0,0.0,0.0350790359158253,0.0,0
Gender equality (marker),FSTC percent,0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.0,0.0816326530612244,0.0,0.0258885416683165,0.0,0
Gender equality (marker),Knowledge for development (marker),0.0,0.0,0.0,0.0,0.7412454212454211,1.0,0.8957248815182332,0.0,1.0,0.0,0.0383940379606144,0.0,0
Gender equality (marker),Trade development (marker),0.0,0.0,0.0,0.0,0.753846153846154,1.0,0.911850050976394,1.0,1.0,0.0,0.0388638807701121,0.0,0
Gender equality (marker),CFLI (marker),0.0,0.0,0.0,0.0,0.6758974358974359,1.0,0.8737506575486587,0.0,0.5,0.0,0.0349972014324893,0.0,0
Gender equality (marker),Indigenous issues (marker),0.0,0.0,0.0,0.0,0.603988603988604,1.0,0.8767298878550175,1.0,1.0,0.0,0.0375013366225688,0.0,0
Gender equality (marker),CountryRegion ID,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.028169014084507,0.0,0.026886614949073,0.0,0
Gender equality (marker),Programming process (new),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0281031722236652,0.0,0
Gender equality (marker),Participatory development and good governance,0.0,0.0,0.0,0.0,0.6792096792096791,1.0,0.9811985043541483,1.0,1.0,0.0,0.027311876040941,0.0,0
Gender equality (marker),Urban issues (marker),0.0,0.0,0.0,0.0,0.603988603988604,1.0,0.8801402332644346,1.0,1.0,0.0,0.03659297385754,0.0,0
Gender equality (marker),Continent name,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.8,0.0,0.0291276415075323,0.0,0
Gender equality (marker),Disability issues (marker),0.0,0.0,0.0,0.0,0.669281045751634,1.0,0.8804331364531274,0.0,1.0,0.0,0.0375013366225688,0.0,0
Gender equality (marker),Organisation ID,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0117994100294985,0.0,0.0271049713829742,0.0,0
Gender equality (marker),Organisation name,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0117994100294985,0.0,0.030002188457175,0.0,0
Gender equality (marker),Organisation type,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,1.0,0.0,0.0283405492528539,0.0,0
Gender equality (marker),Organisation sub-class,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.1666666666666666,0.0,0.0272568715109054,0.0,0
Gender equality (marker),Continent ID,0.0,0.0,0.0,0.0,0.516952380952381,1.0,0.9593054541228532,1.0,0.8,0.0,0.0259954082655369,0.0,0
Gender equality (marker),CountryRegion name,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0275862068965517,0.0,0.0297252485897881,0.0,0
