sourceName,targName,ComaInstResult,ComaInstAdjusted,ComaOpt,ComaOptAdjusted,CupidResult,CupidAdjusted,DistributionBasedResult,DistributionBasedAdjusted,JaccardLevenMatcherResult,JaccardLevenMatcherAdjusted,SimilarityFloodingResult,SimilarityFloodingAdjusted,groundtruth
AgencyID,prospect_AgencyID,0.41858315,0.0,0.51921004,0.0,0.9384615384615383,1.0,0.0,0.0,1.0,0.0,0.1243576156652414,0.0,1
AgencyID,prospect_LastName,0.0,0.0,0.0,0.0,0.7037948717948719,1.0,0.0,0.0,1.0,0.0,0.0773805777248056,0.0,0
AgencyID,prospect_Phone,0.0,0.0,0.0,0.0,0.6255477855477856,1.0,0.0,0.0,0.9495394473368042,0.0,0.0795158976311891,0.0,0
AgencyID,prospect_AddressLine2,0.0,0.0,0.0,0.0,0.6580805860805861,1.0,0.0,0.0,0.9499399279134962,0.0,0.0819702883281815,0.0,0
AgencyID,prospect_AddressLine1,0.0,0.0,0.0,0.0,0.6580805860805861,1.0,0.0,0.0,0.94540114804432,0.0,0.0819702883281815,0.0,0
AgencyID,prospect_PostalCode,0.0,0.0,0.0,0.0,0.5961025641025641,1.0,0.0,0.0,0.9552796689360566,0.0,0.0762206508620788,0.0,0
AgencyID,prospect_NumberChildren,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.000800961153384,0.0,0.0733220003368459,0.0,0
AgencyID,prospect_MaritalStatus,0.0,0.0,0.0,0.0,0.6797948717948719,1.0,0.0,0.0,0.00066746762782,0.0,0.0747707422836703,0.0,0
AgencyID,prospect_Age,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.013482846081965,0.0,0.0900544130441247,0.0,0
AgencyID,prospect_CreditRating,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.0735549325857695,0.0,0.0741929131648109,0.0,0
AgencyID,prospect_OwnOrRentFlag,0.0,0.0,0.0,0.0,0.6397167277167277,1.0,0.0,0.0,0.000400480576692,0.0,0.0747707422836703,0.0,0
AgencyID,prospect_Employer,0.0,0.0,0.0,0.0,0.6194871794871795,1.0,0.0,0.0,0.1333600320384461,0.0,0.0852100840482116,0.0,0
AgencyID,prospect_NumberCreditCards,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.0014684287812041,0.0,0.0722077442187141,0.0,0
AgencyID,prospect_NetWorth,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.9425977840074756,0.0,0.0763527769781643,0.0,0
LastName,prospect_AgencyID,0.0,0.0,0.0,0.0,0.705904761904762,1.0,0.0,0.0,0.9946602589774396,0.0,0.0852100840482116,0.0,0
LastName,prospect_LastName,0.41858315,0.0,0.51921004,0.0,0.9466666666666664,1.0,0.0,0.0,0.9946602589774396,0.0,0.1243576156652413,0.0,1
LastName,prospect_Phone,0.0,0.0,0.0,0.0,0.8066666666666666,1.0,0.0,0.0,0.9546369614816804,0.0,0.0884130639077867,0.0,0
LastName,prospect_AddressLine2,0.0,0.0,0.0,0.0,0.7130158730158731,1.0,0.0,0.0,0.9550395920010736,0.0,0.0819702883281815,0.0,0
LastName,prospect_AddressLine1,0.0,0.0,0.0,0.0,0.7130158730158731,1.0,0.0,0.0,0.9504764461146156,0.0,0.0819702883281815,0.0,0
