,instance,candName,targName,conf,realConf
0,"1, comaInst",Fiscal year,Fiscal year,0.73926735,1
1,"1, comaInst",Fiscal year,Trade development (marker),0.0,0
2,"1, comaInst",Fiscal year,Bilateral aid (international marker),0.0,0
3,"1, comaInst",Fiscal year,Organisation sub-class,0.0,0
4,"1, comaInst",Fiscal year,Section ID,0.0,0
5,"1, comaInst",Fiscal year,Regional program (marker),0.0,0
6,"1, comaInst",Fiscal year,Children issues (marker),0.0,0
7,"1, comaInst",Fiscal year,ICT as a tool for development (marker),0.0,0
8,"1, comaInst",Fiscal year,Biodiversity (marker),0.0,0
9,"1, comaInst",Fiscal year,CountryRegion name,0.0,0
10,"1, comaInst",Fiscal year,Amount spent,0.0,0
11,"1, comaInst",Fiscal year,Indigenous issues (marker),0.0,0
12,"1, comaInst",Fiscal year,CountryRegion percent,0.0,0
13,"1, comaInst",Fiscal year,Organisation type,0.0,0
14,"1, comaInst",Fiscal year,Status,0.0,0
15,"1, comaInst",Fiscal year,FSTC percent,0.0,0
16,"1, comaInst",Fiscal year,Urban issues (marker),0.0,0
17,"1, comaInst",Fiscal year,Continent ID,0.0,0
18,"1, comaInst",Fiscal year,Enviromental sustainability (marker),0.0,0
19,"1, comaInst",Fiscal year,Branch ID,0.0,0
20,"1, comaInst",Fiscal year,CIDA business delivery model (old),0.0,0
21,"1, comaInst",Fiscal year,Programming process (new),0.0,0
22,"1, comaInst",Fiscal year,Youth issues (marker),0.0,0
23,"1, comaInst",Fiscal year,Desertification (marker),0.0,0
24,"1, comaInst",Fiscal year,IRTC percent,0.0,0
25,"1, comaInst",Fiscal year,Participatory development and good governance,0.0,0
26,"1, comaInst",Fiscal year,Disability issues (marker),0.0,0
27,"1, comaInst",Fiscal year,Knowledge for development (marker),0.0,0
28,"1, comaInst",Fiscal year,Gender equality (marker),0.0,0
29,"1, comaInst",Fiscal year,Organisation ID,0.0,0
30,"1, comaInst",Fiscal year,Organisation name,0.0,0
31,"1, comaInst",Fiscal year,Organisation class,0.0,0
32,"1, comaInst",Fiscal year,Continent name,0.0,0
33,"1, comaInst",Fiscal year,Project Browser country ID,0.0,0
34,"1, comaInst",Fiscal year,CountryRegion ID,0.0,0
35,"1, comaInst",Fiscal year,Sector ID,0.0,0
36,"1, comaInst",Fiscal year,Sector name,0.0,0
37,"1, comaInst",Fiscal year,Sector percent,0.0,0
38,"1, comaInst",Trade development (marker),Fiscal year,0.0,0
39,"1, comaInst",Trade development (marker),Trade development (marker),0.8836238,1
40,"1, comaInst",Trade development (marker),Bilateral aid (international marker),0.0,0
41,"1, comaInst",Trade development (marker),Organisation sub-class,0.0,0
42,"1, comaInst",Trade development (marker),Section ID,0.0,0
43,"1, comaInst",Trade development (marker),Regional program (marker),0.0,0
44,"1, comaInst",Trade development (marker),Children issues (marker),0.0,0
45,"1, comaInst",Trade development (marker),ICT as a tool for development (marker),0.0,0
46,"1, comaInst",Trade development (marker),Biodiversity (marker),0.0,0
47,"1, comaInst",Trade development (marker),CountryRegion name,0.0,0
48,"1, comaInst",Trade development (marker),Amount spent,0.0,0
49,"1, comaInst",Trade development (marker),Indigenous issues (marker),0.0,0
50,"1, comaInst",Trade development (marker),CountryRegion percent,0.0,0
51,"1, comaInst",Trade development (marker),Organisation type,0.0,0
52,"1, comaInst",Trade development (marker),Status,0.0,0
53,"1, comaInst",Trade development (marker),FSTC percent,0.0,0
54,"1, comaInst",Trade development (marker),Urban issues (marker),0.0,0
55,"1, comaInst",Trade development (marker),Continent ID,0.0,0
56,"1, comaInst",Trade development (marker),Enviromental sustainability (marker),0.0,0
57,"1, comaInst",Trade development (marker),Branch ID,0.0,0
58,"1, comaInst",Trade development (marker),CIDA business delivery model (old),0.0,0
59,"1, comaInst",Trade development (marker),Programming process (new),0.0,0
60,"1, comaInst",Trade development (marker),Youth issues (marker),0.0,0
61,"1, comaInst",Trade development (marker),Desertification (marker),0.0,0
62,"1, comaInst",Trade development (marker),IRTC percent,0.0,0
63,"1, comaInst",Trade development (marker),Participatory development and good governance,0.0,0
64,"1, comaInst",Trade development (marker),Disability issues (marker),0.0,0
65,"1, comaInst",Trade development (marker),Knowledge for development (marker),0.0,0
66,"1, comaInst",Trade development (marker),Gender equality (marker),0.0,0
67,"1, comaInst",Trade development (marker),Organisation ID,0.0,0
68,"1, comaInst",Trade development (marker),Organisation name,0.0,0
69,"1, comaInst",Trade development (marker),Organisation class,0.0,0
70,"1, comaInst",Trade development (marker),Continent name,0.0,0
71,"1, comaInst",Trade development (marker),Project Browser country ID,0.0,0
72,"1, comaInst",Trade development (marker),CountryRegion ID,0.0,0
73,"1, comaInst",Trade development (marker),Sector ID,0.0,0
74,"1, comaInst",Trade development (marker),Sector name,0.0,0
75,"1, comaInst",Trade development (marker),Sector percent,0.0,0
76,"1, comaInst",Bilateral aid (international marker),Fiscal year,0.0,0
77,"1, comaInst",Bilateral aid (international marker),Trade development (marker),0.0,0
78,"1, comaInst",Bilateral aid (international marker),Bilateral aid (international marker),0.9074067,1
79,"1, comaInst",Bilateral aid (international marker),Organisation sub-class,0.0,0
80,"1, comaInst",Bilateral aid (international marker),Section ID,0.0,0
81,"1, comaInst",Bilateral aid (international marker),Regional program (marker),0.0,0
82,"1, comaInst",Bilateral aid (international marker),Children issues (marker),0.0,0
83,"1, comaInst",Bilateral aid (international marker),ICT as a tool for development (marker),0.0,0
84,"1, comaInst",Bilateral aid (international marker),Biodiversity (marker),0.0,0
85,"1, comaInst",Bilateral aid (international marker),CountryRegion name,0.0,0
86,"1, comaInst",Bilateral aid (international marker),Amount spent,0.0,0
87,"1, comaInst",Bilateral aid (international marker),Indigenous issues (marker),0.0,0
88,"1, comaInst",Bilateral aid (international marker),CountryRegion percent,0.0,0
89,"1, comaInst",Bilateral aid (international marker),Organisation type,0.0,0
90,"1, comaInst",Bilateral aid (international marker),Status,0.0,0
91,"1, comaInst",Bilateral aid (international marker),FSTC percent,0.0,0
92,"1, comaInst",Bilateral aid (international marker),Urban issues (marker),0.0,0
93,"1, comaInst",Bilateral aid (international marker),Continent ID,0.0,0
94,"1, comaInst",Bilateral aid (international marker),Enviromental sustainability (marker),0.0,0
95,"1, comaInst",Bilateral aid (international marker),Branch ID,0.0,0
96,"1, comaInst",Bilateral aid (international marker),CIDA business delivery model (old),0.0,0
97,"1, comaInst",Bilateral aid (international marker),Programming process (new),0.0,0
98,"1, comaInst",Bilateral aid (international marker),Youth issues (marker),0.0,0
99,"1, comaInst",Bilateral aid (international marker),Desertification (marker),0.0,0
100,"1, comaInst",Bilateral aid (international marker),IRTC percent,0.0,0
101,"1, comaInst",Bilateral aid (international marker),Participatory development and good governance,0.0,0
102,"1, comaInst",Bilateral aid (international marker),Disability issues (marker),0.0,0
103,"1, comaInst",Bilateral aid (international marker),Knowledge for development (marker),0.0,0
104,"1, comaInst",Bilateral aid (international marker),Gender equality (marker),0.0,0
105,"1, comaInst",Bilateral aid (international marker),Organisation ID,0.0,0
106,"1, comaInst",Bilateral aid (international marker),Organisation name,0.0,0
107,"1, comaInst",Bilateral aid (international marker),Organisation class,0.0,0
108,"1, comaInst",Bilateral aid (international marker),Continent name,0.0,0
109,"1, comaInst",Bilateral aid (international marker),Project Browser country ID,0.0,0
110,"1, comaInst",Bilateral aid (international marker),CountryRegion ID,0.0,0
111,"1, comaInst",Bilateral aid (international marker),Sector ID,0.0,0
112,"1, comaInst",Bilateral aid (international marker),Sector name,0.0,0
113,"1, comaInst",Bilateral aid (international marker),Sector percent,0.0,0
114,"1, comaInst",Organisation sub-class,Fiscal year,0.0,0
115,"1, comaInst",Organisation sub-class,Trade development (marker),0.0,0
116,"1, comaInst",Organisation sub-class,Bilateral aid (international marker),0.0,0
117,"1, comaInst",Organisation sub-class,Organisation sub-class,0.7998979,1
118,"1, comaInst",Organisation sub-class,Section ID,0.0,0
119,"1, comaInst",Organisation sub-class,Regional program (marker),0.0,0
120,"1, comaInst",Organisation sub-class,Children issues (marker),0.0,0
121,"1, comaInst",Organisation sub-class,ICT as a tool for development (marker),0.0,0
122,"1, comaInst",Organisation sub-class,Biodiversity (marker),0.0,0
123,"1, comaInst",Organisation sub-class,CountryRegion name,0.0,0
124,"1, comaInst",Organisation sub-class,Amount spent,0.0,0
125,"1, comaInst",Organisation sub-class,Indigenous issues (marker),0.0,0
126,"1, comaInst",Organisation sub-class,CountryRegion percent,0.0,0
127,"1, comaInst",Organisation sub-class,Organisation type,0.0,0
128,"1, comaInst",Organisation sub-class,Status,0.0,0
129,"1, comaInst",Organisation sub-class,FSTC percent,0.0,0
130,"1, comaInst",Organisation sub-class,Urban issues (marker),0.0,0
131,"1, comaInst",Organisation sub-class,Continent ID,0.0,0
132,"1, comaInst",Organisation sub-class,Enviromental sustainability (marker),0.0,0
133,"1, comaInst",Organisation sub-class,Branch ID,0.0,0
134,"1, comaInst",Organisation sub-class,CIDA business delivery model (old),0.0,0
135,"1, comaInst",Organisation sub-class,Programming process (new),0.0,0
136,"1, comaInst",Organisation sub-class,Youth issues (marker),0.0,0
137,"1, comaInst",Organisation sub-class,Desertification (marker),0.0,0
138,"1, comaInst",Organisation sub-class,IRTC percent,0.0,0
139,"1, comaInst",Organisation sub-class,Participatory development and good governance,0.0,0
140,"1, comaInst",Organisation sub-class,Disability issues (marker),0.0,0
141,"1, comaInst",Organisation sub-class,Knowledge for development (marker),0.0,0
142,"1, comaInst",Organisation sub-class,Gender equality (marker),0.0,0
143,"1, comaInst",Organisation sub-class,Organisation ID,0.0,0
144,"1, comaInst",Organisation sub-class,Organisation name,0.0,0
145,"1, comaInst",Organisation sub-class,Organisation class,0.0,0
146,"1, comaInst",Organisation sub-class,Continent name,0.0,0
147,"1, comaInst",Organisation sub-class,Project Browser country ID,0.0,0
148,"1, comaInst",Organisation sub-class,CountryRegion ID,0.0,0
149,"1, comaInst",Organisation sub-class,Sector ID,0.0,0
150,"1, comaInst",Organisation sub-class,Sector name,0.0,0
151,"1, comaInst",Organisation sub-class,Sector percent,0.0,0
152,"1, comaInst",Section ID,Fiscal year,0.0,0
153,"1, comaInst",Section ID,Trade development (marker),0.0,0
154,"1, comaInst",Section ID,Bilateral aid (international marker),0.0,0
155,"1, comaInst",Section ID,Organisation sub-class,0.0,0
156,"1, comaInst",Section ID,Section ID,0.7379686,1
157,"1, comaInst",Section ID,Regional program (marker),0.0,0
158,"1, comaInst",Section ID,Children issues (marker),0.0,0
159,"1, comaInst",Section ID,ICT as a tool for development (marker),0.0,0
160,"1, comaInst",Section ID,Biodiversity (marker),0.0,0
161,"1, comaInst",Section ID,CountryRegion name,0.0,0
162,"1, comaInst",Section ID,Amount spent,0.0,0
163,"1, comaInst",Section ID,Indigenous issues (marker),0.0,0
164,"1, comaInst",Section ID,CountryRegion percent,0.0,0
165,"1, comaInst",Section ID,Organisation type,0.0,0
166,"1, comaInst",Section ID,Status,0.0,0
167,"1, comaInst",Section ID,FSTC percent,0.0,0
