,instance,candName,targName,conf,realConf
0,"1, comaInst",Fiscal year,FiY,0.44553342,1
1,"1, comaInst",Fiscal year,ProNu,0.0,0
2,"1, comaInst",Fiscal year,Sta,0.0,0
3,"1, comaInst",Fiscal year,MaCIDAContri,0.0,0
4,"1, comaInst",Fiscal year,BraID,0.0,0
5,"1, comaInst",Fiscal year,BraNa,0.0,0
6,"1, comaInst",Fiscal year,DiviID,0.0,0
7,"1, comaInst",Fiscal year,DiNa,0.0,0
8,"1, comaInst",Fiscal year,SectID,0.0,0
9,"1, comaInst",Fiscal year,SeN,0.0,0
10,"1, comaInst",Fiscal year,RegPro,0.0,0
11,"1, comaInst",Fiscal year,FuCeID,0.0,0
12,"1, comaInst",Fiscal year,FuCeN,0.0,0
13,"1, comaInst",Fiscal year,UnAmProBu,0.0,0
14,"1, comaInst",Fiscal year,FSTCPerc,0.0,0
15,"1, comaInst",Fiscal year,IRTCPerc,0.0,0
16,"1, comaInst",Fiscal year,CFLI,0.0,0
17,"1, comaInst",Fiscal year,CIDABuDeliMo,0.0,0
18,"1, comaInst",Fiscal year,ProgrPr,0.0,0
19,"1, comaInst",Fiscal year,BilaAiMa,0.0,0
20,"1, comaInst",Fiscal year,PBAT,0.0,0
21,"1, comaInst",Fiscal year,EnvirSust,0.0,0
22,"1, comaInst",Fiscal year,ClChaAdap,0.0,0
23,"1, comaInst",Fiscal year,CliChaMiti,0.0,0
24,"1, comaInst",Fiscal year,Desertif,0.0,0
25,"1, comaInst",Fiscal year,PartDevAGGov,0.0,0
26,"1, comaInst",Fiscal year,TrDevelo,0.0,0
27,"1, comaInst",Fiscal year,Biodi,0.0,0
28,"1, comaInst",Fiscal year,UrbIs,0.0,0
29,"1, comaInst",Fiscal year,ChilIs,0.0,0
30,"1, comaInst",Fiscal year,YouIs,0.0,0
31,"1, comaInst",Fiscal year,IndigIs,0.0,0
32,"1, comaInst",Fiscal year,DisabIs,0.0,0
33,"1, comaInst",Fiscal year,ICTAATFDevel,0.0,0
34,"1, comaInst",Fiscal year,KnowlFoDevelo,0.0,0
35,"1, comaInst",Fiscal year,GenEqu,0.0,0
36,"1, comaInst",Fiscal year,OrganiID,0.0,0
37,"1, comaInst",Fiscal year,OrgaN,0.0,0
38,"1, comaInst",Fiscal year,OrgaTy,0.0,0
39,"1, comaInst",Fiscal year,OrgCl,0.0,0
40,"1, comaInst",Fiscal year,OrganSu,0.0,0
41,"1, comaInst",Fiscal year,ConID,0.0,0
42,"1, comaInst",Fiscal year,ContN,0.0,0
43,"1, comaInst",Fiscal year,ProjBroCouID,0.0,0
44,"1, comaInst",Fiscal year,CoReID,0.0,0
45,"1, comaInst",Fiscal year,CounRegNa,0.0,0
46,"1, comaInst",Fiscal year,CoRePer,0.0,0
47,"1, comaInst",Fiscal year,SeID,0.0,0
48,"1, comaInst",Fiscal year,SeNa,0.0,0
49,"1, comaInst",Fiscal year,SecPer,0.0,0
50,"1, comaInst",Fiscal year,AmSp,0.0,0
51,"1, comaInst",Project number,FiY,0.0,0
52,"1, comaInst",Project number,ProNu,0.0,1
53,"1, comaInst",Project number,Sta,0.0,0
54,"1, comaInst",Project number,MaCIDAContri,0.0,0
55,"1, comaInst",Project number,BraID,0.0,0
56,"1, comaInst",Project number,BraNa,0.0,0
57,"1, comaInst",Project number,DiviID,0.0,0
58,"1, comaInst",Project number,DiNa,0.0,0
59,"1, comaInst",Project number,SectID,0.0,0
60,"1, comaInst",Project number,SeN,0.0,0
61,"1, comaInst",Project number,RegPro,0.0,0
62,"1, comaInst",Project number,FuCeID,0.0,0
63,"1, comaInst",Project number,FuCeN,0.0,0
64,"1, comaInst",Project number,UnAmProBu,0.0,0
65,"1, comaInst",Project number,FSTCPerc,0.0,0
66,"1, comaInst",Project number,IRTCPerc,0.0,0
67,"1, comaInst",Project number,CFLI,0.0,0
68,"1, comaInst",Project number,CIDABuDeliMo,0.0,0
69,"1, comaInst",Project number,ProgrPr,0.0,0
70,"1, comaInst",Project number,BilaAiMa,0.0,0
71,"1, comaInst",Project number,PBAT,0.0,0
72,"1, comaInst",Project number,EnvirSust,0.0,0
73,"1, comaInst",Project number,ClChaAdap,0.0,0
74,"1, comaInst",Project number,CliChaMiti,0.0,0
75,"1, comaInst",Project number,Desertif,0.0,0
76,"1, comaInst",Project number,PartDevAGGov,0.0,0
77,"1, comaInst",Project number,TrDevelo,0.0,0
78,"1, comaInst",Project number,Biodi,0.0,0
79,"1, comaInst",Project number,UrbIs,0.0,0
80,"1, comaInst",Project number,ChilIs,0.0,0
81,"1, comaInst",Project number,YouIs,0.0,0
82,"1, comaInst",Project number,IndigIs,0.0,0
83,"1, comaInst",Project number,DisabIs,0.0,0
84,"1, comaInst",Project number,ICTAATFDevel,0.0,0
85,"1, comaInst",Project number,KnowlFoDevelo,0.0,0
86,"1, comaInst",Project number,GenEqu,0.0,0
87,"1, comaInst",Project number,OrganiID,0.0,0
88,"1, comaInst",Project number,OrgaN,0.0,0
89,"1, comaInst",Project number,OrgaTy,0.0,0
90,"1, comaInst",Project number,OrgCl,0.0,0
91,"1, comaInst",Project number,OrganSu,0.0,0
92,"1, comaInst",Project number,ConID,0.0,0
93,"1, comaInst",Project number,ContN,0.0,0
94,"1, comaInst",Project number,ProjBroCouID,0.0,0
95,"1, comaInst",Project number,CoReID,0.0,0
96,"1, comaInst",Project number,CounRegNa,0.0,0
97,"1, comaInst",Project number,CoRePer,0.0,0
98,"1, comaInst",Project number,SeID,0.0,0
99,"1, comaInst",Project number,SeNa,0.0,0
100,"1, comaInst",Project number,SecPer,0.0,0
101,"1, comaInst",Project number,AmSp,0.0,0
102,"1, comaInst",Status,FiY,0.0,0
103,"1, comaInst",Status,ProNu,0.0,0
104,"1, comaInst",Status,Sta,0.5838846,1
105,"1, comaInst",Status,MaCIDAContri,0.0,0
106,"1, comaInst",Status,BraID,0.0,0
107,"1, comaInst",Status,BraNa,0.0,0
108,"1, comaInst",Status,DiviID,0.0,0
109,"1, comaInst",Status,DiNa,0.0,0
110,"1, comaInst",Status,SectID,0.0,0
111,"1, comaInst",Status,SeN,0.0,0
112,"1, comaInst",Status,RegPro,0.0,0
113,"1, comaInst",Status,FuCeID,0.0,0
114,"1, comaInst",Status,FuCeN,0.0,0
115,"1, comaInst",Status,UnAmProBu,0.0,0
116,"1, comaInst",Status,FSTCPerc,0.0,0
117,"1, comaInst",Status,IRTCPerc,0.0,0
118,"1, comaInst",Status,CFLI,0.0,0
119,"1, comaInst",Status,CIDABuDeliMo,0.0,0
120,"1, comaInst",Status,ProgrPr,0.0,0
121,"1, comaInst",Status,BilaAiMa,0.0,0
