,instance,candName,targName,conf,realConf
0,"1, comaInst",AgencyID,gncd,0.17857623,1
1,"1, comaInst",AgencyID,wnrrntflg,0.0,0
2,"1, comaInst",AgencyID,frstnm,0.0,0
3,"1, comaInst",AgencyID,mrtlstts,0.0,0
4,"1, comaInst",AgencyID,pstlcd,0.0,0
5,"1, comaInst",AgencyID,ntwrth,0.0,0
6,"1, comaInst",AgencyID,phn,0.0,0
7,"1, comaInst",AgencyID,ncm,0.0,0
8,"1, comaInst",AgencyID,nmbrcrs,0.0,0
9,"1, comaInst",AgencyID,nmbrchldrn,0.0,0
10,"1, comaInst",AgencyID,g,0.0,0
11,"1, comaInst",AgencyID,crdtrtng,0.0,0
12,"1, comaInst",AgencyID,mplr,0.0,0
13,"1, comaInst",AgencyID,nmbrcrdtcrds,0.0,0
14,"1, comaInst",OwnOrRentFlag,gncd,0.0,0
15,"1, comaInst",OwnOrRentFlag,wnrrntflg,0.4176754,1
16,"1, comaInst",OwnOrRentFlag,frstnm,0.0,0
17,"1, comaInst",OwnOrRentFlag,mrtlstts,0.0,0
18,"1, comaInst",OwnOrRentFlag,pstlcd,0.0,0
19,"1, comaInst",OwnOrRentFlag,ntwrth,0.0,0
20,"1, comaInst",OwnOrRentFlag,phn,0.0,0
21,"1, comaInst",OwnOrRentFlag,ncm,0.0,0
22,"1, comaInst",OwnOrRentFlag,nmbrcrs,0.0,0
23,"1, comaInst",OwnOrRentFlag,nmbrchldrn,0.0,0
24,"1, comaInst",OwnOrRentFlag,g,0.0,0
25,"1, comaInst",OwnOrRentFlag,crdtrtng,0.0,0
26,"1, comaInst",OwnOrRentFlag,mplr,0.0,0
27,"1, comaInst",OwnOrRentFlag,nmbrcrdtcrds,0.0,0
28,"1, comaInst",FirstName,gncd,0.0,0
29,"1, comaInst",FirstName,wnrrntflg,0.0,0
30,"1, comaInst",FirstName,frstnm,0.25807166,1
31,"1, comaInst",FirstName,mrtlstts,0.0,0
32,"1, comaInst",FirstName,pstlcd,0.0,0
33,"1, comaInst",FirstName,ntwrth,0.0,0
34,"1, comaInst",FirstName,phn,0.0,0
35,"1, comaInst",FirstName,ncm,0.0,0
36,"1, comaInst",FirstName,nmbrcrs,0.0,0
37,"1, comaInst",FirstName,nmbrchldrn,0.0,0
38,"1, comaInst",FirstName,g,0.0,0
39,"1, comaInst",FirstName,crdtrtng,0.0,0
40,"1, comaInst",FirstName,mplr,0.0,0
41,"1, comaInst",FirstName,nmbrcrdtcrds,0.0,0
42,"1, comaInst",MaritalStatus,gncd,0.0,0
43,"1, comaInst",MaritalStatus,wnrrntflg,0.0,0
44,"1, comaInst",MaritalStatus,frstnm,0.0,0
45,"1, comaInst",MaritalStatus,mrtlstts,0.4141795,1
46,"1, comaInst",MaritalStatus,pstlcd,0.0,0
47,"1, comaInst",MaritalStatus,ntwrth,0.0,0
48,"1, comaInst",MaritalStatus,phn,0.0,0
49,"1, comaInst",MaritalStatus,ncm,0.0,0
50,"1, comaInst",MaritalStatus,nmbrcrs,0.0,0
51,"1, comaInst",MaritalStatus,nmbrchldrn,0.0,0
52,"1, comaInst",MaritalStatus,g,0.0,0
53,"1, comaInst",MaritalStatus,crdtrtng,0.0,0
54,"1, comaInst",MaritalStatus,mplr,0.0,0
55,"1, comaInst",MaritalStatus,nmbrcrdtcrds,0.0,0
56,"1, comaInst",PostalCode,gncd,0.0,0
57,"1, comaInst",PostalCode,wnrrntflg,0.0,0
58,"1, comaInst",PostalCode,frstnm,0.0,0
59,"1, comaInst",PostalCode,mrtlstts,0.0,0
60,"1, comaInst",PostalCode,pstlcd,0.0,1
61,"1, comaInst",PostalCode,ntwrth,0.0,0
62,"1, comaInst",PostalCode,phn,0.0,0
63,"1, comaInst",PostalCode,ncm,0.0,0
64,"1, comaInst",PostalCode,nmbrcrs,0.0,0
65,"1, comaInst",PostalCode,nmbrchldrn,0.0,0
66,"1, comaInst",PostalCode,g,0.0,0
67,"1, comaInst",PostalCode,crdtrtng,0.0,0
68,"1, comaInst",PostalCode,mplr,0.0,0
69,"1, comaInst",PostalCode,nmbrcrdtcrds,0.0,0
70,"1, comaInst",NetWorth,gncd,0.0,0
71,"1, comaInst",NetWorth,wnrrntflg,0.0,0
72,"1, comaInst",NetWorth,frstnm,0.0,0
73,"1, comaInst",NetWorth,mrtlstts,0.0,0
74,"1, comaInst",NetWorth,pstlcd,0.0,0
75,"1, comaInst",NetWorth,ntwrth,0.32334748,1
76,"1, comaInst",NetWorth,phn,0.0,0
77,"1, comaInst",NetWorth,ncm,0.0,0
78,"1, comaInst",NetWorth,nmbrcrs,0.0,0
79,"1, comaInst",NetWorth,nmbrchldrn,0.0,0
80,"1, comaInst",NetWorth,g,0.0,0
81,"1, comaInst",NetWorth,crdtrtng,0.0,0
82,"1, comaInst",NetWorth,mplr,0.0,0
83,"1, comaInst",NetWorth,nmbrcrdtcrds,0.0,0
84,"1, comaInst",LastName,gncd,0.0,0
85,"1, comaInst",LastName,wnrrntflg,0.0,0
86,"1, comaInst",LastName,frstnm,0.0,0
87,"1, comaInst",LastName,mrtlstts,0.0,0
88,"1, comaInst",LastName,pstlcd,0.0,0
89,"1, comaInst",LastName,ntwrth,0.0,0
90,"1, comaInst",LastName,phn,0.0,0
91,"1, comaInst",LastName,ncm,0.0,0
92,"1, comaInst",LastName,nmbrcrs,0.0,0
93,"1, comaInst",LastName,nmbrchldrn,0.0,0
94,"1, comaInst",LastName,g,0.0,0
95,"1, comaInst",LastName,crdtrtng,0.0,0
96,"1, comaInst",LastName,mplr,0.0,0
97,"1, comaInst",LastName,nmbrcrdtcrds,0.0,0
98,"1, comaInst",MiddleInitial,gncd,0.0,0
99,"1, comaInst",MiddleInitial,wnrrntflg,0.0,0
100,"1, comaInst",MiddleInitial,frstnm,0.0,0
101,"1, comaInst",MiddleInitial,mrtlstts,0.0,0
102,"1, comaInst",MiddleInitial,pstlcd,0.0,0
