,instance,candName,targName,conf,realConf
0,"1, comaInst",AgencyID,AgencyID,0.76842105,1
1,"1, comaInst",AgencyID,LastName,0.0,0
2,"1, comaInst",AgencyID,FirstName,0.0,0
3,"1, comaInst",AgencyID,MiddleInitial,0.0,0
4,"1, comaInst",AgencyID,Gender,0.0,0
5,"1, comaInst",AgencyID,AddressLine1,0.0,0
6,"1, comaInst",AgencyID,AddressLine2,0.0,0
7,"1, comaInst",AgencyID,PostalCode,0.0,0
8,"1, comaInst",AgencyID,City,0.0,0
9,"1, comaInst",AgencyID,State,0.0,0
10,"1, comaInst",AgencyID,Country,0.0,0
11,"1, comaInst",AgencyID,Phone,0.0,0
12,"1, comaInst",AgencyID,Income,0.0,0
13,"1, comaInst",AgencyID,NumberCars,0.0,0
14,"1, comaInst",AgencyID,NumberChildren,0.0,0
15,"1, comaInst",AgencyID,MaritalStatus,0.0,0
16,"1, comaInst",AgencyID,Age,0.0,0
17,"1, comaInst",AgencyID,CreditRating,0.0,0
18,"1, comaInst",AgencyID,OwnOrRentFlag,0.0,0
19,"1, comaInst",AgencyID,Employer,0.0,0
20,"1, comaInst",AgencyID,NumberCreditCards,0.0,0
21,"1, comaInst",AgencyID,NetWorth,0.0,0
22,"1, comaInst",LastName,AgencyID,0.0,0
23,"1, comaInst",LastName,LastName,0.76842105,1
24,"1, comaInst",LastName,FirstName,0.0,0
25,"1, comaInst",LastName,MiddleInitial,0.0,0
26,"1, comaInst",LastName,Gender,0.0,0
27,"1, comaInst",LastName,AddressLine1,0.0,0
28,"1, comaInst",LastName,AddressLine2,0.0,0
29,"1, comaInst",LastName,PostalCode,0.0,0
30,"1, comaInst",LastName,City,0.0,0
31,"1, comaInst",LastName,State,0.0,0
32,"1, comaInst",LastName,Country,0.0,0
33,"1, comaInst",LastName,Phone,0.0,0
34,"1, comaInst",LastName,Income,0.0,0
35,"1, comaInst",LastName,NumberCars,0.0,0
36,"1, comaInst",LastName,NumberChildren,0.0,0
37,"1, comaInst",LastName,MaritalStatus,0.0,0
38,"1, comaInst",LastName,Age,0.0,0
39,"1, comaInst",LastName,CreditRating,0.0,0
40,"1, comaInst",LastName,OwnOrRentFlag,0.0,0
41,"1, comaInst",LastName,Employer,0.0,0
42,"1, comaInst",LastName,NumberCreditCards,0.0,0
43,"1, comaInst",LastName,NetWorth,0.0,0
44,"1, comaInst",FirstName,AgencyID,0.0,0
45,"1, comaInst",FirstName,LastName,0.0,0
46,"1, comaInst",FirstName,FirstName,0.77,1
47,"1, comaInst",FirstName,MiddleInitial,0.0,0
48,"1, comaInst",FirstName,Gender,0.0,0
49,"1, comaInst",FirstName,AddressLine1,0.0,0
50,"1, comaInst",FirstName,AddressLine2,0.0,0
51,"1, comaInst",FirstName,PostalCode,0.0,0
52,"1, comaInst",FirstName,City,0.0,0
53,"1, comaInst",FirstName,State,0.0,0
54,"1, comaInst",FirstName,Country,0.0,0
55,"1, comaInst",FirstName,Phone,0.0,0
56,"1, comaInst",FirstName,Income,0.0,0
57,"1, comaInst",FirstName,NumberCars,0.0,0
58,"1, comaInst",FirstName,NumberChildren,0.0,0
59,"1, comaInst",FirstName,MaritalStatus,0.0,0
60,"1, comaInst",FirstName,Age,0.0,0
61,"1, comaInst",FirstName,CreditRating,0.0,0
62,"1, comaInst",FirstName,OwnOrRentFlag,0.0,0
63,"1, comaInst",FirstName,Employer,0.0,0
64,"1, comaInst",FirstName,NumberCreditCards,0.0,0
65,"1, comaInst",FirstName,NetWorth,0.0,0
66,"1, comaInst",MiddleInitial,AgencyID,0.0,0
67,"1, comaInst",MiddleInitial,LastName,0.0,0
68,"1, comaInst",MiddleInitial,FirstName,0.0,0
69,"1, comaInst",MiddleInitial,MiddleInitial,0.96781576,1
70,"1, comaInst",MiddleInitial,Gender,0.0,0
71,"1, comaInst",MiddleInitial,AddressLine1,0.0,0
72,"1, comaInst",MiddleInitial,AddressLine2,0.0,0
73,"1, comaInst",MiddleInitial,PostalCode,0.0,0
74,"1, comaInst",MiddleInitial,City,0.0,0
75,"1, comaInst",MiddleInitial,State,0.0,0
76,"1, comaInst",MiddleInitial,Country,0.0,0
77,"1, comaInst",MiddleInitial,Phone,0.0,0
78,"1, comaInst",MiddleInitial,Income,0.0,0
79,"1, comaInst",MiddleInitial,NumberCars,0.0,0
80,"1, comaInst",MiddleInitial,NumberChildren,0.0,0
81,"1, comaInst",MiddleInitial,MaritalStatus,0.0,0
82,"1, comaInst",MiddleInitial,Age,0.0,0
83,"1, comaInst",MiddleInitial,CreditRating,0.0,0
84,"1, comaInst",MiddleInitial,OwnOrRentFlag,0.0,0
85,"1, comaInst",MiddleInitial,Employer,0.0,0
86,"1, comaInst",MiddleInitial,NumberCreditCards,0.0,0
87,"1, comaInst",MiddleInitial,NetWorth,0.0,0
88,"1, comaInst",Gender,AgencyID,0.0,0
89,"1, comaInst",Gender,LastName,0.0,0
90,"1, comaInst",Gender,FirstName,0.0,0
91,"1, comaInst",Gender,MiddleInitial,0.0,0
92,"1, comaInst",Gender,Gender,0.9610421,1
93,"1, comaInst",Gender,AddressLine1,0.0,0
94,"1, comaInst",Gender,AddressLine2,0.0,0
95,"1, comaInst",Gender,PostalCode,0.0,0
96,"1, comaInst",Gender,City,0.0,0
97,"1, comaInst",Gender,State,0.0,0
98,"1, comaInst",Gender,Country,0.0,0
99,"1, comaInst",Gender,Phone,0.0,0
100,"1, comaInst",Gender,Income,0.0,0
101,"1, comaInst",Gender,NumberCars,0.0,0
102,"1, comaInst",Gender,NumberChildren,0.0,0
103,"1, comaInst",Gender,MaritalStatus,0.0,0
104,"1, comaInst",Gender,Age,0.0,0
105,"1, comaInst",Gender,CreditRating,0.0,0
106,"1, comaInst",Gender,OwnOrRentFlag,0.0,0
107,"1, comaInst",Gender,Employer,0.0,0
108,"1, comaInst",Gender,NumberCreditCards,0.0,0
109,"1, comaInst",Gender,NetWorth,0.0,0
110,"1, comaInst",AddressLine1,AgencyID,0.0,0
111,"1, comaInst",AddressLine1,LastName,0.0,0
112,"1, comaInst",AddressLine1,FirstName,0.0,0
113,"1, comaInst",AddressLine1,MiddleInitial,0.0,0
114,"1, comaInst",AddressLine1,Gender,0.0,0
115,"1, comaInst",AddressLine1,AddressLine1,0.773913,1
116,"1, comaInst",AddressLine1,AddressLine2,0.0,0
117,"1, comaInst",AddressLine1,PostalCode,0.0,0
118,"1, comaInst",AddressLine1,City,0.0,0
119,"1, comaInst",AddressLine1,State,0.0,0
120,"1, comaInst",AddressLine1,Country,0.0,0
121,"1, comaInst",AddressLine1,Phone,0.0,0
122,"1, comaInst",AddressLine1,Income,0.0,0
123,"1, comaInst",AddressLine1,NumberCars,0.0,0
124,"1, comaInst",AddressLine1,NumberChildren,0.0,0
125,"1, comaInst",AddressLine1,MaritalStatus,0.0,0
126,"1, comaInst",AddressLine1,Age,0.0,0
127,"1, comaInst",AddressLine1,CreditRating,0.0,0
128,"1, comaInst",AddressLine1,OwnOrRentFlag,0.0,0
129,"1, comaInst",AddressLine1,Employer,0.0,0
130,"1, comaInst",AddressLine1,NumberCreditCards,0.0,0
131,"1, comaInst",AddressLine1,NetWorth,0.0,0
132,"1, comaInst",AddressLine2,AgencyID,0.0,0
133,"1, comaInst",AddressLine2,LastName,0.0,0
134,"1, comaInst",AddressLine2,FirstName,0.0,0
135,"1, comaInst",AddressLine2,MiddleInitial,0.0,0
136,"1, comaInst",AddressLine2,Gender,0.0,0
137,"1, comaInst",AddressLine2,AddressLine1,0.0,0
138,"1, comaInst",AddressLine2,AddressLine2,0.773913,1
139,"1, comaInst",AddressLine2,PostalCode,0.0,0
140,"1, comaInst",AddressLine2,City,0.0,0
141,"1, comaInst",AddressLine2,State,0.0,0
142,"1, comaInst",AddressLine2,Country,0.0,0
143,"1, comaInst",AddressLine2,Phone,0.0,0
144,"1, comaInst",AddressLine2,Income,0.0,0
145,"1, comaInst",AddressLine2,NumberCars,0.0,0
146,"1, comaInst",AddressLine2,NumberChildren,0.0,0
147,"1, comaInst",AddressLine2,MaritalStatus,0.0,0
148,"1, comaInst",AddressLine2,Age,0.0,0
149,"1, comaInst",AddressLine2,CreditRating,0.0,0
150,"1, comaInst",AddressLine2,OwnOrRentFlag,0.0,0
151,"1, comaInst",AddressLine2,Employer,0.0,0
152,"1, comaInst",AddressLine2,NumberCreditCards,0.0,0
153,"1, comaInst",AddressLine2,NetWorth,0.0,0
154,"1, comaInst",PostalCode,AgencyID,0.0,0
155,"1, comaInst",PostalCode,LastName,0.0,0
156,"1, comaInst",PostalCode,FirstName,0.0,0
157,"1, comaInst",PostalCode,MiddleInitial,0.0,0
158,"1, comaInst",PostalCode,Gender,0.0,0
159,"1, comaInst",PostalCode,AddressLine1,0.0,0
160,"1, comaInst",PostalCode,AddressLine2,0.0,0
161,"1, comaInst",PostalCode,PostalCode,0.7714286,1
162,"1, comaInst",PostalCode,City,0.0,0
163,"1, comaInst",PostalCode,State,0.0,0
164,"1, comaInst",PostalCode,Country,0.0,0
165,"1, comaInst",PostalCode,Phone,0.0,0
166,"1, comaInst",PostalCode,Income,0.0,0
167,"1, comaInst",PostalCode,NumberCars,0.0,0
168,"1, comaInst",PostalCode,NumberChildren,0.0,0
169,"1, comaInst",PostalCode,MaritalStatus,0.0,0
170,"1, comaInst",PostalCode,Age,0.0,0
171,"1, comaInst",PostalCode,CreditRating,0.0,0
172,"1, comaInst",PostalCode,OwnOrRentFlag,0.0,0
173,"1, comaInst",PostalCode,Employer,0.0,0
174,"1, comaInst",PostalCode,NumberCreditCards,0.0,0
175,"1, comaInst",PostalCode,NetWorth,0.0,0
176,"1, comaInst",City,AgencyID,0.0,0
177,"1, comaInst",City,LastName,0.0,0
178,"1, comaInst",City,FirstName,0.0,0
179,"1, comaInst",City,MiddleInitial,0.0,0
180,"1, comaInst",City,Gender,0.0,0
181,"1, comaInst",City,AddressLine1,0.0,0
182,"1, comaInst",City,AddressLine2,0.0,0
183,"1, comaInst",City,PostalCode,0.0,0
184,"1, comaInst",City,City,0.95292264,1
185,"1, comaInst",City,State,0.0,0
186,"1, comaInst",City,Country,0.0,0
187,"1, comaInst",City,Phone,0.0,0
188,"1, comaInst",City,Income,0.0,0
189,"1, comaInst",City,NumberCars,0.0,0
190,"1, comaInst",City,NumberChildren,0.0,0
191,"1, comaInst",City,MaritalStatus,0.0,0
192,"1, comaInst",City,Age,0.0,0
193,"1, comaInst",City,CreditRating,0.0,0
194,"1, comaInst",City,OwnOrRentFlag,0.0,0
195,"1, comaInst",City,Employer,0.0,0
196,"1, comaInst",City,NumberCreditCards,0.0,0
197,"1, comaInst",City,NetWorth,0.0,0
198,"1, comaInst",State,AgencyID,0.0,0
199,"1, comaInst",State,LastName,0.0,0
200,"1, comaInst",State,FirstName,0.0,0
201,"1, comaInst",State,MiddleInitial,0.0,0
202,"1, comaInst",State,Gender,0.0,0
203,"1, comaInst",State,AddressLine1,0.0,0
204,"1, comaInst",State,AddressLine2,0.0,0
205,"1, comaInst",State,PostalCode,0.0,0
206,"1, comaInst",State,City,0.0,0
207,"1, comaInst",State,State,0.9589,1
208,"1, comaInst",State,Country,0.0,0
209,"1, comaInst",State,Phone,0.0,0
210,"1, comaInst",State,Income,0.0,0
211,"1, comaInst",State,NumberCars,0.0,0
212,"1, comaInst",State,NumberChildren,0.0,0
213,"1, comaInst",State,MaritalStatus,0.0,0
214,"1, comaInst",State,Age,0.0,0
215,"1, comaInst",State,CreditRating,0.0,0
216,"1, comaInst",State,OwnOrRentFlag,0.0,0
217,"1, comaInst",State,Employer,0.0,0
218,"1, comaInst",State,NumberCreditCards,0.0,0
219,"1, comaInst",State,NetWorth,0.0,0
220,"1, comaInst",Country,AgencyID,0.0,0
221,"1, comaInst",Country,LastName,0.0,0
222,"1, comaInst",Country,FirstName,0.0,0
223,"1, comaInst",Country,MiddleInitial,0.0,0
224,"1, comaInst",Country,Gender,0.0,0
225,"1, comaInst",Country,AddressLine1,0.0,0
226,"1, comaInst",Country,AddressLine2,0.0,0
227,"1, comaInst",Country,PostalCode,0.0,0
228,"1, comaInst",Country,City,0.0,0
229,"1, comaInst",Country,State,0.0,0
230,"1, comaInst",Country,Country,0.9666666,1
231,"1, comaInst",Country,Phone,0.0,0
232,"1, comaInst",Country,Income,0.0,0
233,"1, comaInst",Country,NumberCars,0.0,0
234,"1, comaInst",Country,NumberChildren,0.0,0
235,"1, comaInst",Country,MaritalStatus,0.0,0
236,"1, comaInst",Country,Age,0.0,0
237,"1, comaInst",Country,CreditRating,0.0,0
238,"1, comaInst",Country,OwnOrRentFlag,0.0,0
239,"1, comaInst",Country,Employer,0.0,0
240,"1, comaInst",Country,NumberCreditCards,0.0,0
