,instance,candName,targName,conf,realConf
0,"1, comaInst",Fiscal year,Fiscal year,0.9727273,1
1,"1, comaInst",Fiscal year,Project number,0.0,0
2,"1, comaInst",Fiscal year,Status,0.0,0
3,"1, comaInst",Fiscal year,Maximum CIDA contribution (project-level),0.0,0
4,"1, comaInst",Fiscal year,Branch ID,0.0,0
5,"1, comaInst",Fiscal year,Branch name,0.0,0
6,"1, comaInst",Fiscal year,Division ID,0.0,0
7,"1, comaInst",Fiscal year,Division name,0.0,0
8,"1, comaInst",Fiscal year,Section ID,0.0,0
9,"1, comaInst",Fiscal year,Section name,0.0,0
10,"1, comaInst",Fiscal year,Regional program (marker),0.0,0
11,"1, comaInst",Fiscal year,Fund centre ID,0.0,0
12,"1, comaInst",Fiscal year,Fund centre name,0.0,0
13,"1, comaInst",Fiscal year,Untied amount(Project-level budget),0.0,0
14,"1, comaInst",Fiscal year,FSTC percent,0.0,0
15,"1, comaInst",Fiscal year,IRTC percent,0.0,0
16,"1, comaInst",Fiscal year,CFLI (marker),0.0,0
17,"1, comaInst",Fiscal year,CIDA business delivery model (old),0.0,0
18,"1, comaInst",Fiscal year,Programming process (new),0.0,0
19,"1, comaInst",Fiscal year,Bilateral aid (international marker),0.0,0
20,"1, comaInst",Fiscal year,PBA type,0.0,0
21,"1, comaInst",Fiscal year,Enviromental sustainability (marker),0.0,0
22,"1, comaInst",Fiscal year,Climate change adaptation (marker),0.0,0
23,"1, comaInst",Fiscal year,Climate change mitigation (marker),0.0,0
24,"1, comaInst",Fiscal year,Desertification (marker),0.0,0
25,"1, comaInst",Fiscal year,Participatory development and good governance,0.0,0
26,"1, comaInst",Fiscal year,Trade development (marker),0.0,0
27,"1, comaInst",Fiscal year,Biodiversity (marker),0.0,0
28,"1, comaInst",Fiscal year,Urban issues (marker),0.0,0
29,"1, comaInst",Fiscal year,Children issues (marker),0.0,0
30,"1, comaInst",Fiscal year,Youth issues (marker),0.0,0
31,"1, comaInst",Fiscal year,Indigenous issues (marker),0.0,0
32,"1, comaInst",Fiscal year,Disability issues (marker),0.0,0
33,"1, comaInst",Fiscal year,ICT as a tool for development (marker),0.0,0
34,"1, comaInst",Fiscal year,Knowledge for development (marker),0.0,0
35,"1, comaInst",Fiscal year,Gender equality (marker),0.0,0
36,"1, comaInst",Fiscal year,Organisation ID,0.0,0
37,"1, comaInst",Fiscal year,Organisation name,0.0,0
38,"1, comaInst",Fiscal year,Organisation type,0.0,0
39,"1, comaInst",Fiscal year,Organisation class,0.0,0
40,"1, comaInst",Fiscal year,Organisation sub-class,0.0,0
41,"1, comaInst",Fiscal year,Continent ID,0.0,0
42,"1, comaInst",Fiscal year,Continent name,0.0,0
43,"1, comaInst",Fiscal year,Project Browser country ID,0.0,0
44,"1, comaInst",Fiscal year,CountryRegion ID,0.0,0
45,"1, comaInst",Fiscal year,CountryRegion name,0.0,0
46,"1, comaInst",Fiscal year,CountryRegion percent,0.0,0
47,"1, comaInst",Fiscal year,Sector ID,0.0,0
48,"1, comaInst",Fiscal year,Sector name,0.0,0
49,"1, comaInst",Fiscal year,Sector percent,0.0,0
50,"1, comaInst",Fiscal year,Amount spent,0.0,0
51,"1, comaInst",Project number,Fiscal year,0.0,0
52,"1, comaInst",Project number,Project number,0.776,1
53,"1, comaInst",Project number,Status,0.0,0
54,"1, comaInst",Project number,Maximum CIDA contribution (project-level),0.0,0
55,"1, comaInst",Project number,Branch ID,0.0,0
56,"1, comaInst",Project number,Branch name,0.0,0
57,"1, comaInst",Project number,Division ID,0.0,0
58,"1, comaInst",Project number,Division name,0.0,0
59,"1, comaInst",Project number,Section ID,0.0,0
60,"1, comaInst",Project number,Section name,0.0,0
61,"1, comaInst",Project number,Regional program (marker),0.0,0
62,"1, comaInst",Project number,Fund centre ID,0.0,0
63,"1, comaInst",Project number,Fund centre name,0.0,0
64,"1, comaInst",Project number,Untied amount(Project-level budget),0.0,0
65,"1, comaInst",Project number,FSTC percent,0.0,0
