,instance,candName,targName,conf,realConf
0,"1, comaInst",AgencyID,AgeID,0.4334341,1
1,"1, comaInst",AgencyID,LaN,0.0,0
2,"1, comaInst",AgencyID,FiN,0.0,0
3,"1, comaInst",AgencyID,MidInit,0.0,0
4,"1, comaInst",AgencyID,Ge,0.0,0
5,"1, comaInst",AgencyID,AdL1,0.0,0
6,"1, comaInst",AgencyID,AdLi2,0.0,0
7,"1, comaInst",AgencyID,PosC,0.0,0
8,"1, comaInst",AgencyID,Ci,0.0,0
9,"1, comaInst",AgencyID,Sta,0.0,0
10,"1, comaInst",AgencyID,Coun,0.0,0
11,"1, comaInst",AgencyID,Ph,0.0,0
12,"1, comaInst",AgencyID,Inc,0.0,0
13,"1, comaInst",AgencyID,NumC,0.0,0
14,"1, comaInst",AgencyID,NuCh,0.0,0
15,"1, comaInst",AgencyID,MariSta,0.0,0
16,"1, comaInst",AgencyID,Ag,0.0,0
17,"1, comaInst",AgencyID,CrRat,0.0,0
18,"1, comaInst",AgencyID,OOReFl,0.0,0
19,"1, comaInst",AgencyID,Em,0.0,0
20,"1, comaInst",AgencyID,NuCreCa,0.0,0
21,"1, comaInst",AgencyID,NeWo,0.0,0
22,"1, comaInst",LastName,AgeID,0.0,0
23,"1, comaInst",LastName,LaN,0.27606204,1
24,"1, comaInst",LastName,FiN,0.0,0
25,"1, comaInst",LastName,MidInit,0.0,0
26,"1, comaInst",LastName,Ge,0.0,0
27,"1, comaInst",LastName,AdL1,0.0,0
28,"1, comaInst",LastName,AdLi2,0.0,0
29,"1, comaInst",LastName,PosC,0.0,0
30,"1, comaInst",LastName,Ci,0.0,0
31,"1, comaInst",LastName,Sta,0.0,0
32,"1, comaInst",LastName,Coun,0.0,0
33,"1, comaInst",LastName,Ph,0.0,0
34,"1, comaInst",LastName,Inc,0.0,0
35,"1, comaInst",LastName,NumC,0.0,0
36,"1, comaInst",LastName,NuCh,0.0,0
37,"1, comaInst",LastName,MariSta,0.0,0
38,"1, comaInst",LastName,Ag,0.0,0
39,"1, comaInst",LastName,CrRat,0.0,0
40,"1, comaInst",LastName,OOReFl,0.0,0
41,"1, comaInst",LastName,Em,0.0,0
42,"1, comaInst",LastName,NuCreCa,0.0,0
43,"1, comaInst",LastName,NeWo,0.0,0
44,"1, comaInst",FirstName,AgeID,0.0,0
45,"1, comaInst",FirstName,LaN,0.0,0
46,"1, comaInst",FirstName,FiN,0.26654333,1
47,"1, comaInst",FirstName,MidInit,0.0,0
48,"1, comaInst",FirstName,Ge,0.0,0
49,"1, comaInst",FirstName,AdL1,0.0,0
50,"1, comaInst",FirstName,AdLi2,0.0,0
51,"1, comaInst",FirstName,PosC,0.0,0
52,"1, comaInst",FirstName,Ci,0.0,0
53,"1, comaInst",FirstName,Sta,0.0,0
54,"1, comaInst",FirstName,Coun,0.0,0
55,"1, comaInst",FirstName,Ph,0.0,0
56,"1, comaInst",FirstName,Inc,0.0,0
