,instance,candName,targName,conf,realConf
0,"1, comaInst",AgencyID,AgID,0.3853262,1
1,"1, comaInst",AgencyID,LaNa,0.0,0
2,"1, comaInst",AgencyID,FirN,0.0,0
3,"1, comaInst",AgencyID,MiIn,0.0,0
4,"1, comaInst",AgencyID,Ge,0.0,0
5,"1, comaInst",AgencyID,AddrLi1,0.0,0
6,"1, comaInst",AgencyID,AddLi2,0.0,0
7,"1, comaInst",AgencyID,PoCo,0.0,0
8,"1, comaInst",AgencyID,Ci,0.0,0
9,"1, comaInst",AgencyID,St,0.0,0
10,"1, comaInst",AgencyID,Co,0.0,0
11,"1, comaInst",AgencyID,Pho,0.0,0
12,"1, comaInst",AgencyID,Inc,0.0,0
13,"1, comaInst",AgencyID,NuCa,0.0,0
14,"1, comaInst",AgencyID,NumCh,0.0,0
15,"1, comaInst",AgencyID,MaSta,0.0,0
16,"1, comaInst",AgencyID,Ag,0.0,0
17,"1, comaInst",AgencyID,CreRa,0.0,0
18,"1, comaInst",AgencyID,OORFl,0.0,0
19,"1, comaInst",AgencyID,Em,0.0,0
20,"1, comaInst",AgencyID,NumCreCa,0.0,0
21,"1, comaInst",AgencyID,NWo,0.0,0
22,"1, comaInst",LastName,AgID,0.0,0
23,"1, comaInst",LastName,LaNa,0.26179677,1
24,"1, comaInst",LastName,FirN,0.0,0
25,"1, comaInst",LastName,MiIn,0.0,0
26,"1, comaInst",LastName,Ge,0.0,0
27,"1, comaInst",LastName,AddrLi1,0.0,0
28,"1, comaInst",LastName,AddLi2,0.0,0
29,"1, comaInst",LastName,PoCo,0.0,0
30,"1, comaInst",LastName,Ci,0.0,0
31,"1, comaInst",LastName,St,0.0,0
32,"1, comaInst",LastName,Co,0.0,0
33,"1, comaInst",LastName,Pho,0.0,0
34,"1, comaInst",LastName,Inc,0.0,0
35,"1, comaInst",LastName,NuCa,0.0,0
36,"1, comaInst",LastName,NumCh,0.0,0
37,"1, comaInst",LastName,MaSta,0.0,0
