source,target,des1,des2,label
assay_id,assay_id,This column serves as a unique identifier for each assay. It is of integer datatype facilitating easy referencing and identification,A distinct identification number assigned to each assay aiding in its individualization and traceability.,1
assay_id,doc_id,This column serves as a unique identifier for each assay. It is of integer datatype facilitating easy referencing and identification,A numerical tag linking the assay to a specific document or source facilitating seamless cross-referencing.,0
assay_id,confidence_score,This column serves as a unique identifier for each assay. It is of integer datatype facilitating easy referencing and identification,A numerical score indicating the level of confidence associated with the assay results offering insights into result reliability.,0
assay_id,assay_strain,This column serves as a unique identifier for each assay. It is of integer datatype facilitating easy referencing and identification,Specifies the specific strain of the assay organism providing additional biological nuances.,0
assay_id,cell_id,This column serves as a unique identifier for each assay. It is of integer datatype facilitating easy referencing and identification,A unique identifier for the cell line used in the assay facilitating specific referencing to the cellular context.,0
assay_id,assay_category,This column serves as a unique identifier for each assay. It is of integer datatype facilitating easy referencing and identification,Categorization denoting whether the assay pertains to binding (B) or functional (F) aspects.,0
assay_id,curated_by,This column serves as a unique identifier for each assay. It is of integer datatype facilitating easy referencing and identification,Specifies the entity or individual responsible for curating the assay data ensuring accountability.,0
assay_id,tissue_id,This column serves as a unique identifier for each assay. It is of integer datatype facilitating easy referencing and identification,A unique identifier for the tissue involved in the assay contributing to precise referencing within the context of the experiment.,0
assay_id,assay_cell_type,This column serves as a unique identifier for each assay. It is of integer datatype facilitating easy referencing and identification,Describes the specific cell type used in the assay enriching the information about the cellular context.,0
assay_id,assay_tissue,This column serves as a unique identifier for each assay. It is of integer datatype facilitating easy referencing and identification,Indicates the type of tissue under study in the assay contributing to a deeper understanding of the biological system.,0
assay_id,assay_tax_id,This column serves as a unique identifier for each assay. It is of integer datatype facilitating easy referencing and identification,A numerical identifier representing the taxonomic classification of the assay organism aiding in systematic categorization.,0
assay_id,relationship_type,This column serves as a unique identifier for each assay. It is of integer datatype facilitating easy referencing and identification,Describes the nature of the relationship between the compound and the biological target providing contextual details.,0
assay_id,src_id,This column serves as a unique identifier for each assay. It is of integer datatype facilitating easy referencing and identification,A numerical identifier for the source of the data aiding in source-specific referencing.,0
assay_id,src_assay_id,This column serves as a unique identifier for each assay. It is of integer datatype facilitating easy referencing and identification,A unique identifier within the source offering a specific reference to the assay.,0
assay_id,chembl_id,This column serves as a unique identifier for each assay. It is of integer datatype facilitating easy referencing and identification,A unique identifier within the ChEMBL database providing a distinct reference for the assay data within this repository.,0
assay_id,bao_format,This column serves as a unique identifier for each assay. It is of integer datatype facilitating easy referencing and identification,Specifies the format of the BioAssay Ontology (BAO) used in the assay aiding in standardization and interoperability.,0
assay_id,variant_id,This column serves as a unique identifier for each assay. It is of integer datatype facilitating easy referencing and identification,An identification number for any genetic variants considered in the assay offering insights into the genetic diversity accounted for.,0
doc_id,assay_id,The document identifier associated with the assay. It is an integer datatype linking the assay to a specific document or source.,A distinct identification number assigned to each assay aiding in its individualization and traceability.,0
doc_id,doc_id,The document identifier associated with the assay. It is an integer datatype linking the assay to a specific document or source.,A numerical tag linking the assay to a specific document or source facilitating seamless cross-referencing.,1
doc_id,confidence_score,The document identifier associated with the assay. It is an integer datatype linking the assay to a specific document or source.,A numerical score indicating the level of confidence associated with the assay results offering insights into result reliability.,0
doc_id,assay_strain,The document identifier associated with the assay. It is an integer datatype linking the assay to a specific document or source.,Specifies the specific strain of the assay organism providing additional biological nuances.,0
doc_id,cell_id,The document identifier associated with the assay. It is an integer datatype linking the assay to a specific document or source.,A unique identifier for the cell line used in the assay facilitating specific referencing to the cellular context.,0
doc_id,assay_category,The document identifier associated with the assay. It is an integer datatype linking the assay to a specific document or source.,Categorization denoting whether the assay pertains to binding (B) or functional (F) aspects.,0
doc_id,curated_by,The document identifier associated with the assay. It is an integer datatype linking the assay to a specific document or source.,Specifies the entity or individual responsible for curating the assay data ensuring accountability.,0
doc_id,tissue_id,The document identifier associated with the assay. It is an integer datatype linking the assay to a specific document or source.,A unique identifier for the tissue involved in the assay contributing to precise referencing within the context of the experiment.,0
doc_id,assay_cell_type,The document identifier associated with the assay. It is an integer datatype linking the assay to a specific document or source.,Describes the specific cell type used in the assay enriching the information about the cellular context.,0
doc_id,assay_tissue,The document identifier associated with the assay. It is an integer datatype linking the assay to a specific document or source.,Indicates the type of tissue under study in the assay contributing to a deeper understanding of the biological system.,0
doc_id,assay_tax_id,The document identifier associated with the assay. It is an integer datatype linking the assay to a specific document or source.,A numerical identifier representing the taxonomic classification of the assay organism aiding in systematic categorization.,0
doc_id,relationship_type,The document identifier associated with the assay. It is an integer datatype linking the assay to a specific document or source.,Describes the nature of the relationship between the compound and the biological target providing contextual details.,0
doc_id,src_id,The document identifier associated with the assay. It is an integer datatype linking the assay to a specific document or source.,A numerical identifier for the source of the data aiding in source-specific referencing.,0
doc_id,src_assay_id,The document identifier associated with the assay. It is an integer datatype linking the assay to a specific document or source.,A unique identifier within the source offering a specific reference to the assay.,0
doc_id,chembl_id,The document identifier associated with the assay. It is an integer datatype linking the assay to a specific document or source.,A unique identifier within the ChEMBL database providing a distinct reference for the assay data within this repository.,0
doc_id,bao_format,The document identifier associated with the assay. It is an integer datatype linking the assay to a specific document or source.,Specifies the format of the BioAssay Ontology (BAO) used in the assay aiding in standardization and interoperability.,0
doc_id,variant_id,The document identifier associated with the assay. It is an integer datatype linking the assay to a specific document or source.,An identification number for any genetic variants considered in the assay offering insights into the genetic diversity accounted for.,0
confidence_score,assay_id,Represents the confidence level associated with the assay results. It is an integer datatype quantifying the reliability of the data.,A distinct identification number assigned to each assay aiding in its individualization and traceability.,0
confidence_score,doc_id,Represents the confidence level associated with the assay results. It is an integer datatype quantifying the reliability of the data.,A numerical tag linking the assay to a specific document or source facilitating seamless cross-referencing.,0
confidence_score,confidence_score,Represents the confidence level associated with the assay results. It is an integer datatype quantifying the reliability of the data.,A numerical score indicating the level of confidence associated with the assay results offering insights into result reliability.,1
confidence_score,assay_strain,Represents the confidence level associated with the assay results. It is an integer datatype quantifying the reliability of the data.,Specifies the specific strain of the assay organism providing additional biological nuances.,0
confidence_score,cell_id,Represents the confidence level associated with the assay results. It is an integer datatype quantifying the reliability of the data.,A unique identifier for the cell line used in the assay facilitating specific referencing to the cellular context.,0
confidence_score,assay_category,Represents the confidence level associated with the assay results. It is an integer datatype quantifying the reliability of the data.,Categorization denoting whether the assay pertains to binding (B) or functional (F) aspects.,0
confidence_score,curated_by,Represents the confidence level associated with the assay results. It is an integer datatype quantifying the reliability of the data.,Specifies the entity or individual responsible for curating the assay data ensuring accountability.,0
confidence_score,tissue_id,Represents the confidence level associated with the assay results. It is an integer datatype quantifying the reliability of the data.,A unique identifier for the tissue involved in the assay contributing to precise referencing within the context of the experiment.,0
confidence_score,assay_cell_type,Represents the confidence level associated with the assay results. It is an integer datatype quantifying the reliability of the data.,Describes the specific cell type used in the assay enriching the information about the cellular context.,0
confidence_score,assay_tissue,Represents the confidence level associated with the assay results. It is an integer datatype quantifying the reliability of the data.,Indicates the type of tissue under study in the assay contributing to a deeper understanding of the biological system.,0
confidence_score,assay_tax_id,Represents the confidence level associated with the assay results. It is an integer datatype quantifying the reliability of the data.,A numerical identifier representing the taxonomic classification of the assay organism aiding in systematic categorization.,0
confidence_score,relationship_type,Represents the confidence level associated with the assay results. It is an integer datatype quantifying the reliability of the data.,Describes the nature of the relationship between the compound and the biological target providing contextual details.,0
confidence_score,src_id,Represents the confidence level associated with the assay results. It is an integer datatype quantifying the reliability of the data.,A numerical identifier for the source of the data aiding in source-specific referencing.,0
confidence_score,src_assay_id,Represents the confidence level associated with the assay results. It is an integer datatype quantifying the reliability of the data.,A unique identifier within the source offering a specific reference to the assay.,0
confidence_score,chembl_id,Represents the confidence level associated with the assay results. It is an integer datatype quantifying the reliability of the data.,A unique identifier within the ChEMBL database providing a distinct reference for the assay data within this repository.,0
confidence_score,bao_format,Represents the confidence level associated with the assay results. It is an integer datatype quantifying the reliability of the data.,Specifies the format of the BioAssay Ontology (BAO) used in the assay aiding in standardization and interoperability.,0
confidence_score,variant_id,Represents the confidence level associated with the assay results. It is an integer datatype quantifying the reliability of the data.,An identification number for any genetic variants considered in the assay offering insights into the genetic diversity accounted for.,0
assay_strain,assay_id,Indicates the specific strain of the assay organism providing additional details about the biological context. It is of string datatype.,A distinct identification number assigned to each assay aiding in its individualization and traceability.,0
assay_strain,doc_id,Indicates the specific strain of the assay organism providing additional details about the biological context. It is of string datatype.,A numerical tag linking the assay to a specific document or source facilitating seamless cross-referencing.,0
assay_strain,confidence_score,Indicates the specific strain of the assay organism providing additional details about the biological context. It is of string datatype.,A numerical score indicating the level of confidence associated with the assay results offering insights into result reliability.,0
assay_strain,assay_strain,Indicates the specific strain of the assay organism providing additional details about the biological context. It is of string datatype.,Specifies the specific strain of the assay organism providing additional biological nuances.,1
assay_strain,cell_id,Indicates the specific strain of the assay organism providing additional details about the biological context. It is of string datatype.,A unique identifier for the cell line used in the assay facilitating specific referencing to the cellular context.,0
assay_strain,assay_category,Indicates the specific strain of the assay organism providing additional details about the biological context. It is of string datatype.,Categorization denoting whether the assay pertains to binding (B) or functional (F) aspects.,0
assay_strain,curated_by,Indicates the specific strain of the assay organism providing additional details about the biological context. It is of string datatype.,Specifies the entity or individual responsible for curating the assay data ensuring accountability.,0
assay_strain,tissue_id,Indicates the specific strain of the assay organism providing additional details about the biological context. It is of string datatype.,A unique identifier for the tissue involved in the assay contributing to precise referencing within the context of the experiment.,0
assay_strain,assay_cell_type,Indicates the specific strain of the assay organism providing additional details about the biological context. It is of string datatype.,Describes the specific cell type used in the assay enriching the information about the cellular context.,0
assay_strain,assay_tissue,Indicates the specific strain of the assay organism providing additional details about the biological context. It is of string datatype.,Indicates the type of tissue under study in the assay contributing to a deeper understanding of the biological system.,0
assay_strain,assay_tax_id,Indicates the specific strain of the assay organism providing additional details about the biological context. It is of string datatype.,A numerical identifier representing the taxonomic classification of the assay organism aiding in systematic categorization.,0
assay_strain,relationship_type,Indicates the specific strain of the assay organism providing additional details about the biological context. It is of string datatype.,Describes the nature of the relationship between the compound and the biological target providing contextual details.,0
