source,target,des1,des2,label
Fiscal year,miller2_FiYe,The fiscal year during which the project was active.,The financial year in which the project was conducted.,1
Fiscal year,miller2_TrDevel,The fiscal year during which the project was active.,A marker denoting the project's involvement in trade development.,0
Fiscal year,miller2_Bio,The fiscal year during which the project was active.,A marker indicating the project's contribution to biodiversity.,0
Fiscal year,miller2_UrbIss,The fiscal year during which the project was active.,A marker representing the project's focus on urban issues.,0
Fiscal year,miller2_ChiIss,The fiscal year during which the project was active.,A marker indicating the project's concern for children's issues.,0
Fiscal year,miller2_YouIss,The fiscal year during which the project was active.,A marker signifying the project's attention to youth-related matters.,0
Fiscal year,miller2_IndIs,The fiscal year during which the project was active.,A marker denoting the project's involvement in indigenous issues.,0
Fiscal year,miller2_DisaIss,The fiscal year during which the project was active.,A marker indicating the project's focus on disability-related concerns.,0
Fiscal year,miller2_ICTAAToFoDeve,The fiscal year during which the project was active.,A marker signifying the project's use of Information and Communication Technology for development.,0
Fiscal year,miller2_KnowFoDev,The fiscal year during which the project was active.,A marker representing the project's contribution to knowledge for development.,0
Fiscal year,miller2_GeEq,The fiscal year during which the project was active.,A marker indicating the project's commitment to promoting gender equality.,0
Fiscal year,miller2_OrgID,The fiscal year during which the project was active.,The unique identifier for the organization associated with the project.,0
Fiscal year,miller2_OrganNa,The fiscal year during which the project was active.,The official name of the organization linked to the project.,0
Fiscal year,miller2_OrganiTy,The fiscal year during which the project was active.,The type of organization involved in the project.,0
Fiscal year,miller2_OrgaCl,The fiscal year during which the project was active.,The class to which the organization belongs.,0
Fiscal year,miller2_OrganiSu,The fiscal year during which the project was active.,A more specific classification within the organization class.,0
Fiscal year,miller2_ContiID,The fiscal year during which the project was active.,The unique code for the continent associated with the project.,0
Fiscal year,miller2_ContiNa,The fiscal year during which the project was active.,The name of the continent linked to the project.,0
Fiscal year,miller2_ProjBrowCouID,The fiscal year during which the project was active.,The unique identifier for the country associated with the project.,0
Fiscal year,miller2_CoReID,The fiscal year during which the project was active.,The identification code for the country or region related to the project.,0
Fiscal year,miller2_CounReNa,The fiscal year during which the project was active.,The name of the country or region connected to the project.,0
Fiscal year,miller2_CouRePer,The fiscal year during which the project was active.,The percentage of the project associated with the country or region.,0
Fiscal year,miller2_SecID,The fiscal year during which the project was active.,A specific code assigned to the section managing the project.,0
Fiscal year,miller2_SecN,The fiscal year during which the project was active.,The name designating the section overseeing the project.,0
Fiscal year,miller2_SecPe,The fiscal year during which the project was active.,The percentage of the project linked to the sector.,0
Fiscal year,miller2_AmSpe,The fiscal year during which the project was active.,The total expenditure incurred on the project.,0
Project number,miller2_FiYe,A unique identifier for each project.,The financial year in which the project was conducted.,0
Project number,miller2_TrDevel,A unique identifier for each project.,A marker denoting the project's involvement in trade development.,0
Project number,miller2_Bio,A unique identifier for each project.,A marker indicating the project's contribution to biodiversity.,0
Project number,miller2_UrbIss,A unique identifier for each project.,A marker representing the project's focus on urban issues.,0
Project number,miller2_ChiIss,A unique identifier for each project.,A marker indicating the project's concern for children's issues.,0
Project number,miller2_YouIss,A unique identifier for each project.,A marker signifying the project's attention to youth-related matters.,0
Project number,miller2_IndIs,A unique identifier for each project.,A marker denoting the project's involvement in indigenous issues.,0
Project number,miller2_DisaIss,A unique identifier for each project.,A marker indicating the project's focus on disability-related concerns.,0
Project number,miller2_ICTAAToFoDeve,A unique identifier for each project.,A marker signifying the project's use of Information and Communication Technology for development.,0
Project number,miller2_KnowFoDev,A unique identifier for each project.,A marker representing the project's contribution to knowledge for development.,0
Project number,miller2_GeEq,A unique identifier for each project.,A marker indicating the project's commitment to promoting gender equality.,0
Project number,miller2_OrgID,A unique identifier for each project.,The unique identifier for the organization associated with the project.,0
Project number,miller2_OrganNa,A unique identifier for each project.,The official name of the organization linked to the project.,0
Project number,miller2_OrganiTy,A unique identifier for each project.,The type of organization involved in the project.,0
Project number,miller2_OrgaCl,A unique identifier for each project.,The class to which the organization belongs.,0
Project number,miller2_OrganiSu,A unique identifier for each project.,A more specific classification within the organization class.,0
Project number,miller2_ContiID,A unique identifier for each project.,The unique code for the continent associated with the project.,0
Project number,miller2_ContiNa,A unique identifier for each project.,The name of the continent linked to the project.,0
Project number,miller2_ProjBrowCouID,A unique identifier for each project.,The unique identifier for the country associated with the project.,0
Project number,miller2_CoReID,A unique identifier for each project.,The identification code for the country or region related to the project.,0
Project number,miller2_CounReNa,A unique identifier for each project.,The name of the country or region connected to the project.,0
Project number,miller2_CouRePer,A unique identifier for each project.,The percentage of the project associated with the country or region.,0
Project number,miller2_SecID,A unique identifier for each project.,A specific code assigned to the section managing the project.,0
Project number,miller2_SecN,A unique identifier for each project.,The name designating the section overseeing the project.,0
Project number,miller2_SecPe,A unique identifier for each project.,The percentage of the project linked to the sector.,0
Project number,miller2_AmSpe,A unique identifier for each project.,The total expenditure incurred on the project.,0
Status,miller2_FiYe,Indicates the current status of the project,The financial year in which the project was conducted.,0
Status,miller2_TrDevel,Indicates the current status of the project,A marker denoting the project's involvement in trade development.,0
Status,miller2_Bio,Indicates the current status of the project,A marker indicating the project's contribution to biodiversity.,0
Status,miller2_UrbIss,Indicates the current status of the project,A marker representing the project's focus on urban issues.,0
Status,miller2_ChiIss,Indicates the current status of the project,A marker indicating the project's concern for children's issues.,0
Status,miller2_YouIss,Indicates the current status of the project,A marker signifying the project's attention to youth-related matters.,0
Status,miller2_IndIs,Indicates the current status of the project,A marker denoting the project's involvement in indigenous issues.,0
Status,miller2_DisaIss,Indicates the current status of the project,A marker indicating the project's focus on disability-related concerns.,0
Status,miller2_ICTAAToFoDeve,Indicates the current status of the project,A marker signifying the project's use of Information and Communication Technology for development.,0
Status,miller2_KnowFoDev,Indicates the current status of the project,A marker representing the project's contribution to knowledge for development.,0
Status,miller2_GeEq,Indicates the current status of the project,A marker indicating the project's commitment to promoting gender equality.,0
Status,miller2_OrgID,Indicates the current status of the project,The unique identifier for the organization associated with the project.,0
Status,miller2_OrganNa,Indicates the current status of the project,The official name of the organization linked to the project.,0
Status,miller2_OrganiTy,Indicates the current status of the project,The type of organization involved in the project.,0
Status,miller2_OrgaCl,Indicates the current status of the project,The class to which the organization belongs.,0
Status,miller2_OrganiSu,Indicates the current status of the project,A more specific classification within the organization class.,0
Status,miller2_ContiID,Indicates the current status of the project,The unique code for the continent associated with the project.,0
Status,miller2_ContiNa,Indicates the current status of the project,The name of the continent linked to the project.,0
Status,miller2_ProjBrowCouID,Indicates the current status of the project,The unique identifier for the country associated with the project.,0
Status,miller2_CoReID,Indicates the current status of the project,The identification code for the country or region related to the project.,0
Status,miller2_CounReNa,Indicates the current status of the project,The name of the country or region connected to the project.,0
Status,miller2_CouRePer,Indicates the current status of the project,The percentage of the project associated with the country or region.,0
Status,miller2_SecID,Indicates the current status of the project,A specific code assigned to the section managing the project.,0
Status,miller2_SecN,Indicates the current status of the project,The name designating the section overseeing the project.,0
Status,miller2_SecPe,Indicates the current status of the project,The percentage of the project linked to the sector.,0
Status,miller2_AmSpe,Indicates the current status of the project,The total expenditure incurred on the project.,0
Maximum CIDA contribution (project-level),miller2_FiYe,The maximum financial contribution from CIDA (Canadian International Development Agency) for the project.,The financial year in which the project was conducted.,0
Maximum CIDA contribution (project-level),miller2_TrDevel,The maximum financial contribution from CIDA (Canadian International Development Agency) for the project.,A marker denoting the project's involvement in trade development.,0
Maximum CIDA contribution (project-level),miller2_Bio,The maximum financial contribution from CIDA (Canadian International Development Agency) for the project.,A marker indicating the project's contribution to biodiversity.,0
Maximum CIDA contribution (project-level),miller2_UrbIss,The maximum financial contribution from CIDA (Canadian International Development Agency) for the project.,A marker representing the project's focus on urban issues.,0
Maximum CIDA contribution (project-level),miller2_ChiIss,The maximum financial contribution from CIDA (Canadian International Development Agency) for the project.,A marker indicating the project's concern for children's issues.,0
Maximum CIDA contribution (project-level),miller2_YouIss,The maximum financial contribution from CIDA (Canadian International Development Agency) for the project.,A marker signifying the project's attention to youth-related matters.,0
Maximum CIDA contribution (project-level),miller2_IndIs,The maximum financial contribution from CIDA (Canadian International Development Agency) for the project.,A marker denoting the project's involvement in indigenous issues.,0
