source,target,des1,des2,label
Fiscal year,Fiscal year,The fiscal year during which the project was active.,The financial year in which the project was conducted.,1
Fiscal year,Biodiversity (marker),The fiscal year during which the project was active.,A marker indicating the project's contribution to biodiversity.,0
Fiscal year,Bilateral aid (international marker),The fiscal year during which the project was active.,An indication of whether the project involves bilateral aid.,0
Fiscal year,Regional program (marker),The fiscal year during which the project was active.,An indication of whether the project is part of a regional program.,0
Fiscal year,PBA type,The fiscal year during which the project was active.,The type of Project-Based Agreement governing the project.,0
Fiscal year,Section name,The fiscal year during which the project was active.,The name designating the section overseeing the project.,0
Fiscal year,FSTC percent,The fiscal year during which the project was active.,The percentage of the project budget attributed to Field Support Technology and Communication.,0
Fiscal year,Climate change mitigation (marker),The fiscal year during which the project was active.,A marker signifying the project's contribution to climate change mitigation.,0
Fiscal year,Organisation type,The fiscal year during which the project was active.,The type of organization involved in the project.,0
Fiscal year,Branch name,The fiscal year during which the project was active.,The title of the branch responsible for project management.,0
Fiscal year,Organisation sub-class,The fiscal year during which the project was active.,A more specific classification within the organization class.,0
Fiscal year,CountryRegion ID,The fiscal year during which the project was active.,The identification code for the country or region related to the project.,0
Fiscal year,Status,The fiscal year during which the project was active.,The current state or phase of the project.,0
Fiscal year,Amount spent,The fiscal year during which the project was active.,The total expenditure incurred on the project.,0
Fiscal year,Continent ID,The fiscal year during which the project was active.,The unique code for the continent associated with the project.,0
Fiscal year,Urban issues (marker),The fiscal year during which the project was active.,A marker representing the project's focus on urban issues.,0
Fiscal year,Children issues (marker),The fiscal year during which the project was active.,A marker indicating the project's concern for children's issues.,0
Fiscal year,Youth issues (marker),The fiscal year during which the project was active.,A marker signifying the project's attention to youth-related matters.,0
Fiscal year,Indigenous issues (marker),The fiscal year during which the project was active.,A marker denoting the project's involvement in indigenous issues.,0
Fiscal year,Disability issues (marker),The fiscal year during which the project was active.,A marker indicating the project's focus on disability-related concerns.,0
Fiscal year,ICT as a tool for development (marker),The fiscal year during which the project was active.,A marker signifying the project's use of Information and Communication Technology for development.,0
Fiscal year,Knowledge for development (marker),The fiscal year during which the project was active.,A marker representing the project's contribution to knowledge for development.,0
Fiscal year,Gender equality (marker),The fiscal year during which the project was active.,A marker indicating the project's commitment to promoting gender equality.,0
Fiscal year,Organisation ID,The fiscal year during which the project was active.,The unique identifier for the organization associated with the project.,0
Fiscal year,Organisation name,The fiscal year during which the project was active.,The official name of the organization linked to the project.,0
Fiscal year,Organisation class,The fiscal year during which the project was active.,The class to which the organization belongs.,0
Fiscal year,Continent name,The fiscal year during which the project was active.,The name of the continent linked to the project.,0
Fiscal year,Project Browser country ID,The fiscal year during which the project was active.,The unique identifier for the country associated with the project.,0
Fiscal year,CountryRegion name,The fiscal year during which the project was active.,The name of the country or region connected to the project.,0
Fiscal year,CountryRegion percent,The fiscal year during which the project was active.,The percentage of the project associated with the country or region.,0
Fiscal year,Sector ID,The fiscal year during which the project was active.,The unique code for the sector linked to the project.,0
Fiscal year,Sector name,The fiscal year during which the project was active.,The name of the sector associated with the project,0
Fiscal year,Sector percent,The fiscal year during which the project was active.,The percentage of the project linked to the sector.,0
Biodiversity (marker),Fiscal year,Indicates if the project addresses biodiversity.,The financial year in which the project was conducted.,0
Biodiversity (marker),Biodiversity (marker),Indicates if the project addresses biodiversity.,A marker indicating the project's contribution to biodiversity.,1
Biodiversity (marker),Bilateral aid (international marker),Indicates if the project addresses biodiversity.,An indication of whether the project involves bilateral aid.,0
Biodiversity (marker),Regional program (marker),Indicates if the project addresses biodiversity.,An indication of whether the project is part of a regional program.,0
Biodiversity (marker),PBA type,Indicates if the project addresses biodiversity.,The type of Project-Based Agreement governing the project.,0
Biodiversity (marker),Section name,Indicates if the project addresses biodiversity.,The name designating the section overseeing the project.,0
Biodiversity (marker),FSTC percent,Indicates if the project addresses biodiversity.,The percentage of the project budget attributed to Field Support Technology and Communication.,0
Biodiversity (marker),Climate change mitigation (marker),Indicates if the project addresses biodiversity.,A marker signifying the project's contribution to climate change mitigation.,0
Biodiversity (marker),Organisation type,Indicates if the project addresses biodiversity.,The type of organization involved in the project.,0
Biodiversity (marker),Branch name,Indicates if the project addresses biodiversity.,The title of the branch responsible for project management.,0
Biodiversity (marker),Organisation sub-class,Indicates if the project addresses biodiversity.,A more specific classification within the organization class.,0
Biodiversity (marker),CountryRegion ID,Indicates if the project addresses biodiversity.,The identification code for the country or region related to the project.,0
Biodiversity (marker),Status,Indicates if the project addresses biodiversity.,The current state or phase of the project.,0
Biodiversity (marker),Amount spent,Indicates if the project addresses biodiversity.,The total expenditure incurred on the project.,0
Biodiversity (marker),Continent ID,Indicates if the project addresses biodiversity.,The unique code for the continent associated with the project.,0
Biodiversity (marker),Urban issues (marker),Indicates if the project addresses biodiversity.,A marker representing the project's focus on urban issues.,0
Biodiversity (marker),Children issues (marker),Indicates if the project addresses biodiversity.,A marker indicating the project's concern for children's issues.,0
Biodiversity (marker),Youth issues (marker),Indicates if the project addresses biodiversity.,A marker signifying the project's attention to youth-related matters.,0
Biodiversity (marker),Indigenous issues (marker),Indicates if the project addresses biodiversity.,A marker denoting the project's involvement in indigenous issues.,0
Biodiversity (marker),Disability issues (marker),Indicates if the project addresses biodiversity.,A marker indicating the project's focus on disability-related concerns.,0
Biodiversity (marker),ICT as a tool for development (marker),Indicates if the project addresses biodiversity.,A marker signifying the project's use of Information and Communication Technology for development.,0
Biodiversity (marker),Knowledge for development (marker),Indicates if the project addresses biodiversity.,A marker representing the project's contribution to knowledge for development.,0
Biodiversity (marker),Gender equality (marker),Indicates if the project addresses biodiversity.,A marker indicating the project's commitment to promoting gender equality.,0
Biodiversity (marker),Organisation ID,Indicates if the project addresses biodiversity.,The unique identifier for the organization associated with the project.,0
Biodiversity (marker),Organisation name,Indicates if the project addresses biodiversity.,The official name of the organization linked to the project.,0
