source,target,des1,des2,label
Fiscal year,Fiscal year,The fiscal year during which the project was active.,The financial year in which the project was conducted.,1
Fiscal year,Trade development (marker),The fiscal year during which the project was active.,A marker denoting the project's involvement in trade development.,0
Fiscal year,Bilateral aid (international marker),The fiscal year during which the project was active.,An indication of whether the project involves bilateral aid.,0
Fiscal year,Organisation sub-class,The fiscal year during which the project was active.,A more specific classification within the organization class.,0
Fiscal year,Section ID,The fiscal year during which the project was active.,A specific code assigned to the section managing the project.,0
Fiscal year,Regional program (marker),The fiscal year during which the project was active.,An indication of whether the project is part of a regional program.,0
Fiscal year,Children issues (marker),The fiscal year during which the project was active.,A marker indicating the project's concern for children's issues.,0
Fiscal year,ICT as a tool for development (marker),The fiscal year during which the project was active.,A marker signifying the project's use of Information and Communication Technology for development.,0
Fiscal year,Biodiversity (marker),The fiscal year during which the project was active.,A marker indicating the project's contribution to biodiversity.,0
Fiscal year,CountryRegion name,The fiscal year during which the project was active.,The name of the country or region connected to the project.,0
Fiscal year,Amount spent,The fiscal year during which the project was active.,The total expenditure incurred on the project.,0
Fiscal year,Indigenous issues (marker),The fiscal year during which the project was active.,A marker denoting the project's involvement in indigenous issues.,0
Fiscal year,CountryRegion percent,The fiscal year during which the project was active.,The percentage of the project associated with the country or region.,0
Fiscal year,Organisation type,The fiscal year during which the project was active.,The type of organization involved in the project.,0
Fiscal year,Status,The fiscal year during which the project was active.,The current state or phase of the project.,0
Fiscal year,FSTC percent,The fiscal year during which the project was active.,The percentage of the project budget attributed to Field Support Technology and Communication.,0
Fiscal year,Urban issues (marker),The fiscal year during which the project was active.,A marker representing the project's focus on urban issues.,0
Fiscal year,Continent ID,The fiscal year during which the project was active.,The unique code for the continent associated with the project.,0
Fiscal year,Enviromental sustainability (marker),The fiscal year during which the project was active.,A marker denoting the project's focus on environmental sustainability.,0
Fiscal year,Branch ID,The fiscal year during which the project was active.,The code identifying the branch overseeing the project.,0
Fiscal year,CIDA business delivery model (old),The fiscal year during which the project was active.,The previous model utilized by CIDA for project delivery.,0
Fiscal year,Programming process (new),The fiscal year during which the project was active.,The current process employed for project programming.,0
Fiscal year,Youth issues (marker),The fiscal year during which the project was active.,A marker signifying the project's attention to youth-related matters.,0
Fiscal year,Desertification (marker),The fiscal year during which the project was active.,A marker representing the project's efforts in addressing desertification.,0
Fiscal year,IRTC percent,The fiscal year during which the project was active.,The percentage of the project budget assigned to the Information Resource and Technology Centre.,0
Fiscal year,Participatory development and good governance,The fiscal year during which the project was active.,An indication of the project's emphasis on participatory development and good governance.,0
Fiscal year,Disability issues (marker),The fiscal year during which the project was active.,A marker indicating the project's focus on disability-related concerns.,0
Fiscal year,Knowledge for development (marker),The fiscal year during which the project was active.,A marker representing the project's contribution to knowledge for development.,0
Fiscal year,Gender equality (marker),The fiscal year during which the project was active.,A marker indicating the project's commitment to promoting gender equality.,0
Fiscal year,Organisation ID,The fiscal year during which the project was active.,The unique identifier for the organization associated with the project.,0
Fiscal year,Organisation name,The fiscal year during which the project was active.,The official name of the organization linked to the project.,0
Fiscal year,Organisation class,The fiscal year during which the project was active.,The class to which the organization belongs.,0
Fiscal year,Continent name,The fiscal year during which the project was active.,The name of the continent linked to the project.,0
Fiscal year,Project Browser country ID,The fiscal year during which the project was active.,The unique identifier for the country associated with the project.,0
Fiscal year,CountryRegion ID,The fiscal year during which the project was active.,The identification code for the country or region related to the project.,0
Fiscal year,Sector ID,The fiscal year during which the project was active.,The unique code for the sector linked to the project.,0
Fiscal year,Sector name,The fiscal year during which the project was active.,The name of the sector associated with the project,0
Fiscal year,Sector percent,The fiscal year during which the project was active.,The percentage of the project linked to the sector.,0
Trade development (marker),Fiscal year,Indicates if the project addresses trade development.,The financial year in which the project was conducted.,0
Trade development (marker),Trade development (marker),Indicates if the project addresses trade development.,A marker denoting the project's involvement in trade development.,1
Trade development (marker),Bilateral aid (international marker),Indicates if the project addresses trade development.,An indication of whether the project involves bilateral aid.,0
Trade development (marker),Organisation sub-class,Indicates if the project addresses trade development.,A more specific classification within the organization class.,0
Trade development (marker),Section ID,Indicates if the project addresses trade development.,A specific code assigned to the section managing the project.,0
Trade development (marker),Regional program (marker),Indicates if the project addresses trade development.,An indication of whether the project is part of a regional program.,0
Trade development (marker),Children issues (marker),Indicates if the project addresses trade development.,A marker indicating the project's concern for children's issues.,0
Trade development (marker),ICT as a tool for development (marker),Indicates if the project addresses trade development.,A marker signifying the project's use of Information and Communication Technology for development.,0
Trade development (marker),Biodiversity (marker),Indicates if the project addresses trade development.,A marker indicating the project's contribution to biodiversity.,0
Trade development (marker),CountryRegion name,Indicates if the project addresses trade development.,The name of the country or region connected to the project.,0
Trade development (marker),Amount spent,Indicates if the project addresses trade development.,The total expenditure incurred on the project.,0
Trade development (marker),Indigenous issues (marker),Indicates if the project addresses trade development.,A marker denoting the project's involvement in indigenous issues.,0
Trade development (marker),CountryRegion percent,Indicates if the project addresses trade development.,The percentage of the project associated with the country or region.,0
Trade development (marker),Organisation type,Indicates if the project addresses trade development.,The type of organization involved in the project.,0
Trade development (marker),Status,Indicates if the project addresses trade development.,The current state or phase of the project.,0
Trade development (marker),FSTC percent,Indicates if the project addresses trade development.,The percentage of the project budget attributed to Field Support Technology and Communication.,0
Trade development (marker),Urban issues (marker),Indicates if the project addresses trade development.,A marker representing the project's focus on urban issues.,0
Trade development (marker),Continent ID,Indicates if the project addresses trade development.,The unique code for the continent associated with the project.,0
Trade development (marker),Enviromental sustainability (marker),Indicates if the project addresses trade development.,A marker denoting the project's focus on environmental sustainability.,0
Trade development (marker),Branch ID,Indicates if the project addresses trade development.,The code identifying the branch overseeing the project.,0
Trade development (marker),CIDA business delivery model (old),Indicates if the project addresses trade development.,The previous model utilized by CIDA for project delivery.,0
Trade development (marker),Programming process (new),Indicates if the project addresses trade development.,The current process employed for project programming.,0
Trade development (marker),Youth issues (marker),Indicates if the project addresses trade development.,A marker signifying the project's attention to youth-related matters.,0
Trade development (marker),Desertification (marker),Indicates if the project addresses trade development.,A marker representing the project's efforts in addressing desertification.,0
Trade development (marker),IRTC percent,Indicates if the project addresses trade development.,The percentage of the project budget assigned to the Information Resource and Technology Centre.,0
Trade development (marker),Participatory development and good governance,Indicates if the project addresses trade development.,An indication of the project's emphasis on participatory development and good governance.,0
Trade development (marker),Disability issues (marker),Indicates if the project addresses trade development.,A marker indicating the project's focus on disability-related concerns.,0
Trade development (marker),Knowledge for development (marker),Indicates if the project addresses trade development.,A marker representing the project's contribution to knowledge for development.,0
Trade development (marker),Gender equality (marker),Indicates if the project addresses trade development.,A marker indicating the project's commitment to promoting gender equality.,0
Trade development (marker),Organisation ID,Indicates if the project addresses trade development.,The unique identifier for the organization associated with the project.,0
Trade development (marker),Organisation name,Indicates if the project addresses trade development.,The official name of the organization linked to the project.,0
Trade development (marker),Organisation class,Indicates if the project addresses trade development.,The class to which the organization belongs.,0
Trade development (marker),Continent name,Indicates if the project addresses trade development.,The name of the continent linked to the project.,0
Trade development (marker),Project Browser country ID,Indicates if the project addresses trade development.,The unique identifier for the country associated with the project.,0
Trade development (marker),CountryRegion ID,Indicates if the project addresses trade development.,The identification code for the country or region related to the project.,0
Trade development (marker),Sector ID,Indicates if the project addresses trade development.,The unique code for the sector linked to the project.,0
Trade development (marker),Sector name,Indicates if the project addresses trade development.,The name of the sector associated with the project,0
Trade development (marker),Sector percent,Indicates if the project addresses trade development.,The percentage of the project linked to the sector.,0
Bilateral aid (international marker),Fiscal year,Indicates if the project involves bilateral aid.,The financial year in which the project was conducted.,0
Bilateral aid (international marker),Trade development (marker),Indicates if the project involves bilateral aid.,A marker denoting the project's involvement in trade development.,0
Bilateral aid (international marker),Bilateral aid (international marker),Indicates if the project involves bilateral aid.,An indication of whether the project involves bilateral aid.,1
Bilateral aid (international marker),Organisation sub-class,Indicates if the project involves bilateral aid.,A more specific classification within the organization class.,0
Bilateral aid (international marker),Section ID,Indicates if the project involves bilateral aid.,A specific code assigned to the section managing the project.,0
Bilateral aid (international marker),Regional program (marker),Indicates if the project involves bilateral aid.,An indication of whether the project is part of a regional program.,0
Bilateral aid (international marker),Children issues (marker),Indicates if the project involves bilateral aid.,A marker indicating the project's concern for children's issues.,0
Bilateral aid (international marker),ICT as a tool for development (marker),Indicates if the project involves bilateral aid.,A marker signifying the project's use of Information and Communication Technology for development.,0
Bilateral aid (international marker),Biodiversity (marker),Indicates if the project involves bilateral aid.,A marker indicating the project's contribution to biodiversity.,0
Bilateral aid (international marker),CountryRegion name,Indicates if the project involves bilateral aid.,The name of the country or region connected to the project.,0
Bilateral aid (international marker),Amount spent,Indicates if the project involves bilateral aid.,The total expenditure incurred on the project.,0
Bilateral aid (international marker),Indigenous issues (marker),Indicates if the project involves bilateral aid.,A marker denoting the project's involvement in indigenous issues.,0
Bilateral aid (international marker),CountryRegion percent,Indicates if the project involves bilateral aid.,The percentage of the project associated with the country or region.,0
Bilateral aid (international marker),Organisation type,Indicates if the project involves bilateral aid.,The type of organization involved in the project.,0
Bilateral aid (international marker),Status,Indicates if the project involves bilateral aid.,The current state or phase of the project.,0
Bilateral aid (international marker),FSTC percent,Indicates if the project involves bilateral aid.,The percentage of the project budget attributed to Field Support Technology and Communication.,0
Bilateral aid (international marker),Urban issues (marker),Indicates if the project involves bilateral aid.,A marker representing the project's focus on urban issues.,0
Bilateral aid (international marker),Continent ID,Indicates if the project involves bilateral aid.,The unique code for the continent associated with the project.,0
Bilateral aid (international marker),Enviromental sustainability (marker),Indicates if the project involves bilateral aid.,A marker denoting the project's focus on environmental sustainability.,0
Bilateral aid (international marker),Branch ID,Indicates if the project involves bilateral aid.,The code identifying the branch overseeing the project.,0
Bilateral aid (international marker),CIDA business delivery model (old),Indicates if the project involves bilateral aid.,The previous model utilized by CIDA for project delivery.,0
Bilateral aid (international marker),Programming process (new),Indicates if the project involves bilateral aid.,The current process employed for project programming.,0
Bilateral aid (international marker),Youth issues (marker),Indicates if the project involves bilateral aid.,A marker signifying the project's attention to youth-related matters.,0
Bilateral aid (international marker),Desertification (marker),Indicates if the project involves bilateral aid.,A marker representing the project's efforts in addressing desertification.,0
Bilateral aid (international marker),IRTC percent,Indicates if the project involves bilateral aid.,The percentage of the project budget assigned to the Information Resource and Technology Centre.,0
Bilateral aid (international marker),Participatory development and good governance,Indicates if the project involves bilateral aid.,An indication of the project's emphasis on participatory development and good governance.,0
Bilateral aid (international marker),Disability issues (marker),Indicates if the project involves bilateral aid.,A marker indicating the project's focus on disability-related concerns.,0
Bilateral aid (international marker),Knowledge for development (marker),Indicates if the project involves bilateral aid.,A marker representing the project's contribution to knowledge for development.,0
Bilateral aid (international marker),Gender equality (marker),Indicates if the project involves bilateral aid.,A marker indicating the project's commitment to promoting gender equality.,0
Bilateral aid (international marker),Organisation ID,Indicates if the project involves bilateral aid.,The unique identifier for the organization associated with the project.,0
Bilateral aid (international marker),Organisation name,Indicates if the project involves bilateral aid.,The official name of the organization linked to the project.,0
Bilateral aid (international marker),Organisation class,Indicates if the project involves bilateral aid.,The class to which the organization belongs.,0
Bilateral aid (international marker),Continent name,Indicates if the project involves bilateral aid.,The name of the continent linked to the project.,0
Bilateral aid (international marker),Project Browser country ID,Indicates if the project involves bilateral aid.,The unique identifier for the country associated with the project.,0
Bilateral aid (international marker),CountryRegion ID,Indicates if the project involves bilateral aid.,The identification code for the country or region related to the project.,0
Bilateral aid (international marker),Sector ID,Indicates if the project involves bilateral aid.,The unique code for the sector linked to the project.,0
Bilateral aid (international marker),Sector name,Indicates if the project involves bilateral aid.,The name of the sector associated with the project,0
Bilateral aid (international marker),Sector percent,Indicates if the project involves bilateral aid.,The percentage of the project linked to the sector.,0
Organisation sub-class,Fiscal year,Sub-class of the organization.,The financial year in which the project was conducted.,0
Organisation sub-class,Trade development (marker),Sub-class of the organization.,A marker denoting the project's involvement in trade development.,0
Organisation sub-class,Bilateral aid (international marker),Sub-class of the organization.,An indication of whether the project involves bilateral aid.,0
Organisation sub-class,Organisation sub-class,Sub-class of the organization.,A more specific classification within the organization class.,1
Organisation sub-class,Section ID,Sub-class of the organization.,A specific code assigned to the section managing the project.,0
Organisation sub-class,Regional program (marker),Sub-class of the organization.,An indication of whether the project is part of a regional program.,0
Organisation sub-class,Children issues (marker),Sub-class of the organization.,A marker indicating the project's concern for children's issues.,0
Organisation sub-class,ICT as a tool for development (marker),Sub-class of the organization.,A marker signifying the project's use of Information and Communication Technology for development.,0
Organisation sub-class,Biodiversity (marker),Sub-class of the organization.,A marker indicating the project's contribution to biodiversity.,0
