source,target,des1,des2,label
Fiscal year,miller2_FiY,The fiscal year during which the project was active.,The financial year in which the project was conducted.,1
Fiscal year,miller2_ProNum,The fiscal year during which the project was active.,A distinct identifier assigned to each project for reference.,0
Fiscal year,miller2_St,The fiscal year during which the project was active.,The current state or phase of the project.,0
Fiscal year,miller2_MaCIDAContri,The fiscal year during which the project was active.,The highest financial support provided by CIDA for the specific project.,0
Fiscal year,miller2_BraID,The fiscal year during which the project was active.,The code identifying the branch overseeing the project.,0
Fiscal year,miller2_BrN,The fiscal year during which the project was active.,The title of the branch responsible for project management.,0
Fiscal year,miller2_DivID,The fiscal year during which the project was active.,The unique code for the division in charge of the project.,0
Fiscal year,miller2_DiviNa,The fiscal year during which the project was active.,The official name of the division handling the project.,0
Fiscal year,miller2_SeID,The fiscal year during which the project was active.,A specific code assigned to the section managing the project.,0
Fiscal year,miller2_SeN,The fiscal year during which the project was active.,The name designating the section overseeing the project.,0
Fiscal year,miller2_ReProg,The fiscal year during which the project was active.,An indication of whether the project is part of a regional program.,0
Fiscal year,miller2_FuCeID,The fiscal year during which the project was active.,The identification code for the fund center linked to the project.,0
Fiscal year,miller2_FuCeN,The fiscal year during which the project was active.,The name corresponding to the fund center associated with the project.,0
Fiscal year,miller2_UntAmoPrBu,The fiscal year during which the project was active.,The non-restricted budget allocated to the project.,0
Fiscal year,miller2_FSTCPerc,The fiscal year during which the project was active.,The percentage of the project budget attributed to Field Support Technology and Communication.,0
Fiscal year,miller2_IRTCPe,The fiscal year during which the project was active.,The percentage of the project budget assigned to the Information Resource and Technology Centre.,0
Fiscal year,miller2_CFLI,The fiscal year during which the project was active.,A marker denoting the project's connection to the Canada Fund for Local Initiatives.,0
Fiscal year,miller2_CIDABusDelMo,The fiscal year during which the project was active.,The previous model utilized by CIDA for project delivery.,0
Fiscal year,miller2_ProgrPro,The fiscal year during which the project was active.,The current process employed for project programming.,0
Fiscal year,miller2_BilAMa,The fiscal year during which the project was active.,An indication of whether the project involves bilateral aid.,0
Fiscal year,miller2_PBATy,The fiscal year during which the project was active.,The type of Project-Based Agreement governing the project.,0
Fiscal year,miller2_EnvSustai,The fiscal year during which the project was active.,A marker denoting the project's focus on environmental sustainability.,0
Fiscal year,miller2_ClimChAda,The fiscal year during which the project was active.,A marker indicating the project's involvement in climate change adaptation.,0
Fiscal year,miller2_ClChMitig,The fiscal year during which the project was active.,A marker signifying the project's contribution to climate change mitigation.,0
Fiscal year,miller2_Desertif,The fiscal year during which the project was active.,A marker representing the project's efforts in addressing desertification.,0
Fiscal year,miller2_ParticDeveloAGoGover,The fiscal year during which the project was active.,An indication of the project's emphasis on participatory development and good governance.,0
Fiscal year,miller2_TraDevel,The fiscal year during which the project was active.,A marker denoting the project's involvement in trade development.,0
Fiscal year,miller2_Bio,The fiscal year during which the project was active.,A marker indicating the project's contribution to biodiversity.,0
Fiscal year,miller2_UrbIss,The fiscal year during which the project was active.,A marker representing the project's focus on urban issues.,0
Fiscal year,miller2_ChilIs,The fiscal year during which the project was active.,A marker indicating the project's concern for children's issues.,0
Fiscal year,miller2_YouIs,The fiscal year during which the project was active.,A marker signifying the project's attention to youth-related matters.,0
Fiscal year,miller2_IndIs,The fiscal year during which the project was active.,A marker denoting the project's involvement in indigenous issues.,0
Fiscal year,miller2_DisaIs,The fiscal year during which the project was active.,A marker indicating the project's focus on disability-related concerns.,0
Fiscal year,miller2_ICTAATFoDev,The fiscal year during which the project was active.,A marker signifying the project's use of Information and Communication Technology for development.,0
Fiscal year,miller2_KnowFoDeve,The fiscal year during which the project was active.,A marker representing the project's contribution to knowledge for development.,0
Fiscal year,miller2_GenEq,The fiscal year during which the project was active.,A marker indicating the project's commitment to promoting gender equality.,0
Fiscal year,miller2_OrganID,The fiscal year during which the project was active.,The unique identifier for the organization associated with the project.,0
Fiscal year,miller2_OrganNa,The fiscal year during which the project was active.,The official name of the organization linked to the project.,0
Fiscal year,miller2_OrgaTy,The fiscal year during which the project was active.,The type of organization involved in the project.,0
Fiscal year,miller2_OrganCl,The fiscal year during which the project was active.,The class to which the organization belongs.,0
Fiscal year,miller2_OrganiS,The fiscal year during which the project was active.,A more specific classification within the organization class.,0
Fiscal year,miller2_ContID,The fiscal year during which the project was active.,The unique code for the continent associated with the project.,0
Fiscal year,miller2_ConNa,The fiscal year during which the project was active.,The name of the continent linked to the project.,0
Fiscal year,miller2_ProBroCounID,The fiscal year during which the project was active.,The unique identifier for the country associated with the project.,0
Fiscal year,miller2_CouRegID,The fiscal year during which the project was active.,The identification code for the country or region related to the project.,0
Fiscal year,miller2_CoRegNa,The fiscal year during which the project was active.,The name of the country or region connected to the project.,0
Fiscal year,miller2_CouRegPerc,The fiscal year during which the project was active.,The percentage of the project associated with the country or region.,0
Fiscal year,miller2_SecID,The fiscal year during which the project was active.,A specific code assigned to the section managing the project.,0
Fiscal year,Sector name,The fiscal year during which the project was active.,The name of the sector associated with the project,0
Fiscal year,miller2_SecPer,The fiscal year during which the project was active.,The percentage of the project linked to the sector.,0
Fiscal year,miller2_AmSp,The fiscal year during which the project was active.,The total expenditure incurred on the project.,0
Project number,miller2_FiY,A unique identifier for each project.,The financial year in which the project was conducted.,0
Project number,miller2_ProNum,A unique identifier for each project.,A distinct identifier assigned to each project for reference.,1
Project number,miller2_St,A unique identifier for each project.,The current state or phase of the project.,0
Project number,miller2_MaCIDAContri,A unique identifier for each project.,The highest financial support provided by CIDA for the specific project.,0
Project number,miller2_BraID,A unique identifier for each project.,The code identifying the branch overseeing the project.,0
Project number,miller2_BrN,A unique identifier for each project.,The title of the branch responsible for project management.,0
Project number,miller2_DivID,A unique identifier for each project.,The unique code for the division in charge of the project.,0
Project number,miller2_DiviNa,A unique identifier for each project.,The official name of the division handling the project.,0
Project number,miller2_SeID,A unique identifier for each project.,A specific code assigned to the section managing the project.,0
Project number,miller2_SeN,A unique identifier for each project.,The name designating the section overseeing the project.,0
Project number,miller2_ReProg,A unique identifier for each project.,An indication of whether the project is part of a regional program.,0
Project number,miller2_FuCeID,A unique identifier for each project.,The identification code for the fund center linked to the project.,0
Project number,miller2_FuCeN,A unique identifier for each project.,The name corresponding to the fund center associated with the project.,0
Project number,miller2_UntAmoPrBu,A unique identifier for each project.,The non-restricted budget allocated to the project.,0
Project number,miller2_FSTCPerc,A unique identifier for each project.,The percentage of the project budget attributed to Field Support Technology and Communication.,0
Project number,miller2_IRTCPe,A unique identifier for each project.,The percentage of the project budget assigned to the Information Resource and Technology Centre.,0
Project number,miller2_CFLI,A unique identifier for each project.,A marker denoting the project's connection to the Canada Fund for Local Initiatives.,0
Project number,miller2_CIDABusDelMo,A unique identifier for each project.,The previous model utilized by CIDA for project delivery.,0
Project number,miller2_ProgrPro,A unique identifier for each project.,The current process employed for project programming.,0
Project number,miller2_BilAMa,A unique identifier for each project.,An indication of whether the project involves bilateral aid.,0
Project number,miller2_PBATy,A unique identifier for each project.,The type of Project-Based Agreement governing the project.,0
Project number,miller2_EnvSustai,A unique identifier for each project.,A marker denoting the project's focus on environmental sustainability.,0
Project number,miller2_ClimChAda,A unique identifier for each project.,A marker indicating the project's involvement in climate change adaptation.,0
Project number,miller2_ClChMitig,A unique identifier for each project.,A marker signifying the project's contribution to climate change mitigation.,0
Project number,miller2_Desertif,A unique identifier for each project.,A marker representing the project's efforts in addressing desertification.,0
Project number,miller2_ParticDeveloAGoGover,A unique identifier for each project.,An indication of the project's emphasis on participatory development and good governance.,0
Project number,miller2_TraDevel,A unique identifier for each project.,A marker denoting the project's involvement in trade development.,0
Project number,miller2_Bio,A unique identifier for each project.,A marker indicating the project's contribution to biodiversity.,0
Project number,miller2_UrbIss,A unique identifier for each project.,A marker representing the project's focus on urban issues.,0
Project number,miller2_ChilIs,A unique identifier for each project.,A marker indicating the project's concern for children's issues.,0
Project number,miller2_YouIs,A unique identifier for each project.,A marker signifying the project's attention to youth-related matters.,0
Project number,miller2_IndIs,A unique identifier for each project.,A marker denoting the project's involvement in indigenous issues.,0
Project number,miller2_DisaIs,A unique identifier for each project.,A marker indicating the project's focus on disability-related concerns.,0
Project number,miller2_ICTAATFoDev,A unique identifier for each project.,A marker signifying the project's use of Information and Communication Technology for development.,0
Project number,miller2_KnowFoDeve,A unique identifier for each project.,A marker representing the project's contribution to knowledge for development.,0
Project number,miller2_GenEq,A unique identifier for each project.,A marker indicating the project's commitment to promoting gender equality.,0
Project number,miller2_OrganID,A unique identifier for each project.,The unique identifier for the organization associated with the project.,0
Project number,miller2_OrganNa,A unique identifier for each project.,The official name of the organization linked to the project.,0
Project number,miller2_OrgaTy,A unique identifier for each project.,The type of organization involved in the project.,0
Project number,miller2_OrganCl,A unique identifier for each project.,The class to which the organization belongs.,0
Project number,miller2_OrganiS,A unique identifier for each project.,A more specific classification within the organization class.,0
Project number,miller2_ContID,A unique identifier for each project.,The unique code for the continent associated with the project.,0
Project number,miller2_ConNa,A unique identifier for each project.,The name of the continent linked to the project.,0
Project number,miller2_ProBroCounID,A unique identifier for each project.,The unique identifier for the country associated with the project.,0
Project number,miller2_CouRegID,A unique identifier for each project.,The identification code for the country or region related to the project.,0
Project number,miller2_CoRegNa,A unique identifier for each project.,The name of the country or region connected to the project.,0
Project number,miller2_CouRegPerc,A unique identifier for each project.,The percentage of the project associated with the country or region.,0
Project number,miller2_SecID,A unique identifier for each project.,A specific code assigned to the section managing the project.,0
Project number,Sector name,A unique identifier for each project.,The name of the sector associated with the project,0
Project number,miller2_SecPer,A unique identifier for each project.,The percentage of the project linked to the sector.,0
