source,target,des1,des2,label
musician,musicianID,This column represents the unique identifier (URI) for each musician in the dataset linking to their respective entry on Wikidata,This column holds the unique identifier (URI) for each musician serving as a direct link to their detailed profile on Wikidata.,1
musician,musicianName,This column represents the unique identifier (URI) for each musician in the dataset linking to their respective entry on Wikidata,contains the name or alias of the musician providing a recognizable label for easy reference.,0
musician,genderType,This column represents the unique identifier (URI) for each musician in the dataset linking to their respective entry on Wikidata,Indicating the gender identity of the musician specifying whether they identify as male or female.,0
musician,birthDate,This column represents the unique identifier (URI) for each musician in the dataset linking to their respective entry on Wikidata,This field displays the birth date of the musician presenting the information in the standardized ISO 8601 date and time format.,0
musician,city,This column represents the unique identifier (URI) for each musician in the dataset linking to their respective entry on Wikidata,Reflecting the birthplace or hometown of the musician specifying the city associated with their origin.,0
musician,familyName,This column represents the unique identifier (URI) for each musician in the dataset linking to their respective entry on Wikidata,Representing the familial or surname of the musician this column holds the family name associated with each artist,0
musician,forename,This column represents the unique identifier (URI) for each musician in the dataset linking to their respective entry on Wikidata,Representing the forename of the musician this column holds the first name associated with each artist,0
musician,fatherName,This column represents the unique identifier (URI) for each musician in the dataset linking to their respective entry on Wikidata,provides the name of the musician's father presenting information about their paternal lineage.,0
musician,motherName,This column represents the unique identifier (URI) for each musician in the dataset linking to their respective entry on Wikidata,Displaying the name of the musician's mother sheds light on the maternal lineage of each artist.,0
musician,spouse,This column represents the unique identifier (URI) for each musician in the dataset linking to their respective entry on Wikidata,This field reveals the name of the musician's partner or spouse offering insight into their personal relationships.,0
musician,NChildren,This column represents the unique identifier (URI) for each musician in the dataset linking to their respective entry on Wikidata,Indicating the count of children associated with the musician quantifies the artist's parenthood.,0
musician,kind,This column represents the unique identifier (URI) for each musician in the dataset linking to their respective entry on Wikidata,specifies the musical genre or style associated with the musician categorizing their artistic expression.,0
musician,webpage,This column represents the unique identifier (URI) for each musician in the dataset linking to their respective entry on Wikidata,Containing the URL of the musician's official website this field provides a direct link to the artist's online presence.,0
musician,residence,This column represents the unique identifier (URI) for each musician in the dataset linking to their respective entry on Wikidata,Describing the current city or location where the musician resides offers details about their dwelling place.,0
musician,ethnicity,This column represents the unique identifier (URI) for each musician in the dataset linking to their respective entry on Wikidata,denotes the ethnicity or racial background of the musician highlighting their cultural heritage.,0
musician,religionLabel,This column represents the unique identifier (URI) for each musician in the dataset linking to their respective entry on Wikidata,Displaying the religious affiliation of the musician this column provides information about the artist's spiritual beliefs.,0
musician,kickoff,This column represents the unique identifier (URI) for each musician in the dataset linking to their respective entry on Wikidata,Indicating the commencement date of the musician's career reveals when each artist started their musical journey.,0
musician,twitterUsername,This column represents the unique identifier (URI) for each musician in the dataset linking to their respective entry on Wikidata,Holding the musician's Twitter handle or username column provides a direct link to their Twitter profile.,0
musician,geniusNameLabel,This column represents the unique identifier (URI) for each musician in the dataset linking to their respective entry on Wikidata,displays the musician's name as recognized on the Genius platform facilitating connections with their work.,0
musician,recordCompany,This column represents the unique identifier (URI) for each musician in the dataset linking to their respective entry on Wikidata,Identifying the record label associated with the musician specifies the entity responsible for releasing their music.,0
musicianLabel,musicianID,The name or label associated with the musician serving as their public identifier.,This column holds the unique identifier (URI) for each musician serving as a direct link to their detailed profile on Wikidata.,0
musicianLabel,musicianName,The name or label associated with the musician serving as their public identifier.,contains the name or alias of the musician providing a recognizable label for easy reference.,1
musicianLabel,genderType,The name or label associated with the musician serving as their public identifier.,Indicating the gender identity of the musician specifying whether they identify as male or female.,0
musicianLabel,birthDate,The name or label associated with the musician serving as their public identifier.,This field displays the birth date of the musician presenting the information in the standardized ISO 8601 date and time format.,0
musicianLabel,city,The name or label associated with the musician serving as their public identifier.,Reflecting the birthplace or hometown of the musician specifying the city associated with their origin.,0
musicianLabel,familyName,The name or label associated with the musician serving as their public identifier.,Representing the familial or surname of the musician this column holds the family name associated with each artist,0
musicianLabel,forename,The name or label associated with the musician serving as their public identifier.,Representing the forename of the musician this column holds the first name associated with each artist,0
musicianLabel,fatherName,The name or label associated with the musician serving as their public identifier.,provides the name of the musician's father presenting information about their paternal lineage.,0
musicianLabel,motherName,The name or label associated with the musician serving as their public identifier.,Displaying the name of the musician's mother sheds light on the maternal lineage of each artist.,0
musicianLabel,spouse,The name or label associated with the musician serving as their public identifier.,This field reveals the name of the musician's partner or spouse offering insight into their personal relationships.,0
musicianLabel,NChildren,The name or label associated with the musician serving as their public identifier.,Indicating the count of children associated with the musician quantifies the artist's parenthood.,0
musicianLabel,kind,The name or label associated with the musician serving as their public identifier.,specifies the musical genre or style associated with the musician categorizing their artistic expression.,0
musicianLabel,webpage,The name or label associated with the musician serving as their public identifier.,Containing the URL of the musician's official website this field provides a direct link to the artist's online presence.,0
musicianLabel,residence,The name or label associated with the musician serving as their public identifier.,Describing the current city or location where the musician resides offers details about their dwelling place.,0
musicianLabel,ethnicity,The name or label associated with the musician serving as their public identifier.,denotes the ethnicity or racial background of the musician highlighting their cultural heritage.,0
musicianLabel,religionLabel,The name or label associated with the musician serving as their public identifier.,Displaying the religious affiliation of the musician this column provides information about the artist's spiritual beliefs.,0
musicianLabel,kickoff,The name or label associated with the musician serving as their public identifier.,Indicating the commencement date of the musician's career reveals when each artist started their musical journey.,0
musicianLabel,twitterUsername,The name or label associated with the musician serving as their public identifier.,Holding the musician's Twitter handle or username column provides a direct link to their Twitter profile.,0
musicianLabel,geniusNameLabel,The name or label associated with the musician serving as their public identifier.,displays the musician's name as recognized on the Genius platform facilitating connections with their work.,0
musicianLabel,recordCompany,The name or label associated with the musician serving as their public identifier.,Identifying the record label associated with the musician specifies the entity responsible for releasing their music.,0
genderLabel,musicianID,Denotes the gender of the musician specifying whether they are male or female.,This column holds the unique identifier (URI) for each musician serving as a direct link to their detailed profile on Wikidata.,0
genderLabel,musicianName,Denotes the gender of the musician specifying whether they are male or female.,contains the name or alias of the musician providing a recognizable label for easy reference.,0
genderLabel,genderType,Denotes the gender of the musician specifying whether they are male or female.,Indicating the gender identity of the musician specifying whether they identify as male or female.,1
genderLabel,birthDate,Denotes the gender of the musician specifying whether they are male or female.,This field displays the birth date of the musician presenting the information in the standardized ISO 8601 date and time format.,0
genderLabel,city,Denotes the gender of the musician specifying whether they are male or female.,Reflecting the birthplace or hometown of the musician specifying the city associated with their origin.,0
genderLabel,familyName,Denotes the gender of the musician specifying whether they are male or female.,Representing the familial or surname of the musician this column holds the family name associated with each artist,0
genderLabel,forename,Denotes the gender of the musician specifying whether they are male or female.,Representing the forename of the musician this column holds the first name associated with each artist,0
genderLabel,fatherName,Denotes the gender of the musician specifying whether they are male or female.,provides the name of the musician's father presenting information about their paternal lineage.,0
genderLabel,motherName,Denotes the gender of the musician specifying whether they are male or female.,Displaying the name of the musician's mother sheds light on the maternal lineage of each artist.,0
genderLabel,spouse,Denotes the gender of the musician specifying whether they are male or female.,This field reveals the name of the musician's partner or spouse offering insight into their personal relationships.,0
genderLabel,NChildren,Denotes the gender of the musician specifying whether they are male or female.,Indicating the count of children associated with the musician quantifies the artist's parenthood.,0
genderLabel,kind,Denotes the gender of the musician specifying whether they are male or female.,specifies the musical genre or style associated with the musician categorizing their artistic expression.,0
genderLabel,webpage,Denotes the gender of the musician specifying whether they are male or female.,Containing the URL of the musician's official website this field provides a direct link to the artist's online presence.,0
genderLabel,residence,Denotes the gender of the musician specifying whether they are male or female.,Describing the current city or location where the musician resides offers details about their dwelling place.,0
genderLabel,ethnicity,Denotes the gender of the musician specifying whether they are male or female.,denotes the ethnicity or racial background of the musician highlighting their cultural heritage.,0
genderLabel,religionLabel,Denotes the gender of the musician specifying whether they are male or female.,Displaying the religious affiliation of the musician this column provides information about the artist's spiritual beliefs.,0
genderLabel,kickoff,Denotes the gender of the musician specifying whether they are male or female.,Indicating the commencement date of the musician's career reveals when each artist started their musical journey.,0
genderLabel,twitterUsername,Denotes the gender of the musician specifying whether they are male or female.,Holding the musician's Twitter handle or username column provides a direct link to their Twitter profile.,0
genderLabel,geniusNameLabel,Denotes the gender of the musician specifying whether they are male or female.,displays the musician's name as recognized on the Genius platform facilitating connections with their work.,0
genderLabel,recordCompany,Denotes the gender of the musician specifying whether they are male or female.,Identifying the record label associated with the musician specifies the entity responsible for releasing their music.,0
birthDate,musicianID,Indicates the birth date of the musician presented in the ISO 8601 date and time format.,This column holds the unique identifier (URI) for each musician serving as a direct link to their detailed profile on Wikidata.,0
birthDate,musicianName,Indicates the birth date of the musician presented in the ISO 8601 date and time format.,contains the name or alias of the musician providing a recognizable label for easy reference.,0
birthDate,genderType,Indicates the birth date of the musician presented in the ISO 8601 date and time format.,Indicating the gender identity of the musician specifying whether they identify as male or female.,0
birthDate,birthDate,Indicates the birth date of the musician presented in the ISO 8601 date and time format.,This field displays the birth date of the musician presenting the information in the standardized ISO 8601 date and time format.,1
birthDate,city,Indicates the birth date of the musician presented in the ISO 8601 date and time format.,Reflecting the birthplace or hometown of the musician specifying the city associated with their origin.,0
birthDate,familyName,Indicates the birth date of the musician presented in the ISO 8601 date and time format.,Representing the familial or surname of the musician this column holds the family name associated with each artist,0
birthDate,forename,Indicates the birth date of the musician presented in the ISO 8601 date and time format.,Representing the forename of the musician this column holds the first name associated with each artist,0
birthDate,fatherName,Indicates the birth date of the musician presented in the ISO 8601 date and time format.,provides the name of the musician's father presenting information about their paternal lineage.,0
birthDate,motherName,Indicates the birth date of the musician presented in the ISO 8601 date and time format.,Displaying the name of the musician's mother sheds light on the maternal lineage of each artist.,0
birthDate,spouse,Indicates the birth date of the musician presented in the ISO 8601 date and time format.,This field reveals the name of the musician's partner or spouse offering insight into their personal relationships.,0
birthDate,NChildren,Indicates the birth date of the musician presented in the ISO 8601 date and time format.,Indicating the count of children associated with the musician quantifies the artist's parenthood.,0
birthDate,kind,Indicates the birth date of the musician presented in the ISO 8601 date and time format.,specifies the musical genre or style associated with the musician categorizing their artistic expression.,0
birthDate,webpage,Indicates the birth date of the musician presented in the ISO 8601 date and time format.,Containing the URL of the musician's official website this field provides a direct link to the artist's online presence.,0
birthDate,residence,Indicates the birth date of the musician presented in the ISO 8601 date and time format.,Describing the current city or location where the musician resides offers details about their dwelling place.,0
birthDate,ethnicity,Indicates the birth date of the musician presented in the ISO 8601 date and time format.,denotes the ethnicity or racial background of the musician highlighting their cultural heritage.,0
birthDate,religionLabel,Indicates the birth date of the musician presented in the ISO 8601 date and time format.,Displaying the religious affiliation of the musician this column provides information about the artist's spiritual beliefs.,0
birthDate,kickoff,Indicates the birth date of the musician presented in the ISO 8601 date and time format.,Indicating the commencement date of the musician's career reveals when each artist started their musical journey.,0
birthDate,twitterUsername,Indicates the birth date of the musician presented in the ISO 8601 date and time format.,Holding the musician's Twitter handle or username column provides a direct link to their Twitter profile.,0
birthDate,geniusNameLabel,Indicates the birth date of the musician presented in the ISO 8601 date and time format.,displays the musician's name as recognized on the Genius platform facilitating connections with their work.,0
birthDate,recordCompany,Indicates the birth date of the musician presented in the ISO 8601 date and time format.,Identifying the record label associated with the musician specifies the entity responsible for releasing their music.,0
cityLabel,musicianID,Specifies the city of origin or birthplace of the musician.,This column holds the unique identifier (URI) for each musician serving as a direct link to their detailed profile on Wikidata.,0
cityLabel,musicianName,Specifies the city of origin or birthplace of the musician.,contains the name or alias of the musician providing a recognizable label for easy reference.,0
cityLabel,genderType,Specifies the city of origin or birthplace of the musician.,Indicating the gender identity of the musician specifying whether they identify as male or female.,0
cityLabel,birthDate,Specifies the city of origin or birthplace of the musician.,This field displays the birth date of the musician presenting the information in the standardized ISO 8601 date and time format.,0
