source,target,des1,des2,label
AgencyID,AgencyID,A unique identifier for each individual or record in the dataset.,A distinct identification code assigned to each record within the dataset facilitating unique reference and differentiation,1
AgencyID,Age,A unique identifier for each individual or record in the dataset.,The chronological age of the individual measured in years.,0
AgencyID,Country,A unique identifier for each individual or record in the dataset.,The sovereign nation in which the individual maintains their primary residence.,0
AgencyID,Phone,A unique identifier for each individual or record in the dataset.,The designated telephone number through which the individual can be reached.,0
AgencyID,NetWorth,A unique identifier for each individual or record in the dataset.,The financial value representing the individual's net worth calculated by subtracting liabilities from total assets.,0
AgencyID,MiddleInitial,A unique identifier for each individual or record in the dataset.,The single-letter abbreviation representing the middle name or initial of an individual.,0
AgencyID,OwnOrRentFlag,A unique identifier for each individual or record in the dataset.,A binary indicator specifying whether the individual owns or rents their primary residence.,0
AgencyID,Employer,A unique identifier for each individual or record in the dataset.,The organizational entity by which the individual is employed.,0
AgencyID,NumberChildren,A unique identifier for each individual or record in the dataset.,The total number of biological or adopted children associated with the individual.,0
AgencyID,NumberCreditCards,A unique identifier for each individual or record in the dataset.,The total count of credit cards associated with the individual.,0
AgencyID,City,A unique identifier for each individual or record in the dataset.,The urban or town area in which the individual resides.,0
AgencyID,PostalCode,A unique identifier for each individual or record in the dataset.,A series of letters numbers or both appended to a postal address to assist in sorting and delivering mail.,0
AgencyID,State,A unique identifier for each individual or record in the dataset.,The administrative region or territory within a country where the individual's residence is situated.,0
AgencyID,Income,A unique identifier for each individual or record in the dataset.,The total financial remuneration received by the individual typically on an annual basis.,0
AgencyID,NumberCars,A unique identifier for each individual or record in the dataset.,The quantity of automobiles owned by the individual.,0
AgencyID,MaritalStatus,A unique identifier for each individual or record in the dataset.,The current legal or social relationship status of the individual,0
AgencyID,CreditRating,A unique identifier for each individual or record in the dataset.,A numerical representation of the individual's creditworthiness indicating their ability to manage financial obligations.,0
Age,AgencyID,The age of the individual.,A distinct identification code assigned to each record within the dataset facilitating unique reference and differentiation,0
Age,Age,The age of the individual.,The chronological age of the individual measured in years.,1
Age,Country,The age of the individual.,The sovereign nation in which the individual maintains their primary residence.,0
Age,Phone,The age of the individual.,The designated telephone number through which the individual can be reached.,0
Age,NetWorth,The age of the individual.,The financial value representing the individual's net worth calculated by subtracting liabilities from total assets.,0
Age,MiddleInitial,The age of the individual.,The single-letter abbreviation representing the middle name or initial of an individual.,0
Age,OwnOrRentFlag,The age of the individual.,A binary indicator specifying whether the individual owns or rents their primary residence.,0
Age,Employer,The age of the individual.,The organizational entity by which the individual is employed.,0
Age,NumberChildren,The age of the individual.,The total number of biological or adopted children associated with the individual.,0
Age,NumberCreditCards,The age of the individual.,The total count of credit cards associated with the individual.,0
Age,City,The age of the individual.,The urban or town area in which the individual resides.,0
Age,PostalCode,The age of the individual.,A series of letters numbers or both appended to a postal address to assist in sorting and delivering mail.,0
Age,State,The age of the individual.,The administrative region or territory within a country where the individual's residence is situated.,0
Age,Income,The age of the individual.,The total financial remuneration received by the individual typically on an annual basis.,0
Age,NumberCars,The age of the individual.,The quantity of automobiles owned by the individual.,0
Age,MaritalStatus,The age of the individual.,The current legal or social relationship status of the individual,0
Age,CreditRating,The age of the individual.,A numerical representation of the individual's creditworthiness indicating their ability to manage financial obligations.,0
Country,AgencyID,The country in which the individual resides.,A distinct identification code assigned to each record within the dataset facilitating unique reference and differentiation,0
Country,Age,The country in which the individual resides.,The chronological age of the individual measured in years.,0
Country,Country,The country in which the individual resides.,The sovereign nation in which the individual maintains their primary residence.,1
Country,Phone,The country in which the individual resides.,The designated telephone number through which the individual can be reached.,0
Country,NetWorth,The country in which the individual resides.,The financial value representing the individual's net worth calculated by subtracting liabilities from total assets.,0
Country,MiddleInitial,The country in which the individual resides.,The single-letter abbreviation representing the middle name or initial of an individual.,0
Country,OwnOrRentFlag,The country in which the individual resides.,A binary indicator specifying whether the individual owns or rents their primary residence.,0
Country,Employer,The country in which the individual resides.,The organizational entity by which the individual is employed.,0
Country,NumberChildren,The country in which the individual resides.,The total number of biological or adopted children associated with the individual.,0
Country,NumberCreditCards,The country in which the individual resides.,The total count of credit cards associated with the individual.,0
Country,City,The country in which the individual resides.,The urban or town area in which the individual resides.,0
Country,PostalCode,The country in which the individual resides.,A series of letters numbers or both appended to a postal address to assist in sorting and delivering mail.,0
Country,State,The country in which the individual resides.,The administrative region or territory within a country where the individual's residence is situated.,0
Country,Income,The country in which the individual resides.,The total financial remuneration received by the individual typically on an annual basis.,0
Country,NumberCars,The country in which the individual resides.,The quantity of automobiles owned by the individual.,0
Country,MaritalStatus,The country in which the individual resides.,The current legal or social relationship status of the individual,0
Country,CreditRating,The country in which the individual resides.,A numerical representation of the individual's creditworthiness indicating their ability to manage financial obligations.,0
Phone,AgencyID,The contact phone number for the individual.,A distinct identification code assigned to each record within the dataset facilitating unique reference and differentiation,0
Phone,Age,The contact phone number for the individual.,The chronological age of the individual measured in years.,0
Phone,Country,The contact phone number for the individual.,The sovereign nation in which the individual maintains their primary residence.,0
Phone,Phone,The contact phone number for the individual.,The designated telephone number through which the individual can be reached.,1
Phone,NetWorth,The contact phone number for the individual.,The financial value representing the individual's net worth calculated by subtracting liabilities from total assets.,0
Phone,MiddleInitial,The contact phone number for the individual.,The single-letter abbreviation representing the middle name or initial of an individual.,0
Phone,OwnOrRentFlag,The contact phone number for the individual.,A binary indicator specifying whether the individual owns or rents their primary residence.,0
Phone,Employer,The contact phone number for the individual.,The organizational entity by which the individual is employed.,0
Phone,NumberChildren,The contact phone number for the individual.,The total number of biological or adopted children associated with the individual.,0
Phone,NumberCreditCards,The contact phone number for the individual.,The total count of credit cards associated with the individual.,0
Phone,City,The contact phone number for the individual.,The urban or town area in which the individual resides.,0
Phone,PostalCode,The contact phone number for the individual.,A series of letters numbers or both appended to a postal address to assist in sorting and delivering mail.,0
Phone,State,The contact phone number for the individual.,The administrative region or territory within a country where the individual's residence is situated.,0
Phone,Income,The contact phone number for the individual.,The total financial remuneration received by the individual typically on an annual basis.,0
Phone,NumberCars,The contact phone number for the individual.,The quantity of automobiles owned by the individual.,0
Phone,MaritalStatus,The contact phone number for the individual.,The current legal or social relationship status of the individual,0
Phone,CreditRating,The contact phone number for the individual.,A numerical representation of the individual's creditworthiness indicating their ability to manage financial obligations.,0
NetWorth,AgencyID,The net worth of the individual indicating their total assets minus liabilities.,A distinct identification code assigned to each record within the dataset facilitating unique reference and differentiation,0
NetWorth,Age,The net worth of the individual indicating their total assets minus liabilities.,The chronological age of the individual measured in years.,0
NetWorth,Country,The net worth of the individual indicating their total assets minus liabilities.,The sovereign nation in which the individual maintains their primary residence.,0
NetWorth,Phone,The net worth of the individual indicating their total assets minus liabilities.,The designated telephone number through which the individual can be reached.,0
NetWorth,NetWorth,The net worth of the individual indicating their total assets minus liabilities.,The financial value representing the individual's net worth calculated by subtracting liabilities from total assets.,1
NetWorth,MiddleInitial,The net worth of the individual indicating their total assets minus liabilities.,The single-letter abbreviation representing the middle name or initial of an individual.,0
NetWorth,OwnOrRentFlag,The net worth of the individual indicating their total assets minus liabilities.,A binary indicator specifying whether the individual owns or rents their primary residence.,0
NetWorth,Employer,The net worth of the individual indicating their total assets minus liabilities.,The organizational entity by which the individual is employed.,0
NetWorth,NumberChildren,The net worth of the individual indicating their total assets minus liabilities.,The total number of biological or adopted children associated with the individual.,0
NetWorth,NumberCreditCards,The net worth of the individual indicating their total assets minus liabilities.,The total count of credit cards associated with the individual.,0
NetWorth,City,The net worth of the individual indicating their total assets minus liabilities.,The urban or town area in which the individual resides.,0
NetWorth,PostalCode,The net worth of the individual indicating their total assets minus liabilities.,A series of letters numbers or both appended to a postal address to assist in sorting and delivering mail.,0
NetWorth,State,The net worth of the individual indicating their total assets minus liabilities.,The administrative region or territory within a country where the individual's residence is situated.,0
NetWorth,Income,The net worth of the individual indicating their total assets minus liabilities.,The total financial remuneration received by the individual typically on an annual basis.,0
NetWorth,NumberCars,The net worth of the individual indicating their total assets minus liabilities.,The quantity of automobiles owned by the individual.,0
NetWorth,MaritalStatus,The net worth of the individual indicating their total assets minus liabilities.,The current legal or social relationship status of the individual,0
NetWorth,CreditRating,The net worth of the individual indicating their total assets minus liabilities.,A numerical representation of the individual's creditworthiness indicating their ability to manage financial obligations.,0
MiddleInitial,AgencyID,The middle initial of the individual.,A distinct identification code assigned to each record within the dataset facilitating unique reference and differentiation,0
MiddleInitial,Age,The middle initial of the individual.,The chronological age of the individual measured in years.,0
MiddleInitial,Country,The middle initial of the individual.,The sovereign nation in which the individual maintains their primary residence.,0
MiddleInitial,Phone,The middle initial of the individual.,The designated telephone number through which the individual can be reached.,0
MiddleInitial,NetWorth,The middle initial of the individual.,The financial value representing the individual's net worth calculated by subtracting liabilities from total assets.,0
MiddleInitial,MiddleInitial,The middle initial of the individual.,The single-letter abbreviation representing the middle name or initial of an individual.,1
MiddleInitial,OwnOrRentFlag,The middle initial of the individual.,A binary indicator specifying whether the individual owns or rents their primary residence.,0
MiddleInitial,Employer,The middle initial of the individual.,The organizational entity by which the individual is employed.,0
MiddleInitial,NumberChildren,The middle initial of the individual.,The total number of biological or adopted children associated with the individual.,0
MiddleInitial,NumberCreditCards,The middle initial of the individual.,The total count of credit cards associated with the individual.,0
