source,target,des1,des2,label
AgencyID,AgencyID,A unique identifier for each individual or record in the dataset.,A distinct identification code assigned to each record within the dataset facilitating unique reference and differentiation,1
AgencyID,LastName,A unique identifier for each individual or record in the dataset.,The family name associated with an individual typically indicating generational lineage.,0
AgencyID,FirstName,A unique identifier for each individual or record in the dataset.,The initial forename assigned to an individual at birth or registration.,0
AgencyID,MiddleInitial,A unique identifier for each individual or record in the dataset.,The single-letter abbreviation representing the middle name or initial of an individual.,0
AgencyID,Gender,A unique identifier for each individual or record in the dataset.,Denotes the biological or societal classification of an individual as male female or another gender category.,0
AgencyID,AddressLine1,A unique identifier for each individual or record in the dataset.,The principal residence or mailing address of an individual serving as the primary contact location.,0
AgencyID,AddressLine2,A unique identifier for each individual or record in the dataset.,Additional details regarding the residence such as apartment number or suite if applicable.,0
AgencyID,PostalCode,A unique identifier for each individual or record in the dataset.,A series of letters numbers or both appended to a postal address to assist in sorting and delivering mail.,0
AgencyID,City,A unique identifier for each individual or record in the dataset.,The urban or town area in which the individual resides.,0
AgencyID,State,A unique identifier for each individual or record in the dataset.,The administrative region or territory within a country where the individual's residence is situated.,0
AgencyID,Country,A unique identifier for each individual or record in the dataset.,The sovereign nation in which the individual maintains their primary residence.,0
AgencyID,Phone,A unique identifier for each individual or record in the dataset.,The designated telephone number through which the individual can be reached.,0
AgencyID,Income,A unique identifier for each individual or record in the dataset.,The total financial remuneration received by the individual typically on an annual basis.,0
AgencyID,NumberCars,A unique identifier for each individual or record in the dataset.,The quantity of automobiles owned by the individual.,0
AgencyID,NumberChildren,A unique identifier for each individual or record in the dataset.,The total number of biological or adopted children associated with the individual.,0
AgencyID,MaritalStatus,A unique identifier for each individual or record in the dataset.,The current legal or social relationship status of the individual,0
AgencyID,Age,A unique identifier for each individual or record in the dataset.,The chronological age of the individual measured in years.,0
AgencyID,CreditRating,A unique identifier for each individual or record in the dataset.,A numerical representation of the individual's creditworthiness indicating their ability to manage financial obligations.,0
AgencyID,OwnOrRentFlag,A unique identifier for each individual or record in the dataset.,A binary indicator specifying whether the individual owns or rents their primary residence.,0
AgencyID,Employer,A unique identifier for each individual or record in the dataset.,The organizational entity by which the individual is employed.,0
AgencyID,NumberCreditCards,A unique identifier for each individual or record in the dataset.,The total count of credit cards associated with the individual.,0
AgencyID,NetWorth,A unique identifier for each individual or record in the dataset.,The financial value representing the individual's net worth calculated by subtracting liabilities from total assets.,0
LastName,AgencyID,The last name of the individual indicating their family name.,A distinct identification code assigned to each record within the dataset facilitating unique reference and differentiation,0
LastName,LastName,The last name of the individual indicating their family name.,The family name associated with an individual typically indicating generational lineage.,1
LastName,FirstName,The last name of the individual indicating their family name.,The initial forename assigned to an individual at birth or registration.,0
LastName,MiddleInitial,The last name of the individual indicating their family name.,The single-letter abbreviation representing the middle name or initial of an individual.,0
LastName,Gender,The last name of the individual indicating their family name.,Denotes the biological or societal classification of an individual as male female or another gender category.,0
LastName,AddressLine1,The last name of the individual indicating their family name.,The principal residence or mailing address of an individual serving as the primary contact location.,0
LastName,AddressLine2,The last name of the individual indicating their family name.,Additional details regarding the residence such as apartment number or suite if applicable.,0
LastName,PostalCode,The last name of the individual indicating their family name.,A series of letters numbers or both appended to a postal address to assist in sorting and delivering mail.,0
LastName,City,The last name of the individual indicating their family name.,The urban or town area in which the individual resides.,0
LastName,State,The last name of the individual indicating their family name.,The administrative region or territory within a country where the individual's residence is situated.,0
LastName,Country,The last name of the individual indicating their family name.,The sovereign nation in which the individual maintains their primary residence.,0
LastName,Phone,The last name of the individual indicating their family name.,The designated telephone number through which the individual can be reached.,0
LastName,Income,The last name of the individual indicating their family name.,The total financial remuneration received by the individual typically on an annual basis.,0
LastName,NumberCars,The last name of the individual indicating their family name.,The quantity of automobiles owned by the individual.,0
LastName,NumberChildren,The last name of the individual indicating their family name.,The total number of biological or adopted children associated with the individual.,0
LastName,MaritalStatus,The last name of the individual indicating their family name.,The current legal or social relationship status of the individual,0
LastName,Age,The last name of the individual indicating their family name.,The chronological age of the individual measured in years.,0
LastName,CreditRating,The last name of the individual indicating their family name.,A numerical representation of the individual's creditworthiness indicating their ability to manage financial obligations.,0
LastName,OwnOrRentFlag,The last name of the individual indicating their family name.,A binary indicator specifying whether the individual owns or rents their primary residence.,0
LastName,Employer,The last name of the individual indicating their family name.,The organizational entity by which the individual is employed.,0
LastName,NumberCreditCards,The last name of the individual indicating their family name.,The total count of credit cards associated with the individual.,0
LastName,NetWorth,The last name of the individual indicating their family name.,The financial value representing the individual's net worth calculated by subtracting liabilities from total assets.,0
FirstName,AgencyID,The first name of the individual.,A distinct identification code assigned to each record within the dataset facilitating unique reference and differentiation,0
FirstName,LastName,The first name of the individual.,The family name associated with an individual typically indicating generational lineage.,0
FirstName,FirstName,The first name of the individual.,The initial forename assigned to an individual at birth or registration.,1
FirstName,MiddleInitial,The first name of the individual.,The single-letter abbreviation representing the middle name or initial of an individual.,0
FirstName,Gender,The first name of the individual.,Denotes the biological or societal classification of an individual as male female or another gender category.,0
FirstName,AddressLine1,The first name of the individual.,The principal residence or mailing address of an individual serving as the primary contact location.,0
FirstName,AddressLine2,The first name of the individual.,Additional details regarding the residence such as apartment number or suite if applicable.,0
FirstName,PostalCode,The first name of the individual.,A series of letters numbers or both appended to a postal address to assist in sorting and delivering mail.,0
FirstName,City,The first name of the individual.,The urban or town area in which the individual resides.,0
FirstName,State,The first name of the individual.,The administrative region or territory within a country where the individual's residence is situated.,0
FirstName,Country,The first name of the individual.,The sovereign nation in which the individual maintains their primary residence.,0
FirstName,Phone,The first name of the individual.,The designated telephone number through which the individual can be reached.,0
FirstName,Income,The first name of the individual.,The total financial remuneration received by the individual typically on an annual basis.,0
FirstName,NumberCars,The first name of the individual.,The quantity of automobiles owned by the individual.,0
FirstName,NumberChildren,The first name of the individual.,The total number of biological or adopted children associated with the individual.,0
FirstName,MaritalStatus,The first name of the individual.,The current legal or social relationship status of the individual,0
FirstName,Age,The first name of the individual.,The chronological age of the individual measured in years.,0
FirstName,CreditRating,The first name of the individual.,A numerical representation of the individual's creditworthiness indicating their ability to manage financial obligations.,0
FirstName,OwnOrRentFlag,The first name of the individual.,A binary indicator specifying whether the individual owns or rents their primary residence.,0
FirstName,Employer,The first name of the individual.,The organizational entity by which the individual is employed.,0
FirstName,NumberCreditCards,The first name of the individual.,The total count of credit cards associated with the individual.,0
FirstName,NetWorth,The first name of the individual.,The financial value representing the individual's net worth calculated by subtracting liabilities from total assets.,0
MiddleInitial,AgencyID,The middle initial of the individual.,A distinct identification code assigned to each record within the dataset facilitating unique reference and differentiation,0
MiddleInitial,LastName,The middle initial of the individual.,The family name associated with an individual typically indicating generational lineage.,0
MiddleInitial,FirstName,The middle initial of the individual.,The initial forename assigned to an individual at birth or registration.,0
MiddleInitial,MiddleInitial,The middle initial of the individual.,The single-letter abbreviation representing the middle name or initial of an individual.,1
MiddleInitial,Gender,The middle initial of the individual.,Denotes the biological or societal classification of an individual as male female or another gender category.,0
MiddleInitial,AddressLine1,The middle initial of the individual.,The principal residence or mailing address of an individual serving as the primary contact location.,0
MiddleInitial,AddressLine2,The middle initial of the individual.,Additional details regarding the residence such as apartment number or suite if applicable.,0
MiddleInitial,PostalCode,The middle initial of the individual.,A series of letters numbers or both appended to a postal address to assist in sorting and delivering mail.,0
MiddleInitial,City,The middle initial of the individual.,The urban or town area in which the individual resides.,0
MiddleInitial,State,The middle initial of the individual.,The administrative region or territory within a country where the individual's residence is situated.,0
MiddleInitial,Country,The middle initial of the individual.,The sovereign nation in which the individual maintains their primary residence.,0
