source,target,des1,des2,label
AgencyID,prospect_AgID,A unique identifier for each individual or record in the dataset.,A distinct identification code assigned to each record within the dataset facilitating unique reference and differentiation,1
AgencyID,prospect_LaN,A unique identifier for each individual or record in the dataset.,The family name associated with an individual typically indicating generational lineage.,0
AgencyID,prospect_FirN,A unique identifier for each individual or record in the dataset.,The initial forename assigned to an individual at birth or registration.,0
AgencyID,prospect_MidInit,A unique identifier for each individual or record in the dataset.,The single-letter abbreviation representing the middle name or initial of an individual.,0
AgencyID,prospect_Gen,A unique identifier for each individual or record in the dataset.,Denotes the biological or societal classification of an individual as male female or another gender category.,0
AgencyID,prospect_AddLi1,A unique identifier for each individual or record in the dataset.,The principal residence or mailing address of an individual serving as the primary contact location.,0
AgencyID,prospect_AddLi2,A unique identifier for each individual or record in the dataset.,Additional details regarding the residence such as apartment number or suite if applicable.,0
AgencyID,prospect_PosCo,A unique identifier for each individual or record in the dataset.,A series of letters numbers or both appended to a postal address to assist in sorting and delivering mail.,0
AgencyID,prospect_Ci,A unique identifier for each individual or record in the dataset.,The urban or town area in which the individual resides.,0
AgencyID,prospect_St,A unique identifier for each individual or record in the dataset.,The administrative region or territory within a country where the individual's residence is situated.,0
AgencyID,prospect_Cou,A unique identifier for each individual or record in the dataset.,The sovereign nation in which the individual maintains their primary residence.,0
AgencyID,prospect_Pho,A unique identifier for each individual or record in the dataset.,The designated telephone number through which the individual can be reached.,0
AgencyID,prospect_Inc,A unique identifier for each individual or record in the dataset.,The total financial remuneration received by the individual typically on an annual basis.,0
AgencyID,prospect_NuC,A unique identifier for each individual or record in the dataset.,The quantity of automobiles owned by the individual.,0
AgencyID,prospect_NumCh,A unique identifier for each individual or record in the dataset.,The total number of biological or adopted children associated with the individual.,0
AgencyID,prospect_MarSt,A unique identifier for each individual or record in the dataset.,The current legal or social relationship status of the individual,0
AgencyID,prospect_Ag,A unique identifier for each individual or record in the dataset.,The chronological age of the individual measured in years.,0
