File;Matcher;Precision;Recall;F1;NUI;PME;HSR;;;;;;;
assays_both_0_1_ac2_ev_.csv;ComaInstResult;1;1;1,00;56;0,388888889;0,611111111;;;;;;;
assays_both_0_1_ac2_ev_.csv;ComaInstAdjusted;0;0;0,00000000;144;1;0;;Matcher;average F1;Precision;Recall;PME;HSR
assays_both_0_1_ac2_ev_.csv;ComaOptResult;1;1;1,00000000;56;0,388888889;0,611111111;;ComaInstResult;0,756781907;0,79464099;0,79464099;0,20050681;0,79949319
assays_both_0_1_ac2_ev_.csv;ComaOptAdjusted;0;0;0,00;144;1;0;;ComaInstAdjusted;0,264663879;0,239393215;0,389417246;0,702969641;0,297030359
assays_both_0_1_ac2_ev_.csv;CupidResult;1;0,006944444;0,01379310;56;0,388888889;0,611111111;;ComaOptResult;0,674541006;0,704099392;0,759425493;0,238926433;0,761073567
assays_both_0_1_ac2_ev_.csv;CupidAdjusted;1;0,006944444;0,01379310;56;0,388888889;0,611111111;;ComaOptAdjusted;0,260824281;0,239768023;0,351116796;0,72284764;0,27715236
assays_both_0_1_ac2_ev_.csv;DistributionBasedResult;0;0;0,00000000;144;1;0;;CupidResult;0,060459547;1;0,0313752;0,538432722;0,461567278
assays_both_0_1_ac2_ev_.csv;DistributionBasedAdjusted;0;0;0,00000000;144;1;0;;CupidAdjusted;0,060459547;1;0,0313752;0,538432722;0,461567278
assays_both_0_1_ac2_ev_.csv;JaccardLevenMatcherResult;1;0,009090909;0,01801802;56;0,388888889;0,611111111;;DistributionBasedResult;0,33910846;0,576337183;0,302228846;0,314081418;0,685918582
assays_both_0_1_ac2_ev_.csv;JaccardLevenMatcherAdjusted;0;0;0,00000000;144;1;0;;DistributionBasedAdjusted;0,30879736;0,416790181;0,319575894;0,376900974;0,623099026
assays_both_0_1_ac2_ev_.csv;SimilarityFloodingResult;1;0,006944444;0,01379310;56;0,388888889;0,611111111;;JaccardLevenMatcherResult;0,063220676;0,965555361;0,032955379;0,422939959;0,577060041
assays_both_0_1_ac2_ev_.csv;SimilarityFloodingAdjusted;0;0;0,00000000;144;1;0;;JaccardLevenMatcherAdjusted;0,015621641;0,01235984;0,030932759;0,720392572;0,279607428
assays_both_0_1_ac2_ev_.csv;SmatResult;1;1;1,00000000;56;0,388888889;0,611111111;;SimilarityFloodingResult;0,060459547;1;0,0313752;0,538432722;0,461567278
assays_both_0_1_ac3_av_.csv;ComaInstResult;0;0;0,00000000;137,5;0,954861111;0,045138889;;SimilarityFloodingAdjusted;0;0;0;1;0
