File;Matcher;Precision;Recall;F1;NUI;PME;HSR;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac2_ev_,csv;ComaInstResult;1;1;1;56;0,388888889;0,611111111;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac2_ev_,csv;ComaInstAdjusted;0;0;0;144;1;0;;Matcher;average F1;Precision;Recall;PME;HSR;;Matcher;assays average F1;miller average F1;prospect average F1;musicians average F1;unionable average F1;view-unionable average F1;average F1 with 1 match;average F1 with 50% match;average F1 with 100% match
assays_both_0_1_ac2_ev_,csv;ComaOptResult;1;1;1;56;0,388888889;0,611111111;;ComaInstResult;0,756781907;0,79464099;0,79464099;0,192995945;0,807004055;;ComaInstResult;0,674471367;0,723057769;0,826909614;0,944444444;0,857196702;0,676769782;0,286794539;0,829025843;0,897918099
assays_both_0_1_ac2_ev_,csv;ComaOptAdjusted;0;0;0;144;1;0;;ComaInstAdjusted;0,264663879;0,239393215;0,389417246;0,701063557;0,298936443;;ComaInstAdjusted;0,296243887;0,249761313;0,246568023;0,733333333;0,272456842;0,254087922;0,16;0,269406168;0,365572673
assays_both_0_1_ac2_ev_,csv;CupidResult;0;0;0;144;1;0;;ComaOptResult;0,674541006;0,704099392;0,759425493;0,231166087;0,768833913;;ComaOptResult;0,578250596;0,665159711;0,741539335;0,774193548;0,743227065;0,620086936;0,293836386;0,725028029;0,812026451
assays_both_0_1_ac2_ev_,csv;CupidAdjusted;1;0,006944444;0,013793103;69;0,479166667;0,520833333;;ComaOptAdjusted;0,260824281;0,239768023;0,351116796;0,721129947;0,278870053;;ComaOptAdjusted;0,295294385;0,244217387;0,242800811;0,642857143;0,269571818;0,250337902;0,16;0,270320703;0,353711519
assays_both_0_1_ac2_ev_,csv;DistributionBasedResult;0;0;0;144;1;0;;CupidResult;0,256184373;0,371485222;0,364308871;0,463635149;0,536364851;;CupidResult;0,301857675;0,176310172;0,268572328;0,377777778;0,26608166;0,247306741;0,202962963;0,263767084;0,307252768
assays_both_0_1_ac2_ev_,csv;DistributionBasedAdjusted;0;0;0;144;1;0;;CupidAdjusted;0,060459547;1;0,0313752;0,626107595;0,373892405;;CupidAdjusted;0,068207277;0,03126871;0,071012176;0,090692124;0,073864184;0,049728699;0,011789124;0,068909942;0,074303233
assays_both_0_1_ac2_ev_,csv;JaccardLevenMatcherResult;1;0,1;0,181818182;56,81818182;0,394570707;0,605429293;;DistributionBasedResult;0,345636647;0,566742322;0,310150073;0,309924431;0,690075569;;DistributionBasedResult;0,414231775;0,147969486;0,41057793;0,210526316;0,466818198;0,252554;0,002301062;0,398645711;0,492502285
assays_both_0_1_ac2_ev_,csv;JaccardLevenMatcherAdjusted;0;0;0;144;1;0;;DistributionBasedAdjusted;0,30879736;0,416790181;0,319575894;0,365482536;0,634517464;;DistributionBasedAdjusted;0,380549917;0,149212955;0,349873739;0,252873563;0,429665809;0,215197163;0;0,355283848;0,448577645
