sourceName,targName,ComaInstResult,ComaInstAdjusted,ComaOptResult,ComaOptAdjusted,CupidResult,CupidAdjusted,DistributionBasedResult,DistributionBasedAdjusted,JaccardLevenMatcherResult,JaccardLevenMatcherAdjusted,SimilarityFloodingResult,SimilarityFloodingAdjusted,SmatResult,groundtruth
Fiscal year,FiYe,0.424652,0.0,0.280815,0.0,0.6666666666666667,1.0,1.0,0.0,1.0,0.0,0.0463554354961557,0.0,1,1
Fiscal year,CIDABusDeliMod,0.0,0.0,0.0,0.0,0.4882539682539683,1.0,0.0,0.0,0.3333333333333333,0.0,0.0346895440979899,0.0,0,0
Fiscal year,CoReID,0.0,0.0,0.0,0.0,0.4114285714285715,1.0,0.0,0.0,0.0070422535211267,0.0,0.0326308573806666,0.0,0,0
Fiscal year,Bio,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0337278080163082,0.0,0,0
Fiscal year,OrganN,0.0,0.0,0.0,0.0,0.5748484848484848,1.0,0.0,0.0,0.0029498525073746,0.0,0.0326308573806666,0.0,0,0
Fiscal year,DivID,0.0,0.0,0.0,0.0,0.4031746031746032,1.0,0.0,0.0,0.0769230769230769,0.0,0.0329882682690908,0.0,0,0
Fiscal year,ProPr,0.0,0.0,0.0,0.0,0.5333333333333333,1.0,0.0,0.0,1.0,0.0,0.0329882682690908,0.0,0,0
Fiscal year,DiviN,0.0,0.0,0.0,0.0,0.5081818181818182,1.0,0.0,0.0,0.0769230769230769,0.0,0.0329882682690908,0.0,0,0
Fiscal year,ContiID,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.2,0.0,0.0321847006885085,0.0,0,0
Fiscal year,SecID,0.0,0.0,0.0,0.0,0.5753246753246752,1.0,0.0,0.0,0.04,0.0,0.0329882682690908,0.0,0,0
Fiscal year,PrNum,0.0,0.0,0.0,0.0,0.3777777777777777,1.0,0.0,0.0,0.0015552099533437,0.0,0.0329882682690908,0.0,0,0
Fiscal year,TrDev,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0328598101444208,0.0,0,0
Fiscal year,BraN,0.0,0.0,0.0,0.0,0.5015151515151515,1.0,0.0,0.0,0.2,0.0,0.0333933339426382,0.0,0,0
Fiscal year,ContiN,0.0,0.0,0.0,0.0,0.5045454545454545,1.0,0.0,0.0,0.2,0.0,0.0326308573806666,0.0,0,0
