sourceName,targName,ComaInstResult,ComaInstAdjusted,ComaOptResult,ComaOptAdjusted,CupidResult,CupidAdjusted,DistributionBasedResult,DistributionBasedAdjusted,JaccardLevenMatcherResult,JaccardLevenMatcherAdjusted,SimilarityFloodingResult,SimilarityFloodingAdjusted,SmatResult,groundtruth
Fiscal year,miller2_fsclr,0.116873085,0.0,0.14609136,0.0,0.6363636363636364,1.0,0.0,0.0,0.0333333333333333,0.0,0.0445229370867501,0.0,1,1
Fiscal year,miller2_brnchd,0.0,0.0,0.0,0.0,0.446993006993007,1.0,0.0,0.0,0.1666666666666666,0.0,0.0400838607321679,0.0,0,0
Fiscal year,miller2_rgnstnsb-clss,0.0,0.0,0.0,0.0,0.4717703349282297,1.0,0.0,0.0,0.8,0.0,0.0368693571650566,0.0,0,0
Fiscal year,miller2_cntnntd,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.1666666666666666,0.0,0.0394196993285313,0.0,0,0
Fiscal year,miller2_sctrprcnt,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.1621621621621621,0.0,0.0383349103180747,0.0,0,0
Fiscal year,miller2_sctrnm,0.0,0.0,0.0,0.0,0.4787878787878788,1.0,0.0,0.0,0.2439024390243902,0.0,0.0400838607321679,0.0,0,0
Fiscal year,miller2_stts,0.0,0.0,0.0,0.0,0.446993006993007,1.0,0.0,0.0,0.1,0.0,0.0413616758147463,0.0,0,0
Fiscal year,miller2_prjctnmbr,0.0,0.0,0.0,0.0,0.4377622377622377,1.0,0.0,0.0,0.046656298600311,0.0,0.0385094100054195,0.0,0,0
Fiscal year,miller2_clmtchngmtgtn(mrkr),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.1333333333333333,0.0,0.0349576932203376,0.0,0,0
Fiscal year,miller2_gndrqlt(mrkr),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.1333333333333333,0.0,0.0367703832017913,0.0,0,0
Fiscal year,miller2_prtcptrdvlpmntndgdgvrnnc,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.1333333333333333,0.0,0.0338335443946299,0.0,0,0
Fiscal year,miller2_mxmmcdcntrbtn(prjct-lvl),0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.0583657587548638,0.0,0.0337580186705504,0.0,0,0
Fiscal year,miller2_rgnlprgrm(mrkr),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0666666666666666,0.0,0.0360950673263478,0.0,0,0
Fiscal year,miller2_sctnd,0.0,0.0,0.0,0.0,0.4909090909090909,1.0,0.0,0.0,0.8333333333333334,0.0,0.0406961471259034,0.0,0,0
Fiscal year,miller2_ntdmnt(prjct-lvlbdgt),0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.0691244239631336,0.0,0.0343987835012038,0.0,0,0
Fiscal year,miller2_rbnsss(mrkr),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.1333333333333333,0.0,0.0371407177141313,0.0,0,0
Fiscal year,miller2_chldrnsss(mrkr),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.1333333333333333,0.0,0.0360950673263478,0.0,0,0
Fiscal year,miller2_thsss(mrkr),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.1333333333333333,0.0,0.0375357411939607,0.0,0,0
Fiscal year,miller2_ndgnssss(mrkr),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.1333333333333333,0.0,0.0364224932053507,0.0,0,0
Fiscal year,miller2_dsbltsss(mrkr),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.1333333333333333,0.0,0.0364224932053507,0.0,0,0
Fiscal year,miller2_ctstlfrdvlpmnt(mrkr),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.1,0.0,0.0347098039921046,0.0,0,0
Fiscal year,miller2_knwldgfrdvlpmnt(mrkr),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.1333333333333333,0.0,0.0344743092252833,0.0,0,0
Fiscal year,miller2_rgnstnd,0.0,0.0,0.0,0.0,0.4433566433566434,1.0,0.0,0.0,0.0884955752212389,0.0,0.0395186732917967,0.0,0,0
Fiscal year,miller2_rgnstnnm,0.0,0.0,0.0,0.0,0.4403263403263403,1.0,0.0,0.0,0.0884955752212389,0.0,0.0389953515877493,0.0,0,0
Fiscal year,miller2_rgnstntp,0.0,0.0,0.0,0.0,0.4403263403263403,1.0,0.0,0.0,0.1333333333333333,0.0,0.0389953515877493,0.0,0,0
Fiscal year,miller2_rgnstnclss,0.0,0.0,0.0,0.0,0.4954545454545455,1.0,0.0,0.0,0.2,0.0,0.0380569816356642,0.0,0,0
Fiscal year,miller2_cntnntnm,0.0,0.0,0.0,0.0,0.4355644355644356,1.0,0.0,0.0,0.1666666666666666,0.0,0.0389953515877493,0.0,0,0
Fiscal year,miller2_prjctbrwsrcntrd,0.0,0.0,0.0,0.0,0.4450882450882451,1.0,0.0,0.0,0.196078431372549,0.0,0.0361940412896131,0.0,0,0
Fiscal year,miller2_cntrrgnd,0.0,0.0,0.0,0.0,0.4403263403263403,1.0,0.0,0.0,0.2112676056338028,0.0,0.0389953515877493,0.0,0,0
Fiscal year,miller2_cntrrgnnm,0.0,0.0,0.0,0.0,0.4377622377622377,1.0,0.0,0.0,0.2068965517241379,0.0,0.0385094100054195,0.0,0,0
Fiscal year,miller2_cntrrgnprcnt,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.0746268656716417,0.0,0.0370651919900519,0.0,0,0
Fiscal year,miller2_sctrd,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.2439024390243902,0.0,0.040597173162638,0.0,0,0
Fiscal year,miller2_mntspnt,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.0059760956175298,0.0,0.0393441736044519,0.0,0,0
Branch ID,miller2_fsclr,0.0,0.0,0.0,0.0,0.3616161616161616,1.0,0.0,0.0,0.0086206896551724,0.0,0.0337383471970911,0.0,0,0
Branch ID,miller2_brnchd,0.2593957,0.0,0.19749463,0.0,0.6277777777777779,1.0,0.0,0.0,0.043103448275862,0.0,0.0413616758147463,0.0,1,1
Branch ID,miller2_rgnstnsb-clss,0.0,0.0,0.0,0.0,0.4152046783625731,1.0,0.0,0.0,0.2068965517241379,0.0,0.0345732831885486,0.0,0,0
Branch ID,miller2_cntnntd,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.043103448275862,0.0,0.0329435932409446,0.0,0,0
Branch ID,miller2_sctrprcnt,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.6270270270270271,0.0,0.0322793305998118,0.0,0,0
Branch ID,miller2_sctrnm,0.0,0.0,0.0,0.0,0.4222222222222223,1.0,0.0,0.0,0.943089430894309,0.0,0.0333753315486314,0.0,0,0
Branch ID,miller2_stts,0.0,0.0,0.0,0.0,0.3196581196581197,1.0,0.0,0.0,0.0258620689655172,0.0,0.0297624615234841,0.0,0,0
Branch ID,miller2_prjctnmbr,0.0,0.0,0.0,0.0,0.3955555555555556,1.0,0.0,0.0,0.1804043545878693,0.0,0.0324538302871566,0.0,0,0
Branch ID,miller2_clmtchngmtgtn(mrkr),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0344827586206896,0.0,0.0329435932409446,0.0,0,0
Branch ID,miller2_gndrqlt(mrkr),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0344827586206896,0.0,0.0314128772566059,0.0,0,0
Branch ID,miller2_prtcptrdvlpmntndgdgvrnnc,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0344827586206896,0.0,0.03201022983586,0.0,0,0
Branch ID,miller2_mxmmcdcntrbtn(prjct-lvl),0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.22568093385214,0.0,0.0319347041117806,0.0,0,0
Branch ID,miller2_rgnlprgrm(mrkr),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0172413793103448,0.0,0.0310301982605212,0.0,0,0
Branch ID,miller2_sctnd,0.0,0.0,0.0,0.0,0.3950937950937951,1.0,0.0,0.0,0.2155172413793103,0.0,0.0337383471970911,0.0,0,0
Branch ID,miller2_ntdmnt(prjct-lvlbdgt),0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.2672811059907834,0.0,0.0324652475209865,0.0,0,0
Branch ID,miller2_rbnsss(mrkr),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0344827586206896,0.0,0.031624010495825,0.0,0,0
Branch ID,miller2_chldrnsss(mrkr),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0344827586206896,0.0,0.0339002907311563,0.0,0,0
Branch ID,miller2_thsss(mrkr),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0344827586206896,0.0,0.0318502246807027,0.0,0,0
Branch ID,miller2_ndgnssss(mrkr),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0344827586206896,0.0,0.0312153655166912,0.0,0,0
Branch ID,miller2_dsbltsss(mrkr),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0344827586206896,0.0,0.0282526894179712,0.0,0,0
Branch ID,miller2_ctstlfrdvlpmnt(mrkr),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0258620689655172,0.0,0.030254497592782,0.0,0,0
Branch ID,miller2_knwldgfrdvlpmnt(mrkr),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0344827586206896,0.0,0.0301238532697944,0.0,0,0
Branch ID,miller2_rgnstnd,0.0,0.0,0.0,0.0,0.411965811965812,1.0,0.0,0.0,0.3421828908554572,0.0,0.0330425672042099,0.0,0,0
Branch ID,miller2_rgnstnnm,0.0,0.0,0.0,0.0,0.4031746031746032,1.0,0.0,0.0,0.3421828908554572,0.0,0.0327364240073422,0.0,0,0
Branch ID,miller2_rgnstntp,0.0,0.0,0.0,0.0,0.4031746031746032,1.0,0.0,0.0,0.0344827586206896,0.0,0.0327364240073422,0.0,0,0
Branch ID,miller2_rgnstnclss,0.0,0.0,0.0,0.0,0.4388888888888889,1.0,0.0,0.0,0.0517241379310344,0.0,0.0355937605114411,0.0,0,0
Branch ID,miller2_cntnntnm,0.0,0.0,0.0,0.0,0.3482295482295482,1.0,0.0,0.0,0.043103448275862,0.0,0.0327364240073422,0.0,0,0
Branch ID,miller2_prjctbrwsrcntrd,0.0,0.0,0.0,0.0,0.4031746031746032,1.0,0.0,0.0,0.7581699346405228,0.0,0.0311291722237865,0.0,0,0
Branch ID,miller2_cntrrgnd,0.0,0.0,0.0,0.0,0.4031746031746032,1.0,0.0,0.0,0.8169014084507042,0.0,0.0327364240073422,0.0,0,0
Branch ID,miller2_cntrrgnnm,0.0,0.0,0.0,0.0,0.3955555555555556,1.0,0.0,0.0,0.8,0.0,0.0324538302871566,0.0,0,0
Branch ID,miller2_cntrrgnprcnt,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.2885572139303483,0.0,0.0347154833600325,0.0,0,0
Branch ID,miller2_sctrd,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.943089430894309,0.0,0.0336393732338258,0.0,0,0
Branch ID,miller2_mntspnt,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.0231075697211155,0.0,0.0328680675168651,0.0,0,0
Organisation sub-class,miller2_fsclr,0.0,0.0,0.0,0.0,0.4199579831932774,1.0,0.0,0.0,0.0001599744040953,0.0,0.0358853254608389,0.0,0,0
Organisation sub-class,miller2_brnchd,0.0,0.0,0.0,0.0,0.3761111111111112,1.0,0.0,0.0,0.0007998720204767,0.0,0.0330425672042099,0.0,0,0
