sourceName,targName,ComaInstResult,ComaInstAdjusted,ComaOptResult,ComaOptAdjusted,CupidResult,CupidAdjusted,DistributionBasedResult,DistributionBasedAdjusted,JaccardLevenMatcherResult,JaccardLevenMatcherAdjusted,SimilarityFloodingResult,SimilarityFloodingAdjusted,SmatResult,groundtruth
Fiscal year,Fiscal year,0.73926735,1.0,0.9240842,1.0,0.0363636363636363,1.0,0.0,0.0,0.0333333333333333,0.0,0.0588397710164174,0.0,1,1
Fiscal year,Trade development (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.1333333333333333,0.0,0.030980464905407,0.0,0,0
Fiscal year,Bilateral aid (international marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0666666666666666,0.0,0.032034412170083,0.0,0,0
Fiscal year,Organisation sub-class,0.0,0.0,0.0,0.0,0.0363636363636363,1.0,0.0,0.0,0.8,0.0,0.0322269372125997,0.0,0,0
Fiscal year,Section ID,0.0,0.0,0.0,0.0,0.0363636363636363,1.0,0.0,0.0,0.8333333333333334,0.0,0.0279292124989397,0.0,0,0
Fiscal year,Regional program (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0666666666666666,0.0,0.0333884416420627,0.0,0,0
Fiscal year,Children issues (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.1333333333333333,0.0,0.03375209527168,0.0,0,0
Fiscal year,ICT as a tool for development (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.1,0.0,0.0315701734939757,0.0,0,0
Fiscal year,Biodiversity (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.1333333333333333,0.0,0.0325929493272746,0.0,0,0
Fiscal year,CountryRegion name,0.0,0.0,0.0,0.0,0.0363636363636363,1.0,0.0,0.0,0.2068965517241379,0.0,0.0285562015155214,0.0,0,0
Fiscal year,Amount spent,0.0,0.0,0.0,0.0,0.12,1.0,0.0,0.0,0.0059760956175298,0.0,0.0274878183047074,0.0,0,0
Fiscal year,Indigenous issues (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.1333333333333333,0.0,0.0330444449653976,0.0,0,0
Fiscal year,CountryRegion percent,0.0,0.0,0.0,0.0,0.12,1.0,0.0,0.0,0.0746268656716417,0.0,0.0303930945848028,0.0,0,0
Fiscal year,Organisation type,0.0,0.0,0.0,0.0,0.0363636363636363,1.0,0.0,0.0,0.1333333333333333,0.0,0.0370205532393743,0.0,0,0
Fiscal year,Status,0.0,0.0,0.0,0.0,0.0363636363636363,1.0,0.0,0.0,0.1,0.0,0.0251483318018656,0.0,0,0
Fiscal year,FSTC percent,0.0,0.0,0.0,0.0,0.12,1.0,0.0,0.0,0.6122448979591837,0.0,0.0341284498020683,0.0,0,0
Fiscal year,Urban issues (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.1333333333333333,0.0,0.0325929493272746,0.0,0,0
Fiscal year,Continent ID,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.1666666666666666,0.0,0.0273011961028151,0.0,0,0
Fiscal year,Enviromental sustainability (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.1,0.0,0.032034412170083,0.0,0,0
Fiscal year,Branch ID,0.0,0.0,0.0,0.0,0.0363636363636363,1.0,0.0,0.0,0.1666666666666666,0.0,0.0282928661285571,0.0,0,0
Fiscal year,CIDA business delivery model (old),0.0,0.0,0.0,0.0,0.0363636363636363,1.0,0.0,0.0,0.1,0.0,0.029141391264331,0.0,0,0
Fiscal year,Programming process (new),0.0,0.0,0.0,0.0,0.0363636363636363,1.0,0.0,0.0,0.0333333333333333,0.0,0.029141391264331,0.0,0,0
Fiscal year,Youth issues (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.1333333333333333,0.0,0.0325929493272746,0.0,0,0
Fiscal year,Desertification (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.1333333333333333,0.0,0.03375209527168,0.0,0,0
Fiscal year,IRTC percent,0.0,0.0,0.0,0.0,0.12,1.0,0.0,0.0,0.1,0.0,0.0308081340533879,0.0,0,0
Fiscal year,Participatory development and good governance,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.1333333333333333,0.0,0.0302064723829105,0.0,0,0
Fiscal year,Disability issues (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.1333333333333333,0.0,0.0371724050853787,0.0,0,0
Fiscal year,Knowledge for development (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.1333333333333333,0.0,0.0291458159631932,0.0,0,0
Fiscal year,Gender equality (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.1333333333333333,0.0,0.0315701734939757,0.0,0,0
Fiscal year,Organisation ID,0.0,0.0,0.0,0.0,0.0363636363636363,1.0,0.0,0.0,0.0884955752212389,0.0,0.032404949478846,0.0,0,0
Fiscal year,Organisation name,0.0,0.0,0.0,0.0,0.0363636363636363,1.0,0.0,0.0,0.0884955752212389,0.0,0.0342931510172439,0.0,0,0
Fiscal year,Organisation class,0.0,0.0,0.0,0.0,0.0363636363636363,1.0,0.0,0.0,0.2,0.0,0.0338229092548077,0.0,0,0
Fiscal year,Continent name,0.0,0.0,0.0,0.0,0.0363636363636363,1.0,0.0,0.0,0.1666666666666666,0.0,0.0298202113729501,0.0,0,0
Fiscal year,Project Browser country ID,0.0,0.0,0.0,0.0,0.0363636363636363,1.0,0.0,0.0,0.196078431372549,0.0,0.0289120601465543,0.0,0,0
Fiscal year,CountryRegion ID,0.0,0.0,0.0,0.0,0.0363636363636363,1.0,0.0,0.0,0.2112676056338028,0.0,0.0263129741450847,0.0,0,0
Fiscal year,Sector ID,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.2439024390243902,0.0,0.0282972908274193,0.0,0,0
Fiscal year,Sector name,0.0,0.0,0.0,0.0,0.0363636363636363,1.0,0.0,0.0,0.2439024390243902,0.0,0.0310698574819989,0.0,0,0
Fiscal year,Sector percent,0.0,0.0,0.0,0.0,0.12,1.0,0.0,0.0,0.1621621621621621,0.0,0.0330659487624906,0.0,0,0
Trade development (marker),Fiscal year,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0310989929789983,0.0,0,0
Trade development (marker),Trade development (marker),0.8836238,1.0,0.9379048,1.0,1.0,1.0,0.918401582875312,0.0,1.0,0.0,0.0590542793684654,0.0,1,1
Trade development (marker),Bilateral aid (international marker),0.0,0.0,0.0,0.0,0.8171428571428572,1.0,0.6446283177646478,0.0,0.5,0.0,0.0393465987956523,0.0,0,0
Trade development (marker),Organisation sub-class,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.1666666666666666,0.0,0.0303250004565019,0.0,0,0
Trade development (marker),Section ID,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.16,0.0,0.0292643440367845,0.0,0,0
Trade development (marker),Regional program (marker),0.0,0.0,0.0,0.0,0.8038095238095238,1.0,1.0,0.0,0.5,0.0,0.0403368131381589,0.0,0,0
