sourceName,targName,ComaInstResult,ComaInstAdjusted,ComaOptResult,ComaOptAdjusted,CupidResult,CupidAdjusted,DistributionBasedResult,DistributionBasedAdjusted,JaccardLevenMatcherResult,JaccardLevenMatcherAdjusted,SimilarityFloodingResult,SimilarityFloodingAdjusted,SmatResult,groundtruth
Fiscal year,Fiscal year,0.94122446,1.0,0.9265306,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0591432656706732,0.0,1,1
Fiscal year,Continent ID,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.2,0.0,0.0274873585163901,0.0,0,0
Fiscal year,Division ID,0.0,0.0,0.0,0.0,0.5357142857142857,1.0,0.0,0.0,0.0769230769230769,0.0,0.0313242876121437,0.0,0,0
Fiscal year,Disability issues (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0373760081787933,0.0,0,0
Fiscal year,Youth issues (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0327884613325704,0.0,0,0
Fiscal year,Branch ID,0.0,0.0,0.0,0.0,0.5371428571428571,1.0,0.0,0.0,0.2,0.0,0.0285423898062908,0.0,0,0
Fiscal year,Gender equality (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0317638784353255,0.0,0,0
Fiscal year,Project Browser country ID,0.0,0.0,0.0,0.0,0.5551820728291317,1.0,0.0,0.0,0.0065359477124183,0.0,0.0291626778305688,0.0,0,0
Fiscal year,Organisation class,0.0,0.0,0.0,0.0,0.8025974025974028,1.0,0.0,0.0,0.1666666666666666,0.0,0.03408220354036,0.0,0,0
Fiscal year,Continent name,0.0,0.0,0.0,0.0,0.6133333333333333,1.0,0.0,0.0,0.2,0.0,0.0300724335995099,0.0,0,0
Fiscal year,CountryRegion percent,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.0024875621890547,0.0,0.0302826603377708,0.0,0,0
Fiscal year,Division name,0.0,0.0,0.0,0.0,0.6352380952380954,1.0,0.0,0.0,0.0769230769230769,0.0,0.0336425357836879,0.0,0,0
Fiscal year,Status,0.0,0.0,0.0,0.0,0.4606060606060606,1.0,0.0,0.0,0.3333333333333333,0.0,0.0253922996437809,0.0,0,0
Fiscal year,Participatory development and good governance,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0303977679056656,0.0,0,0
Fiscal year,CFLI (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.5,0.0,0.0335853591415387,0.0,0,0
Fiscal year,Organisation type,0.0,0.0,0.0,0.0,0.6480519480519482,1.0,0.0,0.0,0.25,0.0,0.0372854971961143,0.0,0,0
Fiscal year,CountryRegion name,0.0,0.0,0.0,0.0,0.6354632034632035,1.0,0.0,0.0,0.0068965517241379,0.0,0.0288061904602941,0.0,0,0
Fiscal year,Amount spent,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.0001992031872509,0.0,0.0273722509484953,0.0,0,0
Fiscal year,Bilateral aid (international marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.5,0.0,0.0322289373390395,0.0,0,0
Fiscal year,Project number,0.0,0.0,0.0,0.0,0.6857142857142857,1.0,0.0,0.0,0.0015552099533437,0.0,0.0331325211859482,0.0,0,0
Fiscal year,ICT as a tool for development (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.3333333333333333,0.0,0.0317638784353255,0.0,0,0
Fiscal year,Biodiversity (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0327884613325704,0.0,0,0
Fiscal year,Indigenous issues (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0332407546836065,0.0,0,0
Fiscal year,Section ID,0.0,0.0,0.0,0.0,0.6315018315018316,1.0,0.0,0.0,0.04,0.0,0.0281780936650482,0.0,0,0
Fiscal year,Regional program (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.5,1.0,0.0335853591415387,0.0,0,0
Fiscal year,Climate change mitigation (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0310352861528402,0.0,0,0
Fiscal year,Desertification (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0339496552827814,0.0,0,0
Fiscal year,Trade development (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0311731279360131,0.0,0,0
Fiscal year,Urban issues (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0327884613325704,0.0,0,0
Fiscal year,Children issues (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0339496552827814,0.0,0,0
Fiscal year,Knowledge for development (marker),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0293352374937078,0.0,0,0
Fiscal year,Organisation ID,0.0,0.0,0.0,0.0,0.5980519480519482,1.0,0.0,0.0,0.0029498525073746,0.0,0.0326617384803423,0.0,0,0
Fiscal year,Organisation name,0.0,0.0,0.0,0.0,0.6975757575757577,1.0,0.0,0.0,0.0029498525073746,0.0,0.0345532761367945,0.0,0,0
Fiscal year,Organisation sub-class,0.0,0.0,0.0,0.0,0.650909090909091,1.0,0.0,0.0,0.0416666666666666,0.0,0.0324834116979158,0.0,0,0
Fiscal year,CountryRegion ID,0.0,0.0,0.0,0.0,0.5558441558441558,1.0,0.0,0.0,0.0070422535211267,0.0,0.0265589997039697,0.0,0,0
Fiscal year,Sector ID,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.008130081300813,0.0,0.0284852131641417,0.0,0,0
Fiscal year,Sector name,0.0,0.0,0.0,0.0,0.6975757575757577,1.0,0.0,0.0,0.008130081300813,0.0,0.0313242876121437,0.0,0,0
Fiscal year,Sector percent,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.0054054054054054,0.0,0.0329602369759042,0.0,0,0
Continent ID,Fiscal year,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.2,0.0,0.0274605417550635,0.0,0,0
Continent ID,Continent ID,0.93291026,1.0,0.92801285,1.0,1.0,1.0,0.9998999754228414,0.0,1.0,0.0,0.0591480994145676,0.0,1,1
Continent ID,Division ID,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.3846153846153846,0.0,0.0374390882325795,0.0,0,0
Continent ID,Disability issues (marker),0.0,0.0,0.0,0.0,0.5067936507936508,1.0,0.8118846449270303,0.0,0.8,0.0,0.028949866653664,0.0,0,0
Continent ID,Youth issues (marker),0.0,0.0,0.0,0.0,0.5398095238095239,1.0,0.8146007391449038,1.0,0.8,0.0,0.0324882454418103,0.0,0,0
Continent ID,Branch ID,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,1.0,0.0,0.0353800230864254,0.0,0,0
Continent ID,Gender equality (marker),0.0,0.0,0.0,0.0,0.516952380952381,1.0,0.9219919530283024,0.0,0.8,0.0,0.0293972478797514,0.0,0,0
