sourceName,targName,ComaInstResult,ComaInstAdjusted,ComaOptResult,ComaOptAdjusted,CupidResult,CupidAdjusted,DistributionBasedResult,DistributionBasedAdjusted,JaccardLevenMatcherResult,JaccardLevenMatcherAdjusted,SimilarityFloodingResult,SimilarityFloodingAdjusted,SmatResult,groundtruth
Fiscal year,fsclr,0.40031624,0.0,0.24235432,0.0,0.6471380471380472,1.0,1.0,0.0,1.0,0.0,0.0316926828247125,0.0,1,1
Fiscal year,prjctnmbr,0.0,0.0,0.0,0.0,0.3176068376068376,1.0,0.0,0.0,0.0015552099533437,0.0,0.0224988902442904,0.0,0,0
Fiscal year,stts,0.0,0.0,0.0,0.0,0.3066666666666666,1.0,0.0,0.0,0.3333333333333333,0.0,0.0204558252264188,0.0,0,0
Fiscal year,mxmmcdcntrbtn(prjct-lvl),0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.0019455252918287,0.0,0.0197946410070593,0.0,0,0
Fiscal year,brnchd,0.0,0.0,0.0,0.0,0.3511111111111111,1.0,0.0,0.0,0.2,0.0,0.0199751040457432,0.0,0,0
Fiscal year,brnchnm,0.0,0.0,0.0,0.0,0.337995337995338,1.0,0.0,0.0,0.2,0.0,0.019774803553795,0.0,0,0
Fiscal year,dvsnd,0.0,0.0,0.0,0.0,0.2969696969696969,1.0,0.0,0.0,0.0769230769230769,0.0,0.0202004420991849,0.0,0,0
Fiscal year,dvsnnm,0.0,0.0,0.0,0.0,0.2888888888888888,1.0,0.0,0.0,0.0769230769230769,0.0,0.0199751040457432,0.0,0,0
Fiscal year,sctnd,0.0,0.0,0.0,0.0,0.393939393939394,1.0,0.0,0.0,0.04,0.0,0.0240311890076941,0.0,0,0
Fiscal year,sctnnm,0.0,0.0,0.0,0.0,0.3777777777777778,1.0,0.0,0.0,0.04,0.0,0.0235805129008107,0.0,0,0
Fiscal year,rgnlprgrm(mrkr),0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.5,0.0,0.0210519546015779,0.0,0,0
Fiscal year,fndcntrd,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0192307692307692,0.0,0.0227889734426833,0.0,0,0
