sourceName,targName,ComaInstResult,ComaInstAdjusted,ComaOptResult,ComaOptAdjusted,CupidResult,CupidAdjusted,DistributionBasedResult,DistributionBasedAdjusted,JaccardLevenMatcherResult,JaccardLevenMatcherAdjusted,SimilarityFloodingResult,SimilarityFloodingAdjusted,SmatResult,groundtruth
Fiscal year,miller2_FiYe,0.29302907,0.0,0.0,0.0,0.6315151515151516,1.0,1.0,0.0,1.0,0.0,0.0275543512735638,0.0,1,1
Fiscal year,miller2_ProNum,0.0,0.0,0.0,0.0,0.4763636363636364,1.0,0.0,0.0,0.0015552099533437,0.0,0.026684976260539,0.0,0,0
Fiscal year,miller2_Sta,0.0,0.0,0.0,0.0,0.5232323232323233,1.0,0.0,0.0,0.3333333333333333,0.0,0.0280483143491461,0.0,0,0
Fiscal year,miller2_MaCIDAContri,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.0019455252918287,0.0,0.0266889415011636,0.0,0,0
Fiscal year,miller2_BraID,0.0,0.0,0.0,0.0,0.437975357975358,1.0,0.0,0.0,0.2,0.0,0.0271015517876134,0.0,0,0
Fiscal year,miller2_BrN,0.0,0.0,0.0,0.0,0.5775424575424575,1.0,0.0,0.0,0.2,0.0,0.0280483143491461,0.0,0,0
Fiscal year,miller2_DiviID,0.0,0.0,0.0,0.0,0.4433086913086913,1.0,0.0,0.0,0.0769230769230769,0.0,0.026684976260539,0.0,0,0
Fiscal year,miller2_DiN,0.0,0.0,0.0,0.0,0.5219580419580421,1.0,0.0,0.0,0.0769230769230769,0.0,0.0280483143491461,0.0,0,0
Fiscal year,miller2_SeID,0.0,0.0,0.0,0.0,0.4605394605394606,1.0,0.0,0.0,0.04,0.0,0.0275543512735638,0.0,0,0
Fiscal year,miller2_SecNa,0.0,0.0,0.0,0.0,0.5584415584415585,1.0,0.0,0.0,0.04,0.0,0.0271015517876134,0.0,0,0
Fiscal year,miller2_RePr,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.5,0.0,0.0275272854420345,0.0,0,0
Fiscal year,miller2_FCeID,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0192307692307692,0.0,0.0270744859560841,0.0,0,0
Fiscal year,miller2_FuCenN,0.0,0.0,0.0,0.0,0.5063936063936064,1.0,0.0,0.0,0.0192307692307692,0.0,0.026684976260539,0.0,0,0
Fiscal year,miller2_UntAmoProBud,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.0023041474654377,0.0,0.0246732534669327,0.0,0,0
Fiscal year,miller2_FSTCPer,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.0204081632653061,0.0,0.0262237827240334,0.0,0,0
Fiscal year,miller2_IRTCPerc,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.3333333333333333,0.0,0.0258677352649955,0.0,0,0
Fiscal year,miller2_CFLI,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.5,0.0,0.0275272854420345,0.0,0,0
Fiscal year,miller2_CIDABusiDelMod,0.0,0.0,0.0,0.0,0.4986270871985158,1.0,0.0,0.0,0.3333333333333333,0.0,0.0242612641030152,0.0,0,0
Fiscal year,miller2_ProgPr,0.0,0.0,0.0,0.0,0.4589277389277389,1.0,0.0,0.0,1.0,0.0,0.026684976260539,0.0,0,0
Fiscal year,miller2_BilaAMa,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.5,0.0,0.0262733791732487,0.0,0,0
Fiscal year,miller2_PBAT,0.0,0.0,0.0,0.0,0.456993006993007,1.0,0.0,0.0,1.0,0.0,0.0275543512735638,0.0,0,0
Fiscal year,miller2_EnvSustai,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.3333333333333333,0.0,0.0255867162165326,0.0,0,0
Fiscal year,miller2_ClChAdap,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.3333333333333333,0.0,0.0259173317142107,0.0,0,0
Fiscal year,miller2_CliChaMit,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0255867162165326,0.0,0,0
Fiscal year,miller2_Desert,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0266579104290097,0.0,0,0
Fiscal year,miller2_ParticDeveAnGoGove,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0251041963010024,0.0,0,0
Fiscal year,miller2_TrDevel,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0262733791732487,0.0,0,0
Fiscal year,miller2_Biod,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0275272854420345,0.0,0,0
Fiscal year,miller2_UrbIss,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0266579104290097,0.0,0,0
Fiscal year,miller2_ChilIss,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0262733791732487,0.0,0,0
Fiscal year,miller2_YouIs,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0270744859560841,0.0,0,0
Fiscal year,miller2_IndiIs,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0266579104290097,0.0,0,0
Fiscal year,miller2_DisIs,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0270744859560841,0.0,0,0
Fiscal year,miller2_ICTAAToFoDeve,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.3333333333333333,0.0,0.0244708889118691,0.0,0,0
Fiscal year,miller2_KnowlFDev,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0255867162165326,0.0,0,0
Fiscal year,miller2_GenEqu,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.25,0.0,0.0266579104290097,0.0,0,0
Fiscal year,miller2_OrganID,0.0,0.0,0.0,0.0,0.5237935397935398,1.0,0.0,0.0,0.0029498525073746,0.0,0.026300445004778,0.0,0,0
Fiscal year,miller2_OrganNa,0.0,0.0,0.0,0.0,0.5237935397935398,1.0,0.0,0.0,0.0029498525073746,0.0,0.026300445004778,0.0,0,0
Fiscal year,miller2_OrgTy,0.0,0.0,0.0,0.0,0.4646420246420246,1.0,0.0,0.0,0.25,0.0,0.0271015517876134,0.0,0,0
Fiscal year,miller2_OrganiCla,0.0,0.0,0.0,0.0,0.4905858585858586,1.0,0.0,0.0,0.1666666666666666,0.0,0.025613782048062,0.0,0,0
Fiscal year,miller2_OrganS,0.0,0.0,0.0,0.0,0.5475990675990676,1.0,0.0,0.0,0.0416666666666666,0.0,0.026684976260539,0.0,0,0
Fiscal year,miller2_ContID,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.2,0.0,0.0266579104290097,0.0,0,0
Fiscal year,miller2_ContN,0.0,0.0,0.0,0.0,0.513958041958042,1.0,0.0,0.0,0.2,0.0,0.0271015517876134,0.0,0,0
Fiscal year,miller2_ProBrowCoID,0.0,0.0,0.0,0.0,0.4855658627087199,1.0,0.0,0.0,0.0065359477124183,0.0,0.0250186741522414,0.0,0,0
Fiscal year,miller2_CouReID,0.0,0.0,0.0,0.0,0.4468642468642469,1.0,0.0,0.0,0.0070422535211267,0.0,0.026300445004778,0.0,0,0
Fiscal year,miller2_CouRegNa,0.0,0.0,0.0,0.0,0.4438154438154438,1.0,0.0,0.0,0.0068965517241379,0.0,0.0259443975457401,0.0,0,0
Fiscal year,miller2_CounRePer,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.0024875621890547,0.0,0.0255371197673174,0.0,0,0
Fiscal year,miller2_SecID,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.008130081300813,0.0,0.0270744859560841,0.0,0,0
Fiscal year,miller2_SeN,0.0,0.0,0.0,0.0,0.5311888111888112,1.0,0.0,0.0,0.008130081300813,0.0,0.0280483143491461,0.0,0,0
Fiscal year,miller2_SePerc,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.0054054054054054,0.0,0.0266083139797944,0.0,0,0
Fiscal year,miller2_AmoSp,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.0001992031872509,0.0,0.0270248895068688,0.0,0,0
Project number,miller2_FiYe,0.0,0.0,0.0,0.0,0.4232478632478633,1.0,0.0,0.0,0.000733137829912,0.0,0.0238971246562719,0.0,0,0
Project number,miller2_ProNum,0.0,0.0,0.0,0.0,0.6738461538461539,1.0,0.0,0.0,0.4714076246334311,0.0,0.0278454366573891,0.0,1,1
Project number,miller2_Sta,0.0,0.0,0.0,0.0,0.4646153846153846,1.0,0.0,0.0,0.002199413489736,0.0,0.0241855230980926,0.0,0,0
Project number,miller2_MaCIDAContri,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.37683284457478,0.0,0.0239618341607335,0.0,0,0
Project number,miller2_BraID,0.0,0.0,0.0,0.0,0.7405128205128206,1.0,0.0,0.0,0.0036656891495601,0.0,0.0236300890619934,0.0,0,0
Project number,miller2_BrN,0.0,0.0,0.0,0.0,0.6164102564102565,1.0,0.0,0.0,0.0036656891495601,0.0,0.0241855230980926,0.0,0,0
Project number,miller2_DiviID,0.0,0.0,0.0,0.0,0.633846153846154,1.0,0.0,0.0,0.0095307917888563,0.0,0.0233821274387348,0.0,0,0
Project number,miller2_DiN,0.0,0.0,0.0,0.0,0.5364102564102564,1.0,0.0,0.0,0.0095307917888563,0.0,0.0241855230980926,0.0,0,0
Project number,miller2_SeID,0.0,0.0,0.0,0.0,0.6871794871794872,1.0,0.0,0.0,0.0183284457478005,0.0,0.0238971246562719,0.0,0,0
Project number,miller2_SecNa,0.0,0.0,0.0,0.0,0.5950769230769231,1.0,0.0,0.0,0.0183284457478005,0.0,0.0236300890619934,0.0,0,0
Project number,miller2_RePr,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.001466275659824,0.0,0.0238700588247425,0.0,0,0
Project number,miller2_FCeID,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0381231671554252,0.0,0.0236030232304641,0.0,0,0
Project number,miller2_FuCenN,0.0,0.0,0.0,0.0,0.5433048433048433,1.0,0.0,0.0,0.0381231671554252,0.0,0.0233821274387348,0.0,0,0
Project number,miller2_UntAmoProBud,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.3181818181818182,0.0,0.0239618341607335,0.0,0,0
Project number,miller2_FSTCPer,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.0359237536656891,0.0,0.0230746043363357,0.0,0,0
Project number,miller2_IRTCPerc,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.002199413489736,0.0,0.0228591342361248,0.0,0,0
Project number,miller2_CFLI,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.001466275659824,0.0,0.0238700588247425,0.0,0,0
Project number,miller2_CIDABusiDelMod,0.0,0.0,0.0,0.0,0.4888134088134088,1.0,0.0,0.0,0.002199413489736,0.0,0.0218943576991834,0.0,0,0
Project number,miller2_ProgPr,0.0,0.0,0.21559191,0.0,0.622937062937063,1.0,0.0,0.0,0.000733137829912,0.0,0.025613782048062,0.0,0,0
Project number,miller2_BilaAMa,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.001466275659824,0.0,0.023124200785551,0.0,0,0
Project number,miller2_PBAT,0.0,0.0,0.0,0.0,0.5300699300699301,1.0,0.0,0.0,0.000733137829912,0.0,0.0238971246562719,0.0,0,0
Project number,miller2_EnvSustai,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.002199413489736,0.0,0.022707161881917,0.0,0,0
Project number,miller2_ClChAdap,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.002199413489736,0.0,0.0229087306853401,0.0,0,0
Project number,miller2_CliChaMit,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.002932551319648,0.0,0.022707161881917,0.0,0,0
Project number,miller2_Desert,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.002932551319648,0.0,0.0255867162165326,0.0,0,0
Project number,miller2_ParticDeveAnGoGove,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.002932551319648,0.0,0.0244708889118691,0.0,0,0
Project number,miller2_TrDevel,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.002932551319648,0.0,0.023124200785551,0.0,0,0
Project number,miller2_Biod,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.002932551319648,0.0,0.0238700588247425,0.0,0,0
Project number,miller2_UrbIss,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.002932551319648,0.0,0.0233550616072055,0.0,0,0
Project number,miller2_ChilIss,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.002932551319648,0.0,0.023124200785551,0.0,0,0
Project number,miller2_YouIs,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.002932551319648,0.0,0.0236030232304641,0.0,0,0
Project number,miller2_IndiIs,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.002932551319648,0.0,0.0233550616072055,0.0,0,0
Project number,miller2_DisIs,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.002932551319648,0.0,0.0236030232304641,0.0,0,0
Project number,miller2_ICTAAToFoDeve,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.002199413489736,0.0,0.0238013925290709,0.0,0,0
Project number,miller2_KnowlFDev,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.002932551319648,0.0,0.022707161881917,0.0,0,0
Project number,miller2_GenEqu,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.002932551319648,0.0,0.0255867162165326,0.0,0,0
Project number,miller2_OrganID,0.0,0.0,0.0,0.0,0.7847552447552448,1.0,0.0,0.0,0.2485337243401759,0.0,0.0231512666170803,0.0,0,0
