sourceName,targName,ComaInstResult,ComaInstAdjusted,ComaOptResult,ComaOptAdjusted,CupidResult,CupidAdjusted,DistributionBasedResult,DistributionBasedAdjusted,JaccardLevenMatcherResult,JaccardLevenMatcherAdjusted,SimilarityFloodingResult,SimilarityFloodingAdjusted,SmatResult,groundtruth
AgencyID,AgencyID,0.6816052,1.0,0.8498135,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1587689306741579,0.0,1,1
AgencyID,Employer,0.0,0.0,0.0,0.0,0.4262626262626263,1.0,0.0,0.0,0.1333600320384461,0.0,0.0734673238755431,0.0,0,0
AgencyID,LastName,0.0,0.0,0.0,0.0,0.6799999999999999,1.0,0.0,0.0,1.0,0.0,0.0734673238755431,0.0,0,0
AgencyID,PostalCode,0.0,0.0,0.0,0.0,0.5146153846153847,1.0,0.0,0.0,0.9552796689360566,0.0,0.0721133301168349,0.0,0,0
AgencyID,AddressLine2,0.0,0.0,0.0,0.0,0.6369747899159665,1.0,0.0,0.0,0.9499399279134962,0.0,0.0905276452352661,0.0,0,0
AgencyID,CreditRating,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.0735549325857695,0.0,0.0802644812860113,0.0,0,0
AgencyID,Income,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.9411293552262716,0.0,0.0886205570540389,0.0,0,0
AgencyID,NumberCars,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.000800961153384,0.0,0.071598921230279,0.0,0,0
AgencyID,NumberChildren,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.000800961153384,0.0,0.0784919803655206,0.0,0,0
AgencyID,MaritalStatus,0.0,0.0,0.0,0.0,0.6315384615384616,1.0,0.0,0.0,0.00066746762782,0.0,0.0612813800471695,0.0,0,0
AgencyID,Age,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.013482846081965,0.0,0.1139419987753346,0.0,0,0
AgencyID,OwnOrRentFlag,0.0,0.0,0.0,0.0,0.6020541549953315,1.0,0.0,0.0,0.000400480576692,0.0,0.079850437309453,0.0,0,0
AgencyID,NumberCreditCards,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.0014684287812041,0.0,0.0685659752107727,0.0,0,0
AgencyID,NetWorth,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.9425977840074756,0.0,0.0729529149889871,0.0,0,0
Employer,AgencyID,0.0,0.0,0.0,0.0,0.4262626262626263,1.0,0.0,0.0,0.1333600320384461,0.0,0.0734673238755431,0.0,0,0
Employer,Employer,0.81758845,1.0,0.8498135,1.0,1.0,1.0,0.9928614762732298,0.0,1.0,0.0,0.158768930674158,0.0,0,1
Employer,LastName,0.0,0.0,0.0,0.0,0.6553606237816765,1.0,0.0,0.0,0.1333600320384461,0.0,0.0856532677039166,0.0,0,0
Employer,PostalCode,0.0,0.0,0.0,0.0,0.3551515151515151,1.0,0.0,0.0,0.1396031302403577,0.0,0.0937772302561657,0.0,0,0
Employer,AddressLine2,0.0,0.0,0.0,0.0,0.4953846153846154,1.0,0.0,0.0,0.1403878583473861,0.0,0.0710301351098683,0.0,0,0
Employer,CreditRating,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.5515515515515516,0.0,0.0705157262233124,0.0,0,0
Employer,Income,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.1417021276595744,0.0,0.0886205570540389,0.0,0,0
Employer,NumberCars,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.006006006006006,0.0,0.0932628213696097,0.0,0,0
Employer,NumberChildren,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.006006006006006,0.0,0.0873544849679741,0.0,0,0
Employer,MaritalStatus,0.0,0.0,0.0,0.0,0.3551515151515151,1.0,0.0,0.0,0.005005005005005,0.0,0.0705659086783113,0.0,0,0
Employer,Age,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.1011011011011011,0.0,0.0784919803655206,0.0,0,0
Employer,OwnOrRentFlag,0.0,0.0,0.0,0.0,0.6266666666666667,1.0,0.0,0.0,0.003003003003003,0.0,0.0705659086783113,0.0,0,0
Employer,NumberCreditCards,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.011011011011011,0.0,0.0841639833110908,0.0,0,0
Employer,NetWorth,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.1414813765755558,0.0,0.0851388588173607,0.0,0,0
LastName,AgencyID,0.0,0.0,0.0,0.0,0.6799999999999999,1.0,0.0,0.0,0.9568815912428248,0.0,0.0734673238755431,0.0,0,0
LastName,Employer,0.0,0.0,0.0,0.0,0.6553606237816765,1.0,0.0,0.0,0.1393694196428571,0.0,0.0856532677039166,0.0,0,0
LastName,LastName,0.6816052,1.0,0.8498135,1.0,1.0,1.0,0.0,0.0,0.9568815912428248,0.0,0.158768930674158,0.0,0,1
