source,target,conf,realConf
Fiscal year,Fiscal year,0.65485084,1
Fiscal year,Trade development (marker),0,0
Fiscal year,Biodiversity (marker),0,0
Fiscal year,Urban issues (marker),0,0
Fiscal year,Children issues (marker),0,0
Fiscal year,Youth issues (marker),0,0
Fiscal year,Indigenous issues (marker),0,0
Fiscal year,Disability issues (marker),0,0
Fiscal year,ICT as a tool for development (marker),0,0
Fiscal year,Knowledge for development (marker),0,0
Fiscal year,Gender equality (marker),0,0
Fiscal year,Organisation ID,0,0
Fiscal year,Organisation name,0,0
Fiscal year,Organisation type,0,0
Fiscal year,Organisation class,0,0
Fiscal year,Organisation sub-class,0,0
Fiscal year,Continent ID,0,0
Fiscal year,Continent name,0,0
Fiscal year,Project Browser country ID,0,0
Fiscal year,CountryRegion ID,0,0
Fiscal year,CountryRegion name,0,0
Fiscal year,CountryRegion percent,0,0
Fiscal year,Sector ID,0,0
Fiscal year,Sector name,0,0
Fiscal year,Sector percent,0,0
Fiscal year,Amount spent,0,0
Project number,Fiscal year,0,0
Project number,Trade development (marker),0,0
Project number,Biodiversity (marker),0,0
Project number,Urban issues (marker),0,0
Project number,Children issues (marker),0,0
Project number,Youth issues (marker),0,0
Project number,Indigenous issues (marker),0,0
Project number,Disability issues (marker),0,0
Project number,ICT as a tool for development (marker),0,0
Project number,Knowledge for development (marker),0,0
Project number,Gender equality (marker),0,0
Project number,Organisation ID,0,0
Project number,Organisation name,0,0
Project number,Organisation type,0,0
Project number,Organisation class,0,0
Project number,Organisation sub-class,0,0
Project number,Continent ID,0,0
Project number,Continent name,0,0
Project number,Project Browser country ID,0.31790072,0
Project number,CountryRegion ID,0,0
Project number,CountryRegion name,0,0
Project number,CountryRegion percent,0,0
Project number,Sector ID,0,0
Project number,Sector name,0,0
Project number,Sector percent,0,0
Project number,Amount spent,0,0
Status,Fiscal year,0,0
Status,Trade development (marker),0,0
Status,Biodiversity (marker),0,0
Status,Urban issues (marker),0,0
Status,Children issues (marker),0,0
Status,Youth issues (marker),0,0
Status,Indigenous issues (marker),0,0
Status,Disability issues (marker),0,0
Status,ICT as a tool for development (marker),0,0
Status,Knowledge for development (marker),0,0
Status,Gender equality (marker),0,0
Status,Organisation ID,0,0
Status,Organisation name,0,0
Status,Organisation type,0,0
Status,Organisation class,0,0
Status,Organisation sub-class,0,0
Status,Continent ID,0,0
Status,Continent name,0,0
Status,Project Browser country ID,0,0
Status,CountryRegion ID,0,0
Status,CountryRegion name,0,0
Status,CountryRegion percent,0,0
Status,Sector ID,0,0
Status,Sector name,0,0
Status,Sector percent,0,0
Status,Amount spent,0,0
Maximum CIDA contribution (project-level),Fiscal year,0,0
Maximum CIDA contribution (project-level),Trade development (marker),0,0
Maximum CIDA contribution (project-level),Biodiversity (marker),0,0
Maximum CIDA contribution (project-level),Urban issues (marker),0,0
Maximum CIDA contribution (project-level),Children issues (marker),0,0
Maximum CIDA contribution (project-level),Youth issues (marker),0,0
Maximum CIDA contribution (project-level),Indigenous issues (marker),0,0
Maximum CIDA contribution (project-level),Disability issues (marker),0,0
Maximum CIDA contribution (project-level),ICT as a tool for development (marker),0,0
Maximum CIDA contribution (project-level),Knowledge for development (marker),0,0
Maximum CIDA contribution (project-level),Gender equality (marker),0,0
Maximum CIDA contribution (project-level),Organisation ID,0,0
Maximum CIDA contribution (project-level),Organisation name,0,0
Maximum CIDA contribution (project-level),Organisation type,0,0
Maximum CIDA contribution (project-level),Organisation class,0,0
Maximum CIDA contribution (project-level),Organisation sub-class,0,0
Maximum CIDA contribution (project-level),Continent ID,0,0
Maximum CIDA contribution (project-level),Continent name,0,0
Maximum CIDA contribution (project-level),Project Browser country ID,0,0
Maximum CIDA contribution (project-level),CountryRegion ID,0,0
Maximum CIDA contribution (project-level),CountryRegion name,0,0
Maximum CIDA contribution (project-level),CountryRegion percent,0,0
Maximum CIDA contribution (project-level),Sector ID,0,0
Maximum CIDA contribution (project-level),Sector name,0,0
Maximum CIDA contribution (project-level),Sector percent,0,0
Maximum CIDA contribution (project-level),Amount spent,0,0
Branch ID,Fiscal year,0,0
Branch ID,Trade development (marker),0,0
Branch ID,Biodiversity (marker),0,0
Branch ID,Urban issues (marker),0,0
Branch ID,Children issues (marker),0,0
Branch ID,Youth issues (marker),0,0
Branch ID,Indigenous issues (marker),0,0
Branch ID,Disability issues (marker),0,0
Branch ID,ICT as a tool for development (marker),0,0
Branch ID,Knowledge for development (marker),0,0
Branch ID,Gender equality (marker),0,0
Branch ID,Organisation ID,0,0
Branch ID,Organisation name,0,0
Branch ID,Organisation type,0,0
Branch ID,Organisation class,0,0
Branch ID,Organisation sub-class,0,0
Branch ID,Continent ID,0,0
Branch ID,Continent name,0,0
Branch ID,Project Browser country ID,0,0
Branch ID,CountryRegion ID,0,0
Branch ID,CountryRegion name,0,0
Branch ID,CountryRegion percent,0,0
Branch ID,Sector ID,0,0
Branch ID,Sector name,0,0
Branch ID,Sector percent,0,0
Branch ID,Amount spent,0,0
Branch name,Fiscal year,0,0
Branch name,Trade development (marker),0,0
Branch name,Biodiversity (marker),0,0
Branch name,Urban issues (marker),0,0
Branch name,Children issues (marker),0,0
Branch name,Youth issues (marker),0,0
Branch name,Indigenous issues (marker),0,0
