source,target,conf,realConf
Fiscal year,miller2_FiYe,0.2895935,1
Fiscal year,miller2_OrgCl,0,0
Fiscal year,miller2_OrganT,0,0
Fiscal year,miller2_TrDev,0,0
Fiscal year,miller2_Biodiv,0,0
Fiscal year,miller2_ContiID,0,0
Fiscal year,miller2_FCeID,0,0
Fiscal year,miller2_OrgaSu,0,0
Fiscal year,miller2_KnowFoDev,0,0
Fiscal year,miller2_BilaAiMar,0,0
Fiscal year,miller2_IndIss,0,0
Fiscal year,miller2_AmoSp,0,0
Fiscal year,miller2_ICTAATFDev,0,0
Fiscal year,miller2_SeN,0,0
Fiscal year,miller2_ContiNa,0,0
Fiscal year,miller2_OrgID,0,0
Fiscal year,miller2_ClimChaMiti,0,0
Fiscal year,miller2_ChiIss,0,0
Fiscal year,miller2_CoRePe,0,0
Fiscal year,miller2_SecPer,0,0
Fiscal year,miller2_MaxCIDAContr,0,0
Fiscal year,miller2_IRTCPe,0,0
Fiscal year,miller2_CliChAdap,0,0
Fiscal year,miller2_CouReNa,0,0
Fiscal year,miller2_UrIs,0,0
Fiscal year,miller2_ProPr,0,0
Fiscal year,miller2_PBATy,0,0
Fiscal year,miller2_EnviSustain,0,0
Fiscal year,miller2_Dese,0,0
Fiscal year,miller2_PartDeveAGoGove,0,0
Fiscal year,miller2_YoIs,0,0
Fiscal year,miller2_DisIss,0,0
Fiscal year,miller2_GenEqu,0,0
Fiscal year,miller2_OrganiN,0,0
Fiscal year,miller2_PrBroCoID,0,0
Fiscal year,miller2_CounRegID,0,0
Fiscal year,miller2_SecID,0,0
Fiscal year,miller2_SecN,0,0
Organisation class,miller2_FiYe,0,0
Organisation class,miller2_OrgCl,0.26580578,1
Organisation class,miller2_OrganT,0,0
Organisation class,miller2_TrDev,0,0
Organisation class,miller2_Biodiv,0,0
Organisation class,miller2_ContiID,0,0
Organisation class,miller2_FCeID,0,0
Organisation class,miller2_OrgaSu,0,0
Organisation class,miller2_KnowFoDev,0,0
Organisation class,miller2_BilaAiMar,0,0
Organisation class,miller2_IndIss,0,0
Organisation class,miller2_AmoSp,0,0
Organisation class,miller2_ICTAATFDev,0,0
Organisation class,miller2_SeN,0,0
Organisation class,miller2_ContiNa,0,0
Organisation class,miller2_OrgID,0,0
Organisation class,miller2_ClimChaMiti,0,0
Organisation class,miller2_ChiIss,0,0
Organisation class,miller2_CoRePe,0,0
Organisation class,miller2_SecPer,0,0
Organisation class,miller2_MaxCIDAContr,0,0
Organisation class,miller2_IRTCPe,0,0
Organisation class,miller2_CliChAdap,0,0
Organisation class,miller2_CouReNa,0,0
Organisation class,miller2_UrIs,0,0
Organisation class,miller2_ProPr,0,0
Organisation class,miller2_PBATy,0,0
Organisation class,miller2_EnviSustain,0,0
Organisation class,miller2_Dese,0,0
Organisation class,miller2_PartDeveAGoGove,0,0
Organisation class,miller2_YoIs,0,0
Organisation class,miller2_DisIss,0,0
Organisation class,miller2_GenEqu,0,0
Organisation class,miller2_OrganiN,0,0
Organisation class,miller2_PrBroCoID,0,0
Organisation class,miller2_CounRegID,0,0
Organisation class,miller2_SecID,0,0
Organisation class,miller2_SecN,0,0
Organisation type,miller2_FiYe,0,0
Organisation type,miller2_OrgCl,0,0
