source,target,conf,realConf
assay_id,ASI,0,1
assay_id,DI,0,0
assay_id,Descr,0,0
assay_id,ASSTY,0,0
assay_id,ASTTY,0,0
assay_id,ASSCA,0.3132823,0
assay_id,ASSORG,0,0
assay_id,ASTAI,0,0
assay_id,ASSTR,0,0
assay_id,ASSTIS,0,0
assay_id,ASCETY,0,0
assay_id,ASSSUBCEFRAC,0,0
assay_id,Ti,0,0
assay_id,RELATT,0,0
assay_id,CONFSCO,0,0
assay_id,CURAB,0,0
assay_id,SRI,0,0
assay_id,SASSI,0,0
assay_id,CHI,0,0
assay_id,CEI,0,0
assay_id,BFO,0,0
assay_id,TII,0,0
assay_id,VARI,0,0
doc_id,ASI,0,0
doc_id,DI,0,1
doc_id,Descr,0,0
doc_id,ASSTY,0,0
doc_id,ASTTY,0,0
doc_id,ASSCA,0,0
doc_id,ASSORG,0,0
doc_id,ASTAI,0,0
doc_id,ASSTR,0,0
doc_id,ASSTIS,0,0
doc_id,ASCETY,0,0
doc_id,ASSSUBCEFRAC,0,0
doc_id,Ti,0,0
doc_id,RELATT,0,0
doc_id,CONFSCO,0,0
doc_id,CURAB,0,0
doc_id,SRI,0,0
doc_id,SASSI,0,0
doc_id,CHI,0,0
doc_id,CEI,0,0
doc_id,BFO,0,0
doc_id,TII,0,0
doc_id,VARI,0,0
description,ASI,0,0
description,DI,0,0
description,Descr,0.41435522,1
description,ASSTY,0,0
description,ASTTY,0,0
description,ASSCA,0,0
description,ASSORG,0,0
description,ASTAI,0,0
description,ASSTR,0,0
description,ASSTIS,0,0
description,ASCETY,0,0
description,ASSSUBCEFRAC,0,0
description,Ti,0,0
description,RELATT,0,0
description,CONFSCO,0,0
description,CURAB,0,0
description,SRI,0,0
description,SASSI,0,0
description,CHI,0,0
description,CEI,0,0
description,BFO,0,0
description,TII,0,0
description,VARI,0,0
assay_type,ASI,0,0
assay_type,DI,0,0
assay_type,Descr,0,0
assay_type,ASSTY,0.32985693,1
assay_type,ASTTY,0,0
assay_type,ASSCA,0,0
assay_type,ASSORG,0,0
assay_type,ASTAI,0,0
assay_type,ASSTR,0,0
assay_type,ASSTIS,0,0
assay_type,ASCETY,0,0
assay_type,ASSSUBCEFRAC,0,0
assay_type,Ti,0,0
assay_type,RELATT,0,0
assay_type,CONFSCO,0,0
assay_type,CURAB,0,0
assay_type,SRI,0,0
assay_type,SASSI,0,0
assay_type,CHI,0,0
assay_type,CEI,0,0
assay_type,BFO,0,0
assay_type,TII,0,0
assay_type,VARI,0,0
assay_test_type,ASI,0,0
assay_test_type,DI,0,0
assay_test_type,Descr,0,0
assay_test_type,ASSTY,0,0
assay_test_type,ASTTY,0.40114826,1
assay_test_type,ASSCA,0,0
assay_test_type,ASSORG,0,0
assay_test_type,ASTAI,0,0
assay_test_type,ASSTR,0,0
assay_test_type,ASSTIS,0,0
assay_test_type,ASCETY,0,0
assay_test_type,ASSSUBCEFRAC,0,0
assay_test_type,Ti,0,0
assay_test_type,RELATT,0,0
assay_test_type,CONFSCO,0,0
assay_test_type,CURAB,0,0
assay_test_type,SRI,0,0
assay_test_type,SASSI,0,0
assay_test_type,CHI,0,0
assay_test_type,CEI,0,0
assay_test_type,BFO,0,0
assay_test_type,TII,0,0
assay_test_type,VARI,0,0
assay_category,ASI,0,0
assay_category,DI,0,0
assay_category,Descr,0,0
assay_category,ASSTY,0,0
assay_category,ASTTY,0,0
assay_category,ASSCA,0,1
assay_category,ASSORG,0,0
assay_category,ASTAI,0,0
assay_category,ASSTR,0,0
assay_category,ASSTIS,0,0
assay_category,ASCETY,0,0
assay_category,ASSSUBCEFRAC,0,0
assay_category,Ti,0,0
assay_category,RELATT,0,0
assay_category,CONFSCO,0,0
assay_category,CURAB,0,0
assay_category,SRI,0,0
assay_category,SASSI,0,0
assay_category,CHI,0,0
assay_category,CEI,0,0
assay_category,BFO,0,0
assay_category,TII,0,0
assay_category,VARI,0,0
assay_organism,ASI,0,0
assay_organism,DI,0,0
assay_organism,Descr,0,0
assay_organism,ASSTY,0,0
assay_organism,ASTTY,0,0
assay_organism,ASSCA,0,0
assay_organism,ASSORG,0.44396776,1
assay_organism,ASTAI,0,0
assay_organism,ASSTR,0,0
assay_organism,ASSTIS,0,0
assay_organism,ASCETY,0,0
assay_organism,ASSSUBCEFRAC,0,0
assay_organism,Ti,0,0
assay_organism,RELATT,0,0
assay_organism,CONFSCO,0,0
assay_organism,CURAB,0,0
assay_organism,SRI,0,0
assay_organism,SASSI,0,0
