source,target,conf,realConf
Fiscal year,Fiscal year,0.7142418,1
Fiscal year,FSTC percent,0,0
Fiscal year,Section ID,0,0
Fiscal year,Participatory development and good governance,0,0
Fiscal year,CIDA business delivery model (old),0,0
Fiscal year,CountryRegion ID,0,0
Fiscal year,Organisation class,0,0
Fiscal year,Sector ID,0,0
Fiscal year,Enviromental sustainability (marker),0,0
Fiscal year,Organisation name,0,0
Fiscal year,CountryRegion name,0,0
Fiscal year,Continent ID,0,0
Fiscal year,Climate change adaptation (marker),0,0
Fiscal year,Section name,0,0
Fiscal year,Trade development (marker),0,0
Fiscal year,Biodiversity (marker),0,0
Fiscal year,Urban issues (marker),0,0
Fiscal year,Children issues (marker),0,0
Fiscal year,Youth issues (marker),0,0
Fiscal year,Indigenous issues (marker),0,0
Fiscal year,Disability issues (marker),0,0
Fiscal year,ICT as a tool for development (marker),0,0
Fiscal year,Knowledge for development (marker),0,0
Fiscal year,Gender equality (marker),0,0
Fiscal year,Organisation ID,0,0
Fiscal year,Organisation type,0,0
Fiscal year,Organisation sub-class,0,0
Fiscal year,Continent name,0,0
Fiscal year,Project Browser country ID,0,0
Fiscal year,CountryRegion percent,0,0
Fiscal year,Sector name,0,0
Fiscal year,Sector percent,0,0
Fiscal year,Amount spent,0,0
FSTC percent,Fiscal year,0,0
FSTC percent,FSTC percent,0,1
FSTC percent,Section ID,0,0
FSTC percent,Participatory development and good governance,0,0
FSTC percent,CIDA business delivery model (old),0,0
FSTC percent,CountryRegion ID,0,0
FSTC percent,Organisation class,0,0
FSTC percent,Sector ID,0,0
FSTC percent,Enviromental sustainability (marker),0,0
FSTC percent,Organisation name,0,0
FSTC percent,CountryRegion name,0,0
FSTC percent,Continent ID,0,0
FSTC percent,Climate change adaptation (marker),0,0
FSTC percent,Section name,0,0
FSTC percent,Trade development (marker),0,0
FSTC percent,Biodiversity (marker),0,0
FSTC percent,Urban issues (marker),0,0
FSTC percent,Children issues (marker),0,0
FSTC percent,Youth issues (marker),0,0
FSTC percent,Indigenous issues (marker),0,0
FSTC percent,Disability issues (marker),0,0
FSTC percent,ICT as a tool for development (marker),0,0
FSTC percent,Knowledge for development (marker),0,0
FSTC percent,Gender equality (marker),0,0
FSTC percent,Organisation ID,0,0
FSTC percent,Organisation type,0,0
FSTC percent,Organisation sub-class,0,0
FSTC percent,Continent name,0,0
FSTC percent,Project Browser country ID,0,0
FSTC percent,CountryRegion percent,0,0
FSTC percent,Sector name,0,0
FSTC percent,Sector percent,0,0
FSTC percent,Amount spent,0,0
Section ID,Fiscal year,0,0
Section ID,FSTC percent,0,0
Section ID,Section ID,0.7129431,1
Section ID,Participatory development and good governance,0,0
Section ID,CIDA business delivery model (old),0,0
Section ID,CountryRegion ID,0,0
Section ID,Organisation class,0,0
Section ID,Sector ID,0,0
Section ID,Enviromental sustainability (marker),0,0
Section ID,Organisation name,0,0
Section ID,CountryRegion name,0,0
Section ID,Continent ID,0,0
Section ID,Climate change adaptation (marker),0,0
Section ID,Section name,0,0
Section ID,Trade development (marker),0,0
Section ID,Biodiversity (marker),0,0
Section ID,Urban issues (marker),0,0
Section ID,Children issues (marker),0,0
Section ID,Youth issues (marker),0,0
Section ID,Indigenous issues (marker),0,0
Section ID,Disability issues (marker),0,0
Section ID,ICT as a tool for development (marker),0,0
Section ID,Knowledge for development (marker),0,0
Section ID,Gender equality (marker),0,0
Section ID,Organisation ID,0,0
Section ID,Organisation type,0,0
Section ID,Organisation sub-class,0,0
Section ID,Continent name,0,0
Section ID,Project Browser country ID,0,0
Section ID,CountryRegion percent,0,0
Section ID,Sector name,0,0
Section ID,Sector percent,0,0
Section ID,Amount spent,0,0
Participatory development and good governance,Fiscal year,0,0
Participatory development and good governance,FSTC percent,0,0
Participatory development and good governance,Section ID,0,0
Participatory development and good governance,Participatory development and good governance,0.9296034,1
Participatory development and good governance,CIDA business delivery model (old),0,0
Participatory development and good governance,CountryRegion ID,0,0
Participatory development and good governance,Organisation class,0,0
Participatory development and good governance,Sector ID,0,0
Participatory development and good governance,Enviromental sustainability (marker),0,0
Participatory development and good governance,Organisation name,0,0
Participatory development and good governance,CountryRegion name,0,0
Participatory development and good governance,Continent ID,0,0
Participatory development and good governance,Climate change adaptation (marker),0,0
Participatory development and good governance,Section name,0,0
Participatory development and good governance,Trade development (marker),0,0
Participatory development and good governance,Biodiversity (marker),0,0
Participatory development and good governance,Urban issues (marker),0,0
Participatory development and good governance,Children issues (marker),0,0
Participatory development and good governance,Youth issues (marker),0,0
Participatory development and good governance,Indigenous issues (marker),0,0
Participatory development and good governance,Disability issues (marker),0,0
Participatory development and good governance,ICT as a tool for development (marker),0,0
Participatory development and good governance,Knowledge for development (marker),0,0
Participatory development and good governance,Gender equality (marker),0,0
Participatory development and good governance,Organisation ID,0,0
Participatory development and good governance,Organisation type,0,0
Participatory development and good governance,Organisation sub-class,0,0
Participatory development and good governance,Continent name,0,0
Participatory development and good governance,Project Browser country ID,0,0
Participatory development and good governance,CountryRegion percent,0,0
Participatory development and good governance,Sector name,0,0
Participatory development and good governance,Sector percent,0,0
Participatory development and good governance,Amount spent,0,0
CIDA business delivery model (old),Fiscal year,0,0
CIDA business delivery model (old),FSTC percent,0,0
CIDA business delivery model (old),Section ID,0,0
CIDA business delivery model (old),Participatory development and good governance,0,0
CIDA business delivery model (old),CIDA business delivery model (old),0.7278782,1
CIDA business delivery model (old),CountryRegion ID,0,0
CIDA business delivery model (old),Organisation class,0,0
CIDA business delivery model (old),Sector ID,0,0
CIDA business delivery model (old),Enviromental sustainability (marker),0,0
CIDA business delivery model (old),Organisation name,0,0
CIDA business delivery model (old),CountryRegion name,0,0
CIDA business delivery model (old),Continent ID,0,0
CIDA business delivery model (old),Climate change adaptation (marker),0,0
CIDA business delivery model (old),Section name,0,0
CIDA business delivery model (old),Trade development (marker),0,0
CIDA business delivery model (old),Biodiversity (marker),0,0
CIDA business delivery model (old),Urban issues (marker),0,0
CIDA business delivery model (old),Children issues (marker),0,0
CIDA business delivery model (old),Youth issues (marker),0,0
CIDA business delivery model (old),Indigenous issues (marker),0,0
CIDA business delivery model (old),Disability issues (marker),0,0
CIDA business delivery model (old),ICT as a tool for development (marker),0,0
CIDA business delivery model (old),Knowledge for development (marker),0,0
CIDA business delivery model (old),Gender equality (marker),0,0
CIDA business delivery model (old),Organisation ID,0,0
CIDA business delivery model (old),Organisation type,0,0
CIDA business delivery model (old),Organisation sub-class,0,0
CIDA business delivery model (old),Continent name,0,0
CIDA business delivery model (old),Project Browser country ID,0,0
CIDA business delivery model (old),CountryRegion percent,0,0
CIDA business delivery model (old),Sector name,0,0
CIDA business delivery model (old),Sector percent,0,0
CIDA business delivery model (old),Amount spent,0,0
CountryRegion ID,Fiscal year,0,0
CountryRegion ID,FSTC percent,0,0
CountryRegion ID,Section ID,0,0
CountryRegion ID,Participatory development and good governance,0,0
CountryRegion ID,CIDA business delivery model (old),0,0
CountryRegion ID,CountryRegion ID,0.7982713,1
CountryRegion ID,Organisation class,0,0
CountryRegion ID,Sector ID,0,0
CountryRegion ID,Enviromental sustainability (marker),0,0
CountryRegion ID,Organisation name,0,0
CountryRegion ID,CountryRegion name,0,0
CountryRegion ID,Continent ID,0,0
CountryRegion ID,Climate change adaptation (marker),0,0
CountryRegion ID,Section name,0,0
CountryRegion ID,Trade development (marker),0,0
CountryRegion ID,Biodiversity (marker),0,0
CountryRegion ID,Urban issues (marker),0,0
CountryRegion ID,Children issues (marker),0,0
CountryRegion ID,Youth issues (marker),0,0
CountryRegion ID,Indigenous issues (marker),0,0
CountryRegion ID,Disability issues (marker),0,0
CountryRegion ID,ICT as a tool for development (marker),0,0
CountryRegion ID,Knowledge for development (marker),0,0
CountryRegion ID,Gender equality (marker),0,0
CountryRegion ID,Organisation ID,0,0
CountryRegion ID,Organisation type,0,0
CountryRegion ID,Organisation sub-class,0,0
CountryRegion ID,Continent name,0,0
CountryRegion ID,Project Browser country ID,0,0
CountryRegion ID,CountryRegion percent,0,0
CountryRegion ID,Sector name,0,0
CountryRegion ID,Sector percent,0,0
CountryRegion ID,Amount spent,0,0
Organisation class,Fiscal year,0,0
Organisation class,FSTC percent,0,0
Organisation class,Section ID,0,0
Organisation class,Participatory development and good governance,0,0
Organisation class,CIDA business delivery model (old),0,0
Organisation class,CountryRegion ID,0,0
Organisation class,Organisation class,0.72082484,1
Organisation class,Sector ID,0,0
Organisation class,Enviromental sustainability (marker),0,0
Organisation class,Organisation name,0,0
Organisation class,CountryRegion name,0,0
Organisation class,Continent ID,0,0
Organisation class,Climate change adaptation (marker),0,0
Organisation class,Section name,0,0
Organisation class,Trade development (marker),0,0
Organisation class,Biodiversity (marker),0,0
Organisation class,Urban issues (marker),0,0
Organisation class,Children issues (marker),0,0
Organisation class,Youth issues (marker),0,0
Organisation class,Indigenous issues (marker),0,0
Organisation class,Disability issues (marker),0,0
Organisation class,ICT as a tool for development (marker),0,0
Organisation class,Knowledge for development (marker),0,0
Organisation class,Gender equality (marker),0,0
Organisation class,Organisation ID,0,0
Organisation class,Organisation type,0,0
Organisation class,Organisation sub-class,0,0
Organisation class,Continent name,0,0
Organisation class,Project Browser country ID,0,0
Organisation class,CountryRegion percent,0,0
Organisation class,Sector name,0,0
Organisation class,Sector percent,0,0
Organisation class,Amount spent,0,0
Sector ID,Fiscal year,0,0
Sector ID,FSTC percent,0,0
Sector ID,Section ID,0,0
Sector ID,Participatory development and good governance,0,0
Sector ID,CIDA business delivery model (old),0,0
Sector ID,CountryRegion ID,0,0
Sector ID,Organisation class,0,0
Sector ID,Sector ID,0.82921445,1
Sector ID,Enviromental sustainability (marker),0,0
Sector ID,Organisation name,0,0
Sector ID,CountryRegion name,0,0
Sector ID,Continent ID,0,0
Sector ID,Climate change adaptation (marker),0,0
Sector ID,Section name,0,0
Sector ID,Trade development (marker),0,0
Sector ID,Biodiversity (marker),0,0
Sector ID,Urban issues (marker),0,0
Sector ID,Children issues (marker),0,0
Sector ID,Youth issues (marker),0,0
Sector ID,Indigenous issues (marker),0,0
Sector ID,Disability issues (marker),0,0
Sector ID,ICT as a tool for development (marker),0,0
Sector ID,Knowledge for development (marker),0,0
Sector ID,Gender equality (marker),0,0
Sector ID,Organisation ID,0,0
Sector ID,Organisation type,0,0
Sector ID,Organisation sub-class,0,0
Sector ID,Continent name,0,0
Sector ID,Project Browser country ID,0,0
Sector ID,CountryRegion percent,0,0
Sector ID,Sector name,0,0
Sector ID,Sector percent,0,0
Sector ID,Amount spent,0,0
Enviromental sustainability (marker),Fiscal year,0,0
Enviromental sustainability (marker),FSTC percent,0,0
Enviromental sustainability (marker),Section ID,0,0
Enviromental sustainability (marker),Participatory development and good governance,0,0
Enviromental sustainability (marker),CIDA business delivery model (old),0,0
Enviromental sustainability (marker),CountryRegion ID,0,0
Enviromental sustainability (marker),Organisation class,0,0
Enviromental sustainability (marker),Sector ID,0,0
Enviromental sustainability (marker),Enviromental sustainability (marker),0.92844856,1
Enviromental sustainability (marker),Organisation name,0,0
Enviromental sustainability (marker),CountryRegion name,0,0
Enviromental sustainability (marker),Continent ID,0,0
Enviromental sustainability (marker),Climate change adaptation (marker),0,0
Enviromental sustainability (marker),Section name,0,0
Enviromental sustainability (marker),Trade development (marker),0,0
Enviromental sustainability (marker),Biodiversity (marker),0,0
Enviromental sustainability (marker),Urban issues (marker),0,0
Enviromental sustainability (marker),Children issues (marker),0,0
Enviromental sustainability (marker),Youth issues (marker),0,0
Enviromental sustainability (marker),Indigenous issues (marker),0,0
Enviromental sustainability (marker),Disability issues (marker),0,0
Enviromental sustainability (marker),ICT as a tool for development (marker),0,0
Enviromental sustainability (marker),Knowledge for development (marker),0,0
Enviromental sustainability (marker),Gender equality (marker),0,0
Enviromental sustainability (marker),Organisation ID,0,0
Enviromental sustainability (marker),Organisation type,0,0
Enviromental sustainability (marker),Organisation sub-class,0,0
Enviromental sustainability (marker),Continent name,0,0
Enviromental sustainability (marker),Project Browser country ID,0,0
Enviromental sustainability (marker),CountryRegion percent,0,0
Enviromental sustainability (marker),Sector name,0,0
Enviromental sustainability (marker),Sector percent,0,0
Enviromental sustainability (marker),Amount spent,0,0
Organisation name,Fiscal year,0,0
Organisation name,FSTC percent,0,0
Organisation name,Section ID,0,0
Organisation name,Participatory development and good governance,0,0
Organisation name,CIDA business delivery model (old),0,0
Organisation name,CountryRegion ID,0,0
Organisation name,Organisation class,0,0
Organisation name,Sector ID,0,0
Organisation name,Enviromental sustainability (marker),0,0
Organisation name,Organisation name,0.7200859,1
Organisation name,CountryRegion name,0,0
Organisation name,Continent ID,0,0
Organisation name,Climate change adaptation (marker),0,0
Organisation name,Section name,0,0
Organisation name,Trade development (marker),0,0
Organisation name,Biodiversity (marker),0,0
Organisation name,Urban issues (marker),0,0
Organisation name,Children issues (marker),0,0
Organisation name,Youth issues (marker),0,0
Organisation name,Indigenous issues (marker),0,0
Organisation name,Disability issues (marker),0,0
Organisation name,ICT as a tool for development (marker),0,0
Organisation name,Knowledge for development (marker),0,0
Organisation name,Gender equality (marker),0,0
Organisation name,Organisation ID,0,0
Organisation name,Organisation type,0,0
Organisation name,Organisation sub-class,0,0
Organisation name,Continent name,0,0
Organisation name,Project Browser country ID,0,0
Organisation name,CountryRegion percent,0,0
Organisation name,Sector name,0,0
Organisation name,Sector percent,0,0
Organisation name,Amount spent,0,0
CountryRegion name,Fiscal year,0,0
CountryRegion name,FSTC percent,0,0
CountryRegion name,Section ID,0,0
CountryRegion name,Participatory development and good governance,0,0
CountryRegion name,CIDA business delivery model (old),0,0
CountryRegion name,CountryRegion ID,0,0
CountryRegion name,Organisation class,0,0
CountryRegion name,Sector ID,0,0
CountryRegion name,Enviromental sustainability (marker),0,0
CountryRegion name,Organisation name,0,0
CountryRegion name,CountryRegion name,0.7241248,1
CountryRegion name,Continent ID,0,0
CountryRegion name,Climate change adaptation (marker),0,0
CountryRegion name,Section name,0,0
CountryRegion name,Trade development (marker),0,0
CountryRegion name,Biodiversity (marker),0,0
CountryRegion name,Urban issues (marker),0,0
CountryRegion name,Children issues (marker),0,0
CountryRegion name,Youth issues (marker),0,0
CountryRegion name,Indigenous issues (marker),0,0
CountryRegion name,Disability issues (marker),0,0
CountryRegion name,ICT as a tool for development (marker),0,0
CountryRegion name,Knowledge for development (marker),0,0
CountryRegion name,Gender equality (marker),0,0
CountryRegion name,Organisation ID,0,0
CountryRegion name,Organisation type,0,0
CountryRegion name,Organisation sub-class,0,0
CountryRegion name,Continent name,0,0
CountryRegion name,Project Browser country ID,0,0
CountryRegion name,CountryRegion percent,0,0
CountryRegion name,Sector name,0,0
CountryRegion name,Sector percent,0,0
CountryRegion name,Amount spent,0,0
Continent ID,Fiscal year,0,0
Continent ID,FSTC percent,0,0
Continent ID,Section ID,0,0
Continent ID,Participatory development and good governance,0,0
Continent ID,CIDA business delivery model (old),0,0
Continent ID,CountryRegion ID,0,0
Continent ID,Organisation class,0,0
Continent ID,Sector ID,0,0
Continent ID,Enviromental sustainability (marker),0,0
Continent ID,Organisation name,0,0
Continent ID,CountryRegion name,0,0
Continent ID,Continent ID,0.90592754,1
Continent ID,Climate change adaptation (marker),0,0
Continent ID,Section name,0,0
Continent ID,Trade development (marker),0,0
Continent ID,Biodiversity (marker),0,0
Continent ID,Urban issues (marker),0,0
Continent ID,Children issues (marker),0,0
Continent ID,Youth issues (marker),0,0
Continent ID,Indigenous issues (marker),0,0
Continent ID,Disability issues (marker),0,0
Continent ID,ICT as a tool for development (marker),0,0
Continent ID,Knowledge for development (marker),0,0
Continent ID,Gender equality (marker),0,0
Continent ID,Organisation ID,0,0
Continent ID,Organisation type,0,0
Continent ID,Organisation sub-class,0,0
Continent ID,Continent name,0,0
Continent ID,Project Browser country ID,0,0
Continent ID,CountryRegion percent,0,0
Continent ID,Sector name,0,0
Continent ID,Sector percent,0,0
Continent ID,Amount spent,0,0
Climate change adaptation (marker),Fiscal year,0,0
Climate change adaptation (marker),FSTC percent,0,0
Climate change adaptation (marker),Section ID,0,0
Climate change adaptation (marker),Participatory development and good governance,0,0
Climate change adaptation (marker),CIDA business delivery model (old),0,0
Climate change adaptation (marker),CountryRegion ID,0,0
Climate change adaptation (marker),Organisation class,0,0
Climate change adaptation (marker),Sector ID,0,0
Climate change adaptation (marker),Enviromental sustainability (marker),0,0
Climate change adaptation (marker),Organisation name,0,0
Climate change adaptation (marker),CountryRegion name,0,0
Climate change adaptation (marker),Continent ID,0,0
Climate change adaptation (marker),Climate change adaptation (marker),0.89608115,1
Climate change adaptation (marker),Section name,0,0
Climate change adaptation (marker),Trade development (marker),0,0
Climate change adaptation (marker),Biodiversity (marker),0,0
Climate change adaptation (marker),Urban issues (marker),0,0
Climate change adaptation (marker),Children issues (marker),0,0
Climate change adaptation (marker),Youth issues (marker),0,0
Climate change adaptation (marker),Indigenous issues (marker),0,0
Climate change adaptation (marker),Disability issues (marker),0,0
Climate change adaptation (marker),ICT as a tool for development (marker),0,0
Climate change adaptation (marker),Knowledge for development (marker),0,0
Climate change adaptation (marker),Gender equality (marker),0,0
Climate change adaptation (marker),Organisation ID,0,0
Climate change adaptation (marker),Organisation type,0,0
Climate change adaptation (marker),Organisation sub-class,0,0
Climate change adaptation (marker),Continent name,0,0
Climate change adaptation (marker),Project Browser country ID,0,0
Climate change adaptation (marker),CountryRegion percent,0,0
Climate change adaptation (marker),Sector name,0,0
Climate change adaptation (marker),Sector percent,0,0
Climate change adaptation (marker),Amount spent,0,0
Section name,Fiscal year,0,0
Section name,FSTC percent,0,0
Section name,Section ID,0,0
Section name,Participatory development and good governance,0,0
Section name,CIDA business delivery model (old),0,0
Section name,CountryRegion ID,0,0
Section name,Organisation class,0,0
Section name,Sector ID,0,0
Section name,Enviromental sustainability (marker),0,0
Section name,Organisation name,0,0
Section name,CountryRegion name,0,0
Section name,Continent ID,0,0
Section name,Climate change adaptation (marker),0,0
Section name,Section name,0.7154276,1
Section name,Trade development (marker),0,0
Section name,Biodiversity (marker),0,0
Section name,Urban issues (marker),0,0
Section name,Children issues (marker),0,0
Section name,Youth issues (marker),0,0
Section name,Indigenous issues (marker),0,0
Section name,Disability issues (marker),0,0
Section name,ICT as a tool for development (marker),0,0
Section name,Knowledge for development (marker),0,0
Section name,Gender equality (marker),0,0
Section name,Organisation ID,0,0
Section name,Organisation type,0,0
Section name,Organisation sub-class,0,0
Section name,Continent name,0,0
Section name,Project Browser country ID,0,0
Section name,CountryRegion percent,0,0
Section name,Sector name,0,0
Section name,Sector percent,0,0
Section name,Amount spent,0,0
Trade development (marker),Fiscal year,0,0
Trade development (marker),FSTC percent,0,0
Trade development (marker),Section ID,0,0
Trade development (marker),Participatory development and good governance,0,0
Trade development (marker),CIDA business delivery model (old),0,0
Trade development (marker),CountryRegion ID,0,0
Trade development (marker),Organisation class,0,0
Trade development (marker),Sector ID,0,0
Trade development (marker),Enviromental sustainability (marker),0,0
Trade development (marker),Organisation name,0,0
Trade development (marker),CountryRegion name,0,0
Trade development (marker),Continent ID,0,0
