source,target,conf,realConf
Fiscal year,FisY,0.28605795,1
Fiscal year,Sta,0,0
Fiscal year,KnoFDevelo,0,0
Fiscal year,PrNu,0,0
Fiscal year,CliChaMiti,0,0
Fiscal year,OrgN,0,0
Fiscal year,GeEqu,0,0
Fiscal year,CFLI,0,0
Fiscal year,DiID,0,0
Fiscal year,RegProg,0,0
Fiscal year,CouRegPe,0,0
Fiscal year,EnvSust,0,0
Fiscal year,SectID,0,0
Fiscal year,FSTCPer,0,0
Fiscal year,OrgCl,0,0
Fiscal year,OrganiTy,0,0
Fiscal year,CouRegID,0,0
Fiscal year,ICTAATFDev,0,0
Fiscal year,BrN,0,0
Fiscal year,ContiID,0,0
Fiscal year,SeID,0,0
Fiscal year,BilatAiMar,0,0
Fiscal year,AmoSp,0,0
Fiscal year,ContNa,0,0
Fiscal year,YoIs,0,0
Fiscal year,ProgrPro,0,0
Fiscal year,SectNa,0,0
Fiscal year,SecPer,0,0
Fiscal year,BrID,0,0
Fiscal year,CouRegNa,0,0
Fiscal year,PartDevAnGoGov,0,0
Fiscal year,CliChAdap,0,0
Fiscal year,IndiIs,0,0
Fiscal year,DisaIs,0,0
Fiscal year,OrganiS,0,0
Fiscal year,Deser,0,0
Fiscal year,TraDevel,0,0
Fiscal year,Biod,0,0
Fiscal year,UrbIs,0,0
Fiscal year,ChiIss,0,0
Fiscal year,OrganiID,0,0
Fiscal year,ProBroCounID,0,0
Fiscal year,SecN,0,0
Status,FisY,0,0
Status,Sta,0.3785739,1
Status,KnoFDevelo,0,0
Status,PrNu,0,0
Status,CliChaMiti,0,0
Status,OrgN,0,0
Status,GeEqu,0,0
Status,CFLI,0,0
Status,DiID,0,0
Status,RegProg,0,0
Status,CouRegPe,0,0
Status,EnvSust,0,0
Status,SectID,0,0
Status,FSTCPer,0,0
Status,OrgCl,0,0
Status,OrganiTy,0,0
Status,CouRegID,0,0
Status,ICTAATFDev,0,0
Status,BrN,0,0
Status,ContiID,0,0
Status,SeID,0,0
Status,BilatAiMar,0,0
Status,AmoSp,0,0
Status,ContNa,0,0
Status,YoIs,0,0
Status,ProgrPro,0,0
Status,SectNa,0,0
Status,SecPer,0,0
Status,BrID,0,0
Status,CouRegNa,0,0
Status,PartDevAnGoGov,0,0
Status,CliChAdap,0,0
Status,IndiIs,0,0
Status,DisaIs,0,0
Status,OrganiS,0,0
Status,Deser,0,0
Status,TraDevel,0,0
Status,Biod,0,0
Status,UrbIs,0,0
Status,ChiIss,0,0
Status,OrganiID,0,0
Status,ProBroCounID,0,0
Status,SecN,0,0
Knowledge for development (marker),FisY,0,0
Knowledge for development (marker),Sta,0,0
Knowledge for development (marker),KnoFDevelo,0.45789942,1
Knowledge for development (marker),PrNu,0,0
Knowledge for development (marker),CliChaMiti,0,0
Knowledge for development (marker),OrgN,0,0
Knowledge for development (marker),GeEqu,0,0
Knowledge for development (marker),CFLI,0,0
Knowledge for development (marker),DiID,0,0
Knowledge for development (marker),RegProg,0,0
Knowledge for development (marker),CouRegPe,0,0
Knowledge for development (marker),EnvSust,0,0
Knowledge for development (marker),SectID,0,0
Knowledge for development (marker),FSTCPer,0,0
Knowledge for development (marker),OrgCl,0,0
Knowledge for development (marker),OrganiTy,0,0
Knowledge for development (marker),CouRegID,0,0
Knowledge for development (marker),ICTAATFDev,0,0
Knowledge for development (marker),BrN,0,0
Knowledge for development (marker),ContiID,0,0
Knowledge for development (marker),SeID,0,0
Knowledge for development (marker),BilatAiMar,0,0
Knowledge for development (marker),AmoSp,0,0
Knowledge for development (marker),ContNa,0,0
Knowledge for development (marker),YoIs,0,0
Knowledge for development (marker),ProgrPro,0,0
Knowledge for development (marker),SectNa,0,0
Knowledge for development (marker),SecPer,0,0
Knowledge for development (marker),BrID,0,0
Knowledge for development (marker),CouRegNa,0,0
Knowledge for development (marker),PartDevAnGoGov,0,0
Knowledge for development (marker),CliChAdap,0,0
Knowledge for development (marker),IndiIs,0,0
Knowledge for development (marker),DisaIs,0,0
Knowledge for development (marker),OrganiS,0,0
Knowledge for development (marker),Deser,0,0
Knowledge for development (marker),TraDevel,0,0
Knowledge for development (marker),Biod,0,0
Knowledge for development (marker),UrbIs,0,0
Knowledge for development (marker),ChiIss,0,0
Knowledge for development (marker),OrganiID,0,0
Knowledge for development (marker),ProBroCounID,0,0
Knowledge for development (marker),SecN,0,0
Project number,FisY,0,0
Project number,Sta,0,0
Project number,KnoFDevelo,0,0
Project number,PrNu,0,1
Project number,CliChaMiti,0,0
Project number,OrgN,0,0
Project number,GeEqu,0,0
Project number,CFLI,0,0
Project number,DiID,0,0
Project number,RegProg,0,0
Project number,CouRegPe,0,0
Project number,EnvSust,0,0
Project number,SectID,0,0
Project number,FSTCPer,0,0
Project number,OrgCl,0,0
Project number,OrganiTy,0,0
Project number,CouRegID,0,0
Project number,ICTAATFDev,0,0
Project number,BrN,0,0
Project number,ContiID,0,0
Project number,SeID,0,0
Project number,BilatAiMar,0,0
Project number,AmoSp,0,0
Project number,ContNa,0,0
Project number,YoIs,0,0
Project number,ProgrPro,0,0
Project number,SectNa,0,0
Project number,SecPer,0,0
Project number,BrID,0,0
Project number,CouRegNa,0,0
Project number,PartDevAnGoGov,0,0
Project number,CliChAdap,0,0
Project number,IndiIs,0,0
Project number,DisaIs,0,0
Project number,OrganiS,0,0
Project number,Deser,0,0
Project number,TraDevel,0,0
Project number,Biod,0,0
Project number,UrbIs,0,0
Project number,ChiIss,0,0
Project number,OrganiID,0,0
Project number,ProBroCounID,0,0
Project number,SecN,0,0
Climate change mitigation (marker),FisY,0,0
Climate change mitigation (marker),Sta,0,0
Climate change mitigation (marker),KnoFDevelo,0,0
Climate change mitigation (marker),PrNu,0,0
Climate change mitigation (marker),CliChaMiti,0.43517217,1
Climate change mitigation (marker),OrgN,0,0
Climate change mitigation (marker),GeEqu,0,0
Climate change mitigation (marker),CFLI,0,0
Climate change mitigation (marker),DiID,0,0
Climate change mitigation (marker),RegProg,0,0
Climate change mitigation (marker),CouRegPe,0,0
Climate change mitigation (marker),EnvSust,0,0
Climate change mitigation (marker),SectID,0,0
Climate change mitigation (marker),FSTCPer,0,0
Climate change mitigation (marker),OrgCl,0,0
Climate change mitigation (marker),OrganiTy,0,0
Climate change mitigation (marker),CouRegID,0,0
Climate change mitigation (marker),ICTAATFDev,0,0
Climate change mitigation (marker),BrN,0,0
Climate change mitigation (marker),ContiID,0,0
Climate change mitigation (marker),SeID,0,0
Climate change mitigation (marker),BilatAiMar,0,0
Climate change mitigation (marker),AmoSp,0,0
Climate change mitigation (marker),ContNa,0,0
Climate change mitigation (marker),YoIs,0,0
Climate change mitigation (marker),ProgrPro,0,0
Climate change mitigation (marker),SectNa,0,0
Climate change mitigation (marker),SecPer,0,0
Climate change mitigation (marker),BrID,0,0
Climate change mitigation (marker),CouRegNa,0,0
Climate change mitigation (marker),PartDevAnGoGov,0,0
Climate change mitigation (marker),CliChAdap,0,0
Climate change mitigation (marker),IndiIs,0,0
Climate change mitigation (marker),DisaIs,0,0
Climate change mitigation (marker),OrganiS,0,0
Climate change mitigation (marker),Deser,0,0
Climate change mitigation (marker),TraDevel,0,0
Climate change mitigation (marker),Biod,0,0
Climate change mitigation (marker),UrbIs,0,0
Climate change mitigation (marker),ChiIss,0,0
Climate change mitigation (marker),OrganiID,0,0
Climate change mitigation (marker),ProBroCounID,0,0
Climate change mitigation (marker),SecN,0,0
Organisation name,FisY,0,0
Organisation name,Sta,0,0
Organisation name,KnoFDevelo,0,0
Organisation name,PrNu,0,0
Organisation name,CliChaMiti,0,0
Organisation name,OrgN,0,1
Organisation name,GeEqu,0,0
Organisation name,CFLI,0,0
Organisation name,DiID,0,0
Organisation name,RegProg,0,0
Organisation name,CouRegPe,0,0
Organisation name,EnvSust,0,0
Organisation name,SectID,0,0
Organisation name,FSTCPer,0,0
Organisation name,OrgCl,0,0
Organisation name,OrganiTy,0,0
Organisation name,CouRegID,0,0
Organisation name,ICTAATFDev,0,0
Organisation name,BrN,0,0
Organisation name,ContiID,0,0
Organisation name,SeID,0,0
Organisation name,BilatAiMar,0,0
Organisation name,AmoSp,0,0
Organisation name,ContNa,0,0
Organisation name,YoIs,0,0
Organisation name,ProgrPro,0,0
Organisation name,SectNa,0,0
Organisation name,SecPer,0,0
Organisation name,BrID,0,0
Organisation name,CouRegNa,0,0
Organisation name,PartDevAnGoGov,0,0
Organisation name,CliChAdap,0,0
Organisation name,IndiIs,0,0
Organisation name,DisaIs,0,0
Organisation name,OrganiS,0,0
Organisation name,Deser,0,0
Organisation name,TraDevel,0,0
Organisation name,Biod,0,0
Organisation name,UrbIs,0,0
Organisation name,ChiIss,0,0
Organisation name,OrganiID,0,0
Organisation name,ProBroCounID,0,0
Organisation name,SecN,0,0
Gender equality (marker),FisY,0,0
Gender equality (marker),Sta,0,0
Gender equality (marker),KnoFDevelo,0,0
Gender equality (marker),PrNu,0,0
Gender equality (marker),CliChaMiti,0,0
Gender equality (marker),OrgN,0,0
Gender equality (marker),GeEqu,0.40576038,1
Gender equality (marker),CFLI,0,0
Gender equality (marker),DiID,0,0
Gender equality (marker),RegProg,0,0
Gender equality (marker),CouRegPe,0,0
Gender equality (marker),EnvSust,0,0
Gender equality (marker),SectID,0,0
Gender equality (marker),FSTCPer,0,0
Gender equality (marker),OrgCl,0,0
Gender equality (marker),OrganiTy,0,0
Gender equality (marker),CouRegID,0,0
Gender equality (marker),ICTAATFDev,0,0
Gender equality (marker),BrN,0,0
Gender equality (marker),ContiID,0,0
Gender equality (marker),SeID,0,0
Gender equality (marker),BilatAiMar,0,0
Gender equality (marker),AmoSp,0,0
Gender equality (marker),ContNa,0,0
Gender equality (marker),YoIs,0,0
Gender equality (marker),ProgrPro,0,0
Gender equality (marker),SectNa,0,0
Gender equality (marker),SecPer,0,0
Gender equality (marker),BrID,0,0
Gender equality (marker),CouRegNa,0,0
Gender equality (marker),PartDevAnGoGov,0,0
Gender equality (marker),CliChAdap,0,0
Gender equality (marker),IndiIs,0,0
Gender equality (marker),DisaIs,0,0
Gender equality (marker),OrganiS,0,0
Gender equality (marker),Deser,0,0
Gender equality (marker),TraDevel,0,0
Gender equality (marker),Biod,0,0
Gender equality (marker),UrbIs,0,0
Gender equality (marker),ChiIss,0,0
Gender equality (marker),OrganiID,0,0
Gender equality (marker),ProBroCounID,0,0
Gender equality (marker),SecN,0,0
CFLI (marker),FisY,0,0
CFLI (marker),Sta,0,0
CFLI (marker),KnoFDevelo,0,0
CFLI (marker),PrNu,0,0
CFLI (marker),CliChaMiti,0,0
CFLI (marker),OrgN,0,0
CFLI (marker),GeEqu,0,0
CFLI (marker),CFLI,0.51728994,1
CFLI (marker),DiID,0,0
CFLI (marker),RegProg,0,0
CFLI (marker),CouRegPe,0,0
CFLI (marker),EnvSust,0,0
CFLI (marker),SectID,0,0
CFLI (marker),FSTCPer,0,0
CFLI (marker),OrgCl,0,0
CFLI (marker),OrganiTy,0,0
CFLI (marker),CouRegID,0,0
CFLI (marker),ICTAATFDev,0,0
CFLI (marker),BrN,0,0
CFLI (marker),ContiID,0,0
CFLI (marker),SeID,0,0
CFLI (marker),BilatAiMar,0,0
CFLI (marker),AmoSp,0,0
CFLI (marker),ContNa,0,0
CFLI (marker),YoIs,0,0
CFLI (marker),ProgrPro,0,0
CFLI (marker),SectNa,0,0
CFLI (marker),SecPer,0,0
CFLI (marker),BrID,0,0
CFLI (marker),CouRegNa,0,0
CFLI (marker),PartDevAnGoGov,0,0
CFLI (marker),CliChAdap,0,0
CFLI (marker),IndiIs,0,0
CFLI (marker),DisaIs,0,0
CFLI (marker),OrganiS,0,0
CFLI (marker),Deser,0,0
CFLI (marker),TraDevel,0,0
CFLI (marker),Biod,0,0
CFLI (marker),UrbIs,0,0
CFLI (marker),ChiIss,0,0
CFLI (marker),OrganiID,0,0
CFLI (marker),ProBroCounID,0,0
CFLI (marker),SecN,0,0
Division ID,FisY,0,0
Division ID,Sta,0,0
Division ID,KnoFDevelo,0,0
Division ID,PrNu,0,0
Division ID,CliChaMiti,0,0
Division ID,OrgN,0,0
Division ID,GeEqu,0,0
Division ID,CFLI,0,0
Division ID,DiID,0.31172946,1
Division ID,RegProg,0,0
Division ID,CouRegPe,0,0
Division ID,EnvSust,0,0
Division ID,SectID,0,0
Division ID,FSTCPer,0,0
Division ID,OrgCl,0,0
Division ID,OrganiTy,0,0
Division ID,CouRegID,0,0
Division ID,ICTAATFDev,0,0
Division ID,BrN,0,0
Division ID,ContiID,0,0
Division ID,SeID,0,0
Division ID,BilatAiMar,0,0
Division ID,AmoSp,0,0
Division ID,ContNa,0,0
Division ID,YoIs,0,0
Division ID,ProgrPro,0,0
Division ID,SectNa,0,0
Division ID,SecPer,0,0
Division ID,BrID,0,0
Division ID,CouRegNa,0,0
Division ID,PartDevAnGoGov,0,0
Division ID,CliChAdap,0,0
Division ID,IndiIs,0,0
Division ID,DisaIs,0,0
Division ID,OrganiS,0,0
Division ID,Deser,0,0
Division ID,TraDevel,0,0
Division ID,Biod,0,0
Division ID,UrbIs,0,0
Division ID,ChiIss,0,0
Division ID,OrganiID,0,0
Division ID,ProBroCounID,0,0
Division ID,SecN,0,0
Regional program (marker),FisY,0,0
Regional program (marker),Sta,0,0
Regional program (marker),KnoFDevelo,0,0
Regional program (marker),PrNu,0,0
Regional program (marker),CliChaMiti,0,0
Regional program (marker),OrgN,0,0
Regional program (marker),GeEqu,0,0
Regional program (marker),CFLI,0,0
Regional program (marker),DiID,0,0
Regional program (marker),RegProg,0.4074375,1
Regional program (marker),CouRegPe,0,0
Regional program (marker),EnvSust,0,0
Regional program (marker),SectID,0,0
Regional program (marker),FSTCPer,0,0
Regional program (marker),OrgCl,0,0
Regional program (marker),OrganiTy,0,0
Regional program (marker),CouRegID,0,0
Regional program (marker),ICTAATFDev,0,0
Regional program (marker),BrN,0,0
Regional program (marker),ContiID,0,0
Regional program (marker),SeID,0,0
Regional program (marker),BilatAiMar,0,0
Regional program (marker),AmoSp,0,0
Regional program (marker),ContNa,0,0
Regional program (marker),YoIs,0,0
Regional program (marker),ProgrPro,0,0
Regional program (marker),SectNa,0,0
Regional program (marker),SecPer,0,0
Regional program (marker),BrID,0,0
Regional program (marker),CouRegNa,0,0
Regional program (marker),PartDevAnGoGov,0,0
Regional program (marker),CliChAdap,0,0
Regional program (marker),IndiIs,0,0
