source,target,conf,realConf
Fiscal year,miller2_FiY,0.30431318,1
Fiscal year,miller2_ProNum,0,0
Fiscal year,miller2_St,0,0
Fiscal year,miller2_MaCIDAContri,0,0
Fiscal year,miller2_BraID,0,0
Fiscal year,miller2_BrN,0,0
Fiscal year,miller2_DivID,0,0
Fiscal year,miller2_DiviNa,0,0
Fiscal year,miller2_SeID,0,0
Fiscal year,miller2_SeN,0,0
Fiscal year,miller2_ReProg,0,0
Fiscal year,miller2_FuCeID,0,0
Fiscal year,miller2_FuCeN,0,0
Fiscal year,miller2_UntAmoPrBu,0,0
Fiscal year,miller2_FSTCPerc,0,0
Fiscal year,miller2_IRTCPe,0,0
Fiscal year,miller2_CFLI,0,0
Fiscal year,miller2_CIDABusDelMo,0,0
Fiscal year,miller2_ProgrPro,0,0
Fiscal year,miller2_BilAMa,0,0
Fiscal year,miller2_PBATy,0,0
Fiscal year,miller2_EnvSustai,0,0
Fiscal year,miller2_ClimChAda,0,0
Fiscal year,miller2_ClChMitig,0,0
Fiscal year,miller2_Desertif,0,0
Fiscal year,miller2_ParticDeveloAGoGover,0,0
Fiscal year,miller2_TraDevel,0,0
Fiscal year,miller2_Bio,0,0
Fiscal year,miller2_UrbIss,0,0
Fiscal year,miller2_ChilIs,0,0
Fiscal year,miller2_YouIs,0,0
Fiscal year,miller2_IndIs,0,0
Fiscal year,miller2_DisaIs,0,0
Fiscal year,miller2_ICTAATFoDev,0,0
Fiscal year,miller2_KnowFoDeve,0,0
Fiscal year,miller2_GenEq,0,0
Fiscal year,miller2_OrganID,0,0
Fiscal year,miller2_OrganNa,0,0
Fiscal year,miller2_OrgaTy,0,0
Fiscal year,miller2_OrganCl,0,0
Fiscal year,miller2_OrganiS,0,0
Fiscal year,miller2_ContID,0,0
Fiscal year,miller2_ConNa,0,0
Fiscal year,miller2_ProBroCounID,0,0
Fiscal year,miller2_CouRegID,0,0
Fiscal year,miller2_CoRegNa,0,0
Fiscal year,miller2_CouRegPerc,0,0
Fiscal year,miller2_SecID,0,0
Fiscal year,Sector name,0,0
Fiscal year,miller2_SecPer,0,0
Fiscal year,miller2_AmSp,0,0
Project number,miller2_FiY,0,0
Project number,miller2_ProNum,0.16428973,1
Project number,miller2_St,0,0
Project number,miller2_MaCIDAContri,0,0
Project number,miller2_BraID,0,0
Project number,miller2_BrN,0,0
Project number,miller2_DivID,0,0
Project number,miller2_DiviNa,0,0
Project number,miller2_SeID,0,0
Project number,miller2_SeN,0,0
Project number,miller2_ReProg,0,0
Project number,miller2_FuCeID,0,0
Project number,miller2_FuCeN,0,0
Project number,miller2_UntAmoPrBu,0,0
Project number,miller2_FSTCPerc,0,0
Project number,miller2_IRTCPe,0,0
Project number,miller2_CFLI,0,0
Project number,miller2_CIDABusDelMo,0,0
Project number,miller2_ProgrPro,0,0
Project number,miller2_BilAMa,0,0
Project number,miller2_PBATy,0,0
Project number,miller2_EnvSustai,0,0
Project number,miller2_ClimChAda,0,0
Project number,miller2_ClChMitig,0,0
Project number,miller2_Desertif,0,0
Project number,miller2_ParticDeveloAGoGover,0,0
Project number,miller2_TraDevel,0,0
Project number,miller2_Bio,0,0
Project number,miller2_UrbIss,0,0
Project number,miller2_ChilIs,0,0
Project number,miller2_YouIs,0,0
Project number,miller2_IndIs,0,0
Project number,miller2_DisaIs,0,0
Project number,miller2_ICTAATFoDev,0,0
Project number,miller2_KnowFoDeve,0,0
Project number,miller2_GenEq,0,0
Project number,miller2_OrganID,0,0
Project number,miller2_OrganNa,0,0
Project number,miller2_OrgaTy,0,0
Project number,miller2_OrganCl,0,0
Project number,miller2_OrganiS,0,0
Project number,miller2_ContID,0,0
Project number,miller2_ConNa,0,0
Project number,miller2_ProBroCounID,0,0
Project number,miller2_CouRegID,0,0
Project number,miller2_CoRegNa,0,0
Project number,miller2_CouRegPerc,0,0
Project number,miller2_SecID,0,0
Project number,Sector name,0,0
Project number,miller2_SecPer,0,0
Project number,miller2_AmSp,0,0
Status,miller2_FiY,0,0
Status,miller2_ProNum,0,0
Status,miller2_St,0.3564663,1
Status,miller2_MaCIDAContri,0,0
Status,miller2_BraID,0,0
Status,miller2_BrN,0,0
Status,miller2_DivID,0,0
Status,miller2_DiviNa,0,0
Status,miller2_SeID,0,0
Status,miller2_SeN,0,0
Status,miller2_ReProg,0,0
Status,miller2_FuCeID,0,0
Status,miller2_FuCeN,0,0
Status,miller2_UntAmoPrBu,0,0
Status,miller2_FSTCPerc,0,0
Status,miller2_IRTCPe,0,0
Status,miller2_CFLI,0,0
Status,miller2_CIDABusDelMo,0,0
Status,miller2_ProgrPro,0,0
Status,miller2_BilAMa,0,0
Status,miller2_PBATy,0,0
Status,miller2_EnvSustai,0,0
Status,miller2_ClimChAda,0,0
Status,miller2_ClChMitig,0,0
Status,miller2_Desertif,0,0
Status,miller2_ParticDeveloAGoGover,0,0
Status,miller2_TraDevel,0,0
Status,miller2_Bio,0,0
Status,miller2_UrbIss,0,0
Status,miller2_ChilIs,0,0
Status,miller2_YouIs,0,0
Status,miller2_IndIs,0,0
Status,miller2_DisaIs,0,0
Status,miller2_ICTAATFoDev,0,0
Status,miller2_KnowFoDeve,0,0
Status,miller2_GenEq,0,0
Status,miller2_OrganID,0,0
Status,miller2_OrganNa,0,0
Status,miller2_OrgaTy,0,0
Status,miller2_OrganCl,0,0
Status,miller2_OrganiS,0,0
Status,miller2_ContID,0,0
Status,miller2_ConNa,0,0
Status,miller2_ProBroCounID,0,0
Status,miller2_CouRegID,0,0
Status,miller2_CoRegNa,0,0
Status,miller2_CouRegPerc,0,0
Status,miller2_SecID,0,0
Status,Sector name,0,0
Status,miller2_SecPer,0,0
Status,miller2_AmSp,0,0
Maximum CIDA contribution (project-level),miller2_FiY,0,0
Maximum CIDA contribution (project-level),miller2_ProNum,0,0
Maximum CIDA contribution (project-level),miller2_St,0,0
Maximum CIDA contribution (project-level),miller2_MaCIDAContri,0.22268128,1
Maximum CIDA contribution (project-level),miller2_BraID,0,0
