source,target,conf,realConf
musician,musicianID,0.74306726,1
musician,musicianName,0,0
musician,genderType,0,0
musician,birthDate,0,0
musician,city,0,0
musician,familyName,0,0
musician,forename,0,0
musician,fatherName,0,0
musician,motherName,0,0
musician,spouse,0,0
musician,NChildren,0,0
musician,kind,0,0
musician,webpage,0,0
musician,residence,0,0
musician,ethnicity,0,0
musician,religionLabel,0,0
musician,kickoff,0,0
musician,twitterUsername,0,0
musician,geniusNameLabel,0,0
musician,recordCompany,0,0
musicianLabel,musicianID,0,0
musicianLabel,musicianName,0.5419572,1
musicianLabel,genderType,0,0
musicianLabel,birthDate,0,0
musicianLabel,city,0,0
musicianLabel,familyName,0,0
musicianLabel,forename,0,0
musicianLabel,fatherName,0,0
musicianLabel,motherName,0,0
musicianLabel,spouse,0,0
musicianLabel,NChildren,0,0
musicianLabel,kind,0,0
musicianLabel,webpage,0,0
musicianLabel,residence,0,0
musicianLabel,ethnicity,0,0
musicianLabel,religionLabel,0,0
musicianLabel,kickoff,0,0
musicianLabel,twitterUsername,0,0
musicianLabel,geniusNameLabel,0,0
musicianLabel,recordCompany,0,0
genderLabel,musicianID,0,0
genderLabel,musicianName,0,0
genderLabel,genderType,0,1
genderLabel,birthDate,0,0
genderLabel,city,0,0
genderLabel,familyName,0,0
genderLabel,forename,0,0
genderLabel,fatherName,0,0
genderLabel,motherName,0,0
genderLabel,spouse,0,0
genderLabel,NChildren,0,0
genderLabel,kind,0,0
genderLabel,webpage,0,0
genderLabel,residence,0,0
genderLabel,ethnicity,0,0
genderLabel,religionLabel,0,0
genderLabel,kickoff,0,0
genderLabel,twitterUsername,0,0
genderLabel,geniusNameLabel,0,0
genderLabel,recordCompany,0,0
birthDate,musicianID,0,0
birthDate,musicianName,0,0
birthDate,genderType,0,0
birthDate,birthDate,0.88215816,1
birthDate,city,0,0
birthDate,familyName,0,0
birthDate,forename,0,0
birthDate,fatherName,0,0
birthDate,motherName,0,0
birthDate,spouse,0,0
birthDate,NChildren,0,0
birthDate,kind,0,0
birthDate,webpage,0,0
birthDate,residence,0,0
birthDate,ethnicity,0,0
birthDate,religionLabel,0,0
birthDate,kickoff,0,0
birthDate,twitterUsername,0,0
birthDate,geniusNameLabel,0,0
birthDate,recordCompany,0,0
cityLabel,musicianID,0,0
cityLabel,musicianName,0,0
cityLabel,genderType,0,0
cityLabel,birthDate,0,0
cityLabel,city,0.60760796,1
cityLabel,familyName,0,0
cityLabel,forename,0,0
cityLabel,fatherName,0,0
cityLabel,motherName,0,0
cityLabel,spouse,0,0
cityLabel,NChildren,0,0
cityLabel,kind,0,0
cityLabel,webpage,0,0
cityLabel,residence,0,0
cityLabel,ethnicity,0,0
cityLabel,religionLabel,0,0
cityLabel,kickoff,0,0
cityLabel,twitterUsername,0,0
cityLabel,geniusNameLabel,0,0
cityLabel,recordCompany,0,0
familyNameLabel,musicianID,0,0
familyNameLabel,musicianName,0,0
familyNameLabel,genderType,0,0
familyNameLabel,birthDate,0,0
familyNameLabel,city,0,0
familyNameLabel,familyName,0.72419053,1
familyNameLabel,forename,0,0
familyNameLabel,fatherName,0,0
familyNameLabel,motherName,0,0
familyNameLabel,spouse,0,0
familyNameLabel,NChildren,0,0
familyNameLabel,kind,0,0
familyNameLabel,webpage,0,0
familyNameLabel,residence,0,0
familyNameLabel,ethnicity,0,0
familyNameLabel,religionLabel,0,0
familyNameLabel,kickoff,0,0
