source,target,conf,realConf
AgencyID,gncd,0.17374754,1
AgencyID,mddlntl,0,0
AgencyID,mplr,0,0
AgencyID,lstnm,0,0
AgencyID,wnrrntflg,0,0
AgencyID,cntr,0,0
AgencyID,ncm,0,0
AgencyID,nmbrcrs,0,0
AgencyID,nmbrchldrn,0,0
AgencyID,mrtlstts,0,0
AgencyID,g,0,0
AgencyID,crdtrtng,0,0
AgencyID,nmbrcrdtcrds,0,0
AgencyID,ntwrth,0,0
MiddleInitial,gncd,0,0
MiddleInitial,mddlntl,0.40537897,1
MiddleInitial,mplr,0,0
MiddleInitial,lstnm,0,0
MiddleInitial,wnrrntflg,0,0
MiddleInitial,cntr,0,0
MiddleInitial,ncm,0,0
MiddleInitial,nmbrcrs,0,0
MiddleInitial,nmbrchldrn,0,0
MiddleInitial,mrtlstts,0,0
MiddleInitial,g,0,0
MiddleInitial,crdtrtng,0,0
MiddleInitial,nmbrcrdtcrds,0,0
MiddleInitial,ntwrth,0,0
Employer,gncd,0,0
Employer,mddlntl,0,0
Employer,mplr,0.24433117,1
Employer,lstnm,0,0
Employer,wnrrntflg,0,0
Employer,cntr,0,0
Employer,ncm,0,0
Employer,nmbrcrs,0,0
Employer,nmbrchldrn,0,0
Employer,mrtlstts,0,0
Employer,g,0,0
Employer,crdtrtng,0,0
Employer,nmbrcrdtcrds,0,0
Employer,ntwrth,0,0
LastName,gncd,0,0
LastName,mddlntl,0,0
LastName,mplr,0,0
LastName,lstnm,0.21517614,1
LastName,wnrrntflg,0,0
LastName,cntr,0,0
LastName,ncm,0,0
LastName,nmbrcrs,0,0
LastName,nmbrchldrn,0,0
LastName,mrtlstts,0,0
LastName,g,0,0
LastName,crdtrtng,0,0
LastName,nmbrcrdtcrds,0,0
LastName,ntwrth,0,0
OwnOrRentFlag,gncd,0,0
OwnOrRentFlag,mddlntl,0,0
OwnOrRentFlag,mplr,0,0
OwnOrRentFlag,lstnm,0,0
OwnOrRentFlag,wnrrntflg,0.4128467,1
OwnOrRentFlag,cntr,0,0
OwnOrRentFlag,ncm,0,0
OwnOrRentFlag,nmbrcrs,0,0
OwnOrRentFlag,nmbrchldrn,0,0
OwnOrRentFlag,mrtlstts,0,0
OwnOrRentFlag,g,0,0
