source,target,conf,realConf
AgencyID,AgencyID,0.6857462,1
AgencyID,Income,0,0
AgencyID,FirstName,0,0
AgencyID,AddressLine1,0,0
AgencyID,NumberCreditCards,0,0
AgencyID,Age,0,0
AgencyID,Phone,0,0
AgencyID,NumberCars,0,0
AgencyID,NumberChildren,0,0
AgencyID,MaritalStatus,0,0
AgencyID,CreditRating,0,0
AgencyID,OwnOrRentFlag,0,0
AgencyID,Employer,0,0
AgencyID,NetWorth,0,0
Income,AgencyID,0,0
Income,Income,0.68203104,1
Income,FirstName,0,0
Income,AddressLine1,0,0
Income,NumberCreditCards,0,0
Income,Age,0,0
Income,Phone,0,0
Income,NumberCars,0,0
Income,NumberChildren,0,0
Income,MaritalStatus,0,0
Income,CreditRating,0,0
Income,OwnOrRentFlag,0,0
Income,Employer,0,0
Income,NetWorth,0,0
FirstName,AgencyID,0,0
FirstName,Income,0,0
FirstName,FirstName,0.6873251,1
FirstName,AddressLine1,0,0
FirstName,NumberCreditCards,0,0
FirstName,Age,0,0
FirstName,Phone,0,0
FirstName,NumberCars,0,0
FirstName,NumberChildren,0,0
FirstName,MaritalStatus,0,0
FirstName,CreditRating,0,0
FirstName,OwnOrRentFlag,0,0
FirstName,Employer,0,0
FirstName,NetWorth,0,0
AddressLine1,AgencyID,0,0
AddressLine1,Income,0,0
AddressLine1,FirstName,0,0
AddressLine1,AddressLine1,0.69123816,1
AddressLine1,NumberCreditCards,0,0
AddressLine1,Age,0,0
AddressLine1,Phone,0,0
AddressLine1,NumberCars,0,0
AddressLine1,NumberChildren,0,0
AddressLine1,MaritalStatus,0,0
AddressLine1,CreditRating,0,0
AddressLine1,OwnOrRentFlag,0,0
AddressLine1,Employer,0,0
AddressLine1,NetWorth,0,0
NumberCreditCards,AgencyID,0,0
NumberCreditCards,Income,0,0
NumberCreditCards,FirstName,0,0
NumberCreditCards,AddressLine1,0,0
NumberCreditCards,NumberCreditCards,0.8791946,1
NumberCreditCards,Age,0,0
NumberCreditCards,Phone,0,0
NumberCreditCards,NumberCars,0,0
NumberCreditCards,NumberChildren,0,0
NumberCreditCards,MaritalStatus,0,0
NumberCreditCards,CreditRating,0,0
NumberCreditCards,OwnOrRentFlag,0,0
NumberCreditCards,Employer,0,0
NumberCreditCards,NetWorth,0,0
Age,AgencyID,0,0
Age,Income,0,0
Age,FirstName,0,0
Age,AddressLine1,0,0
Age,NumberCreditCards,0,0
Age,Age,0.85918075,1
Age,Phone,0,0
Age,NumberCars,0,0
Age,NumberChildren,0,0
Age,MaritalStatus,0,0
Age,CreditRating,0,0
Age,OwnOrRentFlag,0,0
Age,Employer,0,0
Age,NetWorth,0,0
LastName,AgencyID,0,0
LastName,Income,0,0
LastName,FirstName,0,0
LastName,AddressLine1,0,0
LastName,NumberCreditCards,0,0
LastName,Age,0,0
LastName,Phone,0,0
LastName,NumberCars,0,0
LastName,NumberChildren,0,0
LastName,MaritalStatus,0,0
LastName,CreditRating,0,0
LastName,OwnOrRentFlag,0,0
LastName,Employer,0,0
LastName,NetWorth,0,0
MiddleInitial,AgencyID,0,0
MiddleInitial,Income,0,0
MiddleInitial,FirstName,0,0
MiddleInitial,AddressLine1,0,0
MiddleInitial,NumberCreditCards,0,0
MiddleInitial,Age,0,0
MiddleInitial,Phone,0,0
MiddleInitial,NumberCars,0,0
MiddleInitial,NumberChildren,0,0
MiddleInitial,MaritalStatus,0.35585898,0
MiddleInitial,CreditRating,0,0
MiddleInitial,OwnOrRentFlag,0,0
MiddleInitial,Employer,0,0
MiddleInitial,NetWorth,0,0
Gender,AgencyID,0,0
Gender,Income,0,0
Gender,FirstName,0,0
Gender,AddressLine1,0,0
Gender,NumberCreditCards,0,0
Gender,Age,0,0
Gender,Phone,0,0
Gender,NumberCars,0,0
Gender,NumberChildren,0,0
Gender,MaritalStatus,0,0
Gender,CreditRating,0,0
Gender,OwnOrRentFlag,0.3409949,0
Gender,Employer,0,0
Gender,NetWorth,0,0
AddressLine2,AgencyID,0,0
AddressLine2,Income,0,0
AddressLine2,FirstName,0,0
AddressLine2,AddressLine1,0,0
AddressLine2,NumberCreditCards,0,0
AddressLine2,Age,0,0
AddressLine2,Phone,0,0
AddressLine2,NumberCars,0,0
AddressLine2,NumberChildren,0,0
AddressLine2,MaritalStatus,0,0
AddressLine2,CreditRating,0,0
AddressLine2,OwnOrRentFlag,0,0
AddressLine2,Employer,0,0
AddressLine2,NetWorth,0,0
PostalCode,AgencyID,0,0
PostalCode,Income,0,0
PostalCode,FirstName,0,0
PostalCode,AddressLine1,0,0
PostalCode,NumberCreditCards,0,0
PostalCode,Age,0,0
PostalCode,Phone,0.28802213,0
PostalCode,NumberCars,0,0
PostalCode,NumberChildren,0,0
PostalCode,MaritalStatus,0,0
PostalCode,CreditRating,0,0
PostalCode,OwnOrRentFlag,0,0
PostalCode,Employer,0,0
PostalCode,NetWorth,0,0
City,AgencyID,0,0
City,Income,0,0
City,FirstName,0,0
City,AddressLine1,0,0
City,NumberCreditCards,0,0
City,Age,0,0
City,Phone,0,0
City,NumberCars,0,0
City,NumberChildren,0,0
City,MaritalStatus,0,0
City,CreditRating,0,0
City,OwnOrRentFlag,0,0
City,Employer,0,0
City,NetWorth,0,0
State,AgencyID,0,0
State,Income,0,0
State,FirstName,0,0
State,AddressLine1,0,0
State,NumberCreditCards,0,0
State,Age,0,0
State,Phone,0,0
State,NumberCars,0,0
State,NumberChildren,0,0
State,MaritalStatus,0,0
State,CreditRating,0,0
State,OwnOrRentFlag,0,0
State,Employer,0,0
State,NetWorth,0,0
Country,AgencyID,0,0
Country,Income,0,0
Country,FirstName,0,0
Country,AddressLine1,0,0
Country,NumberCreditCards,0,0
Country,Age,0,0
Country,Phone,0,0
Country,NumberCars,0,0
Country,NumberChildren,0,0
Country,MaritalStatus,0,0
Country,CreditRating,0,0
Country,OwnOrRentFlag,0,0
Country,Employer,0,0
Country,NetWorth,0,0
