source,target,conf,realConf
AgencyID,AgID,0.3874682,1
AgencyID,LN,0,0
AgencyID,FirNa,0,0
AgencyID,MiIni,0,0
AgencyID,Gen,0,0
AgencyID,AddLi1,0,0
AgencyID,AddrLi2,0,0
AgencyID,PosCo,0,0
AgencyID,C,0,0
AgencyID,Sta,0,0
AgencyID,Cou,0,0
AgencyID,Ph,0,0
AgencyID,In,0,0
AgencyID,NuCa,0,0
AgencyID,NumChi,0,0
AgencyID,MariSta,0,0
AgencyID,A,0,0
AgencyID,CrRat,0,0
AgencyID,OwORF,0,0
AgencyID,Em,0,0
AgencyID,NumCreCar,0,0
AgencyID,NeWor,0,0
LastName,AgID,0,0
LastName,LN,0.21885958,1
LastName,FirNa,0,0
LastName,MiIni,0,0
LastName,Gen,0,0
LastName,AddLi1,0,0
LastName,AddrLi2,0,0
LastName,PosCo,0,0
LastName,C,0,0
LastName,Sta,0,0
LastName,Cou,0,0
LastName,Ph,0,0
LastName,In,0,0
LastName,NuCa,0,0
LastName,NumChi,0,0
LastName,MariSta,0,0
LastName,A,0,0
LastName,CrRat,0,0
LastName,OwORF,0,0
LastName,Em,0,0
LastName,NumCreCar,0,0
LastName,NeWor,0,0
FirstName,AgID,0,0
FirstName,LN,0,0
FirstName,FirNa,0.30315447,1
FirstName,MiIni,0,0
FirstName,Gen,0,0
FirstName,AddLi1,0,0
FirstName,AddrLi2,0,0
FirstName,PosCo,0,0
FirstName,C,0,0
FirstName,Sta,0,0
FirstName,Cou,0,0
FirstName,Ph,0,0
FirstName,In,0,0
FirstName,NuCa,0,0
FirstName,NumChi,0,0
FirstName,MariSta,0,0
FirstName,A,0,0
FirstName,CrRat,0,0
FirstName,OwORF,0,0
FirstName,Em,0,0
FirstName,NumCreCar,0,0
FirstName,NeWor,0,0
MiddleInitial,AgID,0,0
MiddleInitial,LN,0,0
MiddleInitial,FirNa,0,0
MiddleInitial,MiIni,0.46172777,1
MiddleInitial,Gen,0,0
MiddleInitial,AddLi1,0,0
MiddleInitial,AddrLi2,0,0
MiddleInitial,PosCo,0,0
MiddleInitial,C,0,0
MiddleInitial,Sta,0,0
MiddleInitial,Cou,0,0
MiddleInitial,Ph,0,0
MiddleInitial,In,0,0
MiddleInitial,NuCa,0,0
MiddleInitial,NumChi,0,0
MiddleInitial,MariSta,0,0
MiddleInitial,A,0,0
MiddleInitial,CrRat,0,0
MiddleInitial,OwORF,0,0
MiddleInitial,Em,0,0
MiddleInitial,NumCreCar,0,0
MiddleInitial,NeWor,0,0
Gender,AgID,0,0
Gender,LN,0,0
Gender,FirNa,0,0
Gender,MiIni,0,0
Gender,Gen,0.5669018,1
Gender,AddLi1,0,0
Gender,AddrLi2,0,0
Gender,PosCo,0,0
Gender,C,0,0
Gender,Sta,0,0
Gender,Cou,0,0
Gender,Ph,0,0
Gender,In,0,0
Gender,NuCa,0,0
Gender,NumChi,0,0
Gender,MariSta,0,0
Gender,A,0,0
Gender,CrRat,0,0
Gender,OwORF,0,0
Gender,Em,0,0
Gender,NumCreCar,0,0
Gender,NeWor,0,0
AddressLine1,AgID,0,0
AddressLine1,LN,0,0
AddressLine1,FirNa,0,0
AddressLine1,MiIni,0,0
AddressLine1,Gen,0,0
AddressLine1,AddLi1,0.31527567,1
AddressLine1,AddrLi2,0,0
AddressLine1,PosCo,0,0
AddressLine1,C,0,0
AddressLine1,Sta,0,0
AddressLine1,Cou,0,0
AddressLine1,Ph,0,0
AddressLine1,In,0,0
AddressLine1,NuCa,0,0
AddressLine1,NumChi,0,0
AddressLine1,MariSta,0,0
AddressLine1,A,0,0
AddressLine1,CrRat,0,0
AddressLine1,OwORF,0,0
AddressLine1,Em,0,0
AddressLine1,NumCreCar,0,0
AddressLine1,NeWor,0,0
AddressLine2,AgID,0,0
AddressLine2,LN,0,0
AddressLine2,FirNa,0,0
AddressLine2,MiIni,0,0
AddressLine2,Gen,0,0
AddressLine2,AddLi1,0,0
AddressLine2,AddrLi2,0.35105124,1
AddressLine2,PosCo,0,0
AddressLine2,C,0,0
AddressLine2,Sta,0,0
AddressLine2,Cou,0,0
AddressLine2,Ph,0,0
AddressLine2,In,0,0
AddressLine2,NuCa,0,0
AddressLine2,NumChi,0,0
AddressLine2,MariSta,0,0
AddressLine2,A,0,0
AddressLine2,CrRat,0,0
AddressLine2,OwORF,0,0
AddressLine2,Em,0,0
AddressLine2,NumCreCar,0,0
AddressLine2,NeWor,0,0
PostalCode,AgID,0,0
PostalCode,LN,0,0
PostalCode,FirNa,0,0
PostalCode,MiIni,0,0
PostalCode,Gen,0,0
PostalCode,AddLi1,0,0
PostalCode,AddrLi2,0,0
PostalCode,PosCo,0.2934342,1
PostalCode,C,0,0
PostalCode,Sta,0,0
PostalCode,Cou,0,0
PostalCode,Ph,0,0
PostalCode,In,0,0
PostalCode,NuCa,0,0
PostalCode,NumChi,0,0
PostalCode,MariSta,0,0
PostalCode,A,0,0
PostalCode,CrRat,0,0
PostalCode,OwORF,0,0
PostalCode,Em,0,0
PostalCode,NumCreCar,0,0
PostalCode,NeWor,0,0
City,AgID,0,0
City,LN,0,0
City,FirNa,0,0
City,MiIni,0,0
City,Gen,0,0
City,AddLi1,0,0
City,AddrLi2,0,0
City,PosCo,0,0
City,C,0.48073316,1
City,Sta,0,0
City,Cou,0,0
City,Ph,0,0
City,In,0,0
City,NuCa,0,0
City,NumChi,0,0
City,MariSta,0,0
City,A,0,0
City,CrRat,0,0
City,OwORF,0,0
City,Em,0,0
City,NumCreCar,0,0
City,NeWor,0,0
State,AgID,0,0
State,LN,0,0
State,FirNa,0,0
State,MiIni,0,0
State,Gen,0,0
State,AddLi1,0,0
State,AddrLi2,0,0
State,PosCo,0,0
State,C,0,0
State,Sta,0.5862211,1
State,Cou,0,0
State,Ph,0,0
State,In,0,0
State,NuCa,0,0
State,NumChi,0,0
State,MariSta,0,0
State,A,0,0
State,CrRat,0,0
State,OwORF,0,0
State,Em,0,0
State,NumCreCar,0,0
State,NeWor,0,0
Country,AgID,0,0
Country,LN,0,0
Country,FirNa,0,0
Country,MiIni,0,0
Country,Gen,0,0
Country,AddLi1,0,0
Country,AddrLi2,0,0
Country,PosCo,0,0
Country,C,0,0
Country,Sta,0,0
Country,Cou,0.5537497,1
Country,Ph,0,0
Country,In,0,0
Country,NuCa,0,0
Country,NumChi,0,0
Country,MariSta,0,0
Country,A,0,0
Country,CrRat,0,0
Country,OwORF,0,0
Country,Em,0,0
Country,NumCreCar,0,0
Country,NeWor,0,0
Phone,AgID,0,0
Phone,LN,0,0
Phone,FirNa,0,0
Phone,MiIni,0,0
Phone,Gen,0,0
Phone,AddLi1,0,0
Phone,AddrLi2,0,0
Phone,PosCo,0,0
Phone,C,0,0
Phone,Sta,0,0
Phone,Cou,0,0
Phone,Ph,0.34016594,1
Phone,In,0,0
Phone,NuCa,0,0
Phone,NumChi,0,0
Phone,MariSta,0,0
Phone,A,0,0
Phone,CrRat,0,0
Phone,OwORF,0,0
Phone,Em,0,0
Phone,NumCreCar,0,0
Phone,NeWor,0,0
Income,AgID,0,0
Income,LN,0,0
Income,FirNa,0,0
Income,MiIni,0,0
Income,Gen,0,0
Income,AddLi1,0,0
Income,AddrLi2,0,0
Income,PosCo,0,0
Income,C,0,0
Income,Sta,0,0
Income,Cou,0,0
Income,Ph,0,0
Income,In,0.32236385,1
Income,NuCa,0,0
Income,NumChi,0,0
Income,MariSta,0,0
Income,A,0,0
Income,CrRat,0,0
Income,OwORF,0,0
Income,Em,0,0
Income,NumCreCar,0,0
Income,NeWor,0,0
NumberCars,AgID,0,0
NumberCars,LN,0,0
NumberCars,FirNa,0,0
NumberCars,MiIni,0,0
NumberCars,Gen,0,0
NumberCars,AddLi1,0,0
NumberCars,AddrLi2,0,0
NumberCars,PosCo,0,0
NumberCars,C,0,0
NumberCars,Sta,0,0
NumberCars,Cou,0,0
NumberCars,Ph,0,0
NumberCars,In,0,0
NumberCars,NuCa,0,1
NumberCars,NumChi,0,0
NumberCars,MariSta,0,0
NumberCars,A,0,0
NumberCars,CrRat,0,0
NumberCars,OwORF,0,0
NumberCars,Em,0,0
NumberCars,NumCreCar,0,0
NumberCars,NeWor,0,0
NumberChildren,AgID,0,0
NumberChildren,LN,0,0
NumberChildren,FirNa,0,0
NumberChildren,MiIni,0,0
NumberChildren,Gen,0,0
NumberChildren,AddLi1,0,0
NumberChildren,AddrLi2,0,0
NumberChildren,PosCo,0,0
NumberChildren,C,0,0
NumberChildren,Sta,0,0
NumberChildren,Cou,0,0
NumberChildren,Ph,0,0
NumberChildren,In,0,0
NumberChildren,NuCa,0,0
NumberChildren,NumChi,0.5041896,1
NumberChildren,MariSta,0,0
NumberChildren,A,0,0
NumberChildren,CrRat,0,0
NumberChildren,OwORF,0,0
NumberChildren,Em,0,0
NumberChildren,NumCreCar,0,0
NumberChildren,NeWor,0,0
MaritalStatus,AgID,0,0
MaritalStatus,LN,0,0
MaritalStatus,FirNa,0,0
MaritalStatus,MiIni,0,0
MaritalStatus,Gen,0,0
MaritalStatus,AddLi1,0,0
MaritalStatus,AddrLi2,0,0
MaritalStatus,PosCo,0,0
MaritalStatus,C,0,0
MaritalStatus,Sta,0,0
MaritalStatus,Cou,0,0
MaritalStatus,Ph,0,0
MaritalStatus,In,0,0
MaritalStatus,NuCa,0,0
MaritalStatus,NumChi,0,0
MaritalStatus,MariSta,0.5412497,1
MaritalStatus,A,0,0
MaritalStatus,CrRat,0,0
MaritalStatus,OwORF,0,0
MaritalStatus,Em,0,0
MaritalStatus,NumCreCar,0,0
MaritalStatus,NeWor,0,0
Age,AgID,0,0
Age,LN,0,0
Age,FirNa,0,0
Age,MiIni,0,0
Age,Gen,0,0
Age,AddLi1,0,0
Age,AddrLi2,0,0
Age,PosCo,0,0
Age,C,0,0
Age,Sta,0,0
Age,Cou,0,0
Age,Ph,0,0
Age,In,0,0
Age,NuCa,0,0
Age,NumChi,0,0
Age,MariSta,0,0
Age,A,0.51084673,1
Age,CrRat,0,0
Age,OwORF,0,0
Age,Em,0,0
Age,NumCreCar,0,0
Age,NeWor,0,0
CreditRating,AgID,0,0
CreditRating,LN,0,0
CreditRating,FirNa,0,0
CreditRating,MiIni,0,0
CreditRating,Gen,0,0
CreditRating,AddLi1,0,0
CreditRating,AddrLi2,0,0
CreditRating,PosCo,0,0
CreditRating,C,0,0
CreditRating,Sta,0,0
CreditRating,Cou,0,0
CreditRating,Ph,0,0
CreditRating,In,0,0
CreditRating,NuCa,0,0
CreditRating,NumChi,0,0
CreditRating,MariSta,0,0
CreditRating,A,0,0
CreditRating,CrRat,0.4462934,1
CreditRating,OwORF,0,0
CreditRating,Em,0,0
CreditRating,NumCreCar,0,0
CreditRating,NeWor,0,0
OwnOrRentFlag,AgID,0,0
OwnOrRentFlag,LN,0,0
OwnOrRentFlag,FirNa,0,0
OwnOrRentFlag,MiIni,0,0
OwnOrRentFlag,Gen,0,0
OwnOrRentFlag,AddLi1,0,0
OwnOrRentFlag,AddrLi2,0,0
OwnOrRentFlag,PosCo,0,0
OwnOrRentFlag,C,0,0
OwnOrRentFlag,Sta,0,0
OwnOrRentFlag,Cou,0,0
OwnOrRentFlag,Ph,0,0
OwnOrRentFlag,In,0,0
OwnOrRentFlag,NuCa,0,0
OwnOrRentFlag,NumChi,0,0
OwnOrRentFlag,MariSta,0,0
OwnOrRentFlag,A,0,0
OwnOrRentFlag,CrRat,0,0
OwnOrRentFlag,OwORF,0.42254838,1
OwnOrRentFlag,Em,0,0
OwnOrRentFlag,NumCreCar,0,0
OwnOrRentFlag,NeWor,0,0
Employer,AgID,0,0
Employer,LN,0,0
Employer,FirNa,0,0
Employer,MiIni,0,0
Employer,Gen,0,0
Employer,AddLi1,0,0
Employer,AddrLi2,0,0
Employer,PosCo,0,0
Employer,C,0,0
Employer,Sta,0,0
Employer,Cou,0,0
Employer,Ph,0,0
Employer,In,0,0
Employer,NuCa,0,0
Employer,NumChi,0,0
Employer,MariSta,0,0
Employer,A,0,0
Employer,CrRat,0,0
Employer,OwORF,0,0
Employer,Em,0.42901263,1
Employer,NumCreCar,0,0
Employer,NeWor,0,0
NumberCreditCards,AgID,0,0
NumberCreditCards,LN,0,0
NumberCreditCards,FirNa,0,0
NumberCreditCards,MiIni,0,0
NumberCreditCards,Gen,0,0
NumberCreditCards,AddLi1,0,0
NumberCreditCards,AddrLi2,0,0
NumberCreditCards,PosCo,0,0
NumberCreditCards,C,0,0
NumberCreditCards,Sta,0,0
NumberCreditCards,Cou,0,0
NumberCreditCards,Ph,0,0
NumberCreditCards,In,0,0
NumberCreditCards,NuCa,0,0
NumberCreditCards,NumChi,0,0
NumberCreditCards,MariSta,0,0
NumberCreditCards,A,0,0
NumberCreditCards,CrRat,0,0
NumberCreditCards,OwORF,0,0
NumberCreditCards,Em,0,0
NumberCreditCards,NumCreCar,0.49482113,1
NumberCreditCards,NeWor,0,0
NetWorth,AgID,0,0
NetWorth,LN,0,0
NetWorth,FirNa,0,0
NetWorth,MiIni,0,0
NetWorth,Gen,0,0
NetWorth,AddLi1,0,0
NetWorth,AddrLi2,0,0
NetWorth,PosCo,0,0
NetWorth,C,0,0
NetWorth,Sta,0,0
NetWorth,Cou,0,0
NetWorth,Ph,0,0
NetWorth,In,0,0
NetWorth,NuCa,0,0
NetWorth,NumChi,0,0
NetWorth,MariSta,0,0
NetWorth,A,0,0
NetWorth,CrRat,0,0
NetWorth,OwORF,0,0
NetWorth,Em,0,0
NetWorth,NumCreCar,0,0
NetWorth,NeWor,0.31385475,1
