source,target,conf,realConf
AgencyID,prospect_AgID,0.16983505,1
AgencyID,prospect_LaN,0,0
AgencyID,prospect_FirN,0,0
AgencyID,prospect_MidInit,0,0
AgencyID,prospect_Gen,0,0
AgencyID,prospect_AddLi1,0,0
AgencyID,prospect_AddLi2,0,0
AgencyID,prospect_PosCo,0,0
AgencyID,prospect_Ci,0,0
AgencyID,prospect_St,0,0
AgencyID,prospect_Cou,0,0
AgencyID,prospect_Pho,0,0
AgencyID,prospect_Inc,0,0
AgencyID,prospect_NuC,0,0
AgencyID,prospect_NumCh,0,0
AgencyID,prospect_MarSt,0,0
AgencyID,prospect_Ag,0,0
AgencyID,prospect_CreRa,0,0
AgencyID,prospect_OwOReF,0,0
AgencyID,prospect_Em,0,0
AgencyID,prospect_NuCreCa,0,0
AgencyID,prospect_NeWor,0,0
LastName,prospect_AgID,0,0
LastName,prospect_LaN,0,1
LastName,prospect_FirN,0,0
LastName,prospect_MidInit,0,0
LastName,prospect_Gen,0,0
LastName,prospect_AddLi1,0,0
LastName,prospect_AddLi2,0,0
LastName,prospect_PosCo,0,0
LastName,prospect_Ci,0,0
LastName,prospect_St,0,0
LastName,prospect_Cou,0,0
LastName,prospect_Pho,0,0
LastName,prospect_Inc,0,0
LastName,prospect_NuC,0,0
LastName,prospect_NumCh,0,0
LastName,prospect_MarSt,0,0
LastName,prospect_Ag,0,0
LastName,prospect_CreRa,0,0
LastName,prospect_OwOReF,0,0
LastName,prospect_Em,0,0
LastName,prospect_NuCreCa,0,0
LastName,prospect_NeWor,0,0
FirstName,prospect_AgID,0,0
FirstName,prospect_LaN,0,0
FirstName,prospect_FirN,0,1
FirstName,prospect_MidInit,0,0
FirstName,prospect_Gen,0,0
FirstName,prospect_AddLi1,0,0
FirstName,prospect_AddLi2,0,0
FirstName,prospect_PosCo,0,0
FirstName,prospect_Ci,0,0
FirstName,prospect_St,0,0
FirstName,prospect_Cou,0,0
FirstName,prospect_Pho,0,0
FirstName,prospect_Inc,0,0
FirstName,prospect_NuC,0,0
FirstName,prospect_NumCh,0,0
FirstName,prospect_MarSt,0,0
FirstName,prospect_Ag,0,0
FirstName,prospect_CreRa,0,0
FirstName,prospect_OwOReF,0,0
FirstName,prospect_Em,0,0
FirstName,prospect_NuCreCa,0,0
FirstName,prospect_NeWor,0,0
MiddleInitial,prospect_AgID,0,0
MiddleInitial,prospect_LaN,0,0
MiddleInitial,prospect_FirN,0,0
MiddleInitial,prospect_MidInit,0.3660885,1
MiddleInitial,prospect_Gen,0,0
MiddleInitial,prospect_AddLi1,0,0
MiddleInitial,prospect_AddLi2,0,0
MiddleInitial,prospect_PosCo,0,0
MiddleInitial,prospect_Ci,0,0
MiddleInitial,prospect_St,0,0
MiddleInitial,prospect_Cou,0,0
MiddleInitial,prospect_Pho,0,0
MiddleInitial,prospect_Inc,0,0
MiddleInitial,prospect_NuC,0,0
MiddleInitial,prospect_NumCh,0,0
MiddleInitial,prospect_MarSt,0,0
MiddleInitial,prospect_Ag,0,0
MiddleInitial,prospect_CreRa,0,0
MiddleInitial,prospect_OwOReF,0,0
MiddleInitial,prospect_Em,0,0
MiddleInitial,prospect_NuCreCa,0,0
MiddleInitial,prospect_NeWor,0,0
Gender,prospect_AgID,0,0
Gender,prospect_LaN,0,0
Gender,prospect_FirN,0,0
Gender,prospect_MidInit,0,0
Gender,prospect_Gen,0.33481398,1
Gender,prospect_AddLi1,0,0
Gender,prospect_AddLi2,0,0
Gender,prospect_PosCo,0,0
Gender,prospect_Ci,0,0
Gender,prospect_St,0,0
Gender,prospect_Cou,0,0
Gender,prospect_Pho,0,0
Gender,prospect_Inc,0,0
Gender,prospect_NuC,0,0
Gender,prospect_NumCh,0,0
Gender,prospect_MarSt,0,0
Gender,prospect_Ag,0,0
Gender,prospect_CreRa,0,0
Gender,prospect_OwOReF,0,0
Gender,prospect_Em,0,0
Gender,prospect_NuCreCa,0,0
Gender,prospect_NeWor,0,0
AddressLine1,prospect_AgID,0,0
AddressLine1,prospect_LaN,0,0
AddressLine1,prospect_FirN,0,0
AddressLine1,prospect_MidInit,0,0
AddressLine1,prospect_Gen,0,0
AddressLine1,prospect_AddLi1,0.14719641,1
AddressLine1,prospect_AddLi2,0,0
AddressLine1,prospect_PosCo,0,0
AddressLine1,prospect_Ci,0,0
AddressLine1,prospect_St,0,0
AddressLine1,prospect_Cou,0,0
AddressLine1,prospect_Pho,0,0
AddressLine1,prospect_Inc,0,0
AddressLine1,prospect_NuC,0,0
AddressLine1,prospect_NumCh,0,0
AddressLine1,prospect_MarSt,0,0
AddressLine1,prospect_Ag,0,0
AddressLine1,prospect_CreRa,0,0
AddressLine1,prospect_OwOReF,0,0
AddressLine1,prospect_Em,0,0
AddressLine1,prospect_NuCreCa,0,0
AddressLine1,prospect_NeWor,0,0
AddressLine2,prospect_AgID,0,0
AddressLine2,prospect_LaN,0,0
AddressLine2,prospect_FirN,0,0
AddressLine2,prospect_MidInit,0,0
AddressLine2,prospect_Gen,0,0
AddressLine2,prospect_AddLi1,0,0
AddressLine2,prospect_AddLi2,0.14719641,1
AddressLine2,prospect_PosCo,0,0
AddressLine2,prospect_Ci,0,0
AddressLine2,prospect_St,0,0
AddressLine2,prospect_Cou,0,0
AddressLine2,prospect_Pho,0,0
AddressLine2,prospect_Inc,0,0
AddressLine2,prospect_NuC,0,0
AddressLine2,prospect_NumCh,0,0
AddressLine2,prospect_MarSt,0,0
AddressLine2,prospect_Ag,0,0
AddressLine2,prospect_CreRa,0,0
AddressLine2,prospect_OwOReF,0,0
AddressLine2,prospect_Em,0,0
AddressLine2,prospect_NuCreCa,0,0
AddressLine2,prospect_NeWor,0,0
PostalCode,prospect_AgID,0,0
PostalCode,prospect_LaN,0,0
PostalCode,prospect_FirN,0,0
PostalCode,prospect_MidInit,0,0
PostalCode,prospect_Gen,0,0
PostalCode,prospect_AddLi1,0,0
PostalCode,prospect_AddLi2,0,0
PostalCode,prospect_PosCo,0.14882219,1
PostalCode,prospect_Ci,0,0
PostalCode,prospect_St,0,0
PostalCode,prospect_Cou,0,0
PostalCode,prospect_Pho,0,0
PostalCode,prospect_Inc,0,0
PostalCode,prospect_NuC,0,0
PostalCode,prospect_NumCh,0,0
PostalCode,prospect_MarSt,0,0
