source,target,conf,realConf
assay_id,assays_ASSI,0,1
assay_id,assays_Ti,0.47085762,0
assay_id,assays_RELATY,0,0
assay_id,assays_CONSC,0,0
assay_id,assays_CURAB,0,0
assay_id,assays_SI,0.47085762,0
assay_id,assays_SRASSI,0,0
assay_id,assays_CHI,0,0
assay_id,assays_CEI,0,0
assay_id,assays_BAFO,0,0
assay_id,assays_TISI,0,0
assay_id,assays_VARI,0,0
doc_id,assays_ASSI,0,0
doc_id,assays_Ti,0,0
doc_id,assays_RELATY,0,0
doc_id,assays_CONSC,0,0
doc_id,assays_CURAB,0,0
doc_id,assays_SI,0,0
doc_id,assays_SRASSI,0,0
doc_id,assays_CHI,0,0
doc_id,assays_CEI,0,0
doc_id,assays_BAFO,0,0
doc_id,assays_TISI,0,0
doc_id,assays_VARI,0,0
description,assays_ASSI,0,0
description,assays_Ti,0,0
description,assays_RELATY,0,0
description,assays_CONSC,0,0
description,assays_CURAB,0,0
description,assays_SI,0,0
description,assays_SRASSI,0,0
description,assays_CHI,0,0
description,assays_CEI,0,0
description,assays_BAFO,0,0
description,assays_TISI,0,0
description,assays_VARI,0,0
assay_type,assays_ASSI,0,0
assay_type,assays_Ti,0,0
assay_type,assays_RELATY,0,0
assay_type,assays_CONSC,0,0
assay_type,assays_CURAB,0,0
assay_type,assays_SI,0,0
assay_type,assays_SRASSI,0,0
assay_type,assays_CHI,0,0
assay_type,assays_CEI,0,0
assay_type,assays_BAFO,0,0
assay_type,assays_TISI,0,0
assay_type,assays_VARI,0,0
assay_test_type,assays_ASSI,0,0
assay_test_type,assays_Ti,0,0
assay_test_type,assays_RELATY,0,0
assay_test_type,assays_CONSC,0,0
assay_test_type,assays_CURAB,0,0
assay_test_type,assays_SI,0,0
assay_test_type,assays_SRASSI,0,0
assay_test_type,assays_CHI,0,0
assay_test_type,assays_CEI,0,0
assay_test_type,assays_BAFO,0,0
assay_test_type,assays_TISI,0,0
assay_test_type,assays_VARI,0,0
assay_category,assays_ASSI,0,0
assay_category,assays_Ti,0,0
assay_category,assays_RELATY,0,0
assay_category,assays_CONSC,0,0
assay_category,assays_CURAB,0,0
assay_category,assays_SI,0,0
assay_category,assays_SRASSI,0,0
assay_category,assays_CHI,0,0
assay_category,assays_CEI,0,0
assay_category,assays_BAFO,0,0
assay_category,assays_TISI,0,0
assay_category,assays_VARI,0,0
assay_organism,assays_ASSI,0,0
assay_organism,assays_Ti,0,0
assay_organism,assays_RELATY,0,0
assay_organism,assays_CONSC,0,0
assay_organism,assays_CURAB,0,0
assay_organism,assays_SI,0,0
assay_organism,assays_SRASSI,0,0
assay_organism,assays_CHI,0,0
assay_organism,assays_CEI,0,0
assay_organism,assays_BAFO,0,0
assay_organism,assays_TISI,0,0
assay_organism,assays_VARI,0,0
assay_tax_id,assays_ASSI,0,0
assay_tax_id,assays_Ti,0,0
assay_tax_id,assays_RELATY,0,0
assay_tax_id,assays_CONSC,0,0
assay_tax_id,assays_CURAB,0,0
assay_tax_id,assays_SI,0,0
assay_tax_id,assays_SRASSI,0,0
assay_tax_id,assays_CHI,0,0
assay_tax_id,assays_CEI,0,0
assay_tax_id,assays_BAFO,0,0
assay_tax_id,assays_TISI,0,0
assay_tax_id,assays_VARI,0,0
assay_strain,assays_ASSI,0,0
assay_strain,assays_Ti,0,0
assay_strain,assays_RELATY,0,0
assay_strain,assays_CONSC,0,0
assay_strain,assays_CURAB,0,0
assay_strain,assays_SI,0,0
assay_strain,assays_SRASSI,0,0
assay_strain,assays_CHI,0,0
assay_strain,assays_CEI,0,0
assay_strain,assays_BAFO,0,0
assay_strain,assays_TISI,0,0
assay_strain,assays_VARI,0,0
assay_tissue,assays_ASSI,0,0
assay_tissue,assays_Ti,0,0
assay_tissue,assays_RELATY,0,0
assay_tissue,assays_CONSC,0,0
assay_tissue,assays_CURAB,0,0
assay_tissue,assays_SI,0,0
assay_tissue,assays_SRASSI,0,0
assay_tissue,assays_CHI,0,0
assay_tissue,assays_CEI,0,0
assay_tissue,assays_BAFO,0,0
assay_tissue,assays_TISI,0.49642137,0
assay_tissue,assays_VARI,0,0
assay_cell_type,assays_ASSI,0,0
assay_cell_type,assays_Ti,0,0
assay_cell_type,assays_RELATY,0,0
assay_cell_type,assays_CONSC,0,0
assay_cell_type,assays_CURAB,0,0
assay_cell_type,assays_SI,0,0
assay_cell_type,assays_SRASSI,0,0
assay_cell_type,assays_CHI,0,0
assay_cell_type,assays_CEI,0,0
assay_cell_type,assays_BAFO,0,0
assay_cell_type,assays_TISI,0,0
assay_cell_type,assays_VARI,0,0
assay_subcellular_fraction,assays_ASSI,0,0
assay_subcellular_fraction,assays_Ti,0,0
assay_subcellular_fraction,assays_RELATY,0,0
assay_subcellular_fraction,assays_CONSC,0,0
assay_subcellular_fraction,assays_CURAB,0,0
assay_subcellular_fraction,assays_SI,0,0
assay_subcellular_fraction,assays_SRASSI,0,0
assay_subcellular_fraction,assays_CHI,0,0
assay_subcellular_fraction,assays_CEI,0,0
assay_subcellular_fraction,assays_BAFO,0,0
assay_subcellular_fraction,assays_TISI,0,0
assay_subcellular_fraction,assays_VARI,0,0
