source,target,conf,realConf
assay_id,ASI,0,1
assay_id,DOI,0,0
assay_id,Descri,0,0
assay_id,ASTY,0,0
assay_id,ASSTETY,0,0
assay_id,ASSCAT,0,0
assay_id,ASORGA,0,0
assay_id,ASSTI,0,0
assay_id,ASST,0.3970326,0
assay_id,ASTIS,0,0
assay_id,ASCETY,0,0
assay_id,ASSSUBCFR,0,0
assay_id,Ti,0,0
assay_id,RELATTY,0,0
assay_id,CONFSCO,0,0
assay_id,CUB,0,0
assay_id,SI,0,0
assay_id,SRASSI,0,0
assay_id,CHI,0,0
assay_id,CEI,0,0
assay_id,BAFOR,0,0
assay_id,TII,0,0
assay_id,VAI,0,0
doc_id,ASI,0,0
doc_id,DOI,0.36785665,1
doc_id,Descri,0,0
doc_id,ASTY,0,0
doc_id,ASSTETY,0,0
doc_id,ASSCAT,0,0
doc_id,ASORGA,0,0
doc_id,ASSTI,0,0
doc_id,ASST,0,0
doc_id,ASTIS,0,0
doc_id,ASCETY,0,0
doc_id,ASSSUBCFR,0,0
doc_id,Ti,0,0
doc_id,RELATTY,0,0
doc_id,CONFSCO,0,0
doc_id,CUB,0,0
doc_id,SI,0,0
doc_id,SRASSI,0,0
doc_id,CHI,0,0
doc_id,CEI,0,0
doc_id,BAFOR,0,0
doc_id,TII,0,0
doc_id,VAI,0,0
description,ASI,0,0
description,DOI,0,0
description,Descri,0.5148633,1
description,ASTY,0,0
description,ASSTETY,0,0
description,ASSCAT,0,0
description,ASORGA,0,0
description,ASSTI,0,0
description,ASST,0,0
description,ASTIS,0,0
description,ASCETY,0,0
description,ASSSUBCFR,0,0
description,Ti,0,0
description,RELATTY,0,0
description,CONFSCO,0,0
description,CUB,0,0
description,SI,0,0
description,SRASSI,0,0
description,CHI,0,0
description,CEI,0,0
description,BAFOR,0,0
description,TII,0,0
description,VAI,0,0
assay_type,ASI,0,0
assay_type,DOI,0,0
assay_type,Descri,0,0
assay_type,ASTY,0,1
assay_type,ASSTETY,0,0
assay_type,ASSCAT,0,0
assay_type,ASORGA,0,0
assay_type,ASSTI,0,0
assay_type,ASST,0,0
assay_type,ASTIS,0,0
assay_type,ASCETY,0,0
assay_type,ASSSUBCFR,0,0
assay_type,Ti,0,0
assay_type,RELATTY,0,0
assay_type,CONFSCO,0,0
assay_type,CUB,0,0
assay_type,SI,0,0
assay_type,SRASSI,0,0
assay_type,CHI,0,0
assay_type,CEI,0,0
assay_type,BAFOR,0,0
assay_type,TII,0,0
assay_type,VAI,0,0
assay_test_type,ASI,0,0
assay_test_type,DOI,0,0
assay_test_type,Descri,0,0
assay_test_type,ASTY,0,0
assay_test_type,ASSTETY,0,1
assay_test_type,ASSCAT,0,0
assay_test_type,ASORGA,0,0
assay_test_type,ASSTI,0,0
assay_test_type,ASST,0,0
assay_test_type,ASTIS,0,0
assay_test_type,ASCETY,0,0
assay_test_type,ASSSUBCFR,0,0
assay_test_type,Ti,0,0
assay_test_type,RELATTY,0,0
assay_test_type,CONFSCO,0,0
assay_test_type,CUB,0,0
assay_test_type,SI,0,0
assay_test_type,SRASSI,0,0
assay_test_type,CHI,0,0
assay_test_type,CEI,0,0
assay_test_type,BAFOR,0,0
assay_test_type,TII,0,0
assay_test_type,VAI,0,0
assay_category,ASI,0,0
assay_category,DOI,0,0
assay_category,Descri,0,0
assay_category,ASTY,0,0
assay_category,ASSTETY,0,0
assay_category,ASSCAT,0,1
assay_category,ASORGA,0,0
assay_category,ASSTI,0,0
assay_category,ASST,0,0
assay_category,ASTIS,0,0
assay_category,ASCETY,0,0
assay_category,ASSSUBCFR,0,0
assay_category,Ti,0,0
assay_category,RELATTY,0,0
assay_category,CONFSCO,0,0
assay_category,CUB,0,0
assay_category,SI,0,0
assay_category,SRASSI,0,0
assay_category,CHI,0,0
assay_category,CEI,0,0
assay_category,BAFOR,0,0
assay_category,TII,0,0
assay_category,VAI,0,0
assay_organism,ASI,0,0
assay_organism,DOI,0,0
assay_organism,Descri,0,0
assay_organism,ASTY,0,0
assay_organism,ASSTETY,0,0
assay_organism,ASSCAT,0,0
assay_organism,ASORGA,0.36691338,1
assay_organism,ASSTI,0,0
assay_organism,ASST,0,0
assay_organism,ASTIS,0,0
assay_organism,ASCETY,0,0
assay_organism,ASSSUBCFR,0,0
assay_organism,Ti,0,0
assay_organism,RELATTY,0,0
assay_organism,CONFSCO,0,0
assay_organism,CUB,0,0
assay_organism,SI,0,0
assay_organism,SRASSI,0,0
assay_organism,CHI,0,0
assay_organism,CEI,0,0
assay_organism,BAFOR,0,0
assay_organism,TII,0,0
assay_organism,VAI,0,0
assay_tax_id,ASI,0,0
assay_tax_id,DOI,0,0
assay_tax_id,Descri,0,0
assay_tax_id,ASTY,0,0
assay_tax_id,ASSTETY,0,0
assay_tax_id,ASSCAT,0,0
assay_tax_id,ASORGA,0,0
assay_tax_id,ASSTI,0,1
assay_tax_id,ASST,0,0
assay_tax_id,ASTIS,0,0
assay_tax_id,ASCETY,0,0
assay_tax_id,ASSSUBCFR,0,0
assay_tax_id,Ti,0,0
assay_tax_id,RELATTY,0,0
assay_tax_id,CONFSCO,0,0
assay_tax_id,CUB,0,0
assay_tax_id,SI,0,0
assay_tax_id,SRASSI,0,0
assay_tax_id,CHI,0,0
assay_tax_id,CEI,0,0
assay_tax_id,BAFOR,0,0
assay_tax_id,TII,0,0
assay_tax_id,VAI,0,0
assay_strain,ASI,0,0
assay_strain,DOI,0,0
assay_strain,Descri,0,0
assay_strain,ASTY,0,0
assay_strain,ASSTETY,0,0
assay_strain,ASSCAT,0,0
assay_strain,ASORGA,0,0
assay_strain,ASSTI,0,0
assay_strain,ASST,0,1
assay_strain,ASTIS,0,0
assay_strain,ASCETY,0,0
assay_strain,ASSSUBCFR,0,0
assay_strain,Ti,0,0
assay_strain,RELATTY,0,0
assay_strain,CONFSCO,0,0
assay_strain,CUB,0,0
assay_strain,SI,0,0
assay_strain,SRASSI,0,0
assay_strain,CHI,0,0
assay_strain,CEI,0,0
assay_strain,BAFOR,0,0
assay_strain,TII,0,0
assay_strain,VAI,0,0
assay_tissue,ASI,0,0
assay_tissue,DOI,0,0
assay_tissue,Descri,0,0
assay_tissue,ASTY,0,0
assay_tissue,ASSTETY,0,0
assay_tissue,ASSCAT,0,0
assay_tissue,ASORGA,0,0
assay_tissue,ASSTI,0,0
assay_tissue,ASST,0,0
assay_tissue,ASTIS,0,1
assay_tissue,ASCETY,0,0
assay_tissue,ASSSUBCFR,0.3502564,0
assay_tissue,Ti,0,0
assay_tissue,RELATTY,0,0
assay_tissue,CONFSCO,0,0
assay_tissue,CUB,0,0
assay_tissue,SI,0,0
assay_tissue,SRASSI,0,0
assay_tissue,CHI,0,0
assay_tissue,CEI,0,0
assay_tissue,BAFOR,0,0
assay_tissue,TII,0,0
assay_tissue,VAI,0,0
assay_cell_type,ASI,0,0
assay_cell_type,DOI,0,0
assay_cell_type,Descri,0,0
assay_cell_type,ASTY,0,0
assay_cell_type,ASSTETY,0,0
assay_cell_type,ASSCAT,0,0
assay_cell_type,ASORGA,0,0
assay_cell_type,ASSTI,0,0
assay_cell_type,ASST,0,0
assay_cell_type,ASTIS,0,0
assay_cell_type,ASCETY,0,1
assay_cell_type,ASSSUBCFR,0,0
assay_cell_type,Ti,0,0
assay_cell_type,RELATTY,0,0
assay_cell_type,CONFSCO,0,0
assay_cell_type,CUB,0,0
assay_cell_type,SI,0,0
assay_cell_type,SRASSI,0,0
assay_cell_type,CHI,0,0
assay_cell_type,CEI,0,0
assay_cell_type,BAFOR,0,0
assay_cell_type,TII,0,0
assay_cell_type,VAI,0,0
assay_subcellular_fraction,ASI,0,0
assay_subcellular_fraction,DOI,0,0
assay_subcellular_fraction,Descri,0,0
assay_subcellular_fraction,ASTY,0,0
assay_subcellular_fraction,ASSTETY,0,0
assay_subcellular_fraction,ASSCAT,0,0
assay_subcellular_fraction,ASORGA,0,0
assay_subcellular_fraction,ASSTI,0,0
assay_subcellular_fraction,ASST,0,0
assay_subcellular_fraction,ASTIS,0,0
assay_subcellular_fraction,ASCETY,0,0
assay_subcellular_fraction,ASSSUBCFR,0,1
assay_subcellular_fraction,Ti,0,0
assay_subcellular_fraction,RELATTY,0,0
assay_subcellular_fraction,CONFSCO,0,0
assay_subcellular_fraction,CUB,0,0
assay_subcellular_fraction,SI,0,0
assay_subcellular_fraction,SRASSI,0,0
assay_subcellular_fraction,CHI,0,0
assay_subcellular_fraction,CEI,0,0
assay_subcellular_fraction,BAFOR,0,0
assay_subcellular_fraction,TII,0,0
assay_subcellular_fraction,VAI,0,0
tid,ASI,0,0
tid,DOI,0,0
tid,Descri,0,0
tid,ASTY,0,0
tid,ASSTETY,0,0
tid,ASSCAT,0,0
tid,ASORGA,0,0
tid,ASSTI,0,0
tid,ASST,0,0
tid,ASTIS,0,0
tid,ASCETY,0,0
tid,ASSSUBCFR,0,0
tid,Ti,0.47050032,1
tid,RELATTY,0,0
tid,CONFSCO,0,0
tid,CUB,0,0
tid,SI,0,0
tid,SRASSI,0,0
tid,CHI,0,0
tid,CEI,0,0
tid,BAFOR,0,0
tid,TII,0,0
tid,VAI,0,0
relationship_type,ASI,0,0
relationship_type,DOI,0,0
relationship_type,Descri,0,0
relationship_type,ASTY,0,0
relationship_type,ASSTETY,0,0
relationship_type,ASSCAT,0,0
relationship_type,ASORGA,0,0
relationship_type,ASSTI,0,0
relationship_type,ASST,0,0
relationship_type,ASTIS,0,0
relationship_type,ASCETY,0,0
relationship_type,ASSSUBCFR,0,0
relationship_type,Ti,0,0
relationship_type,RELATTY,0.3727081,1
relationship_type,CONFSCO,0,0
relationship_type,CUB,0,0
relationship_type,SI,0,0
relationship_type,SRASSI,0,0
relationship_type,CHI,0,0
