source,target,conf,realConf
assay_id,ASSI,0,1
assay_id,DI,0,0
assay_id,Desc,0,0
assay_id,ASSTY,0,0
assay_id,ASTT,0,0
assay_id,ASCAT,0,0
assay_id,ASSORGA,0,0
assay_id,ASTI,0,0
assay_id,ASST,0.40052855,0
assay_id,ASSTIS,0,0
assay_id,ASCETY,0,0
assay_id,ASSSUBCELFRAC,0,0
assay_id,Ti,0,0
assay_id,RELATT,0,0
assay_id,CONFSC,0,0
assay_id,CURAB,0,0
assay_id,SRI,0,0
assay_id,SRASI,0,0
assay_id,CHEI,0,0
assay_id,CI,0,0
assay_id,BFOR,0,0
assay_id,TII,0,0
assay_id,VARI,0,0
doc_id,ASSI,0,0
doc_id,DI,0,1
doc_id,Desc,0,0
doc_id,ASSTY,0,0
doc_id,ASTT,0,0
doc_id,ASCAT,0,0
doc_id,ASSORGA,0,0
doc_id,ASTI,0,0
doc_id,ASST,0,0
doc_id,ASSTIS,0,0
doc_id,ASCETY,0,0
doc_id,ASSSUBCELFRAC,0,0
doc_id,Ti,0,0
doc_id,RELATT,0,0
doc_id,CONFSC,0,0
doc_id,CURAB,0,0
doc_id,SRI,0,0
doc_id,SRASI,0,0
doc_id,CHEI,0,0
doc_id,CI,0,0
doc_id,BFOR,0,0
doc_id,TII,0,0
doc_id,VARI,0,0
description,ASSI,0,0
description,DI,0,0
description,Desc,0.42309403,1
description,ASSTY,0,0
description,ASTT,0,0
description,ASCAT,0,0
description,ASSORGA,0,0
description,ASTI,0,0
description,ASST,0,0
description,ASSTIS,0,0
description,ASCETY,0,0
description,ASSSUBCELFRAC,0,0
description,Ti,0,0
description,RELATT,0,0
description,CONFSC,0,0
description,CURAB,0,0
description,SRI,0,0
description,SRASI,0,0
description,CHEI,0,0
description,CI,0,0
description,BFOR,0,0
description,TII,0,0
description,VARI,0,0
assay_type,ASSI,0,0
assay_type,DI,0,0
assay_type,Desc,0,0
assay_type,ASSTY,0,1
assay_type,ASTT,0,0
assay_type,ASCAT,0,0
assay_type,ASSORGA,0,0
assay_type,ASTI,0,0
assay_type,ASST,0,0
assay_type,ASSTIS,0,0
assay_type,ASCETY,0,0
assay_type,ASSSUBCELFRAC,0,0
assay_type,Ti,0,0
assay_type,RELATT,0,0
assay_type,CONFSC,0,0
assay_type,CURAB,0,0
assay_type,SRI,0,0
assay_type,SRASI,0,0
assay_type,CHEI,0,0
assay_type,CI,0,0
assay_type,BFOR,0,0
assay_type,TII,0,0
assay_type,VARI,0,0
assay_test_type,ASSI,0,0
assay_test_type,DI,0,0
assay_test_type,Desc,0,0
assay_test_type,ASSTY,0,0
assay_test_type,ASTT,0,1
assay_test_type,ASCAT,0,0
assay_test_type,ASSORGA,0,0
assay_test_type,ASTI,0,0
assay_test_type,ASST,0,0
assay_test_type,ASSTIS,0,0
assay_test_type,ASCETY,0,0
assay_test_type,ASSSUBCELFRAC,0,0
assay_test_type,Ti,0,0
assay_test_type,RELATT,0,0
assay_test_type,CONFSC,0,0
assay_test_type,CURAB,0,0
assay_test_type,SRI,0,0
assay_test_type,SRASI,0,0
assay_test_type,CHEI,0,0
assay_test_type,CI,0,0
assay_test_type,BFOR,0,0
assay_test_type,TII,0,0
assay_test_type,VARI,0,0
assay_category,ASSI,0,0
assay_category,DI,0,0
assay_category,Desc,0,0
assay_category,ASSTY,0,0
assay_category,ASTT,0,0
assay_category,ASCAT,0,1
assay_category,ASSORGA,0,0
assay_category,ASTI,0,0
assay_category,ASST,0,0
assay_category,ASSTIS,0,0
assay_category,ASCETY,0,0
assay_category,ASSSUBCELFRAC,0,0
assay_category,Ti,0,0
assay_category,RELATT,0,0
assay_category,CONFSC,0,0
assay_category,CURAB,0,0
assay_category,SRI,0,0
assay_category,SRASI,0,0
assay_category,CHEI,0,0
assay_category,CI,0,0
assay_category,BFOR,0,0
assay_category,TII,0,0
assay_category,VARI,0,0
assay_organism,ASSI,0,0
assay_organism,DI,0,0
assay_organism,Desc,0,0
assay_organism,ASSTY,0,0
assay_organism,ASTT,0,0
assay_organism,ASCAT,0,0
assay_organism,ASSORGA,0.41428083,1
assay_organism,ASTI,0,0
assay_organism,ASST,0,0
assay_organism,ASSTIS,0,0
assay_organism,ASCETY,0,0
assay_organism,ASSSUBCELFRAC,0,0
assay_organism,Ti,0,0
assay_organism,RELATT,0,0
assay_organism,CONFSC,0,0
assay_organism,CURAB,0,0
assay_organism,SRI,0,0
assay_organism,SRASI,0,0
assay_organism,CHEI,0,0
assay_organism,CI,0,0
assay_organism,BFOR,0,0
assay_organism,TII,0,0
assay_organism,VARI,0,0
assay_tax_id,ASSI,0,0
assay_tax_id,DI,0,0
assay_tax_id,Desc,0,0
assay_tax_id,ASSTY,0,0
assay_tax_id,ASTT,0,0
assay_tax_id,ASCAT,0,0
assay_tax_id,ASSORGA,0,0
assay_tax_id,ASTI,0,1
assay_tax_id,ASST,0,0
assay_tax_id,ASSTIS,0,0
assay_tax_id,ASCETY,0,0
assay_tax_id,ASSSUBCELFRAC,0,0
assay_tax_id,Ti,0,0
assay_tax_id,RELATT,0,0
assay_tax_id,CONFSC,0,0
assay_tax_id,CURAB,0,0
assay_tax_id,SRI,0,0
assay_tax_id,SRASI,0,0
