source,target,conf,realConf
Fiscal year,miller2_fsclr,0.14609136,1
Fiscal year,miller2_brnchd,0,0
Fiscal year,miller2_rgnstnsb-clss,0,0
Fiscal year,miller2_cntnntd,0,0
Fiscal year,miller2_sctrprcnt,0,0
Fiscal year,miller2_sctrnm,0,0
Fiscal year,miller2_stts,0,0
Fiscal year,miller2_prjctnmbr,0,0
Fiscal year,miller2_clmtchngmtgtn(mrkr),0,0
Fiscal year,miller2_gndrqlt(mrkr),0,0
Fiscal year,miller2_prtcptrdvlpmntndgdgvrnnc,0,0
Fiscal year,miller2_mxmmcdcntrbtn(prjct-lvl),0,0
Fiscal year,miller2_rgnlprgrm(mrkr),0,0
Fiscal year,miller2_sctnd,0,0
Fiscal year,miller2_ntdmnt(prjct-lvlbdgt),0,0
Fiscal year,miller2_rbnsss(mrkr),0,0
Fiscal year,miller2_chldrnsss(mrkr),0,0
Fiscal year,miller2_thsss(mrkr),0,0
Fiscal year,miller2_ndgnssss(mrkr),0,0
Fiscal year,miller2_dsbltsss(mrkr),0,0
Fiscal year,miller2_ctstlfrdvlpmnt(mrkr),0,0
Fiscal year,miller2_knwldgfrdvlpmnt(mrkr),0,0
Fiscal year,miller2_rgnstnd,0,0
Fiscal year,miller2_rgnstnnm,0,0
Fiscal year,miller2_rgnstntp,0,0
Fiscal year,miller2_rgnstnclss,0,0
Fiscal year,miller2_cntnntnm,0,0
Fiscal year,miller2_prjctbrwsrcntrd,0,0
Fiscal year,miller2_cntrrgnd,0,0
Fiscal year,miller2_cntrrgnnm,0,0
Fiscal year,miller2_cntrrgnprcnt,0,0
Fiscal year,miller2_sctrd,0,0
Fiscal year,miller2_mntspnt,0,0
Branch ID,miller2_fsclr,0,0
Branch ID,miller2_brnchd,0.19749463,1
Branch ID,miller2_rgnstnsb-clss,0,0
Branch ID,miller2_cntnntd,0,0
Branch ID,miller2_sctrprcnt,0,0
Branch ID,miller2_sctrnm,0,0
Branch ID,miller2_stts,0,0
Branch ID,miller2_prjctnmbr,0,0
Branch ID,miller2_clmtchngmtgtn(mrkr),0,0
Branch ID,miller2_gndrqlt(mrkr),0,0
Branch ID,miller2_prtcptrdvlpmntndgdgvrnnc,0,0
Branch ID,miller2_mxmmcdcntrbtn(prjct-lvl),0,0
Branch ID,miller2_rgnlprgrm(mrkr),0,0
Branch ID,miller2_sctnd,0,0
Branch ID,miller2_ntdmnt(prjct-lvlbdgt),0,0
Branch ID,miller2_rbnsss(mrkr),0,0
Branch ID,miller2_chldrnsss(mrkr),0,0
Branch ID,miller2_thsss(mrkr),0,0
Branch ID,miller2_ndgnssss(mrkr),0,0
Branch ID,miller2_dsbltsss(mrkr),0,0
Branch ID,miller2_ctstlfrdvlpmnt(mrkr),0,0
Branch ID,miller2_knwldgfrdvlpmnt(mrkr),0,0
Branch ID,miller2_rgnstnd,0,0
Branch ID,miller2_rgnstnnm,0,0
Branch ID,miller2_rgnstntp,0,0
Branch ID,miller2_rgnstnclss,0,0
Branch ID,miller2_cntnntnm,0,0
Branch ID,miller2_prjctbrwsrcntrd,0,0
Branch ID,miller2_cntrrgnd,0,0
Branch ID,miller2_cntrrgnnm,0,0
Branch ID,miller2_cntrrgnprcnt,0,0
Branch ID,miller2_sctrd,0,0
Branch ID,miller2_mntspnt,0,0
Organisation sub-class,miller2_fsclr,0,0
Organisation sub-class,miller2_brnchd,0,0
Organisation sub-class,miller2_rgnstnsb-clss,0.19314231,1
Organisation sub-class,miller2_cntnntd,0,0
Organisation sub-class,miller2_sctrprcnt,0,0
Organisation sub-class,miller2_sctrnm,0,0
Organisation sub-class,miller2_stts,0,0
Organisation sub-class,miller2_prjctnmbr,0,0
Organisation sub-class,miller2_clmtchngmtgtn(mrkr),0,0
Organisation sub-class,miller2_gndrqlt(mrkr),0,0
Organisation sub-class,miller2_prtcptrdvlpmntndgdgvrnnc,0,0
Organisation sub-class,miller2_mxmmcdcntrbtn(prjct-lvl),0,0
Organisation sub-class,miller2_rgnlprgrm(mrkr),0,0
Organisation sub-class,miller2_sctnd,0,0
Organisation sub-class,miller2_ntdmnt(prjct-lvlbdgt),0,0
Organisation sub-class,miller2_rbnsss(mrkr),0,0
Organisation sub-class,miller2_chldrnsss(mrkr),0,0
Organisation sub-class,miller2_thsss(mrkr),0,0
Organisation sub-class,miller2_ndgnssss(mrkr),0,0
Organisation sub-class,miller2_dsbltsss(mrkr),0,0
Organisation sub-class,miller2_ctstlfrdvlpmnt(mrkr),0,0
Organisation sub-class,miller2_knwldgfrdvlpmnt(mrkr),0,0
Organisation sub-class,miller2_rgnstnd,0,0
Organisation sub-class,miller2_rgnstnnm,0,0
Organisation sub-class,miller2_rgnstntp,0,0
Organisation sub-class,miller2_rgnstnclss,0,0
Organisation sub-class,miller2_cntnntnm,0,0
Organisation sub-class,miller2_prjctbrwsrcntrd,0,0
Organisation sub-class,miller2_cntrrgnd,0,0
Organisation sub-class,miller2_cntrrgnnm,0,0
Organisation sub-class,miller2_cntrrgnprcnt,0,0
Organisation sub-class,miller2_sctrd,0,0
Organisation sub-class,miller2_mntspnt,0,0
Continent ID,miller2_fsclr,0,0
Continent ID,miller2_brnchd,0,0
