source,target,conf,realConf
Fiscal year,miller2_FiscalYear,0.509847,1
Fiscal year,miller2_IRTCPercent,0,0
Fiscal year,miller2_UntiedAmount(Project-levelBudget),0,0
Fiscal year,miller2_DisabilityIssues(marker),0,0
Fiscal year,miller2_GenderEquality(marker),0,0
Fiscal year,miller2_FundCentreName,0,0
Fiscal year,miller2_OrganisationType,0,0
Fiscal year,miller2_ProjectBrowserCountryID,0,0
Fiscal year,miller2_CountryRegionName,0,0
Fiscal year,miller2_UrbanIssues(marker),0,0
Fiscal year,miller2_FundCentreID,0,0
Fiscal year,miller2_FSTCPercent,0,0
Fiscal year,miller2_EnviromentalSustainability(marker),0,0
Fiscal year,miller2_SectionID,0,0
Fiscal year,miller2_DivisionName,0,0
Fiscal year,miller2_AmountSpent,0,0
Fiscal year,miller2_SectorID,0,0
Fiscal year,miller2_ClimateChangeMitigation(marker),0,0
Fiscal year,miller2_OrganisationClass,0,0
Fiscal year,miller2_BilateralAid(internationalMarker),0,0
Fiscal year,miller2_ContinentID,0,0
Fiscal year,miller2_OrganisationID,0,0
Fiscal year,miller2_CountryRegionPercent,0,0
Fiscal year,miller2_YouthIssues(marker),0,0
Fiscal year,miller2_SectorName,0,0
Fiscal year,miller2_Desertification(marker),0,0
Fiscal year,miller2_ParticipatoryDevelopmentAndGoodGovernance,0,0
Fiscal year,miller2_TradeDevelopment(marker),0,0
Fiscal year,miller2_Biodiversity(marker),0,0
Fiscal year,miller2_ChildrenIssues(marker),0,0
Fiscal year,miller2_IndigenousIssues(marker),0,0
Fiscal year,miller2_ICTAsAToolForDevelopment(marker),0,0
Fiscal year,miller2_KnowledgeForDevelopment(marker),0,0
Fiscal year,miller2_OrganisationName,0,0
Fiscal year,miller2_OrganisationSub-class,0,0
Fiscal year,miller2_ContinentName,0,0
Fiscal year,miller2_CountryRegionID,0,0
Fiscal year,miller2_SectorPercent,0,0
IRTC percent,miller2_FiscalYear,0,0
IRTC percent,miller2_IRTCPercent,0.5284502,1
IRTC percent,miller2_UntiedAmount(Project-levelBudget),0,0
IRTC percent,miller2_DisabilityIssues(marker),0,0
IRTC percent,miller2_GenderEquality(marker),0,0
IRTC percent,miller2_FundCentreName,0,0
IRTC percent,miller2_OrganisationType,0,0
IRTC percent,miller2_ProjectBrowserCountryID,0,0
IRTC percent,miller2_CountryRegionName,0,0
IRTC percent,miller2_UrbanIssues(marker),0,0
IRTC percent,miller2_FundCentreID,0,0
IRTC percent,miller2_FSTCPercent,0,0
IRTC percent,miller2_EnviromentalSustainability(marker),0,0
IRTC percent,miller2_SectionID,0,0
IRTC percent,miller2_DivisionName,0,0
IRTC percent,miller2_AmountSpent,0,0
IRTC percent,miller2_SectorID,0,0
IRTC percent,miller2_ClimateChangeMitigation(marker),0,0
IRTC percent,miller2_OrganisationClass,0,0
IRTC percent,miller2_BilateralAid(internationalMarker),0,0
IRTC percent,miller2_ContinentID,0,0
IRTC percent,miller2_OrganisationID,0,0
IRTC percent,miller2_CountryRegionPercent,0,0
IRTC percent,miller2_YouthIssues(marker),0,0
IRTC percent,miller2_SectorName,0,0
IRTC percent,miller2_Desertification(marker),0,0
IRTC percent,miller2_ParticipatoryDevelopmentAndGoodGovernance,0,0
IRTC percent,miller2_TradeDevelopment(marker),0,0
IRTC percent,miller2_Biodiversity(marker),0,0
IRTC percent,miller2_ChildrenIssues(marker),0,0
IRTC percent,miller2_IndigenousIssues(marker),0,0
IRTC percent,miller2_ICTAsAToolForDevelopment(marker),0,0
IRTC percent,miller2_KnowledgeForDevelopment(marker),0,0
IRTC percent,miller2_OrganisationName,0,0
IRTC percent,miller2_OrganisationSub-class,0,0
IRTC percent,miller2_ContinentName,0,0
IRTC percent,miller2_CountryRegionID,0,0
IRTC percent,miller2_SectorPercent,0,0
Untied amount(Project-level budget),miller2_FiscalYear,0,0
Untied amount(Project-level budget),miller2_IRTCPercent,0,0
Untied amount(Project-level budget),miller2_UntiedAmount(Project-levelBudget),0.6616299,1
Untied amount(Project-level budget),miller2_DisabilityIssues(marker),0,0
Untied amount(Project-level budget),miller2_GenderEquality(marker),0,0
Untied amount(Project-level budget),miller2_FundCentreName,0,0
Untied amount(Project-level budget),miller2_OrganisationType,0,0
Untied amount(Project-level budget),miller2_ProjectBrowserCountryID,0,0
Untied amount(Project-level budget),miller2_CountryRegionName,0,0
Untied amount(Project-level budget),miller2_UrbanIssues(marker),0,0
Untied amount(Project-level budget),miller2_FundCentreID,0,0
Untied amount(Project-level budget),miller2_FSTCPercent,0,0
Untied amount(Project-level budget),miller2_EnviromentalSustainability(marker),0,0
Untied amount(Project-level budget),miller2_SectionID,0,0
Untied amount(Project-level budget),miller2_DivisionName,0,0
Untied amount(Project-level budget),miller2_AmountSpent,0,0
Untied amount(Project-level budget),miller2_SectorID,0,0
Untied amount(Project-level budget),miller2_ClimateChangeMitigation(marker),0,0
Untied amount(Project-level budget),miller2_OrganisationClass,0,0
Untied amount(Project-level budget),miller2_BilateralAid(internationalMarker),0,0
Untied amount(Project-level budget),miller2_ContinentID,0,0
Untied amount(Project-level budget),miller2_OrganisationID,0,0
Untied amount(Project-level budget),miller2_CountryRegionPercent,0,0
Untied amount(Project-level budget),miller2_YouthIssues(marker),0,0
Untied amount(Project-level budget),miller2_SectorName,0,0
Untied amount(Project-level budget),miller2_Desertification(marker),0,0
Untied amount(Project-level budget),miller2_ParticipatoryDevelopmentAndGoodGovernance,0,0
Untied amount(Project-level budget),miller2_TradeDevelopment(marker),0,0
Untied amount(Project-level budget),miller2_Biodiversity(marker),0,0
Untied amount(Project-level budget),miller2_ChildrenIssues(marker),0,0
Untied amount(Project-level budget),miller2_IndigenousIssues(marker),0,0
Untied amount(Project-level budget),miller2_ICTAsAToolForDevelopment(marker),0,0
Untied amount(Project-level budget),miller2_KnowledgeForDevelopment(marker),0,0
Untied amount(Project-level budget),miller2_OrganisationName,0,0
Untied amount(Project-level budget),miller2_OrganisationSub-class,0,0
Untied amount(Project-level budget),miller2_ContinentName,0,0
Untied amount(Project-level budget),miller2_CountryRegionID,0,0
Untied amount(Project-level budget),miller2_SectorPercent,0,0
Disability issues (marker),miller2_FiscalYear,0,0
Disability issues (marker),miller2_IRTCPercent,0,0
Disability issues (marker),miller2_UntiedAmount(Project-levelBudget),0,0
Disability issues (marker),miller2_DisabilityIssues(marker),0.6116946,1
Disability issues (marker),miller2_GenderEquality(marker),0,0
Disability issues (marker),miller2_FundCentreName,0,0
Disability issues (marker),miller2_OrganisationType,0,0
Disability issues (marker),miller2_ProjectBrowserCountryID,0,0
Disability issues (marker),miller2_CountryRegionName,0,0
Disability issues (marker),miller2_UrbanIssues(marker),0,0
Disability issues (marker),miller2_FundCentreID,0,0
Disability issues (marker),miller2_FSTCPercent,0,0
Disability issues (marker),miller2_EnviromentalSustainability(marker),0,0
Disability issues (marker),miller2_SectionID,0,0
Disability issues (marker),miller2_DivisionName,0,0
Disability issues (marker),miller2_AmountSpent,0,0
Disability issues (marker),miller2_SectorID,0,0
Disability issues (marker),miller2_ClimateChangeMitigation(marker),0,0
Disability issues (marker),miller2_OrganisationClass,0,0
Disability issues (marker),miller2_BilateralAid(internationalMarker),0,0
Disability issues (marker),miller2_ContinentID,0,0
Disability issues (marker),miller2_OrganisationID,0,0
Disability issues (marker),miller2_CountryRegionPercent,0,0
Disability issues (marker),miller2_YouthIssues(marker),0,0
Disability issues (marker),miller2_SectorName,0,0
Disability issues (marker),miller2_Desertification(marker),0,0
Disability issues (marker),miller2_ParticipatoryDevelopmentAndGoodGovernance,0,0
Disability issues (marker),miller2_TradeDevelopment(marker),0,0
Disability issues (marker),miller2_Biodiversity(marker),0,0
Disability issues (marker),miller2_ChildrenIssues(marker),0,0
Disability issues (marker),miller2_IndigenousIssues(marker),0,0
Disability issues (marker),miller2_ICTAsAToolForDevelopment(marker),0,0
Disability issues (marker),miller2_KnowledgeForDevelopment(marker),0,0
Disability issues (marker),miller2_OrganisationName,0,0
Disability issues (marker),miller2_OrganisationSub-class,0,0
Disability issues (marker),miller2_ContinentName,0,0
Disability issues (marker),miller2_CountryRegionID,0,0
Disability issues (marker),miller2_SectorPercent,0,0
Gender equality (marker),miller2_FiscalYear,0,0
Gender equality (marker),miller2_IRTCPercent,0,0
Gender equality (marker),miller2_UntiedAmount(Project-levelBudget),0,0
Gender equality (marker),miller2_DisabilityIssues(marker),0,0
Gender equality (marker),miller2_GenderEquality(marker),0.5951824,1
Gender equality (marker),miller2_FundCentreName,0,0
Gender equality (marker),miller2_OrganisationType,0,0
Gender equality (marker),miller2_ProjectBrowserCountryID,0,0
Gender equality (marker),miller2_CountryRegionName,0,0
Gender equality (marker),miller2_UrbanIssues(marker),0,0
Gender equality (marker),miller2_FundCentreID,0,0
Gender equality (marker),miller2_FSTCPercent,0,0
Gender equality (marker),miller2_EnviromentalSustainability(marker),0,0
Gender equality (marker),miller2_SectionID,0,0
Gender equality (marker),miller2_DivisionName,0,0
Gender equality (marker),miller2_AmountSpent,0,0
Gender equality (marker),miller2_SectorID,0,0
Gender equality (marker),miller2_ClimateChangeMitigation(marker),0,0
Gender equality (marker),miller2_OrganisationClass,0,0
Gender equality (marker),miller2_BilateralAid(internationalMarker),0,0
Gender equality (marker),miller2_ContinentID,0,0
Gender equality (marker),miller2_OrganisationID,0,0
Gender equality (marker),miller2_CountryRegionPercent,0,0
Gender equality (marker),miller2_YouthIssues(marker),0,0
Gender equality (marker),miller2_SectorName,0,0
Gender equality (marker),miller2_Desertification(marker),0,0
Gender equality (marker),miller2_ParticipatoryDevelopmentAndGoodGovernance,0,0
Gender equality (marker),miller2_TradeDevelopment(marker),0,0
Gender equality (marker),miller2_Biodiversity(marker),0,0
Gender equality (marker),miller2_ChildrenIssues(marker),0,0
Gender equality (marker),miller2_IndigenousIssues(marker),0,0
Gender equality (marker),miller2_ICTAsAToolForDevelopment(marker),0,0
Gender equality (marker),miller2_KnowledgeForDevelopment(marker),0,0
Gender equality (marker),miller2_OrganisationName,0,0
Gender equality (marker),miller2_OrganisationSub-class,0,0
Gender equality (marker),miller2_ContinentName,0,0
Gender equality (marker),miller2_CountryRegionID,0,0
Gender equality (marker),miller2_SectorPercent,0,0
Fund centre name,miller2_FiscalYear,0,0
Fund centre name,miller2_IRTCPercent,0,0
Fund centre name,miller2_UntiedAmount(Project-levelBudget),0,0
Fund centre name,miller2_DisabilityIssues(marker),0,0
Fund centre name,miller2_GenderEquality(marker),0,0
Fund centre name,miller2_FundCentreName,0.50012577,1
Fund centre name,miller2_OrganisationType,0,0
Fund centre name,miller2_ProjectBrowserCountryID,0,0
Fund centre name,miller2_CountryRegionName,0,0
Fund centre name,miller2_UrbanIssues(marker),0,0
Fund centre name,miller2_FundCentreID,0,0
Fund centre name,miller2_FSTCPercent,0,0
Fund centre name,miller2_EnviromentalSustainability(marker),0,0
Fund centre name,miller2_SectionID,0,0
Fund centre name,miller2_DivisionName,0,0
Fund centre name,miller2_AmountSpent,0,0
Fund centre name,miller2_SectorID,0,0
Fund centre name,miller2_ClimateChangeMitigation(marker),0,0
Fund centre name,miller2_OrganisationClass,0,0
Fund centre name,miller2_BilateralAid(internationalMarker),0,0
Fund centre name,miller2_ContinentID,0,0
Fund centre name,miller2_OrganisationID,0,0
Fund centre name,miller2_CountryRegionPercent,0,0
Fund centre name,miller2_YouthIssues(marker),0,0
Fund centre name,miller2_SectorName,0,0
Fund centre name,miller2_Desertification(marker),0,0
Fund centre name,miller2_ParticipatoryDevelopmentAndGoodGovernance,0,0
Fund centre name,miller2_TradeDevelopment(marker),0,0
Fund centre name,miller2_Biodiversity(marker),0,0
Fund centre name,miller2_ChildrenIssues(marker),0,0
Fund centre name,miller2_IndigenousIssues(marker),0,0
Fund centre name,miller2_ICTAsAToolForDevelopment(marker),0,0
Fund centre name,miller2_KnowledgeForDevelopment(marker),0,0
Fund centre name,miller2_OrganisationName,0,0
Fund centre name,miller2_OrganisationSub-class,0,0
Fund centre name,miller2_ContinentName,0,0
Fund centre name,miller2_CountryRegionID,0,0
