source,target,conf,realConf
Fiscal year,Fiscal year,0.9450921,1
Fiscal year,Gender equality (marker),0,0
Fiscal year,Sector ID,0,0
Fiscal year,Regional program (marker),0,0
Fiscal year,Project Browser country ID,0,0
Fiscal year,Project number,0,0
Fiscal year,Sector name,0,0
Fiscal year,Biodiversity (marker),0,0
Fiscal year,Organisation class,0,0
Fiscal year,Untied amount(Project-level budget),0,0
Fiscal year,Section name,0,0
Fiscal year,Maximum CIDA contribution (project-level),0,0
Fiscal year,Children issues (marker),0,0
Fiscal year,Enviromental sustainability (marker),0,0
Fiscal year,ICT as a tool for development (marker),0,0
Fiscal year,Amount spent,0,0
Fiscal year,Section ID,0,0
Fiscal year,Sector percent,0,0
Fiscal year,Branch ID,0,0
Fiscal year,Fund centre ID,0,0
Fiscal year,Fund centre name,0,0
Fiscal year,Status,0,0
Fiscal year,IRTC percent,0,0
Fiscal year,Division ID,0,0
Fiscal year,Youth issues (marker),0,0
Fiscal year,FSTC percent,0,0
Fiscal year,Knowledge for development (marker),0,0
Fiscal year,Trade development (marker),0,0
Fiscal year,CFLI (marker),0,0
Fiscal year,Indigenous issues (marker),0,0
Fiscal year,CountryRegion ID,0,0
Fiscal year,Programming process (new),0,0
Fiscal year,Participatory development and good governance,0,0
Fiscal year,Urban issues (marker),0,0
Fiscal year,Continent name,0,0
Fiscal year,Disability issues (marker),0,0
Fiscal year,Organisation ID,0,0
Fiscal year,Organisation name,0,0
Fiscal year,Organisation type,0,0
Fiscal year,Organisation sub-class,0,0
Fiscal year,Continent ID,0,0
Fiscal year,CountryRegion name,0,0
Fiscal year,CountryRegion percent,0,0
Gender equality (marker),Fiscal year,0,0
Gender equality (marker),Gender equality (marker),0.9577544,1
Gender equality (marker),Sector ID,0,0
Gender equality (marker),Regional program (marker),0,0
Gender equality (marker),Project Browser country ID,0,0
Gender equality (marker),Project number,0,0
Gender equality (marker),Sector name,0,0
Gender equality (marker),Biodiversity (marker),0,0
Gender equality (marker),Organisation class,0,0
Gender equality (marker),Untied amount(Project-level budget),0,0
Gender equality (marker),Section name,0,0
Gender equality (marker),Maximum CIDA contribution (project-level),0,0
Gender equality (marker),Children issues (marker),0,0
Gender equality (marker),Enviromental sustainability (marker),0,0
Gender equality (marker),ICT as a tool for development (marker),0,0
Gender equality (marker),Amount spent,0,0
Gender equality (marker),Section ID,0,0
Gender equality (marker),Sector percent,0,0
Gender equality (marker),Branch ID,0,0
Gender equality (marker),Fund centre ID,0,0
Gender equality (marker),Fund centre name,0,0
Gender equality (marker),Status,0,0
Gender equality (marker),IRTC percent,0,0
Gender equality (marker),Division ID,0,0
Gender equality (marker),Youth issues (marker),0,0
Gender equality (marker),FSTC percent,0,0
Gender equality (marker),Knowledge for development (marker),0,0
Gender equality (marker),Trade development (marker),0,0
Gender equality (marker),CFLI (marker),0,0
Gender equality (marker),Indigenous issues (marker),0,0
Gender equality (marker),CountryRegion ID,0,0
Gender equality (marker),Programming process (new),0,0
Gender equality (marker),Participatory development and good governance,0,0
Gender equality (marker),Urban issues (marker),0,0
Gender equality (marker),Continent name,0,0
Gender equality (marker),Disability issues (marker),0,0
Gender equality (marker),Organisation ID,0,0
Gender equality (marker),Organisation name,0,0
Gender equality (marker),Organisation type,0,0
Gender equality (marker),Organisation sub-class,0,0
Gender equality (marker),Continent ID,0,0
Gender equality (marker),CountryRegion name,0,0
Gender equality (marker),CountryRegion percent,0,0
Sector ID,Fiscal year,0,0
Sector ID,Gender equality (marker),0,0
Sector ID,Sector ID,0.94168293,1
Sector ID,Regional program (marker),0,0
Sector ID,Project Browser country ID,0,0
Sector ID,Project number,0,0
Sector ID,Sector name,0,0
Sector ID,Biodiversity (marker),0,0
Sector ID,Organisation class,0,0
Sector ID,Untied amount(Project-level budget),0,0
Sector ID,Section name,0,0
Sector ID,Maximum CIDA contribution (project-level),0,0
Sector ID,Children issues (marker),0,0
Sector ID,Enviromental sustainability (marker),0,0
Sector ID,ICT as a tool for development (marker),0,0
Sector ID,Amount spent,0,0
Sector ID,Section ID,0,0
Sector ID,Sector percent,0,0
Sector ID,Branch ID,0,0
Sector ID,Fund centre ID,0,0
Sector ID,Fund centre name,0,0
Sector ID,Status,0,0
Sector ID,IRTC percent,0,0
Sector ID,Division ID,0,0
Sector ID,Youth issues (marker),0,0
Sector ID,FSTC percent,0,0
Sector ID,Knowledge for development (marker),0,0
Sector ID,Trade development (marker),0,0
Sector ID,CFLI (marker),0,0
Sector ID,Indigenous issues (marker),0,0
Sector ID,CountryRegion ID,0,0
Sector ID,Programming process (new),0,0
Sector ID,Participatory development and good governance,0,0
Sector ID,Urban issues (marker),0,0
Sector ID,Continent name,0,0
Sector ID,Disability issues (marker),0,0
Sector ID,Organisation ID,0,0
Sector ID,Organisation name,0,0
Sector ID,Organisation type,0,0
Sector ID,Organisation sub-class,0,0
Sector ID,Continent ID,0,0
Sector ID,CountryRegion name,0,0
Sector ID,CountryRegion percent,0,0
Regional program (marker),Fiscal year,0,0
Regional program (marker),Gender equality (marker),0,0
Regional program (marker),Sector ID,0,0
Regional program (marker),Regional program (marker),0.9583496,1
Regional program (marker),Project Browser country ID,0,0
Regional program (marker),Project number,0,0
Regional program (marker),Sector name,0,0
Regional program (marker),Biodiversity (marker),0,0
Regional program (marker),Organisation class,0,0
Regional program (marker),Untied amount(Project-level budget),0,0
Regional program (marker),Section name,0,0
Regional program (marker),Maximum CIDA contribution (project-level),0,0
Regional program (marker),Children issues (marker),0,0
Regional program (marker),Enviromental sustainability (marker),0,0
Regional program (marker),ICT as a tool for development (marker),0,0
Regional program (marker),Amount spent,0,0
Regional program (marker),Section ID,0,0
Regional program (marker),Sector percent,0,0
Regional program (marker),Branch ID,0,0
Regional program (marker),Fund centre ID,0,0
Regional program (marker),Fund centre name,0,0
Regional program (marker),Status,0,0
Regional program (marker),IRTC percent,0,0
Regional program (marker),Division ID,0,0
Regional program (marker),Youth issues (marker),0,0
Regional program (marker),FSTC percent,0,0
Regional program (marker),Knowledge for development (marker),0,0
Regional program (marker),Trade development (marker),0,0
Regional program (marker),CFLI (marker),0,0
Regional program (marker),Indigenous issues (marker),0,0
Regional program (marker),CountryRegion ID,0,0
Regional program (marker),Programming process (new),0,0
Regional program (marker),Participatory development and good governance,0,0
Regional program (marker),Urban issues (marker),0,0
Regional program (marker),Continent name,0,0
Regional program (marker),Disability issues (marker),0,0
Regional program (marker),Organisation ID,0,0
Regional program (marker),Organisation name,0,0
Regional program (marker),Organisation type,0,0
Regional program (marker),Organisation sub-class,0,0
Regional program (marker),Continent ID,0,0
Regional program (marker),CountryRegion name,0,0
Regional program (marker),CountryRegion percent,0,0
Project Browser country ID,Fiscal year,0,0
Project Browser country ID,Gender equality (marker),0,0
Project Browser country ID,Sector ID,0,0
Project Browser country ID,Regional program (marker),0,0
Project Browser country ID,Project Browser country ID,0.9589126,1
Project Browser country ID,Project number,0,0
Project Browser country ID,Sector name,0,0
Project Browser country ID,Biodiversity (marker),0,0
Project Browser country ID,Organisation class,0,0
Project Browser country ID,Untied amount(Project-level budget),0,0
Project Browser country ID,Section name,0,0
Project Browser country ID,Maximum CIDA contribution (project-level),0,0
Project Browser country ID,Children issues (marker),0,0
Project Browser country ID,Enviromental sustainability (marker),0,0
Project Browser country ID,ICT as a tool for development (marker),0,0
Project Browser country ID,Amount spent,0,0
Project Browser country ID,Section ID,0,0
Project Browser country ID,Sector percent,0,0
Project Browser country ID,Branch ID,0,0
Project Browser country ID,Fund centre ID,0,0
Project Browser country ID,Fund centre name,0,0
Project Browser country ID,Status,0,0
Project Browser country ID,IRTC percent,0,0
Project Browser country ID,Division ID,0,0
Project Browser country ID,Youth issues (marker),0,0
Project Browser country ID,FSTC percent,0,0
Project Browser country ID,Knowledge for development (marker),0,0
Project Browser country ID,Trade development (marker),0,0
Project Browser country ID,CFLI (marker),0,0
Project Browser country ID,Indigenous issues (marker),0,0
Project Browser country ID,CountryRegion ID,0,0
Project Browser country ID,Programming process (new),0,0
Project Browser country ID,Participatory development and good governance,0,0
Project Browser country ID,Urban issues (marker),0,0
Project Browser country ID,Continent name,0,0
Project Browser country ID,Disability issues (marker),0,0
Project Browser country ID,Organisation ID,0,0
Project Browser country ID,Organisation name,0,0
Project Browser country ID,Organisation type,0,0
Project Browser country ID,Organisation sub-class,0,0
Project Browser country ID,Continent ID,0,0
Project Browser country ID,CountryRegion name,0,0
Project Browser country ID,CountryRegion percent,0,0
Project number,Fiscal year,0,0
Project number,Gender equality (marker),0,0
Project number,Sector ID,0,0
Project number,Regional program (marker),0,0
Project number,Project Browser country ID,0,0
Project number,Project number,0.949183,1
Project number,Sector name,0,0
Project number,Biodiversity (marker),0,0
Project number,Organisation class,0,0
Project number,Untied amount(Project-level budget),0,0
Project number,Section name,0,0
Project number,Maximum CIDA contribution (project-level),0,0
