source,target,conf,realConf
Fiscal year,miller2_FiY,0,1
Fiscal year,miller2_ProNu,0,0
Fiscal year,miller2_St,0,0
Fiscal year,miller2_MaxCIDACon,0,0
Fiscal year,miller2_BraID,0,0
Fiscal year,miller2_BraNa,0,0
Fiscal year,miller2_DiID,0,0
Fiscal year,miller2_DiviN,0,0
Fiscal year,miller2_SectID,0,0
Fiscal year,miller2_SecN,0,0
Fiscal year,miller2_RePro,0,0
Fiscal year,miller2_FCeID,0,0
Fiscal year,miller2_FCeN,0,0
Fiscal year,miller2_UntAmoProBud,0,0
Fiscal year,miller2_FSTCPer,0,0
Fiscal year,miller2_IRTCPerc,0,0
Fiscal year,miller2_CFLI,0,0
Fiscal year,miller2_CIDABuDeliMod,0,0
Fiscal year,miller2_ProPr,0,0
Fiscal year,miller2_BilaAiMa,0,0
Fiscal year,miller2_PBAT,0,0
Fiscal year,miller2_EnviSustain,0,0
Fiscal year,miller2_ClChAda,0,0
Fiscal year,miller2_CliChaMiti,0,0
Fiscal year,miller2_Dese,0,0
Fiscal year,miller2_ParticDevAnGGov,0,0
Fiscal year,miller2_TrDeve,0,0
Fiscal year,miller2_Biod,0,0
Fiscal year,miller2_UrIss,0,0
Fiscal year,miller2_ChIss,0,0
Fiscal year,miller2_YouIss,0,0
Fiscal year,miller2_IndiIs,0,0
Fiscal year,miller2_DisIs,0,0
Fiscal year,miller2_ICTAAToFDeve,0,0
Fiscal year,miller2_KnowlFoDeve,0,0
Fiscal year,miller2_GenEqu,0,0
Fiscal year,miller2_OrgID,0,0
Fiscal year,miller2_OrgN,0,0
Fiscal year,miller2_OrganiTy,0,0
Fiscal year,miller2_OrganCl,0,0
Fiscal year,miller2_OrgaSu,0,0
Fiscal year,miller2_ContiID,0,0
Fiscal year,miller2_ContNa,0,0
Fiscal year,miller2_ProBrCoID,0,0
Fiscal year,miller2_CouRegID,0,0
Fiscal year,miller2_CouRegNa,0,0
Fiscal year,miller2_CounRegPe,0,0
Fiscal year,miller2_SeID,0,0
Fiscal year,Sector name,0,0
Fiscal year,miller2_SePe,0,0
Fiscal year,miller2_AmoSpe,0,0
Project number,miller2_FiY,0,0
Project number,miller2_ProNu,0,1
Project number,miller2_St,0,0
Project number,miller2_MaxCIDACon,0,0
Project number,miller2_BraID,0,0
Project number,miller2_BraNa,0,0
Project number,miller2_DiID,0,0
Project number,miller2_DiviN,0,0
Project number,miller2_SectID,0,0
Project number,miller2_SecN,0,0
Project number,miller2_RePro,0,0
Project number,miller2_FCeID,0,0
Project number,miller2_FCeN,0,0
Project number,miller2_UntAmoProBud,0,0
Project number,miller2_FSTCPer,0,0
Project number,miller2_IRTCPerc,0,0
Project number,miller2_CFLI,0,0
Project number,miller2_CIDABuDeliMod,0,0
Project number,miller2_ProPr,0.22951308,0
Project number,miller2_BilaAiMa,0,0
Project number,miller2_PBAT,0,0
Project number,miller2_EnviSustain,0,0
Project number,miller2_ClChAda,0,0
Project number,miller2_CliChaMiti,0,0
Project number,miller2_Dese,0,0
Project number,miller2_ParticDevAnGGov,0,0
Project number,miller2_TrDeve,0,0
Project number,miller2_Biod,0,0
Project number,miller2_UrIss,0,0
Project number,miller2_ChIss,0,0
Project number,miller2_YouIss,0,0
Project number,miller2_IndiIs,0,0
Project number,miller2_DisIs,0,0
Project number,miller2_ICTAAToFDeve,0,0
Project number,miller2_KnowlFoDeve,0,0
Project number,miller2_GenEqu,0,0
Project number,miller2_OrgID,0,0
Project number,miller2_OrgN,0,0
Project number,miller2_OrganiTy,0,0
Project number,miller2_OrganCl,0,0
Project number,miller2_OrgaSu,0,0
Project number,miller2_ContiID,0,0
Project number,miller2_ContNa,0,0
Project number,miller2_ProBrCoID,0,0
Project number,miller2_CouRegID,0,0
Project number,miller2_CouRegNa,0,0
Project number,miller2_CounRegPe,0,0
Project number,miller2_SeID,0,0
Project number,Sector name,0,0
Project number,miller2_SePe,0,0
Project number,miller2_AmoSpe,0,0
Status,miller2_FiY,0,0
Status,miller2_ProNu,0,0
Status,miller2_St,0.18597838,1
Status,miller2_MaxCIDACon,0,0
Status,miller2_BraID,0,0
Status,miller2_BraNa,0,0
Status,miller2_DiID,0,0
Status,miller2_DiviN,0,0
Status,miller2_SectID,0,0
Status,miller2_SecN,0,0
Status,miller2_RePro,0,0
Status,miller2_FCeID,0,0
Status,miller2_FCeN,0,0
Status,miller2_UntAmoProBud,0,0
Status,miller2_FSTCPer,0,0
Status,miller2_IRTCPerc,0,0
Status,miller2_CFLI,0,0
Status,miller2_CIDABuDeliMod,0,0
Status,miller2_ProPr,0,0
Status,miller2_BilaAiMa,0,0
Status,miller2_PBAT,0,0
Status,miller2_EnviSustain,0,0
Status,miller2_ClChAda,0,0
Status,miller2_CliChaMiti,0,0
Status,miller2_Dese,0,0
Status,miller2_ParticDevAnGGov,0,0
Status,miller2_TrDeve,0,0
Status,miller2_Biod,0,0
Status,miller2_UrIss,0,0
Status,miller2_ChIss,0,0
Status,miller2_YouIss,0,0
Status,miller2_IndiIs,0,0
Status,miller2_DisIs,0,0
Status,miller2_ICTAAToFDeve,0,0
Status,miller2_KnowlFoDeve,0,0
Status,miller2_GenEqu,0,0
Status,miller2_OrgID,0,0
Status,miller2_OrgN,0,0
Status,miller2_OrganiTy,0,0
Status,miller2_OrganCl,0,0
Status,miller2_OrgaSu,0,0
Status,miller2_ContiID,0,0
Status,miller2_ContNa,0,0
Status,miller2_ProBrCoID,0,0
Status,miller2_CouRegID,0,0
Status,miller2_CouRegNa,0,0
Status,miller2_CounRegPe,0,0
Status,miller2_SeID,0,0
Status,Sector name,0,0
Status,miller2_SePe,0,0
Status,miller2_AmoSpe,0,0
Maximum CIDA contribution (project-level),miller2_FiY,0,0
Maximum CIDA contribution (project-level),miller2_ProNu,0,0
Maximum CIDA contribution (project-level),miller2_St,0,0
Maximum CIDA contribution (project-level),miller2_MaxCIDACon,0.19028872,1
Maximum CIDA contribution (project-level),miller2_BraID,0,0
Maximum CIDA contribution (project-level),miller2_BraNa,0,0
Maximum CIDA contribution (project-level),miller2_DiID,0,0
Maximum CIDA contribution (project-level),miller2_DiviN,0,0
Maximum CIDA contribution (project-level),miller2_SectID,0,0
Maximum CIDA contribution (project-level),miller2_SecN,0,0
Maximum CIDA contribution (project-level),miller2_RePro,0,0
Maximum CIDA contribution (project-level),miller2_FCeID,0,0
Maximum CIDA contribution (project-level),miller2_FCeN,0,0
Maximum CIDA contribution (project-level),miller2_UntAmoProBud,0,0
Maximum CIDA contribution (project-level),miller2_FSTCPer,0,0
Maximum CIDA contribution (project-level),miller2_IRTCPerc,0,0
Maximum CIDA contribution (project-level),miller2_CFLI,0,0
Maximum CIDA contribution (project-level),miller2_CIDABuDeliMod,0,0
Maximum CIDA contribution (project-level),miller2_ProPr,0,0
Maximum CIDA contribution (project-level),miller2_BilaAiMa,0,0
Maximum CIDA contribution (project-level),miller2_PBAT,0,0
Maximum CIDA contribution (project-level),miller2_EnviSustain,0,0
Maximum CIDA contribution (project-level),miller2_ClChAda,0,0
Maximum CIDA contribution (project-level),miller2_CliChaMiti,0,0
Maximum CIDA contribution (project-level),miller2_Dese,0,0
Maximum CIDA contribution (project-level),miller2_ParticDevAnGGov,0,0
Maximum CIDA contribution (project-level),miller2_TrDeve,0,0
Maximum CIDA contribution (project-level),miller2_Biod,0,0
Maximum CIDA contribution (project-level),miller2_UrIss,0,0
Maximum CIDA contribution (project-level),miller2_ChIss,0,0
Maximum CIDA contribution (project-level),miller2_YouIss,0,0
Maximum CIDA contribution (project-level),miller2_IndiIs,0,0
Maximum CIDA contribution (project-level),miller2_DisIs,0,0
Maximum CIDA contribution (project-level),miller2_ICTAAToFDeve,0,0
Maximum CIDA contribution (project-level),miller2_KnowlFoDeve,0,0
Maximum CIDA contribution (project-level),miller2_GenEqu,0,0
Maximum CIDA contribution (project-level),miller2_OrgID,0,0
Maximum CIDA contribution (project-level),miller2_OrgN,0,0
Maximum CIDA contribution (project-level),miller2_OrganiTy,0,0
Maximum CIDA contribution (project-level),miller2_OrganCl,0,0
Maximum CIDA contribution (project-level),miller2_OrgaSu,0,0
Maximum CIDA contribution (project-level),miller2_ContiID,0,0
Maximum CIDA contribution (project-level),miller2_ContNa,0,0
Maximum CIDA contribution (project-level),miller2_ProBrCoID,0,0
Maximum CIDA contribution (project-level),miller2_CouRegID,0,0
Maximum CIDA contribution (project-level),miller2_CouRegNa,0,0
Maximum CIDA contribution (project-level),miller2_CounRegPe,0,0
Maximum CIDA contribution (project-level),miller2_SeID,0,0
Maximum CIDA contribution (project-level),Sector name,0,0
Maximum CIDA contribution (project-level),miller2_SePe,0,0
Maximum CIDA contribution (project-level),miller2_AmoSpe,0,0
Branch ID,miller2_FiY,0,0
Branch ID,miller2_ProNu,0,0
Branch ID,miller2_St,0,0
Branch ID,miller2_MaxCIDACon,0,0
