source,target,conf,realConf
musician,musicianID,0.62523514,1
musician,musicianName,0,0
musician,genderType,0,0
musician,birthDate,0,0
musician,city,0,0
musician,familyName,0,0
musician,forename,0,0
musician,fatherName,0,0
musician,motherName,0,0
musician,spouse,0,0
musician,NChildren,0,0
musician,kind,0,0
musician,webpage,0,0
birthDate,musicianID,0,0
birthDate,musicianName,0,0
birthDate,genderType,0,0
birthDate,birthDate,0.8010725,1
birthDate,city,0,0
birthDate,familyName,0,0
birthDate,forename,0,0
birthDate,fatherName,0,0
birthDate,motherName,0,0
birthDate,spouse,0,0
birthDate,NChildren,0,0
birthDate,kind,0,0
birthDate,webpage,0,0
familyNameLabel,musicianID,0,0
familyNameLabel,musicianName,0,0
familyNameLabel,genderType,0,0
familyNameLabel,birthDate,0,0
familyNameLabel,city,0,0
familyNameLabel,familyName,0.6020404,1
familyNameLabel,forename,0,0
familyNameLabel,fatherName,0,0
familyNameLabel,motherName,0,0
familyNameLabel,spouse,0,0
familyNameLabel,NChildren,0,0
familyNameLabel,kind,0,0
familyNameLabel,webpage,0,0
givenNameLabel,musicianID,0,0
givenNameLabel,musicianName,0,0
givenNameLabel,genderType,0,0
givenNameLabel,birthDate,0,0
givenNameLabel,city,0,0
givenNameLabel,familyName,0,0
givenNameLabel,forename,0,0
givenNameLabel,fatherName,0,0
givenNameLabel,motherName,0,0
givenNameLabel,spouse,0,0
givenNameLabel,NChildren,0,0
givenNameLabel,kind,0,0
givenNameLabel,webpage,0,0
numberOfChildren,musicianID,0,0
numberOfChildren,musicianName,0,0
numberOfChildren,genderType,0,0
numberOfChildren,birthDate,0,0
numberOfChildren,city,0,0
numberOfChildren,familyName,0,0
numberOfChildren,forename,0,0
numberOfChildren,fatherName,0,0
numberOfChildren,motherName,0,0
numberOfChildren,spouse,0,0
numberOfChildren,NChildren,0.542398,1
numberOfChildren,kind,0,0
numberOfChildren,webpage,0,0
websiteLabel,musicianID,0,0
websiteLabel,musicianName,0,0
websiteLabel,genderType,0,0
websiteLabel,birthDate,0,0
websiteLabel,city,0,0
websiteLabel,familyName,0,0
websiteLabel,forename,0,0
websiteLabel,fatherName,0,0
websiteLabel,motherName,0,0
websiteLabel,spouse,0,0
websiteLabel,NChildren,0,0
websiteLabel,kind,0,0
websiteLabel,webpage,0.323545,1
residenceLabel,musicianID,0,0
residenceLabel,musicianName,0,0
residenceLabel,genderType,0,0
residenceLabel,birthDate,0,0
residenceLabel,city,0,0
residenceLabel,familyName,0,0
residenceLabel,forename,0,0
residenceLabel,fatherName,0,0
residenceLabel,motherName,0,0
residenceLabel,spouse,0,0
residenceLabel,NChildren,0,0
residenceLabel,kind,0,0
residenceLabel,webpage,0,0
ethnicityLabel,musicianID,0,0
ethnicityLabel,musicianName,0,0
ethnicityLabel,genderType,0,0
ethnicityLabel,birthDate,0,0
ethnicityLabel,city,0.28671837,0
ethnicityLabel,familyName,0,0
ethnicityLabel,forename,0,0
ethnicityLabel,fatherName,0,0
ethnicityLabel,motherName,0,0
ethnicityLabel,spouse,0,0
ethnicityLabel,NChildren,0,0
ethnicityLabel,kind,0,0
ethnicityLabel,webpage,0,0
religionLabel,musicianID,0,0
religionLabel,musicianName,0,0
religionLabel,genderType,0,0
religionLabel,birthDate,0,0
religionLabel,city,0,0
religionLabel,familyName,0,0
religionLabel,forename,0,0
religionLabel,fatherName,0,0
religionLabel,motherName,0,0
religionLabel,spouse,0,0
religionLabel,NChildren,0,0
religionLabel,kind,0,0
religionLabel,webpage,0,0
activityStart,musicianID,0,0
activityStart,musicianName,0,0
activityStart,genderType,0,0
activityStart,birthDate,0,0
activityStart,city,0,0
activityStart,familyName,0,0
activityStart,forename,0,0
activityStart,fatherName,0,0
activityStart,motherName,0,0
activityStart,spouse,0,0
activityStart,NChildren,0,0
activityStart,kind,0,0
activityStart,webpage,0,0
twitterNameLabel,musicianID,0,0
twitterNameLabel,musicianName,0,0
twitterNameLabel,genderType,0,0
twitterNameLabel,birthDate,0,0
twitterNameLabel,city,0,0
twitterNameLabel,familyName,0,0
twitterNameLabel,forename,0,0
twitterNameLabel,fatherName,0.33257508,0
twitterNameLabel,motherName,0.33257508,0
twitterNameLabel,spouse,0,0
twitterNameLabel,NChildren,0,0
twitterNameLabel,kind,0,0
twitterNameLabel,webpage,0,0
geniusNameLabel,musicianID,0,0
geniusNameLabel,musicianName,0,0
geniusNameLabel,genderType,0.2828833,0
geniusNameLabel,birthDate,0,0
geniusNameLabel,city,0,0
geniusNameLabel,familyName,0,0
geniusNameLabel,forename,0,0
geniusNameLabel,fatherName,0,0
geniusNameLabel,motherName,0,0
geniusNameLabel,spouse,0,0
geniusNameLabel,NChildren,0,0
geniusNameLabel,kind,0,0
geniusNameLabel,webpage,0,0
recordLabelLabel,musicianID,0,0
recordLabelLabel,musicianName,0,0
recordLabelLabel,genderType,0,0
recordLabelLabel,birthDate,0,0
recordLabelLabel,city,0,0
recordLabelLabel,familyName,0,0
recordLabelLabel,forename,0,0
recordLabelLabel,fatherName,0,0
recordLabelLabel,motherName,0,0
recordLabelLabel,spouse,0,0
recordLabelLabel,NChildren,0,0
recordLabelLabel,kind,0,0
recordLabelLabel,webpage,0,0
