source,target,conf,realConf
AgencyID,prospect_AgID,0.20196927,1
AgencyID,prospect_LaNa,0,0
AgencyID,prospect_AddrLi1,0,0
AgencyID,prospect_MiIni,0,0
AgencyID,prospect_OOReF,0,0
AgencyID,prospect_NuCreCa,0,0
AgencyID,prospect_Inc,0,0
AgencyID,prospect_NuCa,0,0
AgencyID,prospect_NumCh,0,0
AgencyID,prospect_MariSta,0,0
AgencyID,prospect_A,0,0
AgencyID,prospect_CreRa,0,0
AgencyID,prospect_Emp,0,0
AgencyID,prospect_NWo,0,0
LastName,prospect_AgID,0,0
LastName,prospect_LaNa,0,1
LastName,prospect_AddrLi1,0,0
LastName,prospect_MiIni,0,0
LastName,prospect_OOReF,0,0
LastName,prospect_NuCreCa,0,0
LastName,prospect_Inc,0,0
LastName,prospect_NuCa,0,0
LastName,prospect_NumCh,0,0
LastName,prospect_MariSta,0,0
LastName,prospect_A,0,0
LastName,prospect_CreRa,0,0
LastName,prospect_Emp,0,0
LastName,prospect_NWo,0,0
AddressLine1,prospect_AgID,0,0
AddressLine1,prospect_LaNa,0,0
AddressLine1,prospect_AddrLi1,0.21190831,1
AddressLine1,prospect_MiIni,0,0
AddressLine1,prospect_OOReF,0,0
AddressLine1,prospect_NuCreCa,0,0
AddressLine1,prospect_Inc,0,0
AddressLine1,prospect_NuCa,0,0
AddressLine1,prospect_NumCh,0,0
AddressLine1,prospect_MariSta,0,0
AddressLine1,prospect_A,0,0
AddressLine1,prospect_CreRa,0,0
AddressLine1,prospect_Emp,0,0
AddressLine1,prospect_NWo,0,0
MiddleInitial,prospect_AgID,0,0
MiddleInitial,prospect_LaNa,0,0
MiddleInitial,prospect_AddrLi1,0,0
MiddleInitial,prospect_MiIni,0,1
MiddleInitial,prospect_OOReF,0,0
MiddleInitial,prospect_NuCreCa,0,0
MiddleInitial,prospect_Inc,0,0
MiddleInitial,prospect_NuCa,0,0
MiddleInitial,prospect_NumCh,0,0
MiddleInitial,prospect_MariSta,0,0
MiddleInitial,prospect_A,0,0
MiddleInitial,prospect_CreRa,0,0
MiddleInitial,prospect_Emp,0,0
MiddleInitial,prospect_NWo,0,0
OwnOrRentFlag,prospect_AgID,0,0
OwnOrRentFlag,prospect_LaNa,0,0
OwnOrRentFlag,prospect_AddrLi1,0,0
OwnOrRentFlag,prospect_MiIni,0,0
OwnOrRentFlag,prospect_OOReF,0,1
OwnOrRentFlag,prospect_NuCreCa,0,0
OwnOrRentFlag,prospect_Inc,0,0
OwnOrRentFlag,prospect_NuCa,0,0
OwnOrRentFlag,prospect_NumCh,0,0
OwnOrRentFlag,prospect_MariSta,0,0
OwnOrRentFlag,prospect_A,0,0
OwnOrRentFlag,prospect_CreRa,0,0
OwnOrRentFlag,prospect_Emp,0,0
OwnOrRentFlag,prospect_NWo,0,0
NumberCreditCards,prospect_AgID,0,0
NumberCreditCards,prospect_LaNa,0,0
NumberCreditCards,prospect_AddrLi1,0,0
NumberCreditCards,prospect_MiIni,0,0
NumberCreditCards,prospect_OOReF,0,0
NumberCreditCards,prospect_NuCreCa,0,1
NumberCreditCards,prospect_Inc,0,0
NumberCreditCards,prospect_NuCa,0,0
NumberCreditCards,prospect_NumCh,0,0
NumberCreditCards,prospect_MariSta,0,0
NumberCreditCards,prospect_A,0,0
NumberCreditCards,prospect_CreRa,0,0
NumberCreditCards,prospect_Emp,0,0
NumberCreditCards,prospect_NWo,0,0
FirstName,prospect_AgID,0,0
FirstName,prospect_LaNa,0,0
FirstName,prospect_AddrLi1,0,0
FirstName,prospect_MiIni,0,0
FirstName,prospect_OOReF,0,0
FirstName,prospect_NuCreCa,0,0
FirstName,prospect_Inc,0,0
FirstName,prospect_NuCa,0,0
FirstName,prospect_NumCh,0,0
FirstName,prospect_MariSta,0,0
FirstName,prospect_A,0,0
FirstName,prospect_CreRa,0,0
FirstName,prospect_Emp,0,0
FirstName,prospect_NWo,0,0
Gender,prospect_AgID,0,0
Gender,prospect_LaNa,0,0
Gender,prospect_AddrLi1,0,0
Gender,prospect_MiIni,0,0
Gender,prospect_OOReF,0,0
Gender,prospect_NuCreCa,0,0
Gender,prospect_Inc,0,0
Gender,prospect_NuCa,0,0
Gender,prospect_NumCh,0,0
Gender,prospect_MariSta,0,0
Gender,prospect_A,0,0
Gender,prospect_CreRa,0,0
Gender,prospect_Emp,0,0
Gender,prospect_NWo,0,0
AddressLine2,prospect_AgID,0,0
AddressLine2,prospect_LaNa,0,0
AddressLine2,prospect_AddrLi1,0,0
AddressLine2,prospect_MiIni,0,0
AddressLine2,prospect_OOReF,0,0
AddressLine2,prospect_NuCreCa,0,0
AddressLine2,prospect_Inc,0,0
AddressLine2,prospect_NuCa,0,0
AddressLine2,prospect_NumCh,0,0
AddressLine2,prospect_MariSta,0,0
AddressLine2,prospect_A,0,0
AddressLine2,prospect_CreRa,0,0
AddressLine2,prospect_Emp,0,0
AddressLine2,prospect_NWo,0,0
PostalCode,prospect_AgID,0,0
PostalCode,prospect_LaNa,0,0
PostalCode,prospect_AddrLi1,0,0
PostalCode,prospect_MiIni,0,0
PostalCode,prospect_OOReF,0,0
PostalCode,prospect_NuCreCa,0,0
PostalCode,prospect_Inc,0,0
PostalCode,prospect_NuCa,0,0
PostalCode,prospect_NumCh,0,0
PostalCode,prospect_MariSta,0.16885276,0
PostalCode,prospect_A,0,0
PostalCode,prospect_CreRa,0,0
PostalCode,prospect_Emp,0,0
PostalCode,prospect_NWo,0,0
City,prospect_AgID,0,0
City,prospect_LaNa,0,0
City,prospect_AddrLi1,0,0
City,prospect_MiIni,0,0
City,prospect_OOReF,0,0
City,prospect_NuCreCa,0,0
City,prospect_Inc,0.15774165,0
City,prospect_NuCa,0,0
City,prospect_NumCh,0,0
City,prospect_MariSta,0,0
City,prospect_A,0,0
City,prospect_CreRa,0,0
City,prospect_Emp,0,0
City,prospect_NWo,0,0
State,prospect_AgID,0,0
State,prospect_LaNa,0,0
State,prospect_AddrLi1,0,0
State,prospect_MiIni,0,0
State,prospect_OOReF,0,0
State,prospect_NuCreCa,0,0
State,prospect_Inc,0,0
State,prospect_NuCa,0,0
State,prospect_NumCh,0,0
State,prospect_MariSta,0,0
State,prospect_A,0,0
State,prospect_CreRa,0,0
State,prospect_Emp,0,0
State,prospect_NWo,0,0
Country,prospect_AgID,0,0
Country,prospect_LaNa,0,0
Country,prospect_AddrLi1,0,0
Country,prospect_MiIni,0,0
Country,prospect_OOReF,0,0
Country,prospect_NuCreCa,0,0
Country,prospect_Inc,0,0
Country,prospect_NuCa,0,0
Country,prospect_NumCh,0,0
Country,prospect_MariSta,0,0
Country,prospect_A,0,0
Country,prospect_CreRa,0,0
Country,prospect_Emp,0,0
Country,prospect_NWo,0,0
Phone,prospect_AgID,0,0
Phone,prospect_LaNa,0,0
Phone,prospect_AddrLi1,0,0
Phone,prospect_MiIni,0,0
Phone,prospect_OOReF,0,0
Phone,prospect_NuCreCa,0,0
Phone,prospect_Inc,0,0
Phone,prospect_NuCa,0,0
Phone,prospect_NumCh,0,0
Phone,prospect_MariSta,0,0
Phone,prospect_A,0.16275418,0
Phone,prospect_CreRa,0,0
Phone,prospect_Emp,0,0
Phone,prospect_NWo,0,0
