source,target,conf,realConf
AgencyID,prospect_AgeID,0.25177747,1
AgencyID,prospect_AddrL1,0,0
AgencyID,prospect_Ci,0,0
AgencyID,prospect_NeWor,0,0
AgencyID,prospect_Coun,0,0
AgencyID,prospect_Em,0,0
AgencyID,prospect_Inc,0,0
AgencyID,prospect_NumCa,0,0
AgencyID,prospect_NuChil,0,0
AgencyID,prospect_MarSta,0,0
AgencyID,prospect_A,0,0
AgencyID,prospect_CrRat,0,0
AgencyID,prospect_OORF,0,0
AgencyID,prospect_NuCreCar,0,0
AddressLine1,prospect_AgeID,0,0
AddressLine1,prospect_AddrL1,0.22176887,1
AddressLine1,prospect_Ci,0,0
AddressLine1,prospect_NeWor,0,0
AddressLine1,prospect_Coun,0,0
AddressLine1,prospect_Em,0,0
AddressLine1,prospect_Inc,0,0
AddressLine1,prospect_NumCa,0,0
AddressLine1,prospect_NuChil,0,0
AddressLine1,prospect_MarSta,0,0
AddressLine1,prospect_A,0,0
AddressLine1,prospect_CrRat,0,0
AddressLine1,prospect_OORF,0,0
AddressLine1,prospect_NuCreCar,0,0
City,prospect_AgeID,0,0
City,prospect_AddrL1,0,0
City,prospect_Ci,0.16759586,1
City,prospect_NeWor,0,0
City,prospect_Coun,0,0
City,prospect_Em,0,0
City,prospect_Inc,0,0
City,prospect_NumCa,0,0
City,prospect_NuChil,0,0
City,prospect_MarSta,0,0
City,prospect_A,0,0
City,prospect_CrRat,0,0
City,prospect_OORF,0,0
City,prospect_NuCreCar,0,0
NetWorth,prospect_AgeID,0,0
NetWorth,prospect_AddrL1,0,0
NetWorth,prospect_Ci,0,0
NetWorth,prospect_NeWor,0,1
NetWorth,prospect_Coun,0,0
NetWorth,prospect_Em,0,0
NetWorth,prospect_Inc,0,0
NetWorth,prospect_NumCa,0,0
NetWorth,prospect_NuChil,0,0
NetWorth,prospect_MarSta,0,0
NetWorth,prospect_A,0,0
NetWorth,prospect_CrRat,0,0
NetWorth,prospect_OORF,0,0
NetWorth,prospect_NuCreCar,0,0
Country,prospect_AgeID,0,0
Country,prospect_AddrL1,0,0
Country,prospect_Ci,0,0
Country,prospect_NeWor,0,0
Country,prospect_Coun,0.21258333,1
Country,prospect_Em,0,0
Country,prospect_Inc,0,0
Country,prospect_NumCa,0,0
Country,prospect_NuChil,0,0
Country,prospect_MarSta,0,0
Country,prospect_A,0,0
Country,prospect_CrRat,0,0
Country,prospect_OORF,0,0
Country,prospect_NuCreCar,0,0
Employer,prospect_AgeID,0,0
Employer,prospect_AddrL1,0,0
Employer,prospect_Ci,0,0
Employer,prospect_NeWor,0,0
Employer,prospect_Coun,0,0
Employer,prospect_Em,0,1
Employer,prospect_Inc,0,0
Employer,prospect_NumCa,0,0
Employer,prospect_NuChil,0,0
Employer,prospect_MarSta,0,0
Employer,prospect_A,0,0
Employer,prospect_CrRat,0,0
Employer,prospect_OORF,0,0
Employer,prospect_NuCreCar,0,0
LastName,prospect_AgeID,0,0
LastName,prospect_AddrL1,0,0
LastName,prospect_Ci,0,0
LastName,prospect_NeWor,0,0
LastName,prospect_Coun,0,0
LastName,prospect_Em,0,0
LastName,prospect_Inc,0,0
LastName,prospect_NumCa,0,0
LastName,prospect_NuChil,0,0
LastName,prospect_MarSta,0,0
LastName,prospect_A,0,0
LastName,prospect_CrRat,0,0
LastName,prospect_OORF,0,0
LastName,prospect_NuCreCar,0,0
FirstName,prospect_AgeID,0,0
FirstName,prospect_AddrL1,0,0
FirstName,prospect_Ci,0,0
FirstName,prospect_NeWor,0,0
FirstName,prospect_Coun,0,0
FirstName,prospect_Em,0,0
FirstName,prospect_Inc,0,0
FirstName,prospect_NumCa,0,0
FirstName,prospect_NuChil,0,0
FirstName,prospect_MarSta,0,0
FirstName,prospect_A,0,0
FirstName,prospect_CrRat,0,0
FirstName,prospect_OORF,0,0
FirstName,prospect_NuCreCar,0,0
MiddleInitial,prospect_AgeID,0,0
MiddleInitial,prospect_AddrL1,0,0
MiddleInitial,prospect_Ci,0,0
MiddleInitial,prospect_NeWor,0,0
MiddleInitial,prospect_Coun,0,0
MiddleInitial,prospect_Em,0,0
MiddleInitial,prospect_Inc,0,0
MiddleInitial,prospect_NumCa,0,0
MiddleInitial,prospect_NuChil,0,0
MiddleInitial,prospect_MarSta,0,0
MiddleInitial,prospect_A,0,0
MiddleInitial,prospect_CrRat,0,0
MiddleInitial,prospect_OORF,0,0
MiddleInitial,prospect_NuCreCar,0,0
Gender,prospect_AgeID,0,0
Gender,prospect_AddrL1,0,0
Gender,prospect_Ci,0,0
Gender,prospect_NeWor,0.15841666,0
Gender,prospect_Coun,0,0
Gender,prospect_Em,0,0
Gender,prospect_Inc,0,0
Gender,prospect_NumCa,0,0
Gender,prospect_NuChil,0,0
Gender,prospect_MarSta,0,0
Gender,prospect_A,0,0
Gender,prospect_CrRat,0,0
Gender,prospect_OORF,0,0
Gender,prospect_NuCreCar,0,0
AddressLine2,prospect_AgeID,0,0
AddressLine2,prospect_AddrL1,0,0
AddressLine2,prospect_Ci,0,0
AddressLine2,prospect_NeWor,0,0
AddressLine2,prospect_Coun,0,0
AddressLine2,prospect_Em,0,0
AddressLine2,prospect_Inc,0,0
AddressLine2,prospect_NumCa,0,0
AddressLine2,prospect_NuChil,0,0
AddressLine2,prospect_MarSta,0,0
AddressLine2,prospect_A,0,0
AddressLine2,prospect_CrRat,0,0
AddressLine2,prospect_OORF,0,0
AddressLine2,prospect_NuCreCar,0,0
PostalCode,prospect_AgeID,0,0
