source,target,conf,realConf
AgencyID,AgencyID,0.9037177,1
AgencyID,AddressLine1,0,0
AgencyID,FirstName,0,0
AgencyID,MaritalStatus,0,0
AgencyID,NetWorth,0,0
AgencyID,OwnOrRentFlag,0,0
AgencyID,State,0,0
AgencyID,NumberChildren,0,0
AgencyID,Country,0,0
AgencyID,PostalCode,0,0
AgencyID,NumberCreditCards,0,0
AgencyID,Phone,0,0
AgencyID,Income,0,0
AgencyID,NumberCars,0,0
AgencyID,Age,0,0
AgencyID,CreditRating,0,0
AgencyID,Employer,0,0
AddressLine1,AgencyID,0,0
AddressLine1,AddressLine1,0.9112935,1
AddressLine1,FirstName,0,0
AddressLine1,MaritalStatus,0,0
AddressLine1,NetWorth,0,0
AddressLine1,OwnOrRentFlag,0,0
AddressLine1,State,0,0
AddressLine1,NumberChildren,0,0
AddressLine1,Country,0,0
AddressLine1,PostalCode,0,0
AddressLine1,NumberCreditCards,0,0
AddressLine1,Phone,0,0
AddressLine1,Income,0,0
AddressLine1,NumberCars,0,0
AddressLine1,Age,0,0
AddressLine1,CreditRating,0,0
AddressLine1,Employer,0,0
FirstName,AgencyID,0,0
FirstName,AddressLine1,0,0
FirstName,FirstName,0.90591073,1
FirstName,MaritalStatus,0,0
FirstName,NetWorth,0,0
FirstName,OwnOrRentFlag,0,0
FirstName,State,0,0
FirstName,NumberChildren,0,0
FirstName,Country,0,0
FirstName,PostalCode,0,0
FirstName,NumberCreditCards,0,0
FirstName,Phone,0,0
FirstName,Income,0,0
FirstName,NumberCars,0,0
FirstName,Age,0,0
FirstName,CreditRating,0,0
FirstName,Employer,0,0
MaritalStatus,AgencyID,0,0
MaritalStatus,AddressLine1,0,0
MaritalStatus,FirstName,0,0
MaritalStatus,MaritalStatus,0.9127757,1
MaritalStatus,NetWorth,0,0
MaritalStatus,OwnOrRentFlag,0,0
MaritalStatus,State,0,0
MaritalStatus,NumberChildren,0,0
MaritalStatus,Country,0,0
MaritalStatus,PostalCode,0,0
MaritalStatus,NumberCreditCards,0,0
MaritalStatus,Phone,0,0
MaritalStatus,Income,0,0
MaritalStatus,NumberCars,0,0
MaritalStatus,Age,0,0
MaritalStatus,CreditRating,0,0
MaritalStatus,Employer,0,0
NetWorth,AgencyID,0,0
NetWorth,AddressLine1,0,0
NetWorth,FirstName,0,0
NetWorth,MaritalStatus,0,0
NetWorth,NetWorth,0.9037177,1
NetWorth,OwnOrRentFlag,0,0
NetWorth,State,0,0
NetWorth,NumberChildren,0,0
NetWorth,Country,0,0
NetWorth,PostalCode,0,0
NetWorth,NumberCreditCards,0,0
NetWorth,Phone,0,0
NetWorth,Income,0,0
NetWorth,NumberCars,0,0
NetWorth,Age,0,0
NetWorth,CreditRating,0,0
NetWorth,Employer,0,0
OwnOrRentFlag,AgencyID,0,0
OwnOrRentFlag,AddressLine1,0,0
OwnOrRentFlag,FirstName,0,0
OwnOrRentFlag,MaritalStatus,0,0
OwnOrRentFlag,NetWorth,0,0
OwnOrRentFlag,OwnOrRentFlag,0.9127757,1
OwnOrRentFlag,State,0,0
OwnOrRentFlag,NumberChildren,0,0
OwnOrRentFlag,Country,0,0
OwnOrRentFlag,PostalCode,0,0
OwnOrRentFlag,NumberCreditCards,0,0
OwnOrRentFlag,Phone,0,0
OwnOrRentFlag,Income,0,0
OwnOrRentFlag,NumberCars,0,0
OwnOrRentFlag,Age,0,0
OwnOrRentFlag,CreditRating,0,0
OwnOrRentFlag,Employer,0,0
State,AgencyID,0,0
State,AddressLine1,0,0
State,FirstName,0,0
State,MaritalStatus,0,0
State,NetWorth,0,0
State,OwnOrRentFlag,0,0
State,State,0.8953844,1
State,NumberChildren,0,0
State,Country,0,0
State,PostalCode,0,0
State,NumberCreditCards,0,0
State,Phone,0,0
State,Income,0,0
State,NumberCars,0,0
State,Age,0,0
State,CreditRating,0,0
State,Employer,0,0
NumberChildren,AgencyID,0,0
NumberChildren,AddressLine1,0,0
NumberChildren,FirstName,0,0
NumberChildren,MaritalStatus,0,0
NumberChildren,NetWorth,0,0
NumberChildren,OwnOrRentFlag,0,0
NumberChildren,State,0,0
NumberChildren,NumberChildren,0.9141344,1
NumberChildren,Country,0,0
NumberChildren,PostalCode,0,0
NumberChildren,NumberCreditCards,0,0
NumberChildren,Phone,0,0
NumberChildren,Income,0,0
NumberChildren,NumberCars,0,0
NumberChildren,Age,0,0
NumberChildren,CreditRating,0,0
NumberChildren,Employer,0,0
Country,AgencyID,0,0
Country,AddressLine1,0,0
Country,FirstName,0,0
Country,MaritalStatus,0,0
Country,NetWorth,0,0
Country,OwnOrRentFlag,0,0
Country,State,0,0
Country,NumberChildren,0,0
Country,Country,0.90126675,1
Country,PostalCode,0,0
Country,NumberCreditCards,0,0
Country,Phone,0,0
Country,Income,0,0
Country,NumberCars,0,0
Country,Age,0,0
Country,CreditRating,0,0
Country,Employer,0,0
PostalCode,AgencyID,0,0
PostalCode,AddressLine1,0,0
PostalCode,FirstName,0,0
PostalCode,MaritalStatus,0,0
PostalCode,NetWorth,0,0
PostalCode,OwnOrRentFlag,0,0
PostalCode,State,0,0
PostalCode,NumberChildren,0,0
PostalCode,Country,0,0
PostalCode,PostalCode,0.90788436,1
PostalCode,NumberCreditCards,0,0
PostalCode,Phone,0,0
PostalCode,Income,0,0
PostalCode,NumberCars,0,0
PostalCode,Age,0,0
PostalCode,CreditRating,0,0
PostalCode,Employer,0,0
NumberCreditCards,AgencyID,0,0
NumberCreditCards,AddressLine1,0,0
NumberCreditCards,FirstName,0,0
NumberCreditCards,MaritalStatus,0,0
NumberCreditCards,NetWorth,0,0
NumberCreditCards,OwnOrRentFlag,0,0
NumberCreditCards,State,0,0
NumberCreditCards,NumberChildren,0,0
NumberCreditCards,Country,0,0
NumberCreditCards,PostalCode,0,0
NumberCreditCards,NumberCreditCards,0.9176066,1
NumberCreditCards,Phone,0,0
NumberCreditCards,Income,0,0
NumberCreditCards,NumberCars,0,0
NumberCreditCards,Age,0,0
NumberCreditCards,CreditRating,0,0
NumberCreditCards,Employer,0,0
LastName,AgencyID,0,0
LastName,AddressLine1,0,0
LastName,FirstName,0,0
LastName,MaritalStatus,0,0
LastName,NetWorth,0,0
LastName,OwnOrRentFlag,0,0
LastName,State,0,0
LastName,NumberChildren,0,0
LastName,Country,0,0
LastName,PostalCode,0,0
LastName,NumberCreditCards,0,0
LastName,Phone,0,0
LastName,Income,0,0
LastName,NumberCars,0,0
LastName,Age,0,0
LastName,CreditRating,0,0
LastName,Employer,0,0
MiddleInitial,AgencyID,0,0
MiddleInitial,AddressLine1,0,0
MiddleInitial,FirstName,0,0
MiddleInitial,MaritalStatus,0,0
MiddleInitial,NetWorth,0,0
MiddleInitial,OwnOrRentFlag,0,0
MiddleInitial,State,0,0
MiddleInitial,NumberChildren,0,0
MiddleInitial,Country,0,0
MiddleInitial,PostalCode,0,0
MiddleInitial,NumberCreditCards,0,0
MiddleInitial,Phone,0,0
MiddleInitial,Income,0,0
MiddleInitial,NumberCars,0,0
MiddleInitial,Age,0,0
MiddleInitial,CreditRating,0,0
MiddleInitial,Employer,0,0
Gender,AgencyID,0,0
Gender,AddressLine1,0,0
Gender,FirstName,0,0
Gender,MaritalStatus,0,0
Gender,NetWorth,0,0
Gender,OwnOrRentFlag,0,0
Gender,State,0,0
Gender,NumberChildren,0,0
Gender,Country,0,0
Gender,PostalCode,0,0
Gender,NumberCreditCards,0,0
Gender,Phone,0,0
Gender,Income,0,0
Gender,NumberCars,0,0
Gender,Age,0,0
Gender,CreditRating,0,0
Gender,Employer,0.42414254,0
AddressLine2,AgencyID,0,0
AddressLine2,AddressLine1,0,0
AddressLine2,FirstName,0,0
AddressLine2,MaritalStatus,0,0
AddressLine2,NetWorth,0,0
AddressLine2,OwnOrRentFlag,0,0
AddressLine2,State,0,0
AddressLine2,NumberChildren,0,0
AddressLine2,Country,0,0
AddressLine2,PostalCode,0,0
AddressLine2,NumberCreditCards,0,0
AddressLine2,Phone,0,0
AddressLine2,Income,0,0
AddressLine2,NumberCars,0,0
AddressLine2,Age,0,0
AddressLine2,CreditRating,0,0
AddressLine2,Employer,0,0
City,AgencyID,0,0
City,AddressLine1,0,0
City,FirstName,0,0
City,MaritalStatus,0,0
City,NetWorth,0,0
City,OwnOrRentFlag,0,0
City,State,0,0
City,NumberChildren,0,0
City,Country,0,0
City,PostalCode,0,0
City,NumberCreditCards,0,0
City,Phone,0,0
City,Income,0,0
City,NumberCars,0,0
City,Age,0,0
City,CreditRating,0,0
City,Employer,0,0
