source,target,conf,realConf
AgencyID,AgencyID,0.9294235,1
AgencyID,MaritalStatus,0,0
AgencyID,OwnOrRentFlag,0,0
AgencyID,NetWorth,0,0
AgencyID,NumberChildren,0,0
AgencyID,City,0,0
AgencyID,MiddleInitial,0,0
AgencyID,Phone,0,0
AgencyID,Gender,0,0
AgencyID,CreditRating,0,0
AgencyID,NumberCars,0,0
AgencyID,NumberCreditCards,0,0
AgencyID,Age,0,0
AgencyID,Country,0,0
AgencyID,PostalCode,0,0
AgencyID,AddressLine2,0,0
AgencyID,State,0,0
AgencyID,Income,0,0
AgencyID,Employer,0,0
MaritalStatus,AgencyID,0,0
MaritalStatus,MaritalStatus,0.9384815,1
MaritalStatus,OwnOrRentFlag,0,0
MaritalStatus,NetWorth,0,0
MaritalStatus,NumberChildren,0,0
MaritalStatus,City,0,0
MaritalStatus,MiddleInitial,0,0
MaritalStatus,Phone,0,0
MaritalStatus,Gender,0,0
MaritalStatus,CreditRating,0,0
MaritalStatus,NumberCars,0,0
MaritalStatus,NumberCreditCards,0,0
MaritalStatus,Age,0,0
MaritalStatus,Country,0,0
MaritalStatus,PostalCode,0,0
MaritalStatus,AddressLine2,0,0
MaritalStatus,State,0,0
MaritalStatus,Income,0,0
MaritalStatus,Employer,0,0
OwnOrRentFlag,AgencyID,0,0
OwnOrRentFlag,MaritalStatus,0,0
OwnOrRentFlag,OwnOrRentFlag,0.9384815,1
OwnOrRentFlag,NetWorth,0,0
OwnOrRentFlag,NumberChildren,0,0
OwnOrRentFlag,City,0,0
OwnOrRentFlag,MiddleInitial,0,0
OwnOrRentFlag,Phone,0,0
OwnOrRentFlag,Gender,0,0
OwnOrRentFlag,CreditRating,0,0
OwnOrRentFlag,NumberCars,0,0
OwnOrRentFlag,NumberCreditCards,0,0
OwnOrRentFlag,Age,0,0
OwnOrRentFlag,Country,0,0
OwnOrRentFlag,PostalCode,0,0
OwnOrRentFlag,AddressLine2,0,0
OwnOrRentFlag,State,0,0
OwnOrRentFlag,Income,0,0
OwnOrRentFlag,Employer,0,0
NetWorth,AgencyID,0,0
NetWorth,MaritalStatus,0,0
NetWorth,OwnOrRentFlag,0,0
NetWorth,NetWorth,0.9294235,1
NetWorth,NumberChildren,0,0
NetWorth,City,0,0
NetWorth,MiddleInitial,0,0
NetWorth,Phone,0,0
NetWorth,Gender,0,0
NetWorth,CreditRating,0,0
NetWorth,NumberCars,0,0
NetWorth,NumberCreditCards,0,0
NetWorth,Age,0,0
NetWorth,Country,0,0
NetWorth,PostalCode,0,0
NetWorth,AddressLine2,0,0
NetWorth,State,0,0
NetWorth,Income,0,0
NetWorth,Employer,0,0
NumberChildren,AgencyID,0,0
NumberChildren,MaritalStatus,0,0
NumberChildren,OwnOrRentFlag,0,0
NumberChildren,NetWorth,0,0
NumberChildren,NumberChildren,0.9398402,1
NumberChildren,City,0,0
NumberChildren,MiddleInitial,0,0
NumberChildren,Phone,0,0
NumberChildren,Gender,0,0
NumberChildren,CreditRating,0,0
NumberChildren,NumberCars,0,0
NumberChildren,NumberCreditCards,0,0
NumberChildren,Age,0,0
NumberChildren,Country,0,0
NumberChildren,PostalCode,0,0
NumberChildren,AddressLine2,0,0
NumberChildren,State,0,0
NumberChildren,Income,0,0
NumberChildren,Employer,0,0
City,AgencyID,0,0
City,MaritalStatus,0,0
City,OwnOrRentFlag,0,0
City,NetWorth,0,0
City,NumberChildren,0,0
City,City,0.91751873,1
City,MiddleInitial,0,0
City,Phone,0,0
City,Gender,0,0
City,CreditRating,0,0
City,NumberCars,0,0
City,NumberCreditCards,0,0
City,Age,0,0
City,Country,0,0
City,PostalCode,0,0
City,AddressLine2,0,0
City,State,0,0
City,Income,0,0
City,Employer,0,0
MiddleInitial,AgencyID,0,0
MiddleInitial,MaritalStatus,0,0
MiddleInitial,OwnOrRentFlag,0,0
MiddleInitial,NetWorth,0,0
MiddleInitial,NumberChildren,0,0
MiddleInitial,City,0,0
MiddleInitial,MiddleInitial,0.9384815,1
MiddleInitial,Phone,0,0
MiddleInitial,Gender,0,0
MiddleInitial,CreditRating,0,0
MiddleInitial,NumberCars,0,0
MiddleInitial,NumberCreditCards,0,0
MiddleInitial,Age,0,0
MiddleInitial,Country,0,0
MiddleInitial,PostalCode,0,0
MiddleInitial,AddressLine2,0,0
MiddleInitial,State,0,0
MiddleInitial,Income,0,0
MiddleInitial,Employer,0,0
Phone,AgencyID,0,0
Phone,MaritalStatus,0,0
Phone,OwnOrRentFlag,0,0
Phone,NetWorth,0,0
Phone,NumberChildren,0,0
Phone,City,0,0
Phone,MiddleInitial,0,0
Phone,Phone,0.9210902,1
Phone,Gender,0,0
Phone,CreditRating,0,0
Phone,NumberCars,0,0
Phone,NumberCreditCards,0,0
Phone,Age,0,0
Phone,Country,0,0
Phone,PostalCode,0,0
Phone,AddressLine2,0,0
Phone,State,0,0
Phone,Income,0,0
Phone,Employer,0,0
Gender,AgencyID,0,0
Gender,MaritalStatus,0,0
Gender,OwnOrRentFlag,0,0
Gender,NetWorth,0,0
Gender,NumberChildren,0,0
Gender,City,0,0
Gender,MiddleInitial,0,0
Gender,Phone,0,0
Gender,Gender,0.9242152,1
Gender,CreditRating,0,0
Gender,NumberCars,0,0
Gender,NumberCreditCards,0,0
Gender,Age,0,0
Gender,Country,0,0
Gender,PostalCode,0,0
Gender,AddressLine2,0,0
Gender,State,0,0
Gender,Income,0,0
Gender,Employer,0,0
CreditRating,AgencyID,0,0
CreditRating,MaritalStatus,0,0
CreditRating,OwnOrRentFlag,0,0
CreditRating,NetWorth,0,0
CreditRating,NumberChildren,0,0
CreditRating,City,0,0
CreditRating,MiddleInitial,0,0
CreditRating,Phone,0,0
CreditRating,Gender,0,0
CreditRating,CreditRating,0.9369993,1
CreditRating,NumberCars,0,0
CreditRating,NumberCreditCards,0,0
CreditRating,Age,0,0
CreditRating,Country,0,0
CreditRating,PostalCode,0,0
CreditRating,AddressLine2,0,0
CreditRating,State,0,0
CreditRating,Income,0,0
CreditRating,Employer,0,0
NumberCars,AgencyID,0,0
NumberCars,MaritalStatus,0,0
NumberCars,OwnOrRentFlag,0,0
NumberCars,NetWorth,0,0
NumberCars,NumberChildren,0,0
NumberCars,City,0,0
NumberCars,MiddleInitial,0,0
NumberCars,Phone,0,0
NumberCars,Gender,0,0
NumberCars,CreditRating,0,0
NumberCars,NumberCars,0.9335902,1
NumberCars,NumberCreditCards,0,0
NumberCars,Age,0,0
NumberCars,Country,0,0
NumberCars,PostalCode,0,0
NumberCars,AddressLine2,0,0
NumberCars,State,0,0
NumberCars,Income,0,0
NumberCars,Employer,0,0
NumberCreditCards,AgencyID,0,0
NumberCreditCards,MaritalStatus,0,0
NumberCreditCards,OwnOrRentFlag,0,0
NumberCreditCards,NetWorth,0,0
NumberCreditCards,NumberChildren,0,0
NumberCreditCards,City,0,0
NumberCreditCards,MiddleInitial,0,0
NumberCreditCards,Phone,0,0
NumberCreditCards,Gender,0,0
NumberCreditCards,CreditRating,0,0
NumberCreditCards,NumberCars,0,0
NumberCreditCards,NumberCreditCards,0.9433124,1
NumberCreditCards,Age,0,0
NumberCreditCards,Country,0,0
NumberCreditCards,PostalCode,0,0
NumberCreditCards,AddressLine2,0,0
NumberCreditCards,State,0,0
NumberCreditCards,Income,0,0
NumberCreditCards,Employer,0,0
Age,AgencyID,0,0
Age,MaritalStatus,0,0
Age,OwnOrRentFlag,0,0
Age,NetWorth,0,0
Age,NumberChildren,0,0
Age,City,0,0
Age,MiddleInitial,0,0
Age,Phone,0,0
Age,Gender,0,0
Age,CreditRating,0,0
Age,NumberCars,0,0
Age,NumberCreditCards,0,0
Age,Age,0.9133979,1
Age,Country,0,0
Age,PostalCode,0,0
Age,AddressLine2,0,0
Age,State,0,0
Age,Income,0,0
Age,Employer,0,0
Country,AgencyID,0,0
Country,MaritalStatus,0,0
Country,OwnOrRentFlag,0,0
Country,NetWorth,0,0
Country,NumberChildren,0,0
Country,City,0,0
Country,MiddleInitial,0,0
Country,Phone,0,0
Country,Gender,0,0
Country,CreditRating,0,0
Country,NumberCars,0,0
Country,NumberCreditCards,0,0
Country,Age,0,0
Country,Country,0.92697257,1
Country,PostalCode,0,0
Country,AddressLine2,0,0
Country,State,0,0
Country,Income,0,0
Country,Employer,0,0
PostalCode,AgencyID,0,0
PostalCode,MaritalStatus,0,0
PostalCode,OwnOrRentFlag,0,0
PostalCode,NetWorth,0,0
PostalCode,NumberChildren,0,0
PostalCode,City,0,0
PostalCode,MiddleInitial,0,0
PostalCode,Phone,0,0
PostalCode,Gender,0,0
PostalCode,CreditRating,0,0
PostalCode,NumberCars,0,0
PostalCode,NumberCreditCards,0,0
PostalCode,Age,0,0
PostalCode,Country,0,0
PostalCode,PostalCode,0.9335902,1
PostalCode,AddressLine2,0,0
PostalCode,State,0,0
PostalCode,Income,0,0
PostalCode,Employer,0,0
LastName,AgencyID,0,0
LastName,MaritalStatus,0,0
LastName,OwnOrRentFlag,0,0
LastName,NetWorth,0,0
LastName,NumberChildren,0,0
LastName,City,0,0
LastName,MiddleInitial,0,0
LastName,Phone,0,0
LastName,Gender,0,0
LastName,CreditRating,0,0
LastName,NumberCars,0,0
LastName,NumberCreditCards,0,0
LastName,Age,0,0
LastName,Country,0,0
LastName,PostalCode,0,0
LastName,AddressLine2,0,0
LastName,State,0,0
LastName,Income,0.44984835,0
LastName,Employer,0,0
FirstName,AgencyID,0,0
FirstName,MaritalStatus,0,0
FirstName,OwnOrRentFlag,0,0
FirstName,NetWorth,0,0
FirstName,NumberChildren,0,0
FirstName,City,0,0
FirstName,MiddleInitial,0,0
FirstName,Phone,0,0
FirstName,Gender,0,0
FirstName,CreditRating,0,0
FirstName,NumberCars,0,0
FirstName,NumberCreditCards,0,0
FirstName,Age,0,0
FirstName,Country,0,0
