source,target,conf,realConf
AgencyID,prospect_AgeID,0.25099015,1
AgencyID,prospect_LaNa,0,0
AgencyID,prospect_FiN,0,0
AgencyID,prospect_MidIn,0,0
AgencyID,prospect_Gen,0,0
AgencyID,prospect_AddrL1,0,0
AgencyID,prospect_AdLi2,0,0
AgencyID,prospect_PoCo,0,0
AgencyID,prospect_C,0,0
AgencyID,prospect_St,0,0
AgencyID,prospect_Co,0,0
AgencyID,prospect_Ph,0,0
AgencyID,prospect_In,0,0
AgencyID,prospect_NumC,0,0
AgencyID,prospect_NumChi,0,0
AgencyID,prospect_MaSt,0,0
AgencyID,prospect_A,0,0
AgencyID,prospect_CreRat,0,0
AgencyID,prospect_OwOReF,0,0
AgencyID,prospect_Em,0,0
AgencyID,prospect_NuCreCar,0,0
AgencyID,prospect_NeWo,0,0
LastName,prospect_AgeID,0,0
LastName,prospect_LaNa,0,1
LastName,prospect_FiN,0,0
LastName,prospect_MidIn,0,0
LastName,prospect_Gen,0,0
LastName,prospect_AddrL1,0,0
LastName,prospect_AdLi2,0,0
LastName,prospect_PoCo,0,0
LastName,prospect_C,0,0
LastName,prospect_St,0,0
LastName,prospect_Co,0,0
LastName,prospect_Ph,0,0
LastName,prospect_In,0,0
LastName,prospect_NumC,0,0
LastName,prospect_NumChi,0,0
LastName,prospect_MaSt,0.15596268,0
LastName,prospect_A,0,0
LastName,prospect_CreRat,0,0
LastName,prospect_OwOReF,0,0
LastName,prospect_Em,0,0
LastName,prospect_NuCreCar,0,0
LastName,prospect_NeWo,0,0
FirstName,prospect_AgeID,0,0
FirstName,prospect_LaNa,0,0
FirstName,prospect_FiN,0,1
FirstName,prospect_MidIn,0,0
FirstName,prospect_Gen,0,0
FirstName,prospect_AddrL1,0,0
FirstName,prospect_AdLi2,0,0
FirstName,prospect_PoCo,0,0
FirstName,prospect_C,0,0
FirstName,prospect_St,0,0
FirstName,prospect_Co,0,0
FirstName,prospect_Ph,0,0
FirstName,prospect_In,0,0
FirstName,prospect_NumC,0,0
FirstName,prospect_NumChi,0,0
FirstName,prospect_MaSt,0,0
FirstName,prospect_A,0,0
FirstName,prospect_CreRat,0,0
FirstName,prospect_OwOReF,0,0
FirstName,prospect_Em,0,0
FirstName,prospect_NuCreCar,0,0
FirstName,prospect_NeWo,0,0
MiddleInitial,prospect_AgeID,0,0
MiddleInitial,prospect_LaNa,0,0
MiddleInitial,prospect_FiN,0,0
MiddleInitial,prospect_MidIn,0,1
MiddleInitial,prospect_Gen,0,0
MiddleInitial,prospect_AddrL1,0,0
MiddleInitial,prospect_AdLi2,0,0
MiddleInitial,prospect_PoCo,0,0
MiddleInitial,prospect_C,0,0
MiddleInitial,prospect_St,0,0
MiddleInitial,prospect_Co,0,0
MiddleInitial,prospect_Ph,0,0
MiddleInitial,prospect_In,0,0
MiddleInitial,prospect_NumC,0,0
MiddleInitial,prospect_NumChi,0,0
MiddleInitial,prospect_MaSt,0,0
MiddleInitial,prospect_A,0,0
MiddleInitial,prospect_CreRat,0,0
MiddleInitial,prospect_OwOReF,0,0
MiddleInitial,prospect_Em,0,0
MiddleInitial,prospect_NuCreCar,0,0
MiddleInitial,prospect_NeWo,0,0
Gender,prospect_AgeID,0,0
Gender,prospect_LaNa,0,0
Gender,prospect_FiN,0,0
Gender,prospect_MidIn,0,0
Gender,prospect_Gen,0,1
Gender,prospect_AddrL1,0,0
Gender,prospect_AdLi2,0,0
Gender,prospect_PoCo,0,0
Gender,prospect_C,0,0
Gender,prospect_St,0,0
Gender,prospect_Co,0,0
Gender,prospect_Ph,0,0
Gender,prospect_In,0,0
Gender,prospect_NumC,0,0
Gender,prospect_NumChi,0,0
Gender,prospect_MaSt,0,0
Gender,prospect_A,0,0
Gender,prospect_CreRat,0,0
Gender,prospect_OwOReF,0,0
Gender,prospect_Em,0,0
Gender,prospect_NuCreCar,0,0
Gender,prospect_NeWo,0,0
AddressLine1,prospect_AgeID,0,0
AddressLine1,prospect_LaNa,0,0
AddressLine1,prospect_FiN,0,0
AddressLine1,prospect_MidIn,0,0
AddressLine1,prospect_Gen,0,0
AddressLine1,prospect_AddrL1,0.22098155,1
AddressLine1,prospect_AdLi2,0,0
AddressLine1,prospect_PoCo,0,0
AddressLine1,prospect_C,0,0
AddressLine1,prospect_St,0,0
AddressLine1,prospect_Co,0,0
AddressLine1,prospect_Ph,0,0
AddressLine1,prospect_In,0,0
AddressLine1,prospect_NumC,0,0
AddressLine1,prospect_NumChi,0,0
AddressLine1,prospect_MaSt,0,0
AddressLine1,prospect_A,0,0
AddressLine1,prospect_CreRat,0,0
AddressLine1,prospect_OwOReF,0,0
AddressLine1,prospect_Em,0,0
AddressLine1,prospect_NuCreCar,0,0
AddressLine1,prospect_NeWo,0,0
AddressLine2,prospect_AgeID,0,0
AddressLine2,prospect_LaNa,0,0
AddressLine2,prospect_FiN,0,0
AddressLine2,prospect_MidIn,0,0
AddressLine2,prospect_Gen,0,0
AddressLine2,prospect_AddrL1,0,0
AddressLine2,prospect_AdLi2,0,1
AddressLine2,prospect_PoCo,0,0
AddressLine2,prospect_C,0,0
AddressLine2,prospect_St,0,0
AddressLine2,prospect_Co,0,0
AddressLine2,prospect_Ph,0,0
AddressLine2,prospect_In,0,0
AddressLine2,prospect_NumC,0,0
AddressLine2,prospect_NumChi,0,0
AddressLine2,prospect_MaSt,0,0
AddressLine2,prospect_A,0,0
AddressLine2,prospect_CreRat,0,0
AddressLine2,prospect_OwOReF,0,0
AddressLine2,prospect_Em,0,0
AddressLine2,prospect_NuCreCar,0,0
AddressLine2,prospect_NeWo,0,0
PostalCode,prospect_AgeID,0,0
PostalCode,prospect_LaNa,0,0
PostalCode,prospect_FiN,0,0
PostalCode,prospect_MidIn,0,0
