source,target,conf,realConf
AgencyID,prospect_AgeID,0.2516298,1
AgencyID,prospect_LNa,0,0
AgencyID,prospect_FirN,0,0
AgencyID,prospect_MiIni,0,0
AgencyID,prospect_Gen,0,0
AgencyID,prospect_AddL1,0,0
AgencyID,prospect_AddLi2,0,0
AgencyID,prospect_PoCo,0,0
AgencyID,prospect_Ci,0,0
AgencyID,prospect_Sta,0,0
AgencyID,prospect_Coun,0,0
AgencyID,prospect_Pho,0,0
AgencyID,prospect_In,0,0
AgencyID,prospect_NumC,0,0
AgencyID,prospect_NuCh,0,0
AgencyID,prospect_MaSt,0,0
AgencyID,prospect_Ag,0,0
AgencyID,prospect_CrRat,0,0
AgencyID,prospect_OORFl,0,0
AgencyID,prospect_Emp,0,0
AgencyID,prospect_NuCreCar,0,0
AgencyID,prospect_NWor,0,0
LastName,prospect_AgeID,0,0
LastName,prospect_LNa,0,1
LastName,prospect_FirN,0,0
LastName,prospect_MiIni,0,0
LastName,prospect_Gen,0,0
LastName,prospect_AddL1,0,0
LastName,prospect_AddLi2,0,0
LastName,prospect_PoCo,0,0
LastName,prospect_Ci,0,0
LastName,prospect_Sta,0,0
LastName,prospect_Coun,0,0
LastName,prospect_Pho,0,0
LastName,prospect_In,0,0
LastName,prospect_NumC,0,0
LastName,prospect_NuCh,0,0
LastName,prospect_MaSt,0.15660232,0
LastName,prospect_Ag,0,0
LastName,prospect_CrRat,0,0
LastName,prospect_OORFl,0,0
LastName,prospect_Emp,0,0
LastName,prospect_NuCreCar,0,0
LastName,prospect_NWor,0,0
FirstName,prospect_AgeID,0,0
FirstName,prospect_LNa,0,0
FirstName,prospect_FirN,0,1
FirstName,prospect_MiIni,0,0
FirstName,prospect_Gen,0,0
FirstName,prospect_AddL1,0,0
FirstName,prospect_AddLi2,0,0
FirstName,prospect_PoCo,0,0
FirstName,prospect_Ci,0,0
FirstName,prospect_Sta,0,0
FirstName,prospect_Coun,0,0
FirstName,prospect_Pho,0,0
FirstName,prospect_In,0,0
FirstName,prospect_NumC,0,0
FirstName,prospect_NuCh,0,0
FirstName,prospect_MaSt,0,0
FirstName,prospect_Ag,0,0
FirstName,prospect_CrRat,0,0
FirstName,prospect_OORFl,0,0
FirstName,prospect_Emp,0,0
FirstName,prospect_NuCreCar,0,0
FirstName,prospect_NWor,0,0
MiddleInitial,prospect_AgeID,0,0
MiddleInitial,prospect_LNa,0,0
MiddleInitial,prospect_FirN,0,0
MiddleInitial,prospect_MiIni,0,1
MiddleInitial,prospect_Gen,0,0
MiddleInitial,prospect_AddL1,0,0
MiddleInitial,prospect_AddLi2,0,0
MiddleInitial,prospect_PoCo,0,0
MiddleInitial,prospect_Ci,0,0
MiddleInitial,prospect_Sta,0,0
MiddleInitial,prospect_Coun,0,0
MiddleInitial,prospect_Pho,0,0
MiddleInitial,prospect_In,0,0
MiddleInitial,prospect_NumC,0,0
MiddleInitial,prospect_NuCh,0,0
MiddleInitial,prospect_MaSt,0,0
MiddleInitial,prospect_Ag,0,0
MiddleInitial,prospect_CrRat,0,0
MiddleInitial,prospect_OORFl,0,0
MiddleInitial,prospect_Emp,0,0
MiddleInitial,prospect_NuCreCar,0,0
MiddleInitial,prospect_NWor,0,0
Gender,prospect_AgeID,0,0
Gender,prospect_LNa,0,0
Gender,prospect_FirN,0,0
Gender,prospect_MiIni,0,0
Gender,prospect_Gen,0,1
Gender,prospect_AddL1,0,0
Gender,prospect_AddLi2,0,0
Gender,prospect_PoCo,0,0
Gender,prospect_Ci,0,0
Gender,prospect_Sta,0,0
Gender,prospect_Coun,0,0
Gender,prospect_Pho,0,0
Gender,prospect_In,0,0
Gender,prospect_NumC,0,0
Gender,prospect_NuCh,0,0
Gender,prospect_MaSt,0,0
Gender,prospect_Ag,0,0
Gender,prospect_CrRat,0,0
Gender,prospect_OORFl,0,0
Gender,prospect_Emp,0,0
Gender,prospect_NuCreCar,0,0
Gender,prospect_NWor,0,0
AddressLine1,prospect_AgeID,0,0
AddressLine1,prospect_LNa,0,0
AddressLine1,prospect_FirN,0,0
