source,target,conf,realConf
Fiscal year,Fiscal year,1.0,1
Fiscal year,Continent ID,0.020000000000000004,0
Fiscal year,Division ID,0.5357142857142857,0
Fiscal year,Disability issues (marker),0.020000000000000004,0
Fiscal year,Youth issues (marker),0.020000000000000004,0
Fiscal year,Branch ID,0.5371428571428571,0
Fiscal year,Gender equality (marker),0.020000000000000004,0
Fiscal year,Project Browser country ID,0.5551820728291317,0
Fiscal year,Organisation class,0.8025974025974028,0
Fiscal year,Continent name,0.6133333333333333,0
Fiscal year,CountryRegion percent,0.033333333333333326,0
Fiscal year,Division name,0.6352380952380954,0
Fiscal year,Status,0.46060606060606063,0
Fiscal year,Participatory development and good governance,0.020000000000000004,0
Fiscal year,CFLI (marker),0.020000000000000004,0
Fiscal year,Organisation type,0.6480519480519482,0
Fiscal year,CountryRegion name,0.6354632034632035,0
Fiscal year,Amount spent,0.033333333333333326,0
Fiscal year,Bilateral aid (international marker),0.020000000000000004,0
Fiscal year,Project number,0.6857142857142857,0
Fiscal year,ICT as a tool for development (marker),0.020000000000000004,0
Fiscal year,Biodiversity (marker),0.020000000000000004,0
Fiscal year,Indigenous issues (marker),0.020000000000000004,0
Fiscal year,Section ID,0.6315018315018316,0
Fiscal year,Regional program (marker),0.020000000000000004,0
Fiscal year,Climate change mitigation (marker),0.020000000000000004,0
Fiscal year,Desertification (marker),0.020000000000000004,0
Fiscal year,Trade development (marker),0.020000000000000004,0
Fiscal year,Urban issues (marker),0.020000000000000004,0
Fiscal year,Children issues (marker),0.020000000000000004,0
Fiscal year,Knowledge for development (marker),0.020000000000000004,0
Fiscal year,Organisation ID,0.5980519480519482,0
Fiscal year,Organisation name,0.6975757575757577,0
Fiscal year,Organisation sub-class,0.650909090909091,0
Fiscal year,CountryRegion ID,0.5558441558441558,0
Fiscal year,Sector ID,0.020000000000000004,0
Fiscal year,Sector name,0.6975757575757577,0
Fiscal year,Sector percent,0.033333333333333326,0
Continent ID,Fiscal year,0.020000000000000004,0
Continent ID,Continent ID,1.0,1
Continent ID,Division ID,0.020000000000000004,0
Continent ID,Disability issues (marker),0.5067936507936508,0
Continent ID,Youth issues (marker),0.5398095238095239,0
Continent ID,Branch ID,0.020000000000000004,0
Continent ID,Gender equality (marker),0.516952380952381,0
Continent ID,Project Browser country ID,0.020000000000000004,0
Continent ID,Organisation class,0.020000000000000004,0
Continent ID,Continent name,0.020000000000000004,0
Continent ID,CountryRegion percent,0.05,0
Continent ID,Division name,0.020000000000000004,0
Continent ID,Status,0.020000000000000004,0
Continent ID,Participatory development and good governance,0.6415686274509804,0
Continent ID,CFLI (marker),0.5523809523809524,0
Continent ID,Organisation type,0.020000000000000004,0
Continent ID,CountryRegion name,0.020000000000000004,0
Continent ID,Amount spent,0.05,0
Continent ID,Bilateral aid (international marker),0.5771428571428572,0
Continent ID,Project number,0.020000000000000004,0
Continent ID,ICT as a tool for development (marker),0.6320448179271709,0
Continent ID,Biodiversity (marker),0.5301587301587302,0
Continent ID,Indigenous issues (marker),0.5512380952380953,0
Continent ID,Section ID,0.020000000000000004,0
Continent ID,Regional program (marker),0.6282352941176472,0
Continent ID,Climate change mitigation (marker),0.5396825396825398,0
Continent ID,Desertification (marker),0.5523809523809524,0
Continent ID,Trade development (marker),0.6658823529411766,0
Continent ID,Urban issues (marker),0.5512380952380953,0
Continent ID,Children issues (marker),0.5465322128851542,0
Continent ID,Knowledge for development (marker),0.6925490196078432,0
Continent ID,Organisation ID,0.020000000000000004,0
Continent ID,Organisation name,0.020000000000000004,0
Continent ID,Organisation sub-class,0.020000000000000004,0
Continent ID,CountryRegion ID,0.020000000000000004,0
Continent ID,Sector ID,0.7968253968253969,0
Continent ID,Sector name,0.020000000000000004,0
