source,target,conf,realConf
Fiscal year,FiYe,0.6666666666666667,1
Fiscal year,PrNu,0.4311111111111111,0
Fiscal year,Sta,0.5132275132275133,0
Fiscal year,MaxCIDAContri,0.033333333333333326,0
Fiscal year,BrID,0.5357142857142857,0
Fiscal year,BraN,0.5015151515151515,0
Fiscal year,DiviID,0.3942857142857143,0
Fiscal year,DivNa,0.4031746031746032,0
Fiscal year,SectID,0.5432967032967033,0
Fiscal year,SectN,0.6052447552447553,0
Fiscal year,RegProg,0.020000000000000004,0
Fiscal year,FuCeID,0.020000000000000004,0
Fiscal year,FuCeN,0.5745454545454545,0
Fiscal year,UnAmoPrBu,0.033333333333333326,0
Fiscal year,FSTCPer,0.033333333333333326,0
Fiscal year,IRTCPer,0.033333333333333326,0
Fiscal year,CFLI,0.020000000000000004,0
Fiscal year,CIDABusDeMo,0.5767521367521369,0
Fiscal year,ProgProc,0.39,0
Fiscal year,BilAiMar,0.020000000000000004,0
Fiscal year,PBAT,0.38666666666666666,0
Fiscal year,EnvirSustai,0.020000000000000004,0
Fiscal year,ClChaAdapt,0.020000000000000004,0
Fiscal year,ClChaMitig,0.020000000000000004,0
Fiscal year,Deserti,0.020000000000000004,0
Fiscal year,ParticDevelAGGov,0.020000000000000004,0
Fiscal year,TraDevel,0.020000000000000004,0
Fiscal year,Bio,0.020000000000000004,0
Fiscal year,UrbIss,0.020000000000000004,0
Fiscal year,ChiIs,0.020000000000000004,0
Fiscal year,YoIss,0.020000000000000004,0
Fiscal year,IndIs,0.020000000000000004,0
Fiscal year,DisabIs,0.020000000000000004,0
Fiscal year,ICTAATFDev,0.020000000000000004,0
Fiscal year,KnoFoDev,0.020000000000000004,0
Fiscal year,GenEq,0.020000000000000004,0
Fiscal year,OrganiID,0.3906493506493507,0
Fiscal year,OrganN,0.5748484848484848,0
Fiscal year,OrgaT,0.38666666666666666,0
Fiscal year,OrganCla,0.5911111111111111,0
Fiscal year,OrgSu,0.4142857142857143,0
Fiscal year,ConID,0.020000000000000004,0
Fiscal year,ContN,0.5081818181818182,0
Fiscal year,PrBrowCouID,0.4129100529100529,0
Fiscal year,CouReID,0.4031746031746032,0
Fiscal year,CoRegN,0.505974025974026,0
Fiscal year,CounRePerc,0.033333333333333326,0
Fiscal year,SeID,0.020000000000000004,0
Fiscal year,SeN,0.5297202797202798,0
Fiscal year,SecPe,0.033333333333333326,0
Fiscal year,AmoSp,0.033333333333333326,0
Project number,FiYe,0.34444444444444444,0
Project number,PrNu,0.6329004329004329,1
Project number,Sta,0.30666666666666664,0
Project number,MaxCIDAContri,0.033333333333333326,0
Project number,BrID,0.75,0
Project number,BraN,0.6615384615384615,0
Project number,DiviID,0.65,0
Project number,DivNa,0.3730769230769231,0
Project number,SectID,0.7566666666666666,0
Project number,SectN,0.6348717948717948,0
Project number,RegProg,0.020000000000000004,0
Project number,FuCeID,0.020000000000000004,0
Project number,FuCeN,0.6133333333333333,0
Project number,UnAmoPrBu,0.033333333333333326,0
Project number,FSTCPer,0.033333333333333326,0
Project number,IRTCPer,0.033333333333333326,0
Project number,CFLI,0.020000000000000004,0
Project number,CIDABusDeMo,0.5514755397108339,0
Project number,ProgProc,0.6400000000000001,0
Project number,BilAiMar,0.020000000000000004,0
Project number,PBAT,0.44727272727272727,0
Project number,EnvirSustai,0.020000000000000004,0
Project number,ClChaAdapt,0.020000000000000004,0
Project number,ClChaMitig,0.020000000000000004,0
Project number,Deserti,0.020000000000000004,0
Project number,ParticDevelAGGov,0.020000000000000004,0
Project number,TraDevel,0.020000000000000004,0
Project number,Bio,0.020000000000000004,0
Project number,UrbIss,0.020000000000000004,0
Project number,ChiIs,0.020000000000000004,0
Project number,YoIss,0.020000000000000004,0
Project number,IndIs,0.020000000000000004,0
Project number,DisabIs,0.020000000000000004,0
Project number,ICTAATFDev,0.020000000000000004,0
Project number,KnoFoDev,0.020000000000000004,0
Project number,GenEq,0.020000000000000004,0
Project number,OrganiID,0.6833333333333333,0
Project number,OrganN,0.7585081585081586,0
Project number,OrgaT,0.3551515151515151,0
Project number,OrganCla,0.6506951871657753,0
Project number,OrgSu,0.3844444444444445,0
Project number,ConID,0.020000000000000004,0
Project number,ContN,0.6121212121212121,0
Project number,PrBrowCouID,0.6651020003961181,0
Project number,CouReID,0.6944444444444444,0
Project number,CoRegN,0.6166274509803922,0
Project number,CounRePerc,0.033333333333333326,0
Project number,SeID,0.020000000000000004,0
Project number,SeN,0.594871794871795,0
Project number,SecPe,0.033333333333333326,0
Project number,AmoSp,0.033333333333333326,0
Status,FiYe,0.2,0
