source,target,conf,realConf
AgencyID,AgencyID,1.0,1
AgencyID,Phone,0.4781499202551834,0
AgencyID,Income,0.033333333333333326,0
AgencyID,NumberCars,0.033333333333333326,0
AgencyID,NumberChildren,0.033333333333333326,0
AgencyID,MaritalStatus,0.6315384615384616,0
AgencyID,Age,0.033333333333333326,0
AgencyID,CreditRating,0.033333333333333326,0
AgencyID,OwnOrRentFlag,0.6020541549953315,0
AgencyID,Employer,0.4262626262626263,0
AgencyID,NumberCreditCards,0.033333333333333326,0
AgencyID,NetWorth,0.033333333333333326,0
LastName,AgencyID,0.6799999999999999,0
LastName,Phone,0.8311111111111111,0
LastName,Income,0.033333333333333326,0
LastName,NumberCars,0.033333333333333326,0
LastName,NumberChildren,0.033333333333333326,0
LastName,MaritalStatus,0.7761904761904763,0
LastName,Age,0.033333333333333326,0
LastName,CreditRating,0.033333333333333326,0
LastName,OwnOrRentFlag,0.6780284043441938,0
LastName,Employer,0.6553606237816765,0
LastName,NumberCreditCards,0.033333333333333326,0
LastName,NetWorth,0.033333333333333326,0
FirstName,AgencyID,0.655952380952381,0
FirstName,Phone,0.8222222222222222,0
FirstName,Income,0.033333333333333326,0
FirstName,NumberCars,0.033333333333333326,0
FirstName,NumberChildren,0.033333333333333326,0
FirstName,MaritalStatus,0.7761904761904763,0
FirstName,Age,0.033333333333333326,0
FirstName,CreditRating,0.033333333333333326,0
FirstName,OwnOrRentFlag,0.6542857142857144,0
FirstName,Employer,0.6491228070175439,0
FirstName,NumberCreditCards,0.033333333333333326,0
FirstName,NetWorth,0.033333333333333326,0
MiddleInitial,AgencyID,0.5858823529411765,0
MiddleInitial,Phone,0.4711111111111111,0
MiddleInitial,Income,0.033333333333333326,0
MiddleInitial,NumberCars,0.033333333333333326,0
MiddleInitial,NumberChildren,0.033333333333333326,0
MiddleInitial,MaritalStatus,0.5800000000000001,0
MiddleInitial,Age,0.033333333333333326,0
MiddleInitial,CreditRating,0.033333333333333326,0
MiddleInitial,OwnOrRentFlag,0.7743589743589745,0
MiddleInitial,Employer,0.4666666666666667,0
MiddleInitial,NumberCreditCards,0.033333333333333326,0
MiddleInitial,NetWorth,0.033333333333333326,0
Gender,AgencyID,0.5377777777777778,0
Gender,Phone,0.4461538461538462,0
Gender,Income,0.033333333333333326,0
Gender,NumberCars,0.033333333333333326,0
