source,target,conf,realConf
AgencyID,gncd,0.6088888888888888,1
AgencyID,pstlcd,0.37777777777777777,0
AgencyID,ddrssln2,0.34476190476190477,0
AgencyID,nmbrcrs,0.033333333333333326,0
AgencyID,frstnm,0.28888888888888886,0
AgencyID,wnrrntflg,0.2711111111111111,0
AgencyID,ncm,0.033333333333333326,0
AgencyID,mrtlstts,0.2,0
AgencyID,lstnm,0.29696969696969694,0
AgencyID,mddlntl,0.3595441595441596,0
AgencyID,ddrssln1,0.34476190476190477,0
AgencyID,stt,0.2,0
AgencyID,phn,0.31851851851851853,0
AgencyID,mplr,0.2,0
AgencyID,nmbrcrdtcrds,0.033333333333333326,0
AgencyID,nmbrchldrn,0.033333333333333326,0
AgencyID,g,0.033333333333333326,0
AgencyID,crdtrtng,0.033333333333333326,0
AgencyID,ntwrth,0.033333333333333326,0
PostalCode,gncd,0.4666666666666667,0
PostalCode,pstlcd,0.6622222222222223,1
PostalCode,ddrssln2,0.39682539682539686,0
PostalCode,nmbrcrs,0.033333333333333326,0
PostalCode,frstnm,0.3777777777777778,0
PostalCode,wnrrntflg,0.34222222222222226,0
PostalCode,ncm,0.033333333333333326,0
PostalCode,mrtlstts,0.3523809523809524,0
PostalCode,lstnm,0.393939393939394,0
PostalCode,mddlntl,0.4125874125874126,0
PostalCode,ddrssln1,0.39682539682539686,0
PostalCode,stt,0.43703703703703706,0
PostalCode,phn,0.31851851851851853,0
PostalCode,mplr,0.41333333333333333,0
PostalCode,nmbrcrdtcrds,0.033333333333333326,0
PostalCode,nmbrchldrn,0.033333333333333326,0
PostalCode,g,0.033333333333333326,0
PostalCode,crdtrtng,0.033333333333333326,0
PostalCode,ntwrth,0.033333333333333326,0
AddressLine2,gncd,0.367003367003367,0
AddressLine2,pstlcd,0.337995337995338,0
AddressLine2,ddrssln2,0.6786324786324787,1
AddressLine2,nmbrcrs,0.033333333333333326,0
AddressLine2,frstnm,0.4125874125874126,0
AddressLine2,wnrrntflg,0.3095238095238096,0
AddressLine2,ncm,0.033333333333333326,0
AddressLine2,mrtlstts,0.45435897435897443,0
AddressLine2,lstnm,0.45777777777777784,0
AddressLine2,mddlntl,0.453968253968254,0
AddressLine2,ddrssln1,0.6376068376068377,0
AddressLine2,stt,0.30666666666666664,0
AddressLine2,phn,0.33333333333333337,0
AddressLine2,mplr,0.367003367003367,0
AddressLine2,nmbrcrdtcrds,0.033333333333333326,0
AddressLine2,nmbrchldrn,0.033333333333333326,0
AddressLine2,g,0.033333333333333326,0
AddressLine2,crdtrtng,0.033333333333333326,0
AddressLine2,ntwrth,0.033333333333333326,0
