source,target,conf,realConf
assay_id,assay_id,0,1
assay_id,assay_subcellular_fraction,0,0
assay_id,assay_organism,0,0
assay_id,description,0,0
assay_id,relationship_type,0,0
assay_id,assay_type,0,0
assay_id,confidence_score,0,0
assay_id,curated_by,0,0
assay_id,src_id,0,0
assay_id,src_assay_id,0,0
assay_id,chembl_id,0,0
assay_id,cell_id,0,0
assay_id,bao_format,0,0
assay_id,tissue_id,0,0
assay_id,variant_id,0,0
assay_subcellular_fraction,assay_id,0,0
assay_subcellular_fraction,assay_subcellular_fraction,0,1
assay_subcellular_fraction,assay_organism,0,0
assay_subcellular_fraction,description,0,0
assay_subcellular_fraction,relationship_type,0,0
assay_subcellular_fraction,assay_type,0,0
assay_subcellular_fraction,confidence_score,0,0
assay_subcellular_fraction,curated_by,0,0
assay_subcellular_fraction,src_id,0,0
assay_subcellular_fraction,src_assay_id,0,0
assay_subcellular_fraction,chembl_id,0,0
assay_subcellular_fraction,cell_id,0,0
assay_subcellular_fraction,bao_format,0,0
assay_subcellular_fraction,tissue_id,0,0
assay_subcellular_fraction,variant_id,0,0
assay_organism,assay_id,0,0
assay_organism,assay_subcellular_fraction,0,0
assay_organism,assay_organism,0.8887933555556349,1
assay_organism,description,0,0
assay_organism,relationship_type,0,0
assay_organism,assay_type,0,0
assay_organism,confidence_score,0,0
assay_organism,curated_by,0,0
assay_organism,src_id,0,0
assay_organism,src_assay_id,0,0
assay_organism,chembl_id,0,0
assay_organism,cell_id,0,0
assay_organism,bao_format,0,0
assay_organism,tissue_id,0,0
assay_organism,variant_id,0,0
description,assay_id,0,0
description,assay_subcellular_fraction,0,0
description,assay_organism,0,0
description,description,0.932689114341057,1
description,relationship_type,0,0
description,assay_type,0,0
description,confidence_score,0,0
description,curated_by,0,0
description,src_id,0,0
description,src_assay_id,0,0
description,chembl_id,0,0
description,cell_id,0,0
description,bao_format,0,0
description,tissue_id,0,0
description,variant_id,0,0
relationship_type,assay_id,0,0
relationship_type,assay_subcellular_fraction,0,0
relationship_type,assay_organism,0,0
relationship_type,description,0,0
relationship_type,relationship_type,0.8828982606904264,1
relationship_type,assay_type,0,0
relationship_type,confidence_score,0,0
relationship_type,curated_by,0,0
relationship_type,src_id,0,0
relationship_type,src_assay_id,0,0
relationship_type,chembl_id,0,0
relationship_type,cell_id,0,0
relationship_type,bao_format,0,0
relationship_type,tissue_id,0,0
relationship_type,variant_id,0,0
assay_type,assay_id,0,0
assay_type,assay_subcellular_fraction,0,0
assay_type,assay_organism,0,0
assay_type,description,0,0
assay_type,relationship_type,0,0
assay_type,assay_type,0.8779645097842602,1
assay_type,confidence_score,0,0
assay_type,curated_by,0,0
assay_type,src_id,0,0
assay_type,src_assay_id,0,0
assay_type,chembl_id,0,0
assay_type,cell_id,0,0
assay_type,bao_format,0,0
assay_type,tissue_id,0,0
assay_type,variant_id,0,0
doc_id,assay_id,0.9277738180444077,0
