source,target,conf,realConf
Fiscal year,miller2_fsclr,0,1
Fiscal year,miller2_ctstlfrdvlpmnt(mrkr),0,0
Fiscal year,miller2_cntnntd,0,0
Fiscal year,miller2_brnchd,0,0
Fiscal year,miller2_rgnstnsb-clss,0,0
Fiscal year,miller2_rtcprcnt,0,0
Fiscal year,miller2_brnchnm,0,0
Fiscal year,miller2_rgnlprgrm(mrkr),0,0
Fiscal year,miller2_chldrnsss(mrkr),0,0
Fiscal year,miller2_thsss(mrkr),0,0
Fiscal year,miller2_cfl(mrkr),0,0
Fiscal year,miller2_rgnstntp,0,0
Fiscal year,miller2_dsrtfctn(mrkr),0,0
Fiscal year,miller2_prgrmmngprcss(nw),0,0
Fiscal year,miller2_fstcprcnt,0,0
Fiscal year,miller2_sctnnm,0,0
Fiscal year,miller2_mntspnt,0,0
Fiscal year,miller2_rgnstnd,0,0
Fiscal year,miller2_knwldgfrdvlpmnt(mrkr),0,0
Fiscal year,miller2_sctrnm,0,0
Fiscal year,miller2_stts,0,0
Fiscal year,miller2_dvsnnm,0,0
Fiscal year,miller2_rgnstnnm,0,0
Fiscal year,miller2_prtcptrdvlpmntndgdgvrnnc,0,0
Fiscal year,miller2_clmtchngdpttn(mrkr),0,0
Fiscal year,miller2_bdvrst(mrkr),0,0
Fiscal year,miller2_rbnsss(mrkr),0,0
Fiscal year,miller2_ndgnssss(mrkr),0,0
Fiscal year,miller2_dsbltsss(mrkr),0,0
Fiscal year,miller2_gndrqlt(mrkr),0,0
Fiscal year,miller2_rgnstnclss,0,0
Fiscal year,miller2_cntnntnm,0,0
Fiscal year,miller2_prjctbrwsrcntrd,0,0
Fiscal year,miller2_cntrrgnd,0,0
Fiscal year,miller2_cntrrgnnm,0,0
Fiscal year,miller2_cntrrgnprcnt,0,0
Fiscal year,miller2_sctrd,0,0
Fiscal year,miller2_sctrprcnt,0,0
ICT as a tool for development (marker),miller2_fsclr,0,0
ICT as a tool for development (marker),miller2_ctstlfrdvlpmnt(mrkr),1.0,1
ICT as a tool for development (marker),miller2_cntnntd,1.0,0
ICT as a tool for development (marker),miller2_brnchd,0,0
ICT as a tool for development (marker),miller2_rgnstnsb-clss,0,0
ICT as a tool for development (marker),miller2_rtcprcnt,1.0,0
ICT as a tool for development (marker),miller2_brnchnm,0,0
ICT as a tool for development (marker),miller2_rgnlprgrm(mrkr),1.0,0
ICT as a tool for development (marker),miller2_chldrnsss(mrkr),0.9979827686095234,0
ICT as a tool for development (marker),miller2_thsss(mrkr),1.0,0
ICT as a tool for development (marker),miller2_cfl(mrkr),1.0,0
ICT as a tool for development (marker),miller2_rgnstntp,0,0
ICT as a tool for development (marker),miller2_dsrtfctn(mrkr),1.0,0
ICT as a tool for development (marker),miller2_prgrmmngprcss(nw),0,0
ICT as a tool for development (marker),miller2_fstcprcnt,1.0,0
ICT as a tool for development (marker),miller2_sctnnm,0,0
ICT as a tool for development (marker),miller2_mntspnt,0,0
ICT as a tool for development (marker),miller2_rgnstnd,0,0
ICT as a tool for development (marker),miller2_knwldgfrdvlpmnt(mrkr),0.9905789592413079,0
ICT as a tool for development (marker),miller2_sctrnm,0,0
ICT as a tool for development (marker),miller2_stts,0,0
ICT as a tool for development (marker),miller2_dvsnnm,0,0
ICT as a tool for development (marker),miller2_rgnstnnm,0,0
ICT as a tool for development (marker),miller2_prtcptrdvlpmntndgdgvrnnc,1.0,0
ICT as a tool for development (marker),miller2_clmtchngdpttn(mrkr),1.0,0
ICT as a tool for development (marker),miller2_bdvrst(mrkr),1.0,0
ICT as a tool for development (marker),miller2_rbnsss(mrkr),1.0,0
ICT as a tool for development (marker),miller2_ndgnssss(mrkr),1.0,0
ICT as a tool for development (marker),miller2_dsbltsss(mrkr),0.9998075186038934,0
ICT as a tool for development (marker),miller2_gndrqlt(mrkr),1.0,0
ICT as a tool for development (marker),miller2_rgnstnclss,0,0
ICT as a tool for development (marker),miller2_cntnntnm,0,0
ICT as a tool for development (marker),miller2_prjctbrwsrcntrd,0,0
ICT as a tool for development (marker),miller2_cntrrgnd,0,0
ICT as a tool for development (marker),miller2_cntrrgnnm,0,0
ICT as a tool for development (marker),miller2_cntrrgnprcnt,0,0
ICT as a tool for development (marker),miller2_sctrd,0,0
ICT as a tool for development (marker),miller2_sctrprcnt,0,0
Continent ID,miller2_fsclr,0,0
Continent ID,miller2_ctstlfrdvlpmnt(mrkr),1.0,0
Continent ID,miller2_cntnntd,0.9867335936921305,1
Continent ID,miller2_brnchd,0,0
Continent ID,miller2_rgnstnsb-clss,0,0
Continent ID,miller2_rtcprcnt,0.0,0
Continent ID,miller2_brnchnm,0,0
Continent ID,miller2_rgnlprgrm(mrkr),1.0,0
Continent ID,miller2_chldrnsss(mrkr),0.7640904645950999,0
Continent ID,miller2_thsss(mrkr),0.7678971654741092,0
Continent ID,miller2_cfl(mrkr),0.7787507942208349,0
Continent ID,miller2_rgnstntp,0,0
Continent ID,miller2_dsrtfctn(mrkr),1.0,0
Continent ID,miller2_prgrmmngprcss(nw),0,0
Continent ID,miller2_fstcprcnt,0.8544000527058633,0
Continent ID,miller2_sctnnm,0,0
Continent ID,miller2_mntspnt,0,0
Continent ID,miller2_rgnstnd,0,0
Continent ID,miller2_knwldgfrdvlpmnt(mrkr),0.7684881589956996,0
Continent ID,miller2_sctrnm,0,0
Continent ID,miller2_stts,0,0
Continent ID,miller2_dvsnnm,0,0
Continent ID,miller2_rgnstnnm,0,0
Continent ID,miller2_prtcptrdvlpmntndgdgvrnnc,0.7884294553365861,0
Continent ID,miller2_clmtchngdpttn(mrkr),1.0,0
Continent ID,miller2_bdvrst(mrkr),0.763912554289012,0
Continent ID,miller2_rbnsss(mrkr),0.7642938921576344,0
Continent ID,miller2_ndgnssss(mrkr),0.67262393062229,0
Continent ID,miller2_dsbltsss(mrkr),0.7630242440489198,0
Continent ID,miller2_gndrqlt(mrkr),0.8653084466912618,0
Continent ID,miller2_rgnstnclss,0,0
Continent ID,miller2_cntnntnm,0,0
Continent ID,miller2_prjctbrwsrcntrd,0,0
Continent ID,miller2_cntrrgnd,0,0
Continent ID,miller2_cntrrgnnm,0,0
Continent ID,miller2_cntrrgnprcnt,0,0
Continent ID,miller2_sctrd,0,0
Continent ID,miller2_sctrprcnt,0,0
Branch ID,miller2_fsclr,0,0
Branch ID,miller2_ctstlfrdvlpmnt(mrkr),0,0
Branch ID,miller2_cntnntd,0,0
Branch ID,miller2_brnchd,0.9676094131272706,1
Branch ID,miller2_rgnstnsb-clss,0,0
Branch ID,miller2_rtcprcnt,0,0
Branch ID,miller2_brnchnm,0,0
Branch ID,miller2_rgnlprgrm(mrkr),0,0
Branch ID,miller2_chldrnsss(mrkr),0,0
Branch ID,miller2_thsss(mrkr),0,0
Branch ID,miller2_cfl(mrkr),0,0
Branch ID,miller2_rgnstntp,0,0
Branch ID,miller2_dsrtfctn(mrkr),0,0
Branch ID,miller2_prgrmmngprcss(nw),0,0
Branch ID,miller2_fstcprcnt,0,0
Branch ID,miller2_sctnnm,0,0
Branch ID,miller2_mntspnt,0,0
Branch ID,miller2_rgnstnd,0,0
Branch ID,miller2_knwldgfrdvlpmnt(mrkr),0,0
Branch ID,miller2_sctrnm,0,0
Branch ID,miller2_stts,0,0
Branch ID,miller2_dvsnnm,0,0
Branch ID,miller2_rgnstnnm,0,0
Branch ID,miller2_prtcptrdvlpmntndgdgvrnnc,0,0
Branch ID,miller2_clmtchngdpttn(mrkr),0,0
Branch ID,miller2_bdvrst(mrkr),0,0
Branch ID,miller2_rbnsss(mrkr),0,0
Branch ID,miller2_ndgnssss(mrkr),0,0
Branch ID,miller2_dsbltsss(mrkr),0,0
Branch ID,miller2_gndrqlt(mrkr),0,0
Branch ID,miller2_rgnstnclss,0,0
Branch ID,miller2_cntnntnm,0,0
Branch ID,miller2_prjctbrwsrcntrd,0,0
Branch ID,miller2_cntrrgnd,0,0
