source,target,conf,realConf
Fiscal year,Fiscal year,1.0,1
Fiscal year,Continent ID,0,0
Fiscal year,Division ID,0,0
Fiscal year,Disability issues (marker),0,0
Fiscal year,Youth issues (marker),0,0
Fiscal year,Branch ID,0,0
Fiscal year,Gender equality (marker),0,0
Fiscal year,Project Browser country ID,0,0
Fiscal year,Organisation class,0,0
Fiscal year,Continent name,0,0
Fiscal year,CountryRegion percent,0,0
Fiscal year,Division name,0,0
Fiscal year,Status,0,0
Fiscal year,Participatory development and good governance,0,0
Fiscal year,CFLI (marker),0,0
Fiscal year,Organisation type,0,0
Fiscal year,CountryRegion name,0,0
Fiscal year,Amount spent,0,0
Fiscal year,Bilateral aid (international marker),0,0
Fiscal year,Project number,0,0
Fiscal year,ICT as a tool for development (marker),0,0
Fiscal year,Biodiversity (marker),0,0
Fiscal year,Indigenous issues (marker),0,0
Fiscal year,Section ID,0,0
Fiscal year,Regional program (marker),0,0
Fiscal year,Climate change mitigation (marker),0,0
Fiscal year,Desertification (marker),0,0
Fiscal year,Trade development (marker),0,0
Fiscal year,Urban issues (marker),0,0
Fiscal year,Children issues (marker),0,0
Fiscal year,Knowledge for development (marker),0,0
Fiscal year,Organisation ID,0,0
Fiscal year,Organisation name,0,0
Fiscal year,Organisation sub-class,0,0
Fiscal year,CountryRegion ID,0,0
Fiscal year,Sector ID,0,0
Fiscal year,Sector name,0,0
Fiscal year,Sector percent,0,0
Continent ID,Fiscal year,0,0
Continent ID,Continent ID,0.9998999754228414,1
Continent ID,Division ID,0,0
Continent ID,Disability issues (marker),0.8118846449270303,0
Continent ID,Youth issues (marker),0.8146007391449038,0
Continent ID,Branch ID,0,0
Continent ID,Gender equality (marker),0.9219919530283024,0
Continent ID,Project Browser country ID,0,0
Continent ID,Organisation class,0,0
Continent ID,Continent name,0,0
Continent ID,CountryRegion percent,0.9584849206079357,0
Continent ID,Division name,0,0
Continent ID,Status,0,0
Continent ID,Participatory development and good governance,0.9584849206079357,0
