source,target,conf,realConf
Fiscal year,Fiscal year,1.0,1
Fiscal year,Project number,0,0
Fiscal year,Status,0,0
Fiscal year,Maximum CIDA contribution (project-level),0,0
Fiscal year,Branch ID,0,0
Fiscal year,Branch name,0,0
Fiscal year,Division ID,0,0
Fiscal year,Division name,0,0
Fiscal year,Section ID,0,0
Fiscal year,Section name,0,0
Fiscal year,Regional program (marker),0,0
Fiscal year,Fund centre ID,0,0
Fiscal year,Fund centre name,0,0
Fiscal year,Untied amount(Project-level budget),0,0
Fiscal year,FSTC percent,0,0
Fiscal year,IRTC percent,0,0
Fiscal year,CFLI (marker),0,0
Fiscal year,CIDA business delivery model (old),0,0
Fiscal year,Programming process (new),0,0
Fiscal year,Bilateral aid (international marker),0,0
Fiscal year,PBA type,0,0
Fiscal year,Enviromental sustainability (marker),0,0
Fiscal year,Climate change adaptation (marker),0,0
Fiscal year,Climate change mitigation (marker),0,0
Fiscal year,Desertification (marker),0,0
Fiscal year,Participatory development and good governance,0,0
Fiscal year,Trade development (marker),0,0
Fiscal year,Biodiversity (marker),0,0
Fiscal year,Urban issues (marker),0,0
Fiscal year,Children issues (marker),0,0
Fiscal year,Youth issues (marker),0,0
Fiscal year,Indigenous issues (marker),0,0
Fiscal year,Disability issues (marker),0,0
Fiscal year,ICT as a tool for development (marker),0,0
Fiscal year,Knowledge for development (marker),0,0
Fiscal year,Gender equality (marker),0,0
Fiscal year,Organisation ID,0,0
Fiscal year,Organisation name,0,0
Fiscal year,Organisation type,0,0
Fiscal year,Organisation class,0,0
Fiscal year,Organisation sub-class,0,0
Fiscal year,Continent ID,0,0
Fiscal year,Continent name,0,0
Fiscal year,Project Browser country ID,0,0
Fiscal year,CountryRegion ID,0,0
Fiscal year,CountryRegion name,0,0
Fiscal year,CountryRegion percent,0,0
Fiscal year,Sector ID,0,0
Fiscal year,Sector name,0,0
Fiscal year,Sector percent,0,0
Fiscal year,Amount spent,0,0
Project number,Fiscal year,0,0
Project number,Project number,0,1
Project number,Status,0,0
Project number,Maximum CIDA contribution (project-level),0,0
Project number,Branch ID,0,0
Project number,Branch name,0,0
Project number,Division ID,0,0
Project number,Division name,0,0
Project number,Section ID,0,0
Project number,Section name,0,0
Project number,Regional program (marker),0,0
Project number,Fund centre ID,0,0
Project number,Fund centre name,0,0
Project number,Untied amount(Project-level budget),0,0
Project number,FSTC percent,0,0
Project number,IRTC percent,0,0
Project number,CFLI (marker),0,0
Project number,CIDA business delivery model (old),0,0
Project number,Programming process (new),0,0
Project number,Bilateral aid (international marker),0,0
Project number,PBA type,0,0
Project number,Enviromental sustainability (marker),0,0
Project number,Climate change adaptation (marker),0,0
Project number,Climate change mitigation (marker),0,0
Project number,Desertification (marker),0,0
Project number,Participatory development and good governance,0,0
Project number,Trade development (marker),0,0
Project number,Biodiversity (marker),0,0
Project number,Urban issues (marker),0,0
Project number,Children issues (marker),0,0
Project number,Youth issues (marker),0,0
Project number,Indigenous issues (marker),0,0
Project number,Disability issues (marker),0,0
Project number,ICT as a tool for development (marker),0,0
Project number,Knowledge for development (marker),0,0
Project number,Gender equality (marker),0,0
Project number,Organisation ID,0,0
Project number,Organisation name,0,0
Project number,Organisation type,0,0
Project number,Organisation class,0,0
