source,target,conf,realConf
AgencyID,prospect_AgencyID,0,1
AgencyID,prospect_NumberCreditCards,0,0
AgencyID,prospect_CreditRating,0,0
AgencyID,prospect_Employer,0,0
AgencyID,prospect_NetWorth,0,0
AgencyID,prospect_LastName,0,0
AgencyID,prospect_Country,0,0
AgencyID,prospect_Phone,0,0
AgencyID,prospect_Income,0,0
AgencyID,prospect_NumberCars,0,0
AgencyID,prospect_NumberChildren,0,0
AgencyID,prospect_MaritalStatus,0,0
AgencyID,prospect_Age,0,0
AgencyID,prospect_OwnOrRentFlag,0,0
NumberCreditCards,prospect_AgencyID,0,0
NumberCreditCards,prospect_NumberCreditCards,0.9968868961043772,1
NumberCreditCards,prospect_CreditRating,0,0
NumberCreditCards,prospect_Employer,0,0
NumberCreditCards,prospect_NetWorth,0,0
NumberCreditCards,prospect_LastName,0,0
NumberCreditCards,prospect_Country,0,0
NumberCreditCards,prospect_Phone,0,0
NumberCreditCards,prospect_Income,0,0
NumberCreditCards,prospect_NumberCars,0.9788008079421165,0
NumberCreditCards,prospect_NumberChildren,0.9662206685056218,0
NumberCreditCards,prospect_MaritalStatus,0,0
NumberCreditCards,prospect_Age,0.9040245605877135,0
NumberCreditCards,prospect_OwnOrRentFlag,0,0
CreditRating,prospect_AgencyID,0,0
CreditRating,prospect_NumberCreditCards,0,0
CreditRating,prospect_CreditRating,0.9952650951905745,1
CreditRating,prospect_Employer,0,0
CreditRating,prospect_NetWorth,0,0
CreditRating,prospect_LastName,0,0
CreditRating,prospect_Country,0,0
CreditRating,prospect_Phone,0,0
CreditRating,prospect_Income,0,0
CreditRating,prospect_NumberCars,0,0
CreditRating,prospect_NumberChildren,0,0
CreditRating,prospect_MaritalStatus,0,0
CreditRating,prospect_Age,0,0
CreditRating,prospect_OwnOrRentFlag,0,0
Employer,prospect_AgencyID,0,0
Employer,prospect_NumberCreditCards,0,0
Employer,prospect_CreditRating,0,0
Employer,prospect_Employer,0.9977153401594634,1
Employer,prospect_NetWorth,0,0
Employer,prospect_LastName,0,0
Employer,prospect_Country,0,0
Employer,prospect_Phone,0,0
Employer,prospect_Income,0,0
Employer,prospect_NumberCars,0,0
Employer,prospect_NumberChildren,0,0
Employer,prospect_MaritalStatus,0,0
Employer,prospect_Age,0,0
Employer,prospect_OwnOrRentFlag,0,0
NetWorth,prospect_AgencyID,0,0
NetWorth,prospect_NumberCreditCards,0,0
NetWorth,prospect_CreditRating,0,0
NetWorth,prospect_Employer,0,0
NetWorth,prospect_NetWorth,0.9955377792772686,1
NetWorth,prospect_LastName,0,0
NetWorth,prospect_Country,0,0
NetWorth,prospect_Phone,0,0
NetWorth,prospect_Income,0.9316275571063927,0
NetWorth,prospect_NumberCars,0,0
NetWorth,prospect_NumberChildren,0,0
NetWorth,prospect_MaritalStatus,0,0
NetWorth,prospect_Age,0,0
NetWorth,prospect_OwnOrRentFlag,0,0
LastName,prospect_AgencyID,0,0
LastName,prospect_NumberCreditCards,0,0
LastName,prospect_CreditRating,0,0
LastName,prospect_Employer,0,0
LastName,prospect_NetWorth,0,0
LastName,prospect_LastName,0,1
LastName,prospect_Country,0,0
LastName,prospect_Phone,0,0
LastName,prospect_Income,0,0
LastName,prospect_NumberCars,0,0
LastName,prospect_NumberChildren,0,0
LastName,prospect_MaritalStatus,0,0
LastName,prospect_Age,0,0
LastName,prospect_OwnOrRentFlag,0,0
FirstName,prospect_AgencyID,0,0
FirstName,prospect_NumberCreditCards,0,0
FirstName,prospect_CreditRating,0,0
FirstName,prospect_Employer,0,0
FirstName,prospect_NetWorth,0,0
FirstName,prospect_LastName,0,0
FirstName,prospect_Country,0,0
FirstName,prospect_Phone,0,0
FirstName,prospect_Income,0,0
FirstName,prospect_NumberCars,0,0
FirstName,prospect_NumberChildren,0,0
FirstName,prospect_MaritalStatus,0,0
FirstName,prospect_Age,0,0
FirstName,prospect_OwnOrRentFlag,0,0
MiddleInitial,prospect_AgencyID,0,0
MiddleInitial,prospect_NumberCreditCards,0,0
MiddleInitial,prospect_CreditRating,0,0
MiddleInitial,prospect_Employer,0,0
MiddleInitial,prospect_NetWorth,0,0
MiddleInitial,prospect_LastName,0,0
MiddleInitial,prospect_Country,0,0
MiddleInitial,prospect_Phone,0,0
MiddleInitial,prospect_Income,0,0
MiddleInitial,prospect_NumberCars,0,0
MiddleInitial,prospect_NumberChildren,0,0
MiddleInitial,prospect_MaritalStatus,0.9253648034447014,0
MiddleInitial,prospect_Age,0,0
MiddleInitial,prospect_OwnOrRentFlag,0.7238732621069102,0
Gender,prospect_AgencyID,0,0
Gender,prospect_NumberCreditCards,0,0
Gender,prospect_CreditRating,0,0
Gender,prospect_Employer,0,0
Gender,prospect_NetWorth,0,0
Gender,prospect_LastName,0,0
Gender,prospect_Country,0,0
Gender,prospect_Phone,0,0
Gender,prospect_Income,0,0
Gender,prospect_NumberCars,0,0
Gender,prospect_NumberChildren,0,0
Gender,prospect_MaritalStatus,0.9105034182722188,0
Gender,prospect_Age,0,0
Gender,prospect_OwnOrRentFlag,0.6973757833482542,0
AddressLine1,prospect_AgencyID,0,0
AddressLine1,prospect_NumberCreditCards,0,0
AddressLine1,prospect_CreditRating,0,0
AddressLine1,prospect_Employer,0,0
AddressLine1,prospect_NetWorth,0,0
AddressLine1,prospect_LastName,0,0
AddressLine1,prospect_Country,0,0
AddressLine1,prospect_Phone,0,0
AddressLine1,prospect_Income,0,0
AddressLine1,prospect_NumberCars,0,0
AddressLine1,prospect_NumberChildren,0,0
AddressLine1,prospect_MaritalStatus,0,0
AddressLine1,prospect_Age,0,0
