source,target,conf,realConf
AgencyID,AgencyID,0,1
AgencyID,Employer,0,0
AgencyID,LastName,0,0
AgencyID,PostalCode,0,0
AgencyID,AddressLine2,0,0
AgencyID,CreditRating,0,0
AgencyID,Income,0,0
AgencyID,NumberCars,0,0
AgencyID,NumberChildren,0,0
AgencyID,MaritalStatus,0,0
AgencyID,Age,0,0
AgencyID,OwnOrRentFlag,0,0
AgencyID,NumberCreditCards,0,0
AgencyID,NetWorth,0,0
Employer,AgencyID,0,0
Employer,Employer,0.9928614762732298,1
Employer,LastName,0,0
Employer,PostalCode,0,0
Employer,AddressLine2,0,0
Employer,CreditRating,0,0
Employer,Income,0,0
Employer,NumberCars,0,0
Employer,NumberChildren,0,0
Employer,MaritalStatus,0,0
Employer,Age,0,0
Employer,OwnOrRentFlag,0,0
Employer,NumberCreditCards,0,0
Employer,NetWorth,0,0
LastName,AgencyID,0,0
LastName,Employer,0,0
LastName,LastName,0,1
LastName,PostalCode,0,0
LastName,AddressLine2,0,0
LastName,CreditRating,0,0
LastName,Income,0,0
LastName,NumberCars,0,0
LastName,NumberChildren,0,0
LastName,MaritalStatus,0,0
LastName,Age,0,0
LastName,OwnOrRentFlag,0,0
LastName,NumberCreditCards,0,0
LastName,NetWorth,0,0
PostalCode,AgencyID,0,0
PostalCode,Employer,0,0
PostalCode,LastName,0,0
PostalCode,PostalCode,0,1
PostalCode,AddressLine2,0,0
PostalCode,CreditRating,0,0
PostalCode,Income,0,0
PostalCode,NumberCars,0,0
PostalCode,NumberChildren,0,0
PostalCode,MaritalStatus,0,0
PostalCode,Age,0,0
PostalCode,OwnOrRentFlag,0,0
PostalCode,NumberCreditCards,0,0
PostalCode,NetWorth,0,0
AddressLine2,AgencyID,0,0
AddressLine2,Employer,0,0
AddressLine2,LastName,0,0
AddressLine2,PostalCode,0,0
AddressLine2,AddressLine2,0,1
AddressLine2,CreditRating,0,0
AddressLine2,Income,0,0
AddressLine2,NumberCars,0,0
AddressLine2,NumberChildren,0,0
AddressLine2,MaritalStatus,0,0
AddressLine2,Age,0,0
AddressLine2,OwnOrRentFlag,0,0
AddressLine2,NumberCreditCards,0,0
AddressLine2,NetWorth,0,0
CreditRating,AgencyID,0,0
CreditRating,Employer,0,0
CreditRating,LastName,0,0
CreditRating,PostalCode,0,0
CreditRating,AddressLine2,0,0
CreditRating,CreditRating,0.9933687749922047,1
CreditRating,Income,0,0
CreditRating,NumberCars,0,0
CreditRating,NumberChildren,0,0
CreditRating,MaritalStatus,0,0
CreditRating,Age,0,0
CreditRating,OwnOrRentFlag,0,0
CreditRating,NumberCreditCards,0,0
CreditRating,NetWorth,0,0
FirstName,AgencyID,0,0
FirstName,Employer,0.9626280934230478,0
FirstName,LastName,0,0
FirstName,PostalCode,0,0
FirstName,AddressLine2,0,0
FirstName,CreditRating,0,0
FirstName,Income,0,0
FirstName,NumberCars,0,0
FirstName,NumberChildren,0,0
FirstName,MaritalStatus,0,0
FirstName,Age,0,0
FirstName,OwnOrRentFlag,0,0
FirstName,NumberCreditCards,0,0
FirstName,NetWorth,0,0
MiddleInitial,AgencyID,0,0
MiddleInitial,Employer,0,0
MiddleInitial,LastName,0,0
MiddleInitial,PostalCode,0,0
MiddleInitial,AddressLine2,0,0
MiddleInitial,CreditRating,0,0
MiddleInitial,Income,0,0
MiddleInitial,NumberCars,0,0
MiddleInitial,NumberChildren,0,0
MiddleInitial,MaritalStatus,0.9966205558111301,0
MiddleInitial,Age,0,0
MiddleInitial,OwnOrRentFlag,0.8963252732873538,0
MiddleInitial,NumberCreditCards,0,0
MiddleInitial,NetWorth,0,0
Gender,AgencyID,0,0
Gender,Employer,0,0
Gender,LastName,0,0
Gender,PostalCode,0,0
Gender,AddressLine2,0,0
Gender,CreditRating,0,0
Gender,Income,0,0
Gender,NumberCars,0,0
Gender,NumberChildren,0,0
Gender,MaritalStatus,0.9353569294616055,0
Gender,Age,0,0
Gender,OwnOrRentFlag,0.9152224996328389,0
Gender,NumberCreditCards,0,0
Gender,NetWorth,0,0
AddressLine1,AgencyID,0,0
AddressLine1,Employer,0,0
AddressLine1,LastName,0,0
AddressLine1,PostalCode,0,0
AddressLine1,AddressLine2,0,0
AddressLine1,CreditRating,0,0
AddressLine1,Income,0,0
AddressLine1,NumberCars,0,0
AddressLine1,NumberChildren,0,0
AddressLine1,MaritalStatus,0,0
AddressLine1,Age,0,0
AddressLine1,OwnOrRentFlag,0,0
AddressLine1,NumberCreditCards,0,0
AddressLine1,NetWorth,0,0
City,AgencyID,0,0
City,Employer,0.9619096520822107,0
City,LastName,0,0
City,PostalCode,0,0
City,AddressLine2,0,0
City,CreditRating,0,0
City,Income,0,0
City,NumberCars,0,0
City,NumberChildren,0,0
City,MaritalStatus,0,0
City,Age,0,0
City,OwnOrRentFlag,0,0
City,NumberCreditCards,0,0
City,NetWorth,0,0
State,AgencyID,0,0
State,Employer,0,0
State,LastName,0,0
State,PostalCode,0,0
State,AddressLine2,0,0
State,CreditRating,0,0
State,Income,0,0
State,NumberCars,0,0
State,NumberChildren,0,0
State,MaritalStatus,0,0
State,Age,0,0
State,OwnOrRentFlag,0,0
State,NumberCreditCards,0,0
State,NetWorth,0,0
Country,AgencyID,0,0
Country,Employer,0,0
Country,LastName,0,0
Country,PostalCode,0,0
Country,AddressLine2,0,0
Country,CreditRating,0,0
Country,Income,0,0
Country,NumberCars,0,0
Country,NumberChildren,0,0
Country,MaritalStatus,0,0
Country,Age,0,0
Country,OwnOrRentFlag,0,0
Country,NumberCreditCards,0,0
Country,NetWorth,0,0
Phone,AgencyID,0,0
Phone,Employer,0,0
Phone,LastName,0,0
Phone,PostalCode,0,0
Phone,AddressLine2,0,0
Phone,CreditRating,0,0
Phone,Income,0,0
Phone,NumberCars,0,0
Phone,NumberChildren,0,0
Phone,MaritalStatus,0,0
Phone,Age,0,0
Phone,OwnOrRentFlag,0,0
Phone,NumberCreditCards,0,0
Phone,NetWorth,0,0
