source,target,conf,realConf
AgencyID,AgencyID,0,1
AgencyID,Age,0,0
AgencyID,Country,0,0
AgencyID,Phone,0,0
AgencyID,NetWorth,0,0
AgencyID,MiddleInitial,0,0
AgencyID,OwnOrRentFlag,0,0
AgencyID,Employer,0,0
AgencyID,NumberChildren,0,0
AgencyID,NumberCreditCards,0,0
AgencyID,City,0,0
AgencyID,PostalCode,0,0
AgencyID,State,0,0
AgencyID,Income,0,0
AgencyID,NumberCars,0,0
AgencyID,MaritalStatus,0,0
AgencyID,CreditRating,0,0
Age,AgencyID,0,0
Age,Age,0.9650320437707655,1
Age,Country,0,0
Age,Phone,0,0
Age,NetWorth,0,0
Age,MiddleInitial,0,0
Age,OwnOrRentFlag,0,0
Age,Employer,0,0
Age,NumberChildren,0.827326029575484,0
Age,NumberCreditCards,0.9703888094787194,0
Age,City,0,0
Age,PostalCode,0,0
Age,State,0,0
Age,Income,0,0
Age,NumberCars,0.8272133260828894,0
Age,MaritalStatus,0,0
Age,CreditRating,0,0
Country,AgencyID,0,0
Country,Age,0,0
Country,Country,0,1
Country,Phone,0,0
Country,NetWorth,0,0
Country,MiddleInitial,0,0
Country,OwnOrRentFlag,0,0
Country,Employer,0,0
Country,NumberChildren,0,0
Country,NumberCreditCards,0,0
Country,City,0,0
Country,PostalCode,0,0
Country,State,0,0
Country,Income,0,0
Country,NumberCars,0,0
Country,MaritalStatus,0,0
Country,CreditRating,0,0
Phone,AgencyID,0,0
Phone,Age,0,0
Phone,Country,0,0
Phone,Phone,0,1
Phone,NetWorth,0,0
Phone,MiddleInitial,0,0
Phone,OwnOrRentFlag,0,0
Phone,Employer,0,0
Phone,NumberChildren,0,0
Phone,NumberCreditCards,0,0
Phone,City,0,0
Phone,PostalCode,0,0
Phone,State,0,0
Phone,Income,0,0
Phone,NumberCars,0,0
Phone,MaritalStatus,0,0
Phone,CreditRating,0,0
NetWorth,AgencyID,0,0
NetWorth,Age,0,0
NetWorth,Country,0,0
NetWorth,Phone,0,0
NetWorth,NetWorth,0.9484499822660645,1
NetWorth,MiddleInitial,0,0
NetWorth,OwnOrRentFlag,0,0
NetWorth,Employer,0,0
NetWorth,NumberChildren,0,0
NetWorth,NumberCreditCards,0,0
NetWorth,City,0,0
NetWorth,PostalCode,0,0
NetWorth,State,0,0
NetWorth,Income,0.8919250339151592,0
NetWorth,NumberCars,0,0
NetWorth,MaritalStatus,0,0
NetWorth,CreditRating,0,0
MiddleInitial,AgencyID,0,0
MiddleInitial,Age,0,0
MiddleInitial,Country,0,0
MiddleInitial,Phone,0,0
MiddleInitial,NetWorth,0,0
MiddleInitial,MiddleInitial,0.9932843609838712,1
MiddleInitial,OwnOrRentFlag,0,0
MiddleInitial,Employer,0,0
MiddleInitial,NumberChildren,0,0
MiddleInitial,NumberCreditCards,0,0
MiddleInitial,City,0,0
MiddleInitial,PostalCode,0,0
MiddleInitial,State,0,0
MiddleInitial,Income,0,0
MiddleInitial,NumberCars,0,0
MiddleInitial,MaritalStatus,0.9506362054029185,0
MiddleInitial,CreditRating,0,0
OwnOrRentFlag,AgencyID,0,0
OwnOrRentFlag,Age,0,0
OwnOrRentFlag,Country,0,0
OwnOrRentFlag,Phone,0,0
OwnOrRentFlag,NetWorth,0,0
OwnOrRentFlag,MiddleInitial,0,0
OwnOrRentFlag,OwnOrRentFlag,1.0,1
OwnOrRentFlag,Employer,0,0
OwnOrRentFlag,NumberChildren,0,0
OwnOrRentFlag,NumberCreditCards,0,0
OwnOrRentFlag,City,0,0
OwnOrRentFlag,PostalCode,0,0
OwnOrRentFlag,State,0,0
OwnOrRentFlag,Income,0,0
OwnOrRentFlag,NumberCars,0,0
OwnOrRentFlag,MaritalStatus,0,0
OwnOrRentFlag,CreditRating,0,0
Employer,AgencyID,0,0
Employer,Age,0,0
Employer,Country,0,0
Employer,Phone,0,0
Employer,NetWorth,0,0
Employer,MiddleInitial,0,0
Employer,OwnOrRentFlag,0,0
Employer,Employer,0.9892076896963568,1
Employer,NumberChildren,0,0
Employer,NumberCreditCards,0,0
Employer,City,0.9522561293467517,0
Employer,PostalCode,0,0
Employer,State,0,0
Employer,Income,0,0
Employer,NumberCars,0,0
Employer,MaritalStatus,0,0
Employer,CreditRating,0,0
NumberChildren,AgencyID,0,0
NumberChildren,Age,0.9572157662577485,0
NumberChildren,Country,0,0
NumberChildren,Phone,0,0
NumberChildren,NetWorth,0,0
NumberChildren,MiddleInitial,0,0
NumberChildren,OwnOrRentFlag,0,0
NumberChildren,Employer,0,0
NumberChildren,NumberChildren,0.9620840711956173,1
NumberChildren,NumberCreditCards,0.8678663172207295,0
NumberChildren,City,0,0
NumberChildren,PostalCode,0,0
NumberChildren,State,0,0
NumberChildren,Income,0,0
NumberChildren,NumberCars,0.9625554600427452,0
NumberChildren,MaritalStatus,0,0
NumberChildren,CreditRating,0,0
NumberCreditCards,AgencyID,0,0
NumberCreditCards,Age,0.9254126510305278,0
NumberCreditCards,Country,0,0
NumberCreditCards,Phone,0,0
NumberCreditCards,NetWorth,0,0
NumberCreditCards,MiddleInitial,0,0
NumberCreditCards,OwnOrRentFlag,0,0
NumberCreditCards,Employer,0,0
NumberCreditCards,NumberChildren,0.957492963992384,0
NumberCreditCards,NumberCreditCards,0.9804592836576098,1
NumberCreditCards,City,0,0
NumberCreditCards,PostalCode,0,0
NumberCreditCards,State,0,0
NumberCreditCards,Income,0,0
NumberCreditCards,NumberCars,0.9579598635061614,0
NumberCreditCards,MaritalStatus,0,0
NumberCreditCards,CreditRating,0,0
City,AgencyID,0,0
City,Age,0,0
City,Country,0,0
City,Phone,0,0
City,NetWorth,0,0
City,MiddleInitial,0,0
City,OwnOrRentFlag,0,0
City,Employer,0.9661912645883474,0
City,NumberChildren,0,0
City,NumberCreditCards,0,0
City,City,0.9937714810653149,1
City,PostalCode,0,0
City,State,0,0
City,Income,0,0
City,NumberCars,0,0
City,MaritalStatus,0,0
City,CreditRating,0,0
LastName,AgencyID,0,0
LastName,Age,0,0
LastName,Country,0,0
LastName,Phone,0,0
LastName,NetWorth,0,0
LastName,MiddleInitial,0,0
LastName,OwnOrRentFlag,0,0
LastName,Employer,0.9595101492642234,0
LastName,NumberChildren,0,0
LastName,NumberCreditCards,0,0
LastName,City,0.9884750135700511,0
LastName,PostalCode,0,0
LastName,State,0,0
LastName,Income,0,0
LastName,NumberCars,0,0
LastName,MaritalStatus,0,0
LastName,CreditRating,0,0
FirstName,AgencyID,0,0
FirstName,Age,0,0
FirstName,Country,0,0
FirstName,Phone,0,0
FirstName,NetWorth,0,0
FirstName,MiddleInitial,0,0
FirstName,OwnOrRentFlag,0,0
FirstName,Employer,0.9666608652812345,0
FirstName,NumberChildren,0,0
FirstName,NumberCreditCards,0,0
FirstName,City,0.966756922220856,0
FirstName,PostalCode,0,0
FirstName,State,0,0
FirstName,Income,0,0
FirstName,NumberCars,0,0
FirstName,MaritalStatus,0,0
FirstName,CreditRating,0,0
Gender,AgencyID,0,0
Gender,Age,0,0
Gender,Country,0,0
Gender,Phone,0,0
Gender,NetWorth,0,0
Gender,MiddleInitial,0.9587019650642624,0
Gender,OwnOrRentFlag,0,0
Gender,Employer,0,0
Gender,NumberChildren,0,0
Gender,NumberCreditCards,0,0
Gender,City,0,0
Gender,PostalCode,0,0
Gender,State,0,0
Gender,Income,0,0
Gender,NumberCars,0,0
Gender,MaritalStatus,0.8324647985032759,0
Gender,CreditRating,0,0
AddressLine1,AgencyID,0,0
AddressLine1,Age,0,0
AddressLine1,Country,0,0
AddressLine1,Phone,0,0
AddressLine1,NetWorth,0,0
AddressLine1,MiddleInitial,0,0
AddressLine1,OwnOrRentFlag,0,0
AddressLine1,Employer,0,0
AddressLine1,NumberChildren,0,0
AddressLine1,NumberCreditCards,0,0
AddressLine1,City,0,0
AddressLine1,PostalCode,0,0
AddressLine1,State,0,0
AddressLine1,Income,0,0
AddressLine1,NumberCars,0,0
AddressLine1,MaritalStatus,0,0
AddressLine1,CreditRating,0,0
AddressLine2,AgencyID,0,0
AddressLine2,Age,0,0
AddressLine2,Country,0,0
AddressLine2,Phone,0,0
AddressLine2,NetWorth,0,0
AddressLine2,MiddleInitial,0,0
AddressLine2,OwnOrRentFlag,0,0
AddressLine2,Employer,0,0
AddressLine2,NumberChildren,0,0
AddressLine2,NumberCreditCards,0,0
AddressLine2,City,0,0
AddressLine2,PostalCode,0,0
AddressLine2,State,0,0
AddressLine2,Income,0,0
AddressLine2,NumberCars,0,0
AddressLine2,MaritalStatus,0,0
AddressLine2,CreditRating,0,0
